link_id,road_name,road_rank,length_km,accident_cnt,epdo_total,epdo_avg,ALL_AADT_total,exposure,epdo_rate,epdo_rank,accident_uids
477351819,,107,0.068,1,69.0,69.0,3295.5,224.094,307906.5035,131,2024
571377638,동탄청계로,107,0.01,2,16.0,8.0,5202.0,52.02,307574.01,132,2024|2024
478252644,향남로,103,0.006,1,8.0,8.0,4344.0,26.064,306936.771,133,2024
571700047,올림픽로8길,104,0.041,2,70.0,35.0,5569.0,228.329,306575.1613,134,2024|2024
571365064,,107,0.034,1,69.0,69.0,6647.0,225.998,305312.4364,135,2024
572651578,,107,0.058,1,69.0,69.0,3901.5,226.287,304922.5099,136,2024
572653344,공원로,107,0.017,1,69.0,69.0,13378.0,227.426,303395.3901,137,2024
572765052,,107,0.042,2,69.0,34.5,5419.5,227.619,303138.1387,138,2024|2024
572766800,,107,0.03,1,69.0,69.0,7633.5,229.005,301303.465,139,2024
572766466,,107,0.072,3,146.0,48.6667,6784.5,488.484,298883.8938,140,2024|2024|2024
572611258,하남대로,103,0.022,1,69.0,69.0,10520.5,231.451,298119.2563,141,2024
477245812,,107,0.04,1,69.0,69.0,5830.0,233.2,295883.3619,142,2024
572762694,덕산로,107,0.019,1,69.0,69.0,12468.0,236.892,291271.972,143,2024
477357780,,107,0.119,1,69.0,69.0,1996.0,237.524,290496.9603,144,2024
572767016,,107,0.034,1,69.0,69.0,6989.0,237.626,290372.2657,145,2024
571500555,장미로,107,0.019,1,69.0,69.0,12624.0,239.856,287672.6036,146,2024
571254797,동탄순환대로,107,0.041,4,154.0,38.5,13149.5,539.1295,285645.6566,147,2024|2024|2024|2024
571501271,구미로173번길,107,0.017,1,69.0,69.0,14215.5,241.6635,285520.9827,148,2024
571370785,,107,0.045,1,69.0,69.0,5411.0,243.495,283373.3752,149,2024
477241750,버들로,106,1.087,1,391.0,391.0,1275.0,1385.925,282122.0485,150,2024
571744818,백제고분로,104,0.018,2,77.0,38.5,15199.5,273.591,281442.0065,151,2024|2024
571343674,효행로1039번길,107,0.048,2,77.0,38.5,5724.5,274.776,280228.2587,152,2024|2024
476240226,매화2길,107,0.155,1,69.0,69.0,1599.0,247.845,278399.8063,153,2024
572763872,아리수로,107,0.028,3,146.0,48.6667,18777.5,525.77,277687.9624,154,2024|2024|2024
571370795,,107,0.046,1,69.0,69.0,5414.0,249.044,277059.4754,155,2024
572655556,공원로,107,0.083,3,407.0,135.6667,17715.5,1470.3865,276797.9711,156,2024|2024|2024
571367930,,107,0.042,1,69.0,69.0,5998.0,251.916,273900.8241,157,2024
571642282,,104,0.04,1,69.0,69.0,6303.0,252.12,273679.2004,158,2024
572659462,동남로13길,104,0.09,3,139.0,46.3333,5647.0,508.23,273498.2193,159,2024|2024|2024
571556594,안양판교로,105,0.008,1,69.0,69.0,31647.5,253.18,272533.3755,160,2024
572673001,,107,0.012,1,69.0,69.0,21117.0,253.404,272292.4658,161,2024
571700554,삼전로,104,0.056,2,77.0,38.5,5061.0,283.416,271685.4377,162,2024|2024
571546099,,107,0.046,2,77.0,38.5,6166.0,283.636,271474.707,163,2024|2024
572668218,광명로,107,0.091,4,154.0,38.5,6247.5,568.5225,270877.5818,164,2024|2024|2024|2024
572672360,성남대로,107,0.034,3,83.0,27.6667,9044.0,307.496,269922.2104,165,2024|2024|2024
571652059,,104,0.101,3,146.0,48.6667,5386.0,543.986,268389.26,166,2024|2024|2024
571362712,동탄광역환승로,107,0.039,2,77.0,38.5,7360.0,287.04,268255.2954,167,2024|2024
478354064,와우로,107,0.027,1,69.0,69.0,9582.0,258.714,266703.7733,168,2024
572541905,벌말로49번길,107,0.049,1,69.0,69.0,5316.5,260.5085,264866.5974,169,2024
571345654,병점3로,107,0.037,2,77.0,38.5,7867.5,291.0975,264516.1844,170,2024|2024
572755381,,107,0.031,2,77.0,38.5,9408.5,291.6635,264002.8663,171,2024|2024
478243222,향남로,107,0.029,1,69.0,69.0,9030.5,261.8845,263474.9288,172,2024
571554786,안양판교로,105,0.024,1,69.0,69.0,10938.0,262.512,262845.1271,173,2024
571364694,동탄원천로,107,0.048,1,69.0,69.0,5473.0,262.704,262653.0239,174,2024
478249720,향남로,103,0.037,2,77.0,38.5,7938.5,293.7245,262150.4165,175,2024|2024
478240539,서해로,106,0.026,1,69.0,69.0,10129.0,263.354,262004.7541,176,2024
571704415,가락로,104,0.233,3,466.0,155.3333,7634.5,1778.8385,261968.6947,177,2024|2024|2024
571344780,병점로,107,0.045,2,77.0,38.5,6583.0,296.235,259928.7728,178,2024|2024
571554770,,107,0.04,2,70.0,35.0,6760.0,270.4,258875.7396,179,2024|2024
571367992,효행로,107,0.052,1,69.0,69.0,5126.0,266.552,258861.3104,180,2024
477352530,남양로,103,0.155,2,399.0,199.5,10009.5,1551.4725,257175.0386,181,2024|2024
477351720,청원산단1길,107,0.1,1,69.0,69.0,2687.5,268.75,256744.186,182,2024
572646883,원터로,107,0.037,1,69.0,69.0,7266.0,268.842,256656.326,183,2024
572500756,양현로94번길,107,0.032,1,69.0,69.0,8402.0,268.864,256635.3249,184,2024
572642611,하남대로,103,0.028,1,69.0,69.0,9692.0,271.376,254259.7724,185,2024
572774977,미사강변서로,107,0.029,1,69.0,69.0,9394.5,272.4405,253266.3095,186,2024
571663963,정의로,104,0.034,2,77.0,38.5,8955.0,304.47,252898.4793,187,2024|2024
571540532,성남대로43번길,107,0.03,1,69.0,69.0,9113.5,273.405,252372.8535,188,2024
572643973,은이로,107,0.048,1,69.0,69.0,5709.0,274.032,251795.4108,189,2024
2024000148,태안로,107,0.038,1,69.0,69.0,7215.0,274.17,251668.6727,190,2024
572646415,양산로,104,0.1,3,407.0,135.6667,16192.5,1619.25,251350.9341,191,2024|2024|2024
478346642,최루백로,107,0.038,1,69.0,69.0,7225.0,274.55,251320.3424,192,2024
571677056,여수대로56번길,107,0.05,2,77.0,38.5,6128.5,306.425,251284.98,193,2024|2024
572650744,마지로,107,0.23,1,391.0,391.0,6786.0,1560.78,250515.7678,194,2024
571343853,독산성로,107,0.007,1,8.0,8.0,4571.5,32.0005,249996.0938,195,2024
571714518,백제고분로,104,0.016,1,69.0,69.0,17251.0,276.016,249985.5081,196,2024
571541945,,107,0.034,1,69.0,69.0,8131.0,276.454,249589.4435,197,2024
477140992,화곡로,107,0.033,4,32.0,8.0,3918.5,129.3105,247466.3697,198,2024|2024|2024|2024
571541741,이매로,107,0.039,1,69.0,69.0,7165.5,279.4545,246909.6042,199,2024
571500426,구미로130번길,107,0.058,1,69.0,69.0,4867.5,282.315,244407.8423,200,2024
572603519,수정로,107,0.034,5,94.0,18.8,11355.5,386.087,243468.4411,201,2024|2024|2024|2024|2024
571380311,병점노을1로,107,0.039,1,69.0,69.0,7272.0,283.608,243293.5601,202,2024
478242247,칼바위길83번길,107,0.051,1,8.0,8.0,646.5,32.9715,242633.7898,203,2024
571649751,삼전로,104,0.103,2,138.0,69.0,5559.0,572.577,241015.6189,204,2024|2024
572766404,,107,0.048,2,77.0,38.5,6674.0,320.352,240360.6033,205,2024|2024
571540086,내정로107번길,107,0.047,1,69.0,69.0,6118.5,287.5695,239941.9966,206,2024
571379031,동탄지성로,107,0.031,1,69.0,69.0,9317.0,288.827,238897.333,207,2024
571557224,판교로,107,0.045,1,69.0,69.0,6435.0,289.575,238280.2383,208,2024
572648045,둔촌대로425번길,107,0.061,3,85.0,28.3333,5852.0,356.972,238113.9137,209,2024|2024|2024
572540462,분당로,107,0.036,4,93.0,23.25,10874.5,391.482,237558.815,210,2024|2024|2024|2024
572666125,감일백제로,107,0.042,1,69.0,69.0,6941.0,291.522,236688.8262,211,2024
572667253,,107,0.01,1,8.0,8.0,3389.5,33.895,236023.0122,212,2024
572767964,,107,0.038,1,69.0,69.0,7693.5,292.353,236016.0491,213,2024
572647458,복정로,107,0.053,1,69.0,69.0,5516.5,292.3745,235998.6935,214,2024
571341867,경기대로,105,0.026,4,72.0,18.0,11847.0,308.022,233749.5374,215,2024|2024|2024|2024
571658609,송파대로,104,0.028,3,85.0,28.3333,13007.0,364.196,233390.8115,216,2024|2024|2024
477140999,포승향남로,103,0.029,1,69.0,69.0,10196.0,295.684,233357.2327,217,2024
571665529,백제고분로,104,0.16,11,647.0,58.8182,17370.0,2779.2,232800.806,218,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572672402,성남대로,103,0.012,1,69.0,69.0,24743.0,296.916,232388.9585,219,2024
571255285,동탄대로1길,107,0.074,1,69.0,69.0,4038.0,298.812,230914.4211,220,2024
571350595,떡전골로,107,0.051,5,93.0,18.6,7932.0,404.532,229895.2864,221,2024|2024|2024|2024|2024
572611357,제일로74번길,107,0.112,2,138.0,69.0,5365.0,600.88,229663.1607,222,2024|2024
572752037,,107,0.009,2,16.0,8.0,7749.5,69.7455,229405.4814,223,2024|2024
477357892,현대기아로,107,0.053,3,85.0,28.3333,7018.0,371.954,228522.8819,224,2024|2024|2024
572765156,미사강변남로,107,0.023,3,85.0,28.3333,16194.0,372.462,228211.2001,225,2024|2024|2024
571650584,중대로9길,104,0.103,4,154.0,38.5,6597.0,679.491,226640.2351,226,2024|2024|2024|2024
572783065,서하남로47번길,107,0.007,2,16.0,8.0,10095.5,70.6685,226409.2205,227,2024|2024
572754836,덕풍북로,107,0.04,2,77.0,38.5,8502.5,340.1,226403.9988,228,2024|2024
572765904,미사강변대로226번안길,107,0.044,1,69.0,69.0,6937.5,305.25,226044.226,229,2024
478255945,발안양감로,103,0.027,1,69.0,69.0,11357.0,306.639,225020.3007,230,2024
571343782,화산중앙로,107,0.059,2,77.0,38.5,5856.0,345.504,222862.8323,231,2024|2024
571358948,,107,0.042,1,69.0,69.0,7382.0,310.044,222549.0576,232,2024
478242835,행정중앙2로,107,0.068,2,77.0,38.5,5125.0,348.5,220946.9154,233,2024|2024
571647112,양재대로,104,0.037,1,69.0,69.0,8441.0,312.317,220929.3762,234,2024
476345138,마도북로,107,0.018,2,16.0,8.0,4046.5,72.837,219668.575,235,2024|2024
571558795,,107,0.027,2,77.0,38.5,13068.0,352.836,218231.6997,236,2024|2024
572644164,제일로,107,0.254,11,316.0,28.7273,5708.0,1449.832,217956.2873,237,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571704493,올림픽로8길,104,0.125,6,163.0,27.1667,6031.0,753.875,216216.2162,238,2024|2024|2024|2024|2024|2024
572775294,올림픽로,104,0.044,6,163.0,27.1667,17145.5,754.402,216065.1748,239,2024|2024|2024|2024|2024|2024
571370653,,107,0.061,1,69.0,69.0,5236.5,319.4265,216012.1342,240,2024
2024000525,,107,0.08,1,69.0,69.0,4008.0,320.64,215194.6108,241,2024
572764998,미사강변남로,107,0.039,2,138.0,69.0,16507.0,643.773,214361.2733,242,2024|2024
572655808,희망로490번길,107,0.059,1,69.0,69.0,5464.5,322.4055,214016.2001,243,2024
477342974,역골로,107,0.067,1,69.0,69.0,4872.5,326.4575,211359.8248,244,2024
572648262,시민로,107,0.046,1,69.0,69.0,7098.0,326.508,211327.1344,245,2024
571649924,청계산로,107,0.044,2,77.0,38.5,8288.5,364.694,211135.9112,246,2024|2024
477348420,남양로,107,0.128,1,391.0,391.0,14496.0,1855.488,210726.2348,247,2024
478353172,삼천병마로,107,0.019,1,69.0,69.0,17240.0,327.56,210648.4308,248,2024
477142658,고온리안길,107,0.331,1,69.0,69.0,995.0,329.345,209506.7482,249,2024
571353986,동탄지성로,107,0.074,1,69.0,69.0,4453.0,329.522,209394.2134,250,2024
571351160,동탄중앙로,107,0.037,2,77.0,38.5,9971.5,368.9455,208702.9114,251,2024|2024
571704551,백제고분로,104,0.127,4,415.0,103.75,15660.5,1988.8835,208659.7832,252,2024|2024|2024|2024
572672470,,103,0.036,1,69.0,69.0,9217.0,331.812,207949.0796,253,2024
571552313,,107,0.068,1,69.0,69.0,4887.0,332.316,207633.698,254,2024
572541017,성남대로916번길,107,0.07,3,83.0,27.6667,5722.0,400.54,207220.2527,255,2024|2024|2024
477140506,포승장안로,106,0.157,1,69.0,69.0,2121.5,333.0755,207160.2384,256,2024
571510417,분당수서간고속화도로,108,0.048,3,85.0,28.3333,8562.0,410.976,206824.7294,257,2024|2024|2024
478243470,행정서로,107,0.078,3,85.0,28.3333,5276.0,411.528,206547.3066,258,2024|2024|2024
571345999,병점중앙로,107,0.047,1,69.0,69.0,7131.5,335.1805,205859.2311,259,2024
571349479,큰재봉길,107,0.057,1,69.0,69.0,5981.5,340.9455,202378.386,260,2024
571375379,동탄신리천로,107,0.039,3,85.0,28.3333,10783.0,420.537,202122.5243,261,2024|2024|2024
572663114,성남대로1416번길,107,0.052,1,69.0,69.0,6565.0,341.38,202120.8038,262,2024
571709889,백제고분로19길,104,0.058,10,73.0,7.3,6243.5,362.123,201588.9629,263,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571358936,,107,0.049,1,69.0,69.0,6990.0,342.51,201453.9721,264,2024
571743849,,104,0.015,1,6.0,6.0,1993.0,29.895,200702.4586,265,2024
571655418,중대로,104,0.046,4,215.0,53.75,23351.0,1074.146,200159.01,266,2024|2024|2024|2024
572541860,,107,0.064,1,69.0,69.0,5391.5,345.056,199967.5415,267,2024
572755817,신평로,107,0.026,1,69.0,69.0,13319.0,346.294,199252.6581,268,2024
477245808,현대기아로,107,0.046,1,69.0,69.0,7546.5,347.139,198767.6406,269,2024
572662077,,104,0.032,2,77.0,38.5,12154.5,388.944,197971.9445,270,2024|2024
476344074,사강로,107,0.052,1,69.0,69.0,6703.0,348.556,197959.5818,271,2024
571347197,동탄원천로,107,0.045,1,69.0,69.0,7752.0,348.84,197798.4176,272,2024
572660576,,107,0.077,1,69.0,69.0,4544.0,349.888,197205.9631,273,2024
572661839,,104,0.109,2,77.0,38.5,3590.0,391.31,196774.9355,274,2024|2024
476345456,전곡항로,106,0.036,1,69.0,69.0,9768.5,351.666,196208.9028,275,2024
571376573,동탄대로8길,107,0.083,1,69.0,69.0,4237.0,351.671,196206.1131,276,2024
571550051,대왕판교로,105,0.042,2,138.0,69.0,16764.0,704.088,195998.2275,277,2024|2024
571771824,도곡로,104,0.017,1,69.0,69.0,20709.0,352.053,195993.2169,278,2024
572602397,오금로,104,0.036,2,138.0,69.0,19580.5,704.898,195773.0055,279,2024|2024
571719753,,104,0.063,1,69.0,69.0,5612.5,353.5875,195142.645,280,2024
571679710,,104,0.063,2,70.0,35.0,5757.5,362.7225,192984.9954,281,2024|2024
478241522,제약공단4길,107,0.207,1,69.0,69.0,1728.5,357.7995,192845.4344,282,2024
571500548,미금로,107,0.022,2,77.0,38.5,18165.0,399.63,192678.2274,283,2024|2024
478141689,장안로,107,0.015,2,16.0,8.0,5578.0,83.67,191227.4411,284,2024|2024
571760255,석촌호수로,104,0.058,6,170.0,28.3333,15339.5,889.691,191077.5764,285,2024|2024|2024|2024|2024|2024
478361537,삼천병마로,107,0.043,1,69.0,69.0,8429.0,362.447,190372.6614,286,2024
571679931,양재대로,104,0.032,5,223.0,44.6,36639.0,1172.448,190200.333,287,2024|2024|2024|2024|2024
478251682,평3길,107,0.102,3,75.0,25.0,3874.0,395.148,189802.3019,288,2024|2024|2024
571542172,정자로,107,0.043,1,69.0,69.0,8481.5,364.7045,189194.2655,289,2024
477351356,청원산단7길,107,0.093,1,69.0,69.0,3928.5,365.3505,188859.7388,290,2024
572610459,오금로36길,104,0.059,2,77.0,38.5,6926.5,408.6635,188419.0783,291,2024|2024
478241307,발안남로,107,0.147,1,69.0,69.0,2493.5,366.5445,188244.5378,292,2024
