install_priority,grid_gid,epdo_before,accident_cnt,사망_cnt,중상_cnt,gap_cnt,missing_facilities,total_reduction_pct,epdo_after,epdo_saved,efficiency,entropy_rank,entropy_risk
26,다사544113,391.0,1,1,0,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,183.46,207.54,51.885,47,427.19
27,다사644123,256.0,12,0,3,2,child_zone_cnt | speedbump_cnt,40.0,153.6,102.4,51.2,80,268.72
28,다사312118,468.0,3,1,1,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,215.97,252.03,50.406,16,511.48
29,다사591123,399.0,2,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,200.14,198.86,49.715,27,470.86
30,다사654266,391.0,1,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,196.13,194.87,48.7175,37,437.33
31,다사652396,391.0,1,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,196.13,194.87,48.7175,48,426.9
32,다사670371,405.0,3,1,0,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,212.38,192.62,48.155,18,505.97
33,다사670419,321.0,19,0,3,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,177.19,143.81,47.9367,64,353.34
34,다사733496,239.0,7,0,3,2,child_zone_cnt | speedbump_cnt,40.0,143.4,95.6,47.8,85,260.74
35,다사660436,231.0,6,0,3,2,child_zone_cnt | speedbump_cnt,40.0,138.6,92.4,46.2,92,249.33
36,다사662446,292.0,6,0,4,2,bus_stop_cnt | child_zone_cnt,31.0,201.48,90.52,45.26,67,344.05
37,다사710359,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,50,422.35
38,다사455003,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,56,414.74
39,다사489061,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,36,440.54
40,다사370008,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,59,402.84
41,다사653311,348.0,13,0,4,4,cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,51.55,168.61,179.39,44.8475,61,379.96
42,다사657444,415.0,4,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,191.51,223.49,44.698,14,515.29
43,다사685378,178.0,7,0,2,1,child_zone_cnt,25.0,133.5,44.5,44.5,131,196.58
44,다사671372,286.0,17,0,3,2,bus_stop_cnt | child_zone_cnt,31.0,197.34,88.66,44.33,68,327.66
45,다사726482,424.0,6,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,166.31,257.69,42.9483,28,470.08
46,다사657450,391.0,1,1,0,2,bus_stop_cnt | crosswalk_cnt,21.8,305.76,85.24,42.62,33,460.13
47,다사671358,339.0,14,0,4,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,170.04,168.96,42.24,63,363.04
48,다사649463,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,32,460.41
49,다사664462,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,53,419.18
50,다사667411,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,54,418.23
51,다사667452,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,57,411.67
52,다사718504,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,40,435.67
53,다사670413,210.0,11,0,2,2,child_zone_cnt | speedbump_cnt,40.0,126.0,84.0,42.0,101,231.59
54,다사724512,292.0,6,0,4,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,166.44,125.56,41.8533,71,311.94
55,다사678380,230.0,7,0,3,2,child_zone_cnt | crosswalk_cnt,36.25,146.62,83.38,41.69,75,287.67
56,다사734492,207.0,3,0,3,2,child_zone_cnt | speedbump_cnt,40.0,124.2,82.8,41.4,84,261.6
57,다사669386,397.0,2,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt,50.97,194.65,202.35,40.47,13,515.44
58,다사584129,399.0,2,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,156.51,242.49,40.415,35,445.31
59,다사684373,391.0,1,1,0,4,bus_stop_cnt | cctv_cam_cnt | crosswalk_cnt | speedbump_cnt,40.57,232.38,158.62,39.655,29,467.02
60,다사667347,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,52,421.72
61,다사665307,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,25,472.99
62,다사658331,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,26,472.04
63,다사657359,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,45,429.31
64,다사668410,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,44,432.18
65,다사544081,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,41,435.21
66,다사405115,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,51,421.81
67,다사407137,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,38,436.93
68,다사469215,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,58,406.46
69,다사409194,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,55,414.84
70,다사501021,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,49,425.21
71,다사443099,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,42,435.11
72,다사501163,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,46,427.81
73,다사438091,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,43,432.24
74,다사671375,230.0,7,0,3,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,117.3,112.7,37.5667,77,283.94
75,다사645097,251.0,10,0,3,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,138.55,112.45,37.4833,82,265.42
76,다사637450,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,179,175.11
77,다사635446,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,212,166.66
78,다사683445,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,197,171.39
79,다사739488,182.0,9,0,2,2,child_zone_cnt | speedbump_cnt,40.0,109.2,72.8,36.4,95,246.53
80,다사661423,322.0,10,0,4,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,148.59,173.41,34.682,65,349.27
81,다사671348,191.0,11,0,2,2,child_zone_cnt | crosswalk_cnt,36.25,121.76,69.24,34.62,88,255.58
82,다사665425,171.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,102.6,68.4,34.2,134,192.03
83,다사652297,170.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,102.0,68.0,34.0,120,205.08
84,다사667426,310.0,10,0,4,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,143.06,166.94,33.388,66,347.86
85,다사640459,164.0,14,0,1,2,child_zone_cnt | speedbump_cnt,40.0,98.4,65.6,32.8,171,177.81
86,다사664433,163.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.8,65.2,32.6,153,186.17
87,다사676386,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,115,206.89
88,다사727520,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,182,174.6
89,다사569119,162.0,5,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,175,176.81
90,다사586121,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,86,259.3
91,다사654462,207.0,19,0,1,2,bus_stop_cnt | child_zone_cnt,31.0,142.83,64.17,32.085,93,249.31
92,다사647460,160.0,5,0,2,2,child_zone_cnt | speedbump_cnt,40.0,96.0,64.0,32.0,129,197.69
93,다사620105,160.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,96.0,64.0,32.0,178,175.14
94,다사659112,212.0,13,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,117.02,94.98,31.66,102,224.57
95,다사646460,293.0,14,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,135.21,157.79,31.558,60,394.62
96,다사673440,407.0,3,1,0,3,bus_stop_cnt | cctv_cam_cnt | cctv_cnt,23.09,313.03,93.97,31.3233,34,451.7
97,다사726520,261.0,10,0,3,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,136.87,124.13,31.0325,76,284.49
98,다사658443,286.0,14,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,131.98,154.02,30.804,70,313.57
99,다사677443,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,127,199.64
100,다사669449,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,148,187.32
101,다사588122,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,204,168.66
102,다사646129,232.0,7,0,3,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,108.85,123.15,30.7875,90,251.93
103,다사633458,201.0,11,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,110.95,90.05,30.0167,97,242.71
104,다사696384,249.0,18,0,2,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,130.58,118.42,29.605,62,376.76
105,다사669455,147.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,88.2,58.8,29.4,210,167.33
106,다사682376,189.0,12,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,130.41,58.59,29.295,108,219.01
107,다사587122,195.0,13,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,107.64,87.36,29.12,107,220.82
108,다사653461,194.0,9,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,107.09,86.91,28.97,103,224.56
109,다사653447,192.0,9,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,105.98,86.02,28.6733,78,281.14
110,다사590126,191.0,10,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,105.43,85.57,28.5233,111,213.45
111,다사692382,254.0,17,0,2,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,113.22,140.78,28.156,69,317.14
112,다사654434,186.0,8,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,102.67,83.33,27.7767,128,198.26
113,다사758483,222.0,13,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,111.36,110.64,27.66,96,243.84
114,다사718530,138.0,2,0,2,2,child_zone_cnt | speedbump_cnt,40.0,82.8,55.2,27.6,219,161.34
115,다사651450,109.0,7,0,1,1,child_zone_cnt,25.0,81.75,27.25,27.25,288,134.55
116,다사558115,187.0,9,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,106.59,80.41,26.8033,117,205.51
117,다사627132,215.0,4,0,3,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,107.84,107.16,26.79,99,238.35
118,다사671345,263.0,11,0,3,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,103.16,159.84,26.64,74,291.86
119,다사676469,178.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,98.26,79.74,26.58,135,191.41
120,다사649439,178.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,98.26,79.74,26.58,146,187.5
121,다사623120,177.0,15,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,97.7,79.3,26.4333,137,190.42
122,다사656307,237.0,7,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,105.64,131.36,26.272,89,252.31
123,다사663325,202.0,12,0,2,4,cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,51.55,97.87,104.13,26.0325,106,221.28
124,다사662438,240.0,8,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,110.75,129.25,25.85,73,292.65
125,다사617103,171.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,94.39,76.61,25.5367,116,206.78
126,다사616111,171.0,14,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,94.39,76.61,25.5367,166,179.9
127,다사660314,178.0,7,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,101.46,76.54,25.5133,121,204.18
128,다사681453,240.0,8,0,3,4,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt,42.32,138.44,101.56,25.39,83,264.27
129,다사685379,229.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,102.07,126.93,25.386,79,269.56
130,다사627459,169.0,17,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,93.29,75.71,25.2367,133,192.08
131,다사626451,162.0,5,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,111.78,50.22,25.11,192,172.12
132,다사662453,162.0,6,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,111.78,50.22,25.11,125,200.35
133,다사684381,125.0,9,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,236,157.2
134,다사634456,125.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,246,151.6
135,다사593129,125.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,168,178.7
136,다사666430,231.0,8,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,106.6,124.4,24.88,81,265.64
137,다사671459,231.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,106.6,124.4,24.88,94,247.72
138,다사671347,99.0,7,0,1,1,child_zone_cnt,25.0,74.25,24.75,24.75,301,129.86
139,다사629452,99.0,5,0,1,1,child_zone_cnt,25.0,74.25,24.75,24.75,340,117.07
140,다사653264,223.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,99.4,123.6,24.72,98,241.02
141,다사676430,123.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,73.8,49.2,24.6,247,151.55
142,다사720500,123.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,73.8,49.2,24.6,279,139.28
143,다사644109,162.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,158,184.42
144,다사656117,162.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,195,171.47
145,다사655121,162.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,205,168.57
146,다사670379,148.0,12,0,1,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,75.48,72.52,24.1733,145,187.59
147,다사652452,160.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,88.32,71.68,23.8933,149,187.27
148,다사729513,119.0,9,0,1,2,child_zone_cnt | speedbump_cnt,40.0,71.4,47.6,23.8,293,132.09
149,다사654458,179.0,8,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,83.99,95.01,23.7525,105,223.55
150,다사658317,232.0,7,0,3,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,91.0,141.0,23.5,91,251.35
151,다사727512,117.0,7,0,1,2,child_zone_cnt | speedbump_cnt,40.0,70.2,46.8,23.4,303,128.94
152,다사638445,93.0,4,0,1,1,child_zone_cnt,25.0,69.75,23.25,23.25,390,109.02
153,다사653451,155.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.56,69.44,23.1467,170,178.0
154,다사592128,115.0,7,0,1,2,child_zone_cnt | speedbump_cnt,40.0,69.0,46.0,23.0,291,133.19
155,다사666488,154.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.01,68.99,22.9967,113,209.84
156,다사621121,154.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.01,68.99,22.9967,189,172.79
157,다사651453,160.0,5,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,91.2,68.8,22.9333,162,182.15
158,다사741491,153.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,84.46,68.54,22.8467,126,199.77
159,다사644463,211.0,12,0,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,97.37,113.63,22.726,100,237.45
160,다사654463,152.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,83.9,68.1,22.7,169,178.1
161,다사673382,146.0,3,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,100.74,45.26,22.63,147,187.33
162,다사755477,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,265,146.04
163,다사543138,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,207,167.92
164,다사616112,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,230,158.19
165,다사638123,149.0,13,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,82.25,66.75,22.25,218,163.44
166,다사620457,141.0,10,0,1,2,bus_stop_cnt | child_zone_cnt,31.0,97.29,43.71,21.855,254,149.92
167,다사699380,146.0,3,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,80.59,65.41,21.8033,157,184.82
168,다사723506,146.0,3,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,80.59,65.41,21.8033,234,157.54
169,다사694383,109.0,6,0,1,2,child_zone_cnt | speedbump_cnt,40.0,65.4,43.6,21.8,201,170.54
170,다사692381,163.0,6,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,76.48,86.52,21.63,173,177.01
171,다사663437,173.0,9,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,86.78,86.22,21.555,122,203.5
172,다사733495,86.0,4,0,1,1,child_zone_cnt,25.0,64.5,21.5,21.5,410,106.67
173,다사740488,162.0,5,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,76.01,85.99,21.4975,123,202.26
174,다사664441,138.0,2,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,95.22,42.78,21.39,163,181.06
175,다사667428,138.0,2,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,95.22,42.78,21.39,186,173.49
176,다사669298,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,514,97.94
177,다사687444,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,363,111.86
178,다사668459,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,329,119.83
179,다사651451,170.0,6,0,2,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,106.59,63.41,21.1367,141,188.5
180,다사671448,169.0,7,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,84.77,84.23,21.0575,143,187.73
181,다사650082,195.0,10,0,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,89.99,105.01,21.002,109,216.25
182,다사656435,140.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,77.28,62.72,20.9067,248,151.25
183,다사664439,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,224,159.91
184,다사735514,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,258,147.42
185,다사603115,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,264,146.13
186,다사402114,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,231,158.14
187,다사624109,103.0,7,0,1,1,speedbump_cnt,20.0,82.4,20.6,20.6,380,109.97
188,다사673371,126.0,16,0,0,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,64.26,61.74,20.58,226,158.86
189,다사654338,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,181,174.61
190,다사667430,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,161,182.47
191,다사479029,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,124,201.53
