﻿bis_id,stn_nm,lon,lat,grid_gid,link_id
GGB233001483,육일리교차로,126.7242833,37.2037,다사311119,476340352
GGB233001484,노작마을,127.08025,37.1949333,다사627107,571347058
GGB233001485,월드반도.노작마을,127.0802667,37.1946333,다사627107,571347058
GGB233001486,노작마을.한화우림,127.0773333,37.1961833,다사624109,571347058
GGB233001487,노작마을.한화우림,127.0774667,37.19575,다사625108,571347058
GGB233001488,솔빛마을.신도브래뉴,127.076,37.1959667,다사623108,571360882
GGB233001490,중흥에듀파크정문,126.9457167,37.2330167,다사508150,478356179
GGB233001491,반도1차.모아아파트,127.1141,37.2018833,다사657115,571367418
GGB233001492,상록.경남아파트.이주택지,127.1105333,37.2068667,다사654120,571376792
GGB233001493,퍼스트파크.이지더원,127.1083,37.2086833,다사652122,571365978
GGB233001494,정남초등학교,126.9837667,37.1678167,다사541077,478241333
GGB233001495,계향2리,126.9811,37.15225,다사539060,478244564
GGB233001496,중흥에듀파크정문,126.94585,37.2332,다사508150,478356179
GGB233001497,증거리입구,126.9774167,37.1377333,다사535044,478241945
GGB233001498,증거리입구,126.9775167,37.1379333,다사535044,478241945
GGB233002550,분천교회.분천리,126.9587,37.2089833,다사519123,478345882
GGB233002551,분천교회,126.9586333,37.20925,다사519124,478345882
GGB233002552,협성대학교(마을),126.9524,37.2156667,다사514131,478344296
GGB233002553,장덕2리.현대자동차연구소,126.8119333,37.1702833,다사389081,477349304
GGB233002556,장짐교차로.축산농협,126.9110167,37.1355167,다사476042,478240982
GGB233002557,협성대(마을),126.9525,37.2157333,다사514131,478344296
GGB233002558,화성미디어센터,127.07355,37.2024167,다사621115,571356676
GGB233002559,한림대성심병원,127.0806333,37.2173,다사627132,571361624
GGB233002560,주공6단지.리체더포레스트,127.0507167,37.2119833,다사601126,571345627
GGB233002561,봉담2LH3단지.중흥더센트럴,126.9508333,37.2250667,다사512141,478358230
GGB233002562,하저교회앞,126.8669167,37.1849667,다사438097,477353444
GGB233002563,중심상가,127.0446,37.2148667,다사595129,571344195
GGB233002564,구장1리,126.8950833,37.1545,다사462063,478242129
GGB233002565,라마다호텔,127.0748333,37.2058,다사622119,571351486
GGB233002566,동화휴먼시아5단지,126.9634667,37.2150167,다사523130,478343921
GGB233002567,삼부실,126.8222333,37.2339833,다사398152,477354973
GGB233002568,수화2리.양철이,126.8181667,37.2481333,다사395168,477340667
GGB233002569,수화1리,126.8163167,37.2533833,다사393173,477445745
GGB233002570,장전리,126.8169333,37.2633333,다사394184,477445140
GGB233002571,신외2리.가래울,126.81165,37.2733833,다사389196,477451298
GGB233002572,신외2리.가래울,126.8116833,37.2735333,다사389196,477451298
GGB233002573,정원채고가,126.8236833,37.2233167,다사400140,477341187
GGB233002574,송림2리.잔다리,126.8141667,37.2198,다사391136,477341303
GGB233002575,원천교회,126.8086833,37.2279167,다사386145,477341303
GGB233002576,원천리,126.8051167,37.2303667,다사383148,477340106
GGB233002577,시1리,126.8031833,37.2375333,다사381156,477340106
GGB233002578,문호2리,126.79805,37.2532667,다사377173,477352255
GGB233002579,문호리,126.8018167,37.2599333,다사380181,477449087
GGB233002580,삼존2리입구,126.7482333,37.21385,다사332130,476310067
GGB233002581,신외리,126.8131333,37.2687,다사391190,477447387
GGB233002582,신외리,126.81315,37.2685833,다사391190,477447387
GGB233002583,문호1리.당너머마을,126.8067667,37.26465,다사385186,477449087
GGB233002584,서연초,127.1161,37.1594667,다사659068,571254397
GGB233002585,문호리,126.8019333,37.2598667,다사381181,477449087
GGB233002586,문호2리,126.7982667,37.2533167,다사377173,477352255
GGB233002587,문호2리입구,126.8010333,37.2463833,다사380166,477340106
GGB233002588,가시리마을,126.8027167,37.2404833,다사381159,477340106
GGB233002589,시1리,126.8034833,37.2372167,다사382156,477340106
GGB233002590,원천리,126.80575,37.2299667,다사384147,477341303
GGB233002591,원천교회,126.8089,37.2278167,다사386145,477341303
GGB233002592,천등1리.등굴,126.7069167,37.23315,다사296152,476340055
GGB233002593,천등3리.새말,126.70195,37.2413833,다사292161,476340055
GGB233002594,독지리종점,126.6923667,37.2531167,다사283174,476341860
GGB233002595,독지1리.돌내입구,126.6992667,37.24615,다사289166,476340055
GGB233002596,금당1리마을회관,126.74245,37.1918,다사327106,476340680
GGB233002597,해문2리마을회관,126.7465,37.19775,다사331112,477345114
GGB233002598,금당1리마을회관,126.7425333,37.1917667,다사327105,476340680
GGB233002600,송정1리,126.79545,37.22375,다사374141,477340690
GGB233002601,궁평유원지종점,126.6842333,37.1267833,다사275034,2024002422
GGB233002602,흥법리마을회관,126.7340333,37.16495,다사319076,476240065
GGB233002603,흥법리모래지,126.7399667,37.1665833,다사325078,476240231
GGB233002604,고모2리,126.7465,37.1727333,다사331084,476344596
GGB233002605,사곳리마을회관,126.7245833,37.1561167,다사311066,476240510
GGB233002606,용두1리.왕모대입구,126.7115333,37.1483,다사299057,476240510
GGB233002607,용두1리,126.7082333,37.14415,다사296053,476240510
GGB233002608,삼밭골,126.7211667,37.1667,다사308078,476240062
GGB233002609,삼밭골,126.7211,37.1665833,다사308078,476240062
GGB233002610,어은1정미소앞,126.8310833,37.0929667,다바405995,477243728
GGB233002611,금의1리,126.8391167,37.1002,다사412003,477243604
GGB233002612,수촌3리,126.8506333,37.1033333,다사422007,477242718
GGB233002613,노하1리,126.86735,37.1573333,다사438066,477240521
GGB233002614,노하1리,126.8672333,37.1572,다사438066,477240521
GGB233002615,노하2리,126.8620333,37.1576833,다사433067,477240521
GGB233002616,노하3리,126.8548833,37.1587667,다사427068,477240521
GGB233002617,노하3리.백미정,126.8521167,37.1569833,다사424066,477245834
GGB233002618,구장1리,126.8951333,37.1546167,다사462063,478242129
GGB233002619,노하2리,126.8621667,37.1577,다사433067,477240521
GGB233002620,정미소앞,126.8597,37.1592,다사431069,477240521
GGB233002621,청광플러스원아파트,126.98555,37.1965333,다사543109,478346526
GGB233002622,청원3리입구,126.7563333,37.1809,다사339093,477310151
GGB233002623,하저리마을회관,126.8713333,37.1896833,다사442102,477355591
GGB233002624,공청2,126.945,37.2278667,다사507144,478358233
GGB233002625,조암농협,126.8174667,37.082,다바393983,477141207
GGB233002626,율암1리,126.8872833,37.1547,다사455063,478240723
GGB233002627,금당1리.소곡,126.7423167,37.1896,다사327103,476340680
GGB233002628,청원3리입구,126.7560833,37.1801833,다사339093,477351314
GGB233002629,용두리,126.7118,37.1488833,다사300058,476240510
GGB233002630,어은1리,126.8342833,37.0955667,다바408998,477243632
GGB233002631,향남제약공단입구,126.9061667,37.0966167,다바472999,478200446
GGB233001499,향남교회,126.9473333,37.1233833,다사509028,478242576
GGB233001500,향남교회,126.9473833,37.12335,다사509028,478242576
GGB233001501,한각1리,126.7975667,37.0955833,다바375998,477241750
GGB233001502,멱우3리,126.8081333,37.0933667,다바385996,477240996
GGB233001503,남양아이파크,126.8337333,37.20625,다사408121,477351879
GGB233001504,포스코2차.신미주아파트,127.0904,37.1894167,다사636101,571371449
GGB233001505,동탄2LH4단지,127.1227833,37.2055833,다사665119,571369900
GGB233001506,포레너스아파트,127.1161833,37.2051667,다사659118,571367238
GGB233001507,원안2리,126.7863833,37.1004333,다사365004,477241750
GGB233001508,고주리마을회관,126.88515,37.1274167,다사453033,478242107
GGB233001509,고주리마을회관,126.8851167,37.1273333,다사453033,478242112
GGB233001510,고주리,126.8838333,37.1288333,다사452035,478210131
GGB233001511,고주리,126.88375,37.1288667,다사452035,478210131
GGB233001512,고주리진입로,126.8924,37.1217333,다사460027,478241283
GGB233001513,석포삼거리,126.8409333,37.1345333,다사414041,477241308
GGB233001514,석포1리입구,126.8412,37.1344667,다사414041,477210063
GGB233001515,석포1리.한절,126.8258667,37.1428333,다사401051,477241988
GGB233001516,석포1리.돌서지,126.83135,37.1430333,다사406051,477245422
GGB233001517,석포6리입구,126.8181167,37.1392833,다사394047,477244746
GGB233001518,석포6리,126.8222,37.1366667,다사397044,477246152
GGB233001519,석포교회,126.8240333,37.1347333,다사399042,477247046
GGB233001520,석포6리입구,126.83325,37.1339667,다사407041,477241308
GGB233001521,주곡1리마을회관,126.8170667,37.1258833,다사393032,477240676
GGB233001522,주곡2리입구,126.80385,37.1103833,다사381015,477240417
GGB233001523,고주리.동방산업단지,126.88795,37.1363667,다사456043,478242633
GGB233001524,덕천리삼거리,126.87115,37.1426,다사441050,477240813
GGB233001525,덕우리.구운말,126.8630167,37.1386667,다사434046,477210650
GGB233001526,팔탄전자앞,126.86115,37.1293667,다사432035,477240390
GGB233001527,화성제일병원,126.86015,37.1278333,다사431034,477240926
GGB233001528,덕우리입구,126.8594833,37.1256,다사431031,477240926
GGB233001529,상신8리,126.9011167,37.10395,다사467007,478252374
GGB233001530,화성상신도시숲,126.9014667,37.10125,다사468004,478252790
GGB233001531,제약공단후문.구문천1리입구,126.9103667,37.0902,다바475992,478249572
GGB233001532,에코센터입구,126.9387167,37.1501333,다사501058,478251842
GGB233001533,발안산업단지,126.8998667,37.0864,다바466988,478241528
GGB233001534,발안산업단지,126.8998833,37.0861667,다바466987,478241528
GGB233001535,구문천1리진입로,126.8998,37.0809667,다바466982,478150073
GGB233001536,구문천1리진입로,126.8996667,37.0808167,다바466981,478150073
GGB233001537,구문천삼거리,126.8959833,37.07605,다바463976,478147908
GGB233001538,구문천삼거리,126.89605,37.076,다바463976,478147908
GGB233001539,구문천리초록마을,126.8926333,37.0715,다바460971,478150157
GGB233001540,구문천리초록마을,126.8928333,37.0714833,다바460971,478150157
GGB233001541,구문천3리,126.8910333,37.07,다바458969,478150157
GGB233001542,서해스카이팰리스1단지.서영더엘3차,127.03175,37.2036667,다사584117,571380315
GGB233001543,유포2리,126.8437,37.2596833,다사418180,477456896
GGB233001546,용수리,127.0000167,37.1688167,다사556079,571252430
GGB233001547,상신하길로주택,126.9027,37.1061667,다사469010,478250718
GGB233001548,상신하길로주택,126.9028667,37.1059667,다사469009,478250718
GGB233001549,대양초등학교,126.8209667,37.19895,다사397113,477352479
GGB233001550,고주리입구.한국폴리텍대학,126.8925,37.1218,다사460027,478241283
GGB233001551,방교동일반산업단지,127.0892167,37.17265,다사635082,571364530
GGB233001552,저수지앞,126.80255,37.0943333,다바380997,477246806
GGB233001553,화수사거리,126.8016167,37.10985,다사379014,477241778
GGB233001554,화산삼거리,126.7931833,37.063,다바371962,477140495
GGB233001555,한국폴리텍대학,126.8927167,37.1219,다사460027,478242657
GGB233001556,병점행복주택,127.0306167,37.2030333,다사583116,571380313
GGB233001557,구장리새터말입구,126.8992,37.1535167,다사466062,478241359
GGB233001558,장짐교차로,126.91095,37.1359167,다사476042,478241093
GGB233001559,반월리,127.0649167,37.2335667,다사614150,571350048
GGB233001561,광평리,126.69745,37.1729833,다사287085,476310742
GGB233001562,한빛마을(중),127.06905,37.2076667,다사617121,571347465
GGB233001563,경신,126.8131167,37.11525,다사389020,477241800
GGB233001564,제암리입구,126.8885667,37.1268333,다사456033,478242110
GGB233001565,발안사거리.평리,126.9105333,37.1317167,다사476038,478241572
GGB233001566,조암조원마을,126.8157833,37.0850833,다바391987,477146164
GGB233001567,에일린의뜰아파트,127.0860333,37.1901167,다사632102,571376510
GGB233001568,베라체아파트,127.12285,37.1905,다사665102,571371574
GGB233001569,경신,126.8133,37.1152667,다사389020,477241800
GGB233001570,제암리입구,126.8886667,37.12685,다사456033,478242110
GGB233001571,고주리.동방산업단지,126.88765,37.1359333,다사456043,478242089
GGB233001572,서희스타힐스.단독주택,127.1195667,37.1732333,다사662083,571379153
GGB233001573,반월2통,127.0599833,37.2211833,다사609136,571350773
GGB233001574,수영리검사소,126.9684667,37.2324833,다사528149,478342240
GGB233001575,백1리,126.9578667,37.16645,다사518076,478242176
GGB233001576,문학1리,126.9637333,37.1528667,다사523061,478246088
GGB233001578,덕신상가,126.9823167,37.1592167,다사540068,478241985
GGB233001579,덕신상가,126.98215,37.1591667,다사540068,478241985
GGB233001580,문학리,126.9661,37.15525,다사525064,478246088
GGB233002632,수촌1리,126.8571667,37.1029,다사428006,477243494
GGB233002633,정미소앞,126.8595167,37.1591667,다사431069,477240521
GGB233002634,바이오단지입구,126.7739,37.1721,다사355083,477351704
GGB233002635,요당2리,126.9146833,37.0658333,다바479965,478142539
GGB233002636,고정2리.고잔,126.7461167,37.2481333,다사331168,926340834
GGB233002638,신동아파밀리에,126.95635,37.2204333,다사517136,478343518
GGB233002639,향남부영11단지,126.9163,37.1088333,다사481012,478252298
GGB233002641,율암1리,126.88755,37.1549,다사456064,478240723
GGB233002642,노하3리,126.8546833,37.1587333,다사427068,477240521
GGB233002643,노하3리.백미정,126.8517667,37.1569,다사424066,477245834
GGB233002644,율암3리.밤듸,126.8763333,37.1719333,다사446083,478356673
GGB233002645,청원산단로,126.7792833,37.1737167,다사360085,477351675
GGB233002646,야목역,126.88445,37.2617333,다사454182,478466873
GGB233002647,메타폴리스(시외.공항버스),127.06705,37.2025167,다사615116,571356006
GGB233002648,사곳리.개내기,126.7177333,37.15265,다사305062,476240510
GGB233002649,대창그린아파트,127.0388333,37.2056167,다사590119,571345657
GGB233002650,석포6리입구,126.8181667,37.1395,다사394047,477244746
GGB233002651,사창2리.요골,126.9712333,37.1074167,다사530011,928241793
GGB233002652,하늘가장례식장,126.9431833,37.1328333,다사505039,478243403
GGB233002653,나루고등학교,127.0729,37.1868667,다사620098,571349249
GGB233002655,홍법리,126.7301667,37.16135,다사316072,476240062
GGB233002656,홍법리,126.7300667,37.1613,다사316072,476240062
GGB233002657,중흥더센트럴.봉담2LH3단지,126.9505667,37.2251667,다사512141,478358230
GGB233002658,각골,126.7242333,37.1643333,다사311075,476240062
GGB233002659,다은마을(시외.공항버스),127.0679333,37.1991833,다사616112,571351157
GGB233002660,봉담도서관.봉담읍행정복지센터,126.9493667,37.2195333,다사511135,478354767
GGB233002661,요당3리,126.9134333,37.0714167,다바478971,478143932
GGB233002662,마을안삼거리,126.90935,37.0753833,다바474975,478149378
GGB233002663,각골,126.7242167,37.1642333,다사311075,476240062
GGB233002664,창덕1통.잡재기,126.80045,37.1684667,다사378079,2023002402
GGB233002666,발안천교,126.90465,37.1321833,다사471038,478246580
GGB233002667,신영통현대아파트1단지,127.0607333,37.2338,다사610150,571343112
GGB233002668,신영통현대아파트1단지,127.06095,37.2338,다사610150,571343112
GGB233002669,반월동행정복지센터,127.0607167,37.2327667,다사610149,571343111
GGB233002670,복지회관,127.06095,37.2327833,다사610149,571343111
GGB233002671,화담중학교,126.9420667,37.2316833,다사505149,478356631
GGB233002672,현대타운4단지정문,127.06255,37.23295,다사611149,571343468
GGB233002673,동탄복합문화센터,127.0740833,37.2003667,다사622113,571356104
GGB233002674,화성미디어센터,127.0739333,37.20275,다사621116,571356676
GGB233002676,주공11단지후문,127.0436667,37.2164167,다사595131,571344791
GGB233002677,월드메르디앙,127.0356167,37.215,다사587130,571345997
GGB233002678,월드메르디앙,127.03575,37.2151667,다사588130,571345997
GGB233002679,화남아파트,127.0373833,37.2130167,다사589127,571340612
GGB233002680,SK뷰파크3차,127.0508667,37.2216333,다사601137,571379032
GGB233002681,라마다호텔(공항버스),127.0751833,37.2057167,다사623119,571351486
GGB233002682,SK뷰파크3차,127.0515333,37.2212667,다사602136,571354938
GGB233002683,농업기술센터,126.8723167,37.0770667,다바442977,477141024
GGB233002684,야목역,126.8841833,37.262,다사453183,478466873
GGB233002685,봉담초사거리,126.9482667,37.2243667,다사510140,478354423
GGB233002686,주공1단지,127.0403167,37.2064,다사592120,571345659
GGB233002687,주공1단지,127.0403333,37.20625,다사592120,571345659
GGB233002688,대창그린아파트,127.0388667,37.2057667,다사590119,571345657
GGB233002689,화성보건소,127.03485,37.2047,다사587118,571350580
GGB233002690,성호아파트후문,127.0448833,37.2004167,다사596113,571356196
GGB233002691,발안천교,126.9047833,37.1320333,다사471038,478246580
GGB233002692,화성고교차로,126.9063667,37.137,다사472044,478246552
GGB233002693,화성고교차로,126.9060833,37.1370833,다사472044,478246552
GGB233002694,발안1리경로당,126.90635,37.1311333,다사472037,478241017
GGB233002695,발안1리경로당,126.9062333,37.1310333,다사472037,478241017
GGB233002696,상두1리.뒷말,126.9521,37.10985,다사513013,478254420
GGB233002697,상두1리.뒷말,126.9520333,37.11,다사513014,478254420
GGB233002698,도이2리마을입구,126.9412167,37.13905,다사503046,478246390
GGB233002699,문호1리.당너머마을,126.8070667,37.2647667,다사385186,477449087
GGB233002700,문호2리입구,126.7987667,37.2485167,다사378168,477340106
GGB233002701,송림2리.잔다리,126.8143667,37.2197167,다사391136,477341303
GGB233002702,원천리입구,126.8157,37.2144333,다사392130,477341303
GGB233002703,원천리입구,126.8157833,37.2142667,다사392130,477341303
GGB233002704,남양도서관.동광뷰엘,126.8256,37.21055,다사401126,477352435
GGB233002705,남양도서관.동광뷰엘,126.8256333,37.2109,다사401126,477352435
GGB233002706,현대아이파크,126.8318,37.2063167,다사407121,477342958
GGB233002707,우림필유,126.8314,37.2081667,다사406123,477343930
GGB233002708,화성의과학대학교,126.8396167,37.2032667,다사413118,477350946
GGB233002709,대광2차아파트,126.8185667,37.19735,다사395111,477352478
GGB233002710,동화휴먼시아1단지.새말입구,126.9584167,37.21875,다사519134,478342756
GGB233002711,동철전자,126.9845,37.2307833,다사542147,478341192
GGB233002713,기안말앞,126.9881167,37.2295,다사545146,478342805
GGB233002714,기안말앞,126.9882333,37.2293333,다사546146,478342805
GGB233002715,기안교차로,126.98695,37.2272,다사544143,478355764
GGB233002716,기안1통입구,126.9859167,37.2257,다사543142,478363989
GGB233002717,배양2리,126.9920667,37.2268333,다사549143,478342463
GGB233002718,신미주아파트후문,126.9851333,37.22275,다사543138,478342069
GGB233002719,신미주아파트후문,126.9853667,37.22265,다사543138,478342069
GGB233002720,신미주아파트남문.예일유치원,126.9874,37.2200333,다사545135,478342069
GGB233002721,신미주아파트남문.예일유치원,126.9870667,37.2203833,다사544136,478342069
GGB233002722,신미주아파트,126.9893,37.2199833,다사546135,478342067
GGB233002723,배양초등학교,126.9877667,37.21885,다사545134,478342709
GGB233002724,배양초등학교,126.9879167,37.2187167,다사545134,478342709
GGB233002725,기배동행정복지센터,126.9832,37.2241667,다사541140,478363956
GGB233002726,기배동행정복지센터,126.98315,37.224,다사541140,478363956
GGB233002727,보보스프라자,126.97455,37.2225333,다사533138,478341583
GGB233002728,보보스프라자,126.9743833,37.22225,다사533138,478341583
GGB233002729,기안중학교,126.9767333,37.2245667,다사535140,478341958
GGB233002730,기안중학교,126.9765667,37.2246833,다사535141,478341958
GGB233002731,기안성당,126.97815,37.2242667,다사537140,478341603
GGB233002732,기안성당,126.9783,37.2243,다사537140,478341603
GGB233002733,신일해피트리후문,126.9789833,37.22265,다사537138,478341602
GGB233002734,신일해피트리후문,126.97905,37.22255,다사537138,478363953
GGB233002735,기안2통.우방메가시티아파트,126.9780333,37.22095,다사536136,478362384
GGB233002736,기안2통.우방메가시티아파트,126.9781333,37.2208333,다사537136,478362384
GGB233002737,와우사거리,126.9733333,37.2190167,다사532134,478363997
GGB233002738,와우사거리,126.9735167,37.2189167,다사532134,478363997
GGB233002739,동보아파트,126.9717667,37.2121667,다사531127,478342031
GGB233002740,동보아파트,126.9718833,37.2120333,다사531127,478342031
GGB233002741,쌍용아파트,126.9698333,37.2121,다사529127,478345120
GGB233002742,쌍용아파트,126.9705333,37.21185,다사530126,478345266
GGB233002743,봉담푸르지오.아이파크,126.9691833,37.21305,다사529128,478344606
GGB233002744,봉담푸르지오.아이파크,126.9694,37.2135667,다사529128,478344608
GGB233002745,임광3차정문,126.9701667,37.216,다사529131,478344318
GGB233002746,임광3차정문,126.9705667,37.2163,다사530131,478348441
GGB233002747,임광3차중문,126.9720333,37.2162833,다사531131,478348441
GGB233002748,임광3차중문,126.9720833,37.21635,다사531131,478348441
GGB233002749,임광1.2단지,126.9737,37.21485,다사533130,478343605
GGB233002750,임광1.2단지,126.9738167,37.2148,다사533130,478343605
GGB233002751,임광1.2차아파트,126.97445,37.2148333,다사533130,478343615
GGB233002752,임광1.2차아파트,126.9743167,37.2148,다사533130,478343615
GGB233002753,신명아파트앞,126.9739,37.2131167,다사533128,478343148
GGB233002754,영풍아파트입구,126.9741167,37.21305,다사533128,478343148
GGB233002755,호수마을,126.9764,37.1980833,다사535111,478342511
GGB233002756,우방아파트입구,127.0070833,37.2016167,다사562115,571371879
GGB233002757,장안대후문,126.9463,37.21635,다사508132,478344292
GGB233002759,쌍용아파트,126.952,37.2417667,다사513160,478359349
GGB233002760,송라2리마을회관,126.90715,37.2844167,다사474207,478445994
GGB233002761,야목1리,126.8972833,37.2549333,다사465175,478454628
GGB233002762,야목4리마을회관,126.8680833,37.2690333,다사439190,477457211
GGB233002763,야목4리마을회관,126.8681833,37.2690667,다사439190,477457211
GGB233002764,야목4리.빈정,126.8664,37.2686333,다사438190,477457211
GGB233002765,기천편의점,126.9019333,37.1720167,다사469083,478347540
GGB233002766,기천편의점,126.90215,37.1719667,다사469083,478347540
GGB233002767,기천1리입구,126.9074667,37.17715,다사474088,478350540
GGB233002768,전원마을,126.9072167,37.1839833,다사473096,478350566
GGB233002769,기천3리,126.9084167,37.1886167,다사474101,478347450
GGB233002770,율암드림마트앞,126.8759667,37.1638,다사445074,478242145
GGB233002771,율암드림마트앞,126.8760333,37.1637167,다사446074,478242145
GGB233002772,대방초교,126.8694,37.1622167,다사440072,477240525
GGB233002773,대방초교,126.86945,37.1621333,다사440072,477240525
GGB233002774,명인제약,126.8667833,37.1599833,다사437069,477245240
GGB233002775,명인제약,126.8668833,37.16,다사437069,477245240
GGB233002776,율암온천,126.8807,37.1532667,다사450062,478242768
GGB233002777,율암온천,126.8806,37.1530167,다사449062,478242768
GGB233002778,굴다리입구,126.87785,37.15205,다사447061,477242822
GGB233002779,굴다리입구,126.8778667,37.15195,다사447060,477242822
GGB233002780,덕천리.화성온천,126.8720833,37.1458667,다사442054,477241244
GGB233002781,덕천리.화성온천,126.8721833,37.1460833,다사442054,477241244
GGB233002782,덕천리,126.8718833,37.1441833,다사442052,477241244
GGB233002783,덕천리,126.8720167,37.1441833,다사442052,477241244
GGB233002784,지월리,126.8903667,37.1453,다사458053,478242123
GGB233002785,덕우리.구운말,126.86315,37.1386167,다사434046,477210650
GGB233002786,안덕우리,126.86335,37.1367,다사434044,477210650
GGB233002787,팔탄전자앞,126.8613167,37.1294167,다사432036,477240390
GGB233002788,화성제일병원,126.8602167,37.12775,다사431034,477240926
GGB233002789,도이2리마을입구,126.9411,37.1389333,다사503046,478246390
GGB233002790,제약단지.하길리입구,126.9154167,37.0904,다바480992,478241115
GGB233002791,상신1리종점,126.8904833,37.1047333,다사458008,478150972
GGB233002792,요당3리,126.91495,37.0715333,다바479971,478148564
GGB233002794,하길1리종점,126.92325,37.0969333,다바487999,478249490
GGB233002795,하길리입구,126.9235667,37.1055667,다사487009,478249484
GGB233002796,하길리입구,126.9237333,37.1055667,다사487009,478249484
GGB233002797,구문천2리종점,126.90675,37.07635,다바472976,928142152
GGB233002804,금당2리,126.7468,37.1895167,다사331103,476340679
GGB233002805,금당2리,126.7467833,37.1895833,다사331103,476340679
GGB233002806,금당공단앞,126.75025,37.1894333,다사334103,477310159
GGB233002807,금당공단앞,126.7503667,37.1894833,다사334103,477310159
GGB233002808,청원교회,126.7571167,37.1888833,다사340102,477310159
