﻿inst_purp,cam_cnt,inst_ym,lon,lat,grid_gid,link_id
생활방범,4,201012,127.2010484,37.53780431,다사735487,572746412
쓰레기단속,2,201901,127.206,37.53973,다사740489,572710149
재난재해,1,,127.2501,37.5385,다사779488,572750421
쓰레기단속,1,201701,127.1913,37.50498,다사727451,572751907
생활방범,5,,127.1509453,37.5091287,다사691455,572774732
생활방범,4,202106,127.1929397,37.5411987,다사728491,572762352
생활방범,4,201111,127.2043977,37.54368085,다사738494,572782261
시설물관리,6,202101,127.1620101,37.4851001,다사701429,572666539
쓰레기단속,1,201701,127.1913,37.50498,다사727451,572751907
생활방범,5,201812,127.1982113,37.54909114,다사733500,572757734
생활방범,4,201506,127.2350731,37.49063126,다사765435,572611448
생활방범,4,202007,127.1585067,37.53783626,다사698487,2024001770
교통단속,1,201908,127.202889,37.559058,다사737511,572767880
생활방범,4,201806,127.1886887,37.56316653,다사725515,572768626
생활방범,4,201707,127.187303,37.56761784,다사723520,572766770
생활방범,1,201311,127.1835156,37.54852431,다사720499,572775061
쓰레기단속,1,201801,127.2128,37.54104,다사746491,572753023
생활방범,5,202206,127.2069235,37.54223531,다사741492,572779163
생활방범,5,201704,127.2090768,37.54434562,다사743494,572756694
생활방범,4,201811,127.1729602,37.52796661,다사711476,572769015
차량방범,2,200905,127.1415303,37.50707822,다사683453,922757654
생활방범,4,202007,127.1956446,37.54583742,다사731496,572774171
생활방범,4,202206,127.2297974,37.53228991,다사761481,572752939
생활방범,3,201012,127.2132042,37.54040314,다사746490,572753025
생활방범,5,202304,127.2131,37.5599,다사746512,572753342
생활방범,4,201202,127.1996343,37.53450955,다사734483,572763538
교통단속,1,201612,127.184105,37.551255,다사720502,572778934
쓰레기단속,1,201801,127.2128,37.54104,다사746491,572753023
생활방범,5,201411,127.2273215,37.53671272,다사759486,572754423
생활방범,4,201202,127.1996343,37.53450955,다사734483,572763538
생활방범,4,201707,127.1611212,37.48815719,다사700432,572666539
교통단속,1,201908,127.186116,37.549873,다사722501,572783061
쓰레기단속,1,201701,127.1844,37.54942,다사721500,572775061
생활방범,3,202204,127.2108113,37.55439901,다사744506,572781665
생활방범,4,201707,127.1891734,37.56546357,다사725518,572766760
교통단속,1,201412,127.194005,37.544993,다사729495,572781296
생활방범,4,201310,127.1659712,37.51585275,다사704463,572748244
교통단속,1,202305,127.20913,37.54186,다사743492,572750313
생활방범,4,201506,127.1987337,37.54487845,다사733495,572742405
쓰레기단속,1,201801,127.2036,37.57366,다사738527,572750196
다목적,1,202210,127.1451,37.5054,다사686451,572662151
생활방범,5,201704,127.2207422,37.54512652,다사753495,572767179
생활방범,5,201806,127.1935864,37.56080213,다사729513,572765156
생활방범,5,201908,127.1911474,37.55653811,다사727508,572767245
다목적,1,202308,127.1752526,37.5428984,다사713493,572710601
차량방범,3,200805,127.1939938,37.57749252,다사729531,572780678
생활방범,4,201906,127.1737151,37.53824422,다사711488,572767743
생활방범,5,201806,127.1911699,37.56027203,다사727512,572766716
교통단속,1,201912,127.191382,37.549018,다사727500,572780310
생활방범,3,202206,127.2126405,37.54205907,다사746492,572752193
생활방범,6,202307,127.183232,37.56848,다사720521,572766628
생활방범,5,201908,127.186997,37.566296,다사723519,572766770
교통단속,1,202211,127.20664,37.55467,다사740506,922753238
쓰레기단속,1,201701,127.1981,37.53157,다사733480,572704418
생활방범,5,201409,127.2006995,37.51559279,다사735462,572764386
생활방범,4,201401,127.2012278,37.55052835,다사736501,572756097
생활방범,4,201411,127.1938294,37.52232703,다사729470,572752497
생활방범,2,202206,127.1975778,37.53700666,다사732486,572752032
생활방범,3,202105,127.1635805,37.51653567,다사702464,572748244
생활방범,4,202007,127.1585067,37.53783626,다사698487,2024001770
생활방범,5,201806,127.2003555,37.56192602,다사735514,572769249
생활방범,3,201905,127.2090319,37.5376104,다사742487,572746801
쓰레기단속,1,201701,127.2064,37.53674,다사740486,572710166
쓰레기단속,1,201701,127.2114,37.5372,다사745486,572746781
쓰레기단속,1,201801,127.202,37.53771,다사736487,572710217
생활방범,4,201012,127.1981435,37.54228286,다사733492,572746334
생활방범,4,,127.1631953,37.50849914,다사702455,572774294
생활방범,4,201707,127.1876226,37.57451938,다사724528,572767624
생활방범,3,202005,127.1470175,37.51552415,다사688463,572783016
차량방범,1,201005,127.1931024,37.5798598,다사729534,572783243
생활방범,4,201202,127.199906,37.54009551,다사734490,572710217
생활방범,5,201012,127.1684085,37.53236396,다사707481,572752869
재난재해,1,,127.1799,37.5225,다사717470,572748310
생활방범,1,201311,127.2060269,37.5374697,다사740487,572710146
교통단속,1,201904,127.1887,37.55769,다사725509,572780055
쓰레기단속,2,202001,127.1999,37.52257,다사734470,572748349
생활방범,4,201311,127.2052731,37.52173798,다사739469,572753527
생활방범,6,201606,127.2152504,37.53989277,다사748489,572750240
생활방범,5,201806,127.2027751,37.556808,다사737508,572767876
쓰레기단속,1,202112,127.2308892,37.4886273,다사762432,572611448
생활방범,4,201506,127.2319488,37.50050607,다사763446,572649554
생활방범,4,201906,127.1983881,37.53148475,다사733480,572704394
생활방범,4,201412,127.233276,37.543961,다사764494,572767515
교통단속,1,202201,127.172612,37.524911,다사710473,572769006
생활방범,5,202007,127.1666106,37.53112953,다사705480,572767135
재난재해,1,,127.1956,37.5091,다사730455,572753535
생활방범,5,,127.1480132,37.50715652,다사688453,572775328
생활방범,5,201806,127.1788435,37.57655746,다사716530,572768596
생활방범,4,201411,127.1729041,37.53053205,다사710479,572752752
생활방범,5,201806,127.1782683,37.57550898,다사715529,572768596
교통단속,1,202011,127.15907,37.484777,다사698428,572668791
생활방범,5,201411,127.2263279,37.53797679,다사758487,572752243
생활방범,3,201111,127.2279326,37.51892981,다사759466,572767338
쓰레기단속,2,201701,127.173,37.54442,다사711495,572750119
쓰레기단속,1,202001,127.203225,37.538027,다사737487,572710217
생활방범,4,201707,127.1926527,37.56150324,다사728513,572768970
생활방범,4,201808,127.228485,37.51981939,다사760467,572755620
생활방범,4,201808,127.1428717,37.51423108,다사684461,572748187
생활방범,4,201808,127.2073711,37.56402408,다사741516,572753342
생활방범,3,201606,127.1560405,37.53636643,다사696486,2024001770
생활방범,5,201806,127.1872643,37.57979906,다사723534,572757055
생활방범,4,202309,127.2092656,37.55162797,다사743502,572754841
교통단속,1,201806,127.190875,37.57663,다사727530,572765566
교통단속,1,200911,127.21451,37.541369,다사747491,572755487
쓰레기단속,1,201701,127.202,37.53498,다사736484,572746753
교통단속,1,202403,127.20674,37.54194,다사740492,572782325
생활방범,6,202105,127.2051528,37.53740399,다사739487,572710146
생활방범,2,201412,127.2379572,37.54229986,다사768492,572768077
생활방범,4,201707,127.1849001,37.57480992,다사721528,572767056
교통단속,1,201806,127.19114,37.558404,다사727510,572767245
생활방범,3,201311,127.2350731,37.49063127,다사765435,572611448
생활방범,4,201409,127.1828146,37.54477434,다사719495,572742474
생활방범,4,201808,127.1934959,37.53189431,다사729481,572746291
생활방범,5,202007,127.2001413,37.53636431,다사735486,572746412
생활방범,3,202105,127.174308,37.54129131,다사712491,572781333
생활방범,3,,127.1486774,37.5050616,다사689451,572763688
생활방범,4,201311,127.20176,37.53985972,다사736489,572710217
생활방범,5,201202,127.2084432,37.53848448,다사742488,572746801
생활방범,5,201612,127.196893,37.566138,다사732519,572768275
생활방범,5,201806,127.1874231,37.55555769,다사723507,572780038
생활방범,5,201806,127.202601,37.5581253,다사737510,572767305
생활방범,6,201012,127.2072204,37.53892322,다사741488,572710149
생활방범,4,201806,127.1767884,37.5769596,다사714531,572760740
생활방범,3,201111,127.202856,37.53365393,다사737483,572710277
생활방범,5,201908,127.1950065,37.56463611,다사730517,572768276
생활방범,3,201012,127.2086856,37.53864621,다사742488,572746801
생활방범,5,201808,127.2001889,37.55589523,다사735507,572756077
생활방범,5,201908,127.194271,37.54427046,다사729494,572781281
생활방범,5,201908,127.1950941,37.54452001,다사730495,572773621
생활방범,3,,127.16144,37.50082255,다사700446,572666728
생활방범,3,202105,127.1710732,37.53265908,다사709482,572754444
다목적,10,202011,127.2405632,37.5420253,다사770492,572768076
쓰레기단속,1,201701,127.202,37.53498,다사736484,572746753
교통단속,1,202305,127.22047,37.54055,다사753490,572752251
생활방범,4,201012,127.2127507,37.54271723,다사746493,572750299
쓰레기단속,1,201801,127.1965,37.51339,다사731460,572710312
생활방범,3,201111,127.2279326,37.5189298,다사759466,572767338
재난재해,1,,127.2176,37.5448,다사750495,572768550
생활방범,3,201012,127.2111683,37.54165073,다사744491,572752191
생활방범,5,201612,127.184544,37.55963183,다사721511,572767593
생활방범,5,201012,127.2009057,37.53980765,다사735489,572710217
차량방범,4,201905,127.1825848,37.5590853,다사719511,572763806
생활방범,4,201806,127.1905257,37.55514407,다사726506,572769499
교통단속,1,201910,127.19628,37.56244,다사731514,572768654
생활방범,4,201912,127.2207422,37.54512652,다사753495,572767179
생활방범,4,202309,127.208609,37.550352,다사742501,572754862
생활방범,4,201906,127.2041531,37.51685262,다사738464,572769037
생활방범,5,201704,127.2207422,37.54512652,다사753495,572767179
생활방범,5,201806,127.1981655,37.56398734,다사733516,572768275
생활방범,3,201606,127.2143771,37.53787971,다사747487,572781910
교통단속,1,202105,127.197951,37.555604,다사733507,572765996
생활방범,3,201111,127.2211373,37.54073705,다사753490,572769126
생활방범,3,201202,127.212708,37.54227699,다사746492,572752193
쓰레기단속,2,201801,127.1712,37.53625,다사709485,572752449
생활방범,5,202206,127.1975778,37.53700667,다사732486,572752032
차량방범,3,201005,127.1855027,37.57991222,다사722534,572756902
교통단속,1,201806,127.20168,37.56034,다사736512,572781745
생활방범,5,201905,127.206384,37.53934008,다사740489,572710149
생활방범,4,201506,127.2350731,37.49063127,다사765435,572611448
생활방범,4,201311,127.1488597,37.51643063,다사689464,572783051
다목적,1,202206,127.2309,37.5067,다사762453,572742168
생활방범,6,201012,127.2072204,37.53892323,다사741488,572710149
생활방범,4,,127.1537906,37.47586147,다사693419,572661736
생활방범,3,201202,127.2255946,37.52770428,다사757476,572752937
재난재해,1,,127.2339,37.5449,다사764495,572767515
생활방범,6,201311,127.2091954,37.53711125,다사743486,572710141
생활방범,4,202206,127.1980123,37.52663807,다사733475,572754429
교통단속,1,202007,127.21446,37.55055,다사747501,572756927
생활방범,5,,127.2077111,37.57385408,다사741527,572753342
교통단속,1,201209,127.150696,37.474095,다사691417,572661524
생활방범,3,201509,127.1866045,37.54679296,다사723497,572760790
생활방범,3,201612,127.1479951,37.48198212,다사688425,572668765
생활방범,4,201808,127.1934959,37.53189431,다사729481,572746291
생활방범,3,202206,127.1620737,37.52019056,다사701468,572772585
생활방범,6,201411,127.224278,37.53353181,다사756482,572710113
생활방범,4,201806,127.2012306,37.55771166,다사736509,572767288
쓰레기단속,1,201701,127.1987,37.53907,다사733489,572742219
생활방범,4,202105,127.1711154,37.5386581,다사709488,572752828
생활방범,4,201707,127.1891734,37.56546356,다사725518,572766760
생활방범,4,202105,127.2286582,37.53640153,다사760485,572756727
생활방범,4,201311,127.2229605,37.52548479,다사755473,572755716
생활방범,3,,127.1929877,37.56286027,다사728515,572775141
시설물관리,8,202011,127.2359314,37.53862527,다사766488,572753524
생활방범,5,201806,127.1841091,37.57884148,다사721533,572756902
생활방범,4,201012,127.2009021,37.53441519,다사735483,572752015
쓰레기단속,1,201701,127.204,37.54018,다사738490,572752211
생활방범,4,201111,127.2045767,37.54376546,다사739494,572774708
교통단속,1,202007,127.193645,37.57338,다사729527,572769513
교통단속,1,201901,127.185164,37.575398,다사721529,572767056
생활방범,5,201806,127.1872643,37.57979906,다사723534,572757055
생활방범,5,202206,127.2066657,37.53820907,다사740488,572752037
생활방범,5,201704,127.2207422,37.54512652,다사753495,572767179
생활방범,5,202206,127.2207422,37.54512652,다사753495,572767179
생활방범,5,201707,127.180938,37.57513928,다사718529,572767253
생활방범,4,201808,127.173024,37.54504049,다사711495,572766090
쓰레기단속,1,201701,127.1715,37.54506,다사709495,572752841
생활방범,6,201111,127.2035775,37.54139983,다사738491,572780515
생활방범,3,201908,127.1942267,37.54426538,다사729494,572781281
교통단속,1,201904,127.20008,37.54398,다사735494,572742405
시설물관리,27,,127.1483055,37.482192,다사689426,572668765
생활방범,6,201012,127.2063237,37.53597214,다사740485,572710160
생활방범,5,201704,127.2099226,37.54554315,다사743496,572756694
재난재해,1,,127.219,37.5483,다사751499,572769147
쓰레기단속,2,201801,127.2308,37.50214,다사762447,572642221
생활방범,4,202206,127.212782,37.53711422,다사746486,572781459
재난재해,1,,127.1737,37.5279,다사711476,572750493
생활방범,4,201808,127.2051562,37.5550201,다사739506,572772733
차량방범,2,200805,127.1609753,37.51436904,다사700461,572742619
생활방범,5,201908,127.184632,37.569234,다사721522,572765902
생활방범,3,201606,127.1831676,37.53399532,다사720483,572765538
생활방범,5,201908,127.1921537,37.54499098,다사728495,572774432
생활방범,3,201111,127.1994066,37.54081562,다사734490,572743011
생활방범,5,202005,127.1971711,37.51328397,다사732460,572764386
생활방범,4,201906,127.1989658,37.52542517,다사734473,572754429
교통단속,1,200911,127.19071,37.56734,다사726520,572763876
생활방범,5,202304,127.2152,37.5573,다사748509,572753342
생활방범,3,202206,127.1841091,37.57884148,다사721533,572756902
생활방범,4,201401,127.2029536,37.53775429,다사737487,572710217
교통단속,1,201910,127.195897,37.56967,다사731522,572767195
쓰레기단속,2,201701,127.2005,37.53433,다사735483,572752015
생활방범,3,201012,127.2111684,37.54165074,다사744491,572752191
생활방범,4,201606,127.2280461,37.51115559,다사759457,572703070
생활방범,4,201707,127.219625,37.542486,다사752492,572750213
생활방범,3,201409,127.1929969,37.5054811,다사728451,572753535
생활방범,4,201707,127.1611212,37.48815718,다사700432,572666539
생활방범,4,202206,127.207271,37.53603384,다사741485,572710160
생활방범,3,201012,127.2300984,37.50251683,다사761448,572642221
쓰레기단속,1,201701,127.2008,37.5419,다사735492,572743011
생활방범,4,,127.2232373,37.54151584,다사755491,572755734
생활방범,5,201311,127.2100039,37.53878755,다사743488,572746801
생활방범,5,202206,127.1975778,37.53700666,다사732486,572752032
교통단속,1,200506,127.214626,37.535316,다사747484,572710281
생활방범,4,201908,127.186691,37.562453,다사723515,572767067
생활방범,5,201710,127.1839749,37.53422725,다사720483,572765538
생활방범,3,,127.1647306,37.51147331,다사703458,572778673
생활방범,4,201704,127.2125614,37.54325242,다사746493,572752206
생활방범,2,201606,127.2174805,37.53830607,다사750488,572702931
생활방범,3,201606,127.1639653,37.51620474,다사703463,572748244
생활방범,5,201906,127.20176,37.53985972,다사736489,572710217
생활방범,5,,127.1531013,37.50809129,다사693454,572781381
생활방범,4,201707,127.2023414,37.51280132,다사736459,572764386
생활방범,5,201908,127.1891024,37.57543965,다사725529,572766334
생활방범,4,201506,127.2204696,37.54300851,다사753493,572755726
생활방범,5,201908,127.1923313,37.54665082,다사728497,572750283
생활방범,3,201202,127.22378,37.51701808,다사755464,572753407
생활방범,5,201806,127.1846333,37.5659939,다사721518,572763754
생활방범,4,201311,127.2039442,37.54091563,다사738491,572752211
쓰레기단속,2,202101,127.1488,37.51856,다사689466,572783051
재난재해,1,,127.217,37.5371,다사749486,572710290
생활방범,5,202007,127.2142251,37.53685321,다사747486,572704256
교통단속,1,200505,127.204476,37.538134,다사738487,572710217
생활방범,5,201908,127.1923313,37.54665082,다사728497,572750283
쓰레기단속,1,202112,127.1909493,37.50082499,다사726446,572649584
생활방범,4,201202,127.2019123,37.55296781,다사736504,572769118
생활방범,4,202206,127.2098974,37.53937729,다사743489,572780861
생활방범,7,201111,127.2282446,37.53907265,다사759488,572767391
쓰레기단속,2,201701,127.173,37.54442,다사711495,572750119
생활방범,4,201409,127.218263,37.54228379,다사751492,572752221
생활방범,3,201811,127.1689272,37.52834116,다사707477,572768908
생활방범,5,201409,127.1925433,37.50404252,다사728450,572748823
생활방범,3,202206,127.1620737,37.52019057,다사701468,572772585
생활방범,4,202206,127.2107436,37.54814512,다사744499,572754764
생활방범,5,202005,127.199153,37.53551679,다사734485,572746412
생활방범,3,201202,127.2245373,37.53973058,다사756489,572746868
생활방범,4,202307,127.18877,37.572144,다사725525,572778757
생활방범,4,201806,127.1830132,37.55563081,다사720507,572767032
생활방범,3,201707,127.1931369,37.56930537,다사729522,572766382
쓰레기단속,1,201801,127.202,37.57141,다사736524,572750196
생활방범,5,202206,127.2082986,37.54031311,다사742490,572778972
생활방범,4,202307,127.183567,37.568941,다사720522,572766626
생활방범,4,202206,127.1977258,37.53886805,다사732488,572742219
생활방범,5,201612,127.1482712,37.4785918,다사689422,572664042
재난재해,1,,127.2263,37.5104,다사758457,572743248
생활방범,4,201709,127.1474513,37.47803669,다사688421,572660238
재난재해,1,,127.1896,37.5623,다사725514,572768626
생활방범,4,201808,127.1916204,37.58152072,다사727536,572756828
생활방범,3,201202,127.2115113,37.53890805,다사745488,572758052
생활방범,4,201012,127.1997267,37.53711054,다사734486,572746412
생활방범,4,201808,127.1605913,37.51673473,다사700464,572752440
생활방범,4,201506,127.2001728,37.54381704,다사735494,572752709
생활방범,5,201409,127.1992393,37.53242123,다사734481,572742265
생활방범,4,201606,127.1869822,37.54210357,다사723492,572704457
재난재해,1,,127.2160702,37.5452292,다사749495,572765220
생활방범,3,202206,127.2183388,37.48733583,다사750431,572649552
생활방범,4,201111,127.1969321,37.51853011,다사732466,572710312
생활방범,5,202304,127.2136,37.5191,다사746466,572763358
생활방범,5,202307,127.2101533,37.54943917,다사743500,572754781
생활방범,5,201906,127.2211482,37.5227428,다사753470,572763996
생활방범,4,202206,127.1943994,37.55668532,다사730508,572767631
생활방범,5,201411,127.2273215,37.53671271,다사759486,572754423
생활방범,3,201111,127.2124425,37.55023201,다사745501,572767923
쓰레기단속,1,201701,127.2076,37.53787,다사741487,572710166
차량방범,3,200805,127.1939938,37.57749252,다사729531,572780678
생활방범,5,,127.1587413,37.51955448,다사698467,572753615
재난재해,1,,127.2369,37.5425,다사767492,572768081
생활방범,4,,127.1702009,37.53727387,다사708487,572767495
생활방범,3,201612,127.1493546,37.47757824,다사689420,572661476
쓰레기단속,1,202112,127.1549574,37.52526661,다사695473,572772585
쓰레기단속,1,201701,127.2001,37.53968,다사735489,572710217
생활방범,5,201707,127.1869808,37.55659032,다사723508,572768105
쓰레기단속,1,201701,127.2083,37.53815,다사742487,572746801
생활방범,4,,127.1891093,37.55647048,다사725508,572768966
생활방범,3,201311,127.2161658,37.54991157,다사749501,572781671
생활방범,4,201906,127.1945873,37.52121335,다사730469,572752496
생활방범,4,201706,127.1963195,37.53534615,다사731484,572752009
생활방범,4,201706,127.2234445,37.53975914,다사755489,572746868
생활방범,5,201606,127.1976911,37.52246296,다사732470,572766951
쓰레기단속,1,201701,127.2103,37.53572,다사744485,572754425
생활방범,4,201606,127.2113723,37.55074586,다사745501,572767923
생활방범,4,202206,127.212782,37.53711422,다사746486,572781459
생활방범,5,201806,127.1918674,37.55681417,다사727508,572767245
생활방범,4,,127.1999626,37.58080558,다사735535,572756838
재난재해,1,,127.1752526,37.5428984,다사713493,572710601
생활방범,4,201311,127.2209187,37.54250856,다사753492,572755726
재난재해,1,,127.1975,37.569,다사732522,572768121
교통단속,1,202105,127.166914,37.529116,다사705478,572772600
생활방범,3,201606,127.1980111,37.5283387,다사733477,572754429
생활방범,2,201606,127.2174805,37.53830606,다사750488,572702931
생활방범,4,202206,127.189885,37.49724464,다사725442,572649584
생활방범,4,202206,127.2098974,37.53937729,다사743489,572780861
생활방범,4,,127.1598711,37.50794112,다사699454,572774690
생활방범,4,201806,127.2012306,37.55771165,다사736509,572767288
생활방범,4,201311,127.2052265,37.53867623,다사739488,572710149
쓰레기단속,1,201701,127.2012,37.53924,다사736489,572710217
다목적,1,202206,127.1539,37.5202,다사694468,572760862
쓰레기단속,1,201701,127.2007,37.54749,다사735498,572757734
생활방범,3,202206,127.1861361,37.56891356,다사722522,572765888
생활방범,3,201811,127.1689272,37.52834116,다사707477,572768908
생활방범,4,201707,127.1917547,37.57560758,다사727529,572766312
생활방범,3,201012,127.2372183,37.54132128,다사767491,572750431
차량방범,7,202005,127.1840667,37.54948009,다사720500,572775061
생활방범,5,201707,127.1888984,37.55990442,다사725512,572769203
쓰레기단속,1,201701,127.225212,37.519515,다사757467,572767338
생활방범,3,201707,127.1863913,37.56811428,다사723521,572765896
생활방범,4,201311,127.2174039,37.53970363,다사750489,572755504
쓰레기단속,1,202206,127.205089,37.534752,다사739484,572746762
차량방범,3,201505,127.180938,37.57513928,다사718529,572767253
생활방범,5,202206,127.2035535,37.55193365,다사738503,572769118
차량방범,4,201905,127.1825318,37.55940169,다사719511,572763806
생활방범,3,201706,127.224278,37.53353182,다사756482,572710113
생활방범,5,202309,127.2207673,37.54144053,다사753491,572752251
생활방범,5,202105,127.1931024,37.5798598,다사729534,572783243
쓰레기단속,1,201701,127.1582,37.51818,다사697465,572753615
생활방범,5,201710,127.1839749,37.53422724,다사720483,572765538
생활방범,4,202106,127.1941904,37.53882592,다사729488,572762348
쓰레기단속,1,201701,127.2013,37.53814,다사736487,572710217
생활방범,6,201707,127.1913389,37.56775033,다사727520,572763870
생활방범,4,,127.1555671,37.51975984,다사695467,572753615
생활방범,4,201111,127.1719242,37.54491619,다사710495,572752844
생활방범,3,201811,127.1689272,37.52834116,다사707477,572768908
