grid_gid,accident_cnt,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,kindergarten_child_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,speedbump_cnt,speedbump_hght_nan,speedbump_hght_below,speedbump_hght_above
다사699371,11,0,0,0,0,0,0,2,1,1,0,0,0,0
다사670413,11,4,0,0,0,0,0,1,1,3,0,0,0,0
다사669422,11,2,0,0,0,0,0,3,1,3,0,0,0,0
다사633458,11,2,0,0,0,0,0,0,4,12,0,0,0,0
다사610123,11,4,0,0,0,0,0,0,0,0,0,0,0,0
다사653310,10,0,0,0,0,0,0,1,0,0,0,0,0,0
다사652300,10,0,0,0,0,0,0,0,1,4,0,0,0,0
다사671348,10,0,0,0,0,0,0,2,2,10,1,1,0,0
다사660303,10,0,0,0,0,0,0,0,0,0,0,0,0,0
다사696385,10,0,0,0,0,0,0,0,0,0,0,0,0,0
다사683383,10,0,0,0,0,0,0,0,1,4,0,0,0,0
다사672366,10,0,0,0,0,0,0,0,1,1,0,0,0,0
다사620457,10,3,0,0,0,0,0,0,2,5,1,0,1,0
다사659468,10,3,1,0,1,246,0,0,1,3,0,0,0,0
다사667426,10,5,0,0,0,0,0,0,0,0,0,0,0,0
다사645462,10,0,0,0,0,0,0,2,0,0,0,0,0,0
다사662437,10,2,0,0,0,0,0,0,0,0,0,0,0,0
다사673463,10,2,0,0,0,0,0,0,1,4,0,0,0,0
다사661423,10,5,0,0,0,0,0,0,0,0,0,0,0,0
다사638454,10,5,0,0,0,0,0,0,1,4,0,0,0,0
다사726520,10,2,0,0,0,0,0,0,1,1,0,0,0,0
다사645097,10,5,0,0,0,0,0,0,5,5,0,0,0,0
다사650082,10,3,0,0,0,0,0,0,0,0,0,0,0,0
다사590126,10,4,0,0,0,0,0,0,15,15,0,0,0,0
다사643123,10,1,0,0,0,0,0,0,0,0,0,0,0,0
다사654305,9,0,0,0,0,0,0,0,1,5,0,0,0,0
다사684350,9,0,0,0,0,0,0,0,1,1,0,0,0,0
다사684381,9,1,0,0,0,0,0,2,2,10,0,0,0,0
다사648359,9,0,0,0,0,0,0,0,0,0,0,0,0,0
다사682405,9,0,0,0,0,0,0,0,1,1,0,0,0,0
다사671369,9,0,0,0,0,0,0,2,3,9,0,0,0,0
다사653447,9,4,0,0,0,0,0,0,2,7,0,0,0,0
다사653461,9,4,0,0,0,0,0,0,1,3,0,0,0,0
다사631458,9,1,0,0,0,0,0,0,1,4,1,0,1,0
다사658459,9,5,0,0,0,0,0,0,1,1,1,0,1,0
다사663437,9,4,0,0,0,0,0,2,0,0,0,0,0,0
다사729513,9,4,0,0,0,0,0,1,3,11,0,0,0,0
다사729514,9,6,0,0,0,0,0,0,2,10,0,0,0,0
다사739488,9,2,0,0,0,0,0,1,3,12,0,0,0,0
다사621122,9,2,0,0,0,0,0,0,1,1,0,0,0,0
다사558115,9,4,0,0,0,0,0,1,1,1,0,0,0,0
다사595130,9,6,0,0,0,0,0,1,1,1,0,0,0,0
다사618119,9,2,0,0,0,0,0,1,0,0,0,0,0,0
다사616120,9,5,0,0,0,0,0,0,0,0,0,0,0,0
다사657338,8,0,0,0,0,0,0,0,1,1,0,0,0,0
다사650328,8,0,0,0,0,0,0,0,0,0,0,0,0,0
다사657330,8,0,0,0,0,0,0,0,1,1,0,0,0,0
다사688300,8,0,0,0,0,0,0,1,1,1,0,0,0,0
다사644337,8,0,0,0,0,0,0,0,0,0,0,0,0,0
다사671368,8,0,0,0,0,0,0,1,3,10,0,0,0,0
다사678368,8,1,0,0,0,0,1,0,0,0,0,0,0,0
다사681453,8,8,0,0,0,0,0,0,0,0,2,0,2,0
다사645463,8,3,0,0,0,0,0,2,0,0,0,0,0,0
다사685437,8,6,0,0,0,0,0,2,2,7,2,0,2,0
다사627458,8,2,0,0,0,0,0,0,1,1,0,0,0,0
다사666430,8,4,0,0,0,0,0,0,0,0,0,0,0,0
다사669413,8,3,0,0,0,0,0,1,0,0,0,0,0,0
다사654458,8,0,0,0,0,0,0,0,2,4,0,0,0,0
다사663420,8,3,0,0,0,0,0,0,0,0,0,0,0,0
다사634456,8,3,0,0,0,0,0,1,2,3,0,0,0,0
다사648458,8,4,0,0,0,0,0,0,3,10,0,0,0,0
다사662438,8,1,0,0,0,0,0,0,0,0,0,0,0,0
다사655462,8,2,0,0,0,0,0,0,2,7,1,0,1,0
다사654434,8,3,0,0,0,0,0,0,3,4,0,0,0,0
다사676430,8,6,0,0,0,0,0,1,5,5,0,0,0,0
다사661422,8,1,0,0,0,0,0,0,1,1,0,0,0,0
다사720500,8,2,0,0,0,0,0,2,1,7,0,0,0,0
다사696461,8,0,0,0,0,0,0,0,0,0,0,0,0,0
다사727512,8,3,0,0,0,0,1,1,3,11,0,0,0,0
다사738493,8,4,0,0,0,0,0,3,5,16,1,0,0,1
다사728505,8,1,0,0,0,0,1,0,0,0,0,0,0,0
다사593129,8,3,0,0,0,0,0,1,8,8,0,0,0,0
다사650075,8,2,0,0,0,0,0,0,0,0,0,0,0,0
다사485038,8,3,0,0,0,0,0,1,5,5,0,0,0,0
다사622139,8,6,0,0,0,0,0,0,18,18,0,0,0,0
다사662084,8,0,0,0,0,0,0,0,5,5,0,0,0,0
다사585124,8,4,0,0,0,0,0,0,0,0,0,0,0,0
다사618124,8,2,0,0,0,0,0,0,0,0,0,0,0,0
다사403113,8,4,0,0,0,0,0,0,0,0,0,0,0,0
다사664349,7,0,0,0,0,0,0,0,3,9,0,0,0,0
다사656307,7,0,0,0,0,0,0,0,1,1,0,0,0,0
다사652297,7,2,0,0,0,0,0,1,3,10,0,0,0,0
다사671347,7,1,0,0,0,0,0,4,5,15,1,1,0,0
다사658317,7,0,0,0,0,0,0,0,0,0,0,0,0,0
다사660314,7,1,0,0,0,0,0,2,1,1,0,0,0,0
다사650338,7,0,0,0,0,0,0,0,1,1,0,0,0,0
다사653279,7,0,0,0,0,0,0,0,1,1,0,0,0,0
다사665315,7,0,0,0,0,0,0,0,1,5,0,0,0,0
다사662312,7,0,0,0,0,0,0,0,1,1,0,0,0,0
다사654311,7,0,0,0,0,0,0,0,0,0,0,0,0,0
다사663371,7,1,0,0,0,0,0,0,0,0,0,0,0,0
다사671375,7,0,0,0,0,0,0,1,3,9,0,0,0,0
다사675380,7,0,0,0,0,0,0,1,2,5,1,1,0,0
다사690397,7,1,0,0,0,0,0,0,1,1,0,0,0,0
다사678380,7,0,0,0,0,0,1,2,1,5,1,1,0,0
다사685378,7,1,0,0,0,0,0,2,2,6,1,0,0,1
다사672372,7,0,0,0,0,0,0,3,1,6,0,0,0,0
다사676373,7,0,0,0,0,0,0,0,0,0,1,0,0,1
다사682374,7,0,0,0,0,0,1,3,0,0,0,0,0,0
다사663446,7,2,0,0,0,0,0,0,0,0,1,0,1,0
다사666440,7,3,0,0,0,0,0,1,0,0,0,0,0,0
다사665425,7,4,0,0,0,0,0,1,1,3,0,0,0,0
다사652462,7,3,0,0,0,0,0,0,1,1,0,0,0,0
다사685438,7,6,0,0,0,0,0,0,3,8,1,0,1,0
다사655476,7,0,0,0,0,0,0,0,0,0,0,0,0,0
다사635454,7,0,0,0,0,0,0,0,1,5,3,0,3,0
다사676469,7,5,0,0,0,0,0,0,1,5,0,0,0,0
다사679417,7,2,0,0,0,0,0,0,0,0,0,0,0,0
다사633461,7,4,0,0,0,0,0,0,0,0,1,0,1,0
다사669423,7,3,0,0,0,0,0,1,0,0,0,0,0,0
다사647458,7,3,0,0,0,0,0,1,0,0,0,0,0,0
다사654461,7,0,0,0,0,0,0,0,0,0,0,0,0,0
다사649439,7,1,0,0,0,0,0,0,2,5,0,0,0,0
다사691450,7,4,0,0,0,0,0,0,1,4,0,0,0,0
다사664433,7,4,0,0,0,0,0,1,1,4,0,0,0,0
다사651462,7,2,0,0,0,0,1,0,1,3,0,0,0,0
다사644464,7,2,0,0,0,0,0,0,0,0,0,0,0,0
다사651450,7,1,0,0,0,0,0,2,1,4,2,0,2,0
다사671448,7,2,0,0,0,0,0,1,0,0,0,0,0,0
다사647461,7,0,0,0,0,0,0,2,1,2,0,0,0,0
다사733496,7,2,0,0,0,0,0,2,2,12,0,0,0,0
다사731522,7,1,0,0,0,0,0,0,2,2,0,0,0,0
다사728516,7,0,0,0,0,0,0,6,0,0,0,0,0,0
다사727513,7,6,0,0,0,0,0,0,1,1,0,0,0,0
다사617103,7,6,0,0,0,0,0,0,5,5,0,0,0,0
다사591128,7,5,0,0,0,0,0,0,10,10,0,0,0,0
다사624109,7,6,1,0,1,245,0,1,9,9,0,0,0,0
다사646129,7,0,0,0,0,0,0,0,5,5,0,0,0,0
다사396132,7,1,0,0,0,0,0,0,2,2,0,0,0,0
다사613143,7,2,0,0,0,0,0,0,0,0,0,0,0,0
다사656117,7,4,0,0,0,0,0,0,5,5,0,0,0,0
다사614110,7,3,0,0,0,0,0,2,0,0,0,0,0,0
다사469033,7,7,0,0,0,0,0,0,0,0,0,0,0,0
다사589119,7,1,0,0,0,0,0,0,8,8,0,0,0,0
다사638098,7,3,0,0,0,0,0,0,10,10,0,0,0,0
다사592128,7,1,0,0,0,0,0,1,5,5,0,0,0,0
다사611152,7,3,0,0,0,0,0,2,2,2,0,0,0,0
다사671350,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사672345,6,0,1,1,0,0,0,1,2,4,3,3,0,0
다사653271,6,0,0,0,0,0,0,1,1,1,0,0,0,0
다사666322,6,0,0,0,0,0,0,0,2,2,0,0,0,0
다사667322,6,1,1,0,0,0,0,5,1,1,0,0,0,0
다사653264,6,0,0,0,0,0,0,0,1,1,0,0,0,0
다사631320,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사667318,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사660339,6,1,0,0,0,0,0,0,3,7,1,1,0,0
다사662344,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사647314,6,0,0,0,0,0,0,0,1,4,0,0,0,0
다사668321,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653263,6,0,0,0,0,0,0,1,0,0,0,0,0,0
다사654330,6,0,0,0,0,0,0,0,1,5,0,0,0,0
다사648338,6,0,0,0,0,0,2,2,1,1,0,0,0,0
다사670378,6,1,0,0,0,0,0,3,1,1,1,1,0,0
다사650359,6,1,0,0,0,0,0,2,1,3,0,0,0,0
다사680382,6,1,0,0,0,0,0,0,2,6,0,0,0,0
다사685379,6,0,0,0,0,0,0,0,1,1,0,0,0,0
다사693383,6,0,0,0,0,0,0,0,0,0,1,1,0,0
다사653359,6,0,0,0,0,0,0,2,1,4,0,0,0,0
다사678381,6,0,0,0,0,0,0,1,0,0,1,1,0,0
다사690381,6,0,0,0,0,0,0,3,1,1,0,0,0,0
다사694383,6,1,0,0,0,0,0,1,1,5,0,0,0,0
다사682404,6,0,0,0,0,0,0,2,1,1,0,0,0,0
다사676386,6,1,0,0,0,0,0,2,2,8,0,0,0,0
다사674379,6,0,0,0,0,0,0,0,1,5,0,0,0,0
다사702371,6,1,0,0,0,0,0,0,2,8,1,0,0,1
다사680373,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사681374,6,2,0,0,0,0,0,0,1,1,0,0,0,0
다사672371,6,0,0,0,0,0,0,1,0,0,1,1,0,0
다사681375,6,0,0,0,0,0,0,0,0,0,1,1,0,0
다사693368,6,0,0,0,0,0,0,0,1,1,0,0,0,0
다사692381,6,0,0,0,0,0,0,0,3,9,0,0,0,0
다사678367,6,0,0,0,0,0,0,2,0,0,0,0,0,0
다사671357,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사672370,6,0,0,0,0,0,0,1,2,5,0,0,0,0
다사674367,6,0,0,0,0,0,0,1,0,0,0,0,0,0
다사695384,6,1,0,0,0,0,0,2,0,0,1,1,0,0
다사671370,6,0,0,0,0,0,0,3,0,0,1,0,0,1
다사671359,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사698384,6,2,0,0,0,0,0,2,1,1,0,0,0,0
다사648461,6,2,0,0,0,0,0,0,1,3,0,0,0,0
다사661440,6,2,0,0,0,0,0,1,1,1,1,0,1,0
다사660436,6,1,0,0,0,0,0,2,2,6,0,0,0,0
다사645448,6,1,0,0,0,0,0,4,0,0,1,0,1,0
다사683460,6,1,0,0,0,0,0,2,0,0,0,0,0,0
다사645461,6,0,0,0,0,0,0,2,0,0,0,0,0,0
다사665433,6,5,0,0,0,0,0,0,0,0,1,0,1,0
다사661437,6,2,0,0,0,0,0,0,0,0,0,0,0,0
다사670458,6,1,0,0,0,0,0,0,1,3,0,0,0,0
다사657465,6,5,0,0,0,0,0,1,1,6,0,0,0,0
다사655448,6,3,0,0,0,0,0,0,1,3,0,0,0,0
다사662446,6,2,0,0,0,0,0,0,1,2,1,0,1,0
다사639459,6,3,0,0,0,0,0,0,1,4,0,0,0,0
다사661454,6,5,0,0,0,0,0,0,0,0,0,0,0,0
다사683439,6,5,1,0,0,0,1,2,3,4,1,0,1,0
다사656460,6,0,0,0,0,0,0,0,2,6,2,0,2,0
다사659462,6,4,0,0,0,0,0,0,1,3,0,0,0,0
다사651451,6,2,0,0,0,0,0,2,0,0,2,0,2,0
다사660464,6,1,0,0,0,0,0,0,0,0,0,0,0,0
다사650446,6,6,0,0,0,0,0,1,1,3,3,0,3,0
다사671459,6,4,0,0,0,0,0,0,0,0,0,0,0,0
다사662453,6,2,0,0,0,0,0,0,2,6,2,0,2,0
다사626463,6,3,0,0,0,0,0,0,1,3,0,0,0,0
다사737511,6,7,0,0,0,0,0,0,1,1,0,0,0,0
다사726482,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사727520,6,2,0,0,0,0,0,1,4,22,0,0,0,0
다사737488,6,0,0,0,0,0,0,0,4,14,1,0,0,1
다사724512,6,3,0,0,0,0,0,2,1,1,0,0,0,0
다사721500,6,0,0,0,0,0,0,1,7,21,0,0,0,0
다사760488,6,1,0,0,0,0,0,0,3,7,0,0,0,0
다사722519,6,2,0,0,0,0,0,0,0,0,0,0,0,0
다사580122,6,3,0,0,0,0,0,0,1,1,0,0,0,0
다사620105,6,4,0,0,0,0,0,1,6,6,0,0,0,0
다사613150,6,4,0,0,0,0,0,0,10,10,0,0,0,0
다사609120,6,5,1,1,1,27,1,0,9,9,0,0,0,0
다사643111,6,2,0,0,0,0,0,0,0,0,0,0,0,0
다사542113,6,2,0,0,0,0,0,0,0,0,0,0,0,0
다사606134,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사622121,6,0,0,0,0,0,0,2,5,5,0,0,0,0
다사431144,6,0,0,0,0,0,0,0,0,0,0,0,0,0
다사651082,6,2,0,0,0,0,0,0,5,5,0,0,0,0
다사643116,6,1,0,0,0,0,0,1,0,0,0,0,0,0
다사513138,6,0,0,0,0,0,0,0,1,1,0,0,0,0
다사476037,6,7,0,0,0,0,1,0,13,13,0,0,0,0
다사624133,6,1,0,0,0,0,0,0,0,0,0,0,0,0
다사643109,6,3,0,0,0,0,0,1,0,0,0,0,0,0
다사557112,6,1,0,0,0,0,0,0,0,0,0,0,0,0
다사586121,6,4,0,0,0,0,0,2,11,11,0,0,0,0
다사664329,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653280,5,0,0,0,0,0,0,2,1,1,0,0,0,0
다사678306,5,1,0,0,0,0,0,2,0,0,0,0,0,0
다사663317,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사653266,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사649304,5,0,0,0,0,0,0,0,2,5,0,0,0,0
다사657321,5,1,0,0,0,0,0,0,2,6,0,0,0,0
다사666279,5,0,0,0,0,0,0,0,1,1,0,0,0,0
다사670346,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사657325,5,0,0,0,0,0,0,1,2,6,0,0,0,0
다사654309,5,0,0,0,0,0,0,0,1,5,0,0,0,0
다사647273,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사661261,5,0,0,0,0,0,0,0,2,4,1,1,0,0
다사660320,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사648314,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653274,5,0,0,0,0,0,0,0,1,5,0,0,0,0
다사665341,5,0,0,0,0,0,0,1,0,0,0,0,0,0
다사657328,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사651279,5,0,0,0,0,0,0,4,1,5,0,0,0,0
다사677312,5,0,0,0,0,0,0,0,1,1,0,0,0,0
다사653304,5,0,0,0,0,0,0,1,1,3,0,0,0,0
다사653281,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사665324,5,0,0,0,0,0,0,0,1,5,0,0,0,0
다사704401,5,0,0,0,0,0,0,2,0,0,0,0,0,0
다사691382,5,2,0,0,0,0,0,1,0,0,0,0,0,0
다사645348,5,1,0,0,0,0,0,2,0,0,0,0,0,0
다사684382,5,0,0,0,0,0,0,0,2,6,1,1,0,0
다사678408,5,0,0,0,0,0,0,4,2,5,1,1,0,0
다사648362,5,1,0,0,0,0,0,2,2,2,0,0,0,0
다사674372,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사693381,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사702381,5,0,0,0,0,0,0,0,1,1,0,0,0,0
다사695383,5,0,0,0,0,0,0,2,2,5,0,0,0,0
다사704371,5,0,0,0,0,0,0,1,1,1,0,0,0,0
다사705386,5,0,0,0,0,0,0,0,1,5,0,0,0,0
다사708347,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사671365,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사684376,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사700378,5,0,0,0,0,0,0,1,2,10,0,0,0,0
다사656457,5,1,0,0,0,0,0,3,1,4,0,0,0,0
다사656446,5,6,0,0,0,0,0,6,1,3,1,0,1,0
다사665432,5,0,0,0,0,0,0,2,0,0,0,0,0,0
다사629457,5,3,0,0,0,0,0,0,0,0,0,0,0,0
다사653451,5,2,0,0,0,0,0,0,1,3,0,0,0,0
다사674418,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사669445,5,4,0,0,0,0,0,0,1,4,0,0,0,0
다사680449,5,6,0,0,0,0,0,0,0,0,0,0,0,0
다사676444,5,4,0,0,0,0,0,0,0,0,0,0,0,0
다사660463,5,3,1,0,1,86,0,0,0,0,0,0,0,0
다사682418,5,4,0,0,0,0,0,3,1,4,0,0,0,0
다사626464,5,0,0,0,0,0,0,0,1,3,0,0,0,0
다사661445,5,1,0,0,0,0,0,2,0,0,1,0,1,0
다사670414,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사661436,5,4,0,0,0,0,1,0,1,4,0,0,0,0
다사645460,5,0,0,0,0,0,0,0,1,3,0,0,0,0
다사671418,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사619463,5,2,0,0,0,0,0,0,0,0,0,0,0,0
다사695439,5,2,0,0,0,0,0,4,1,2,3,0,3,0
다사631456,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사662432,5,5,0,0,0,0,0,0,1,4,0,0,0,0
다사649455,5,2,0,0,0,0,0,3,1,2,0,0,0,0
다사657457,5,6,0,0,0,0,0,0,1,4,0,0,0,0
다사669436,5,5,0,0,0,0,0,0,0,0,0,0,0,0
다사674465,5,3,0,0,0,0,0,0,0,0,0,0,0,0
다사664444,5,3,0,0,0,0,0,2,2,4,2,0,2,0
다사654452,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사640457,5,3,0,0,0,0,0,0,1,3,0,0,0,0
다사620458,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사657445,5,5,0,0,0,0,0,2,2,4,0,0,0,0
다사689447,5,4,0,0,0,0,0,2,1,1,0,0,0,0
다사681440,5,3,0,0,0,0,0,0,1,3,0,0,0,0
다사668424,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사626451,5,2,0,0,0,0,0,0,4,8,1,0,1,0
다사674452,5,7,0,0,0,0,0,3,0,0,1,0,1,0
다사647471,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사629452,5,1,0,0,0,0,0,1,3,9,1,0,1,0
다사660475,5,2,0,0,0,0,0,3,3,8,0,0,0,0
다사666486,5,3,0,0,0,0,0,1,3,8,0,0,0,0
다사684418,5,3,0,0,0,0,0,0,1,3,0,0,0,0
다사626465,5,0,0,0,0,0,0,0,1,1,0,0,0,0
다사647460,5,1,0,0,0,0,0,2,1,3,0,0,0,0
다사664480,5,0,0,0,0,0,0,3,0,0,1,0,1,0
다사687443,5,6,0,0,0,0,0,0,3,6,0,0,0,0
다사726519,5,2,0,0,0,0,1,0,3,15,0,0,0,0
다사693454,5,2,0,0,0,0,0,1,1,5,0,0,0,0
다사690458,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사741491,5,1,0,0,0,0,0,0,1,4,0,0,0,0
다사728517,5,3,0,0,0,0,0,1,2,6,0,0,0,0
다사725520,5,2,0,0,0,0,0,0,0,0,0,0,0,0
다사740488,5,0,0,0,0,0,0,0,4,24,0,0,0,0
다사728514,5,4,0,0,0,0,0,0,1,1,0,0,0,0
다사727497,5,1,0,0,0,0,0,1,0,0,0,0,0,0
다사721501,5,0,0,0,0,0,0,2,2,11,0,0,0,0
다사739489,5,1,0,0,0,0,0,1,3,8,0,0,0,0
다사723514,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사689463,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사644109,5,1,0,0,1,116,0,0,5,5,0,0,0,0
다사472032,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사661081,5,2,0,0,0,0,0,0,0,0,0,0,0,0
다사589127,5,2,0,0,0,0,0,2,10,10,0,0,0,0
다사589118,5,3,0,0,0,0,0,1,0,0,0,0,0,0
다사592126,5,1,0,0,0,0,0,0,13,13,0,0,0,0
다사626132,5,0,0,0,0,0,0,0,2,2,0,0,0,0
다사619119,5,2,0,0,0,0,0,1,4,4,0,0,0,0
다사535136,5,2,0,0,0,0,0,0,0,0,0,0,0,0
다사640067,5,3,0,0,0,0,0,0,3,3,0,0,0,0
다사594129,5,1,0,0,0,0,0,2,0,0,0,0,0,0
다사569119,5,4,0,0,0,0,0,1,2,2,0,0,0,0
다사485036,5,0,0,0,0,0,0,2,0,0,0,0,0,0
다사481019,5,3,0,0,0,0,0,0,0,0,0,0,0,0
다사655121,5,4,0,0,0,0,0,0,11,11,0,0,0,0
다사645098,5,3,0,0,0,0,0,0,0,0,0,0,0,0
다사664093,5,0,0,0,0,0,0,0,0,0,0,0,0,0
다사643114,5,2,0,0,0,0,0,0,0,0,0,0,0,0
다사628131,5,1,0,0,0,0,0,0,0,0,0,0,0,0
다사485031,5,0,0,0,0,0,0,0,9,9,0,0,0,0
다사661079,5,2,0,0,0,0,0,2,10,10,0,0,0,0
다사656112,5,3,0,0,0,0,0,0,12,12,0,0,0,0
다사626129,5,4,0,0,0,0,0,0,0,0,0,0,0,0
다사649283,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사684349,4,0,0,0,0,0,0,1,0,0,0,0,0,0
다사663334,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사667321,4,1,0,0,0,0,0,2,0,0,0,0,0,0
다사651300,4,0,0,0,0,0,0,0,1,1,0,0,0,0
다사652290,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사666320,4,1,0,0,0,0,0,0,0,0,0,0,0,0
다사668334,4,0,0,0,0,0,0,2,0,0,0,0,0,0
다사655308,4,1,0,0,0,0,0,1,0,0,0,0,0,0
다사671346,4,0,0,0,0,0,0,0,1,5,0,0,0,0
다사671317,4,1,0,0,0,0,0,2,0,0,0,0,0,0
다사658333,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사651294,4,0,0,0,0,0,0,0,1,1,0,0,0,0
다사666341,4,0,0,0,0,0,0,0,1,1,0,0,0,0
다사660283,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사647283,4,0,0,0,0,0,0,1,0,0,0,0,0,0
다사668345,4,0,0,0,0,0,0,0,0,0,2,2,0,0
다사654338,4,0,0,0,0,0,0,0,1,5,0,0,0,0
다사656309,4,0,0,0,0,0,0,0,1,3,0,0,0,0
다사658290,4,0,0,0,0,0,0,1,1,6,2,2,0,0
다사635324,4,0,0,0,0,0,0,0,0,0,1,1,0,0
다사647322,4,0,0,0,0,0,0,0,1,1,0,0,0,0
다사651304,4,0,0,0,0,0,0,0,0,0,1,1,0,0
다사658296,4,1,0,0,1,158,0,2,0,0,0,0,0,0
다사672317,4,0,0,0,0,0,0,4,1,3,0,0,0,0
다사646331,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653267,4,0,0,0,0,0,0,3,1,1,0,0,0,0
다사669346,4,0,0,0,0,0,0,1,0,0,0,0,0,0
다사623321,4,0,0,0,0,0,0,0,1,1,8,8,0,0
다사648297,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653283,4,0,0,0,0,0,0,0,0,0,0,0,0,0
다사675304,4,0,0,0,0,0,0,2,1,1,1,1,0,0
