﻿kinder_nm,estab_gbn,open_dt,appr_cap,age3_cnt,age4_cnt,age5_cnt,mix_cnt,spec_cnt,lon,lat,total_age_cnt,grid_gid
동탄초등학교병설유치원,공립(병설),19820305,58,4,5,18,0,0,127.091284759324,37.1891361692411,27,다사637101
동탄프라임유치원,사립(사인),20101113,290,75,43,37,0,0,127.060741859984,37.2064980633455,155,다사610120
동탄호수유치원,공립(단설),20200301,144,55,40,40,0,4,127.1135961051,37.1680874327,135,다사656077
동하유치원,사립(사인),20161201,192,40,59,51,0,0,127.104612,37.174891,150,다사649085
동학초등학교병설유치원,공립(병설),20010903,58,13,7,23,0,0,127.058799009603,37.2330299278879,43,다사608149
동화초등학교병설유치원,공립(병설),20071017,62,13,13,19,0,3,126.961633914777,37.2148867620776,45,다사522130
라온유치원,공립(단설),20210315,220,56,70,64,0,12,127.12203009667137,37.17262748797208,190,다사664082
리더스유치원,사립(사인),20150302,346,100,82,81,0,0,127.100514033849,37.2024473298342,263,다사645115
마도초등학교병설유치원,공립(병설),19840911,18,0,0,0,4,0,126.772656443273,37.2041735832188,0,다사354119
무봉유치원,공립(단설),20150310,153,42,40,33,0,4,127.1237719227,37.203789053,115,다사666117
무봉초등학교병설유치원,공립(병설),20150301,58,13,7,17,0,0,127.116839146275,37.202997030832,37,다사659116
민들레유치원,사립(사인),20070301,140,44,44,50,0,0,126.947856775384,37.2212926773002,138,다사510137
바다유치원,사립(사인),20100901,356,32,58,64,0,0,126.914828867637,37.1295605259075,154,다사480035
반디유치원,공립(단설),20200301,178,42,52,51,0,4,127.043743367744,37.2173414789384,145,다사595132
반석초등학교병설유치원,공립(병설),20070901,58,5,8,14,0,0,127.078320819205,37.1936979812826,27,다사625106
반송초등학교병설유치원,공립(병설),20071001,48,0,4,2,0,3,127.070176923266,37.1907661849967,6,다사618103
방교초등학교병설유치원,공립(병설),20161201,58,7,14,13,0,0,127.1015253934,37.1732631518,34,다사646083
배양초등학교병설유치원,공립(병설),20060301,20,0,0,0,7,0,126.988755303957,37.2188550064158,0,다사546134
병점초등학교병설유치원,공립(병설),19460901,18,0,0,0,3,0,127.034383207347,37.2102977606444,0,다사586124
봉담초등학교병설유치원,공립(병설),19860301,58,9,9,17,0,0,126.947359706173,37.2228056086799,35,다사509139
비봉초등학교병설유치원,공립(병설),19810310,18,0,0,0,10,0,126.869014991676,37.23702751977,0,다사440155
비손유치원,사립(사인),20100226,248,0,88,78,82,0,126.949010368567,37.2174725153485,166,다사511133
빛여울유치원,공립(단설),20210301,240,42,65,57,0,8,127.0980624384,37.1613880703,164,다사643070
상봉초등학교병설유치원,공립(병설),20080301,18,0,0,0,12,0,126.954356006434,37.2180957908039,0,다사515133
상신초등학교병설유치원,공립(병설),19810310,58,7,17,7,0,0,126.901182299666,37.094072276727,31,다바467996
새봄유치원,공립(단설),20210315,188,53,51,48,0,8,127.04770387994566,37.20098282083141,152,다사598114
새봄초등학교병설유치원,공립(병설),20210303,58,8,10,18,0,0,127.030132527133,37.2012851294199,36,다사583114
생각키움유치원,사립(사인),20180301,176,45,54,44,0,0,127.1125668474,37.2171452318,143,다사656132
서경초등학교병설유치원,공립(병설),20200301,58,5,12,17,0,0,127.050814620805,37.2171413266407,34,다사601132
서신초등학교병설유치원,공립(병설),19820301,20,0,0,0,8,2,126.707913457966,37.1693468488058,0,다사296081
서연유치원,공립(단설),20180901,256,43,62,61,0,4,127.1088355997,37.1608148748,166,다사652069
서연초등학교병설유치원,공립(병설),20180301,58,8,15,15,0,0,127.1137741377,37.1597650099,38,다사657068
석우초등학교병설유치원,공립(병설),20070301,18,0,0,0,4,0,127.068199679308,37.2092792734609,0,다사616123
석천초등학교병설유치원,공립(병설),19820305,18,0,0,0,4,0,126.788740899668,37.05515105665,0,다바367954
세정초등학교병설유치원,공립(병설),20190902,58,8,15,23,0,0,127.10699650635536,37.159573089964745,46,다사651068
세진유치원,사립(사인),20030301,202,10,20,22,0,0,126.928479267194,37.1590094412805,52,다사492068
솔빛유치원,공립(단설),20180301,188,46,52,63,0,7,127.0705275538,37.1963093888,161,다사618109
솔샘유치원,사립(사인),20190601,202,36,27,48,0,0,127.1174324065785,37.195749570503416,111,다사660108
송산초등학교병설유치원,공립(병설),19800501,18,0,0,0,7,0,126.732088277468,37.2142654878568,0,다사318131
송화초등학교병설유치원,공립(병설),20000901,58,6,6,22,0,0,127.040900240954,37.20236470548,34,다사592116
수기초등학교병설유치원,공립(병설),20010301,20,0,0,0,2,0,126.980101253634,37.2015897625924,0,다사538115
수영초등학교병설유치원,공립(병설),20080301,24,0,0,13,0,0,126.954282610749,37.2359160774895,13,다사515153
수현유치원,공립(단설),20210901,232,54,75,83,0,12,126.94987145889,37.2282926332637,212,다사511145
수현초등학교병설유치원,공립(병설),20210301,58,10,16,23,0,0,126.950222485574,37.2275758177572,49,다사512144
숲속초등학교병설유치원,공립(병설),20100301,58,8,8,11,0,3,127.060484890158,37.206114013344,27,다사609120
숲속코코유치원,사립(사인),20150413,256,52,53,62,0,0,126.931402014942,37.1236341711116,167,다사494029
시연유치원,사립(사인),20080220,240,54,88,97,0,0,126.956277266691,37.2181605127818,239,다사517133
신남초등학교병설유치원,공립(병설),20220901,82,7,16,37,0,0,126.817665482245,37.1912893405236,60,다사394104
신동탄재크와콩나무유치원,사립(사인),20100301,500,58,58,84,0,0,127.043790158345,37.2016295071972,200,다사595115
아뜰리에유치원,사립(사인),20240905,79,23,0,0,5,0,127.06541683049672,37.20098337452343,23,다사614114
아이가행복한유치원,사립(법인),20200301,90,9,0,0,52,0,127.123897761697,37.1892961350404,9,다사666101
아이들세상유치원,사립(사인),20060306,304,53,62,65,0,0,127.047533892973,37.2132494384901,180,다사598128
아이리더유치원,사립(사인),20200618,128,36,44,44,0,0,127.114881244079,37.1716587007955,124,다사658081
아이숲유치원,공립(단설),20170306,230,63,69,72,0,5,127.1090010936,37.1819787225,204,다사652093
아이원유치원,사립(사인),20161101,542,213,129,114,0,0,127.1171641698,37.179602961,456,다사660090
아인초등학교병설유치원,공립(병설),20150301,58,3,9,13,0,0,127.105293456688,37.2008092699772,25,다사649114
아침해유치원,사립(사인),20160301,280,70,87,98,0,0,126.821621827432,37.2011168226591,255,다사397115
안녕초등학교병설유치원,공립(병설),20070301,38,0,0,10,11,3,127.008533755575,37.2058918393015,10,다사563120
안화초등학교병설유치원,공립(병설),20040301,62,9,12,11,0,0,127.047278398045,37.2127391696224,32,다사598127
여울초등학교병설유치원,공립(병설),20210301,58,14,20,24,0,0,127.088809315887,37.195132484841,58,다사635107
영천유치원,공립(단설),20150323,211,73,59,48,0,2,127.107324394631,37.2050733612964,180,다사651118
예당초등학교병설유치원,공립(병설),20080901,84,26,9,17,0,0,127.075213466101,37.2105873312419,52,다사623125
예솔초등학교병설유치원,공립(병설),20150901,58,5,8,10,0,0,127.119202922151,37.1966479297693,23,다사662109
예원유치원,사립(사인),20000301,192,33,34,40,0,0,127.052293052353,37.211782009983,107,다사602126
예일유치원,사립(사인),20040823,256,24,30,34,0,0,126.986919521185,37.2202081818474,88,다사544136
오즈의마법사유치원,사립(사인),20090224,192,54,65,71,0,0,127.069692440291,37.188283753769,190,다사618100
와우초등학교병설유치원,공립(병설),20070901,44,0,20,24,0,0,126.97241101,37.2202120482497,44,다사531136
요술램프유치원,사립(사인),20210301,218,56,71,78,0,0,127.12808775823176,37.16750084489867,205,다사669077
우림유치원,사립(사인),20010904,275,25,31,59,0,0,126.806289222243,37.2051901794298,115,다사384120
우정초등학교병설유치원,공립(병설),19810305,18,0,0,0,10,0,126.800042841102,37.0815215414226,0,다바377983
윤정유치원,사립(사인),20170918,153,36,19,11,0,0,127.0890638922,37.2087674532,66,다사635122
율목초등학교병설유치원,공립(병설),20070902,58,4,11,14,0,0,127.0639338452,37.2366058712,29,다사613153
이룸유치원,사립(사인),20120301,199,5,16,15,0,0,126.902586163592,37.0949636456951,36,다바469997
이솔초등학교병설유치원,공립(병설),20210301,58,5,20,21,0,0,127.109765950561,37.1634418600878,46,다사653072
이지유치원,사립(사인),20090901,575,66,119,108,0,0,126.927262998201,37.1278193317974,293,다사491033
인성유치원,사립(사인),20170401,512,67,75,76,0,0,127.0908551808,37.1881716515,218,다사636100
자연유치원,사립(사인),20020315,203,40,44,42,0,0,127.057494233385,37.2334919850525,126,다사607150
정남초등학교병설유치원,공립(병설),19810307,18,0,0,0,8,0,126.984488472987,37.1678927869107,0,다사542078
정림초등학교병설유치원,공립(병설),19840901,20,0,0,0,5,0,127.011491225568,37.1528743152009,0,다사566061
정현초등학교병설유치원,공립(병설),20180301,58,11,12,19,0,0,127.11331992393,37.1717133664412,42,다사656081
제암초등학교병설유치원,공립(병설),20040301,42,0,0,11,6,3,126.902113882533,37.131153869913,11,다사468037
제이라온유치원,사립(사인),20180301,304,23,51,46,0,0,126.9009123826,37.099929644,120,다사467003
중앙유치원,사립(사인),20160301,128,36,44,35,0,0,127.11142402885184,37.20194244490599,115,다사655115
지예린유치원,사립(사인),20080301,223,45,31,43,0,0,127.044496613999,37.2091344358517,119,다사595123
지은유치원,사립(사인),20070122,180,30,30,46,0,0,126.898597816801,37.1127445997675,106,다사465017
진성유치원,사립(사인),20070301,370,23,18,28,0,0,127.041878340948,37.2099324552874,69,다사593124
진안초등학교병설유치원,공립(병설),20040901,18,0,0,0,3,0,127.040545310214,37.2170057223233,0,다사592132
창의샘유치원,사립(사인),20120301,430,64,79,67,0,0,127.066572188208,37.1928895698218,210,다사615105
청계유치원,공립(단설),20150301,206,56,43,67,0,3,127.10789308,37.2010793109,166,다사652114
청룡초등학교병설유치원,공립(병설),19850902,18,0,0,0,3,0,126.888624112294,37.2008437949181,0,다사457115
청림초등학교병설유치원,공립(병설),20190301,58,11,10,20,0,0,127.11122004669728,37.174613240725655,41,다사654084
청목초등학교병설유치원,공립(병설),20150630,58,13,14,22,0,4,127.117430721268,37.1957489251837,49,다사660108
청연초등학교병설유치원,공립(병설),20250301,116,28,40,44,0,0,126.866967994423,37.2464945240656,112,다사438165
청원초등학교병설유치원,공립(병설),19820308,18,0,0,0,6,0,126.761349022707,37.1879659796109,0,다사344101
치동초등학교병설유치원,공립(병설),20170701,58,3,8,13,0,0,127.0915666303,37.2065525651,24,다사637120
태안초등학교병설유치원,공립(병설),20040901,42,0,0,8,9,2,127.040864761216,37.2106583829593,8,다사592125
팔탄초등학교대방분교장병설유치원,공립(병설),19810310,18,0,0,0,5,0,126.870155958408,37.1619011869234,0,다사440072
팔탄초등학교병설유치원,공립(병설),19810310,18,0,0,0,5,0,126.902404181729,37.1599985673963,0,다사469069
푸른초등학교병설유치원,공립(병설),20080301,38,0,0,14,11,2,127.055294654031,37.2023898699354,14,다사605116
하길유치원,공립(단설),20180301,134,42,37,46,0,7,126.9021068465,37.1123256983,125,다사468016
하길초등학교병설유치원,공립(병설),20160304,58,4,8,15,0,0,126.904073891,37.1156071816,27,다사470020
하늘빛유치원,공립(단설),20130301,116,27,39,30,0,9,127.0768574999,37.2107158065,96,다사624125
학동초등학교병설유치원,공립(병설),20070406,58,10,10,13,0,0,127.066051754912,37.2052845126775,33,다사614119
학촌유치원,사립(사인),20080301,450,106,129,104,0,0,126.960516533853,37.212735445743,339,다사521127
한마음초등학교병설유치원,공립(병설),20080301,62,11,4,18,0,2,127.056402978995,37.2079674086213,33,다사606122
한백초등학교병설유치원,공립(병설),20150309,58,14,20,17,0,0,127.114718767441,37.2083427030344,51,다사658122
한빛유치원,사립(사인),19990302,324,21,34,34,0,0,127.043582150618,37.2019081413467,89,다사594115
한율초등학교병설유치원,공립(병설),20180302,58,10,14,20,0,0,127.12299782,37.186687892,44,다사665098
해아뜰유치원,사립(사인),20161101,140,41,43,37,0,0,127.11598691901337,37.2006473094559,121,다사659113
해오름유치원,사립(사인),20020315,282,74,78,103,0,0,127.06257140744,37.2326617280608,255,다사611149
해운초등학교병설유치원,공립(병설),19810310,18,0,0,0,13,0,126.703415554895,37.1395778516941,0,다사292048
행복한아이들유치원,사립(사인),20070301,386,76,77,62,0,0,127.044791989766,37.2062055871101,215,다사596120
향남유치원,공립(단설),20180302,158,26,44,43,0,7,126.9077893078,37.1061958002,113,다사473010
향남초등학교병설유치원,공립(병설),19850311,18,0,0,0,4,0,126.943675981999,37.1197532304326,0,다사505024
현민초등학교병설유치원,공립(병설),20250818,58,4,13,14,0,0,127.12983936813,37.1829064399778,31,다사671094
호연초등학교병설유치원,공립(병설),20210301,102,14,30,46,0,0,127.104881501332,37.1630275622654,90,다사649072
화남초등학교병설유치원,공립(병설),20200301,60,7,12,20,0,0,127.096035464284,37.1638586271203,39,다사641073
화산초등학교병설유치원,공립(병설),19850301,38,0,0,6,6,0,127.014084389957,37.2110878864829,6,다사568125
화성금곡초등학교병설유치원,공립(병설),20070301,58,6,15,13,0,0,127.066217943731,37.1986345539067,34,다사615111
화성매송초등학교병설유치원,공립(병설),19820301,18,0,0,0,10,0,126.928989822828,37.2493808284188,0,다사493168
화성바른초등학교병설유치원,공립(병설),20250818,58,11,9,17,0,0,127.139034211511,37.1820732550996,37,다사679093
화성반월초등학교병설유치원,공립(병설),20150301,62,12,18,21,0,3,127.059268923796,37.2235904039467,51,다사609139
화성벌말초등학교병설유치원,공립(병설),20040915,38,0,0,6,10,0,127.037959219841,37.2025822277379,6,다사589116
화성신동초등학교병설유치원,공립(병설),20230301,58,14,20,24,0,0,127.12977266218,37.1746553764326,58,다사671084
화성월문초등학교병설유치원,공립(병설),19850906,18,0,0,0,7,0,126.872922334586,37.1185888364878,0,다사442023
화성장안초등학교병설유치원,공립(병설),19810305,20,0,0,0,10,0,126.823874015357,37.0860433677198,0,다바399988
화성청계초등학교병설유치원,공립(병설),20150422,58,8,13,17,0,0,127.102105506759,37.1991920036926,38,다사646112
화성화수초등학교병설유치원,공립(병설),19810301,18,0,0,0,8,0,126.797029870175,37.1091364379494,0,다사375013
화원초등학교병설유치원,공립(병설),20150301,58,10,16,23,0,0,126.919063878206,37.1117072592186,49,다사483016
활초초등학교병설유치원,공립(병설),19850311,18,0,0,0,5,0,126.825095254688,37.1787689118386,0,다사400091
효행초등학교병설유치원,공립(병설),20170301,62,13,17,21,0,4,126.9682872649,37.215965444,51,다사528131
감일유치원,공립(단설),20210301,232,54,75,87,0,7,127.15885343538493,37.507688024690346,216,다사698454
감일초등학교병설유치원,공립(병설),20190904,74,24,19,15,0,3,127.1622477416847,37.500175790585786,58,다사701445
구산유치원,공립(단설),20150309,174,42,56,55,0,4,127.185989021913,37.5701587795031,153,다사722523
금강유치원,사립(사인),20041220,340,90,106,101,0,0,127.218934806753,37.5421132198931,297,다사751492
나룰초등학교병설유치원,공립(병설),20100301,38,0,0,19,7,0,127.209192504431,37.5485586668221,19,다사743499
단가람유치원,공립(단설),20210901,174,41,55,69,0,8,127.163134355541,37.5065125967202,165,다사702453
단샘초등학교병설유치원,공립(병설),20210901,58,10,14,19,0,0,127.158743549685,37.5071768525879,43,다사698453
달봄유치원,공립(단설),20170901,120,27,33,30,0,4,127.1825323863,37.5692348409,90,다사719522
덕풍초등학교병설유치원,공립(병설),19970901,38,0,0,8,5,0,127.197647472236,37.5413512656177,8,다사732491
동부초등학교병설유치원,공립(병설),19860310,42,0,0,12,12,4,127.202427306594,37.5374253764596,12,다사737487
망월초등학교병설유치원,공립(병설),19810301,62,8,8,13,0,3,127.180634110485,37.5708474694978,29,다사717524
미담유치원,공립(단설),20170403,178,42,51,66,0,4,127.1881607465,37.5729741395,159,다사724526
미사강변초등학교병설유치원,공립(병설),20140901,38,0,0,6,14,0,127.186004864664,37.5758256216494,6,다사722529
미사랑유치원,공립(단설),20170901,124,26,40,39,0,7,127.1894259679,37.5576371836,105,다사725509
미사중앙초등학교병설유치원,공립(병설),20150301,58,10,11,20,0,0,127.198869526847,37.559224667258,41,다사734511
미사초등학교병설유치원,공립(병설),20140701,58,14,20,15,0,0,127.193232175508,37.5717164317451,49,다사729525
새싹유치원,사립(사인),19950301,180,18,16,19,0,0,127.224514281473,37.5405300638153,53,다사756490
서부초등학교병설유치원,공립(병설),19830312,18,0,0,0,12,0,127.161805127796,37.5158132185989,0,다사701463
소화유치원,사립(법인),20040409,152,36,44,52,0,0,127.204849095522,37.5411414418719,132,다사739491
신우초등학교병설유치원,공립(병설),20210901,120,28,28,36,0,2,127.161079359333,37.5109952080278,92,다사700458
신장초등학교병설유치원,공립(병설),19860301,58,11,7,11,0,0,127.208004822649,37.5426716795825,29,다사742493
신평초등학교병설유치원,공립(병설),20060301,38,0,0,9,10,0,127.219952098826,37.5437901805932,9,다사752494
써니힐유치원,사립(법인),19800522,261,54,88,96,0,0,127.20459827197,37.5470305625497,238,다사739497
위례송하유치원,공립(단설),20210901,256,56,66,105,0,3,127.156961559525,37.4847085982174,227,다사696428
위례숲초등학교병설유치원,공립(병설),20210301,34,5,10,0,0,0,127.1581164853,37.4851686444,15,다사697429
위례유치원,공립(단설),20160328,178,42,53,65,0,3,127.15197345037714,37.47724981618197,160,다사692420
위례초등학교병설유치원,공립(병설),20151109,58,14,10,6,0,0,127.149413851449,37.4771218937111,30,다사690420
윤슬초등학교병설유치원,공립(병설),20160502,58,10,11,18,0,0,127.18251429898729,37.5636775330822,39,다사719516
창우초등학교병설유치원,공립(병설),19950306,94,8,10,14,0,0,127.223754718484,37.5406580849102,32,다사755490
하남유치원,사립(사인),19970627,246,69,66,78,0,0,127.221572807908,37.5433651087816,213,다사754493
하남천현초등학교병설유치원,공립(병설),19940301,18,0,0,0,8,0,127.216118762607,37.5380864284789,0,다사749487
하남초등학교병설유치원,공립(병설),19950309,38,0,0,7,11,0,127.222166344766,37.5374265957143,7,다사754487
하남풍산초등학교병설유치원,공립(병설),20080303,18,0,0,0,5,0,127.201391880311,37.5543853901493,0,다사736506
한홀초등학교병설유치원,공립(병설),20160502,58,5,12,17,0,0,127.185617460831,37.5603826155193,34,다사722512
향기로운유치원,사립(사인),20180625,220,54,64,62,0,0,127.1886702603,37.5505781844,180,다사725501
꿀벌유치원,사립(사인),19980304,120,33,22,31,0,0,127.144569665963,37.4909201831394,86,다사685435
동화나라유치원,사립(사인),19911130,220,68,55,47,0,0,127.115422090332,37.5288140038853,170,다사660477
란키즈유치원,사립(사인),20170307,98,32,37,22,0,0,127.1262886928,37.480765162,91,다사669424
리아유치원,사립(사인),19890901,159,46,58,48,0,0,127.13526795732774,37.513364429522696,152,다사677460
리틀바움유치원,사립(사인),20041028,95,35,29,14,0,0,127.118176325976,37.5289806781026,78,다사662478
삼성유치원,사립(사인),20050205,175,50,53,59,0,0,127.130145334416,37.4902061937898,162,다사673435
생명나무유치원,사립(사인),20090421,200,59,43,39,0,0,127.129196057209,37.4780032542902,141,다사672421
서울가락초등학교병설유치원,공립(병설),19960115,94,8,18,27,0,5,127.107605159099,37.5000214192915,53,다사653446
서울거여초등학교병설유치원,공립(병설),19850305,90,13,15,27,0,4,127.140971321498,37.5051643481187,55,다사682451
서울거원초등학교병설유치원,공립(병설),20170908,76,5,17,19,0,2,127.1449343188,37.4876238569,41,다사686432
서울방이초등학교병설유치원,공립(병설),20140519,72,5,17,17,0,3,127.120499634451,37.5134316242483,39,다사664460
서울세륜초등학교병설유치원,공립(병설),19990317,52,8,12,12,0,3,127.134164155592,37.5185584042229,32,다사676466
서울솔가람유치원,공립(단설),20140301,108,23,27,24,0,3,127.140969811702,37.4780179842293,74,다사682421
서울솔가람유치원분원,공립(단설),20200301,66,17,11,14,0,0,127.136567201579,37.4750210600157,42,다사678418
서울솔방울유치원,공립(단설),20210301,104,27,34,38,0,4,127.117388716809,37.5048493294901,99,다사661451
서울송전초등학교병설유치원,공립(병설),20070301,52,9,10,14,0,0,127.09513122481,37.5088180634146,33,다사642455
서울송파위례유치원,공립(단설),20220301,118,40,28,34,0,3,127.147350510962,37.4846780876415,102,다사688428
서울송파초등학교병설유치원,공립(병설),20200301,52,7,12,20,0,0,127.11111896358,37.5071373684234,39,다사656453
서울신천초등학교병설유치원,공립(병설),19860301,74,14,26,12,0,2,127.09503398411,37.5139996432474,52,다사642461
서울아주초등학교병설유치원,공립(병설),20220307,52,6,12,14,0,0,127.07576789924,37.5058268902843,32,다사625452
서울영풍초등학교병설유치원,공립(병설),20180301,56,7,12,17,0,3,127.1430149311,37.496218195,36,다사684441
서울위례별유치원,공립(단설),20160526,178,24,41,46,0,6,127.145616413948,37.477746438627,111,다사686421
서울위례솔초등학교병설유치원,공립(병설),20230306,90,13,30,34,0,4,127.150753871028,37.486734037842,77,다사691431
서울잠신초등학교병설유치원,공립(병설),19990318,38,0,6,12,0,4,127.087943985829,37.5141490841601,18,다사635461
서울잠일초등학교병설유치원,공립(병설),19870104,52,14,17,20,0,0,127.081635769294,37.5147416352064,51,다사630462
서울평화초등학교병설유치원,공립(병설),20130524,52,10,15,14,0,0,127.12282530613,37.4915693471698,39,다사666436
석촌유치원,사립(사인),19850401,300,88,73,89,0,0,127.106689294926,37.5028765889309,250,다사652449
송파유정유치원,사립(사인),20110301,384,125,138,121,0,0,127.133075214494,37.485702201822,384,다사675430
수정유치원,사립(사인),19900301,120,21,39,26,0,0,127.115313275713,37.5159738054979,86,다사660463
아이코리아부속새세대유치원,사립(법인),19830302,120,24,40,18,0,0,127.134042568856,37.4827541355324,82,다사676426
아주유치원,사립(사인),19970709,100,27,39,34,0,0,127.146186766308,37.4884652154823,100,다사687433
예은유치원,사립(사인),19850206,240,34,37,56,0,0,127.120412090358,37.5047323164537,127,다사664451
올림픽유치원,사립(사인),19890301,210,40,42,35,0,0,127.1305677246704,37.5130633774922,117,다사673460
우일유치원,사립(사인),19891228,287,76,110,101,0,0,127.11287869248,37.5287615277254,287,다사657477
위례우일유치원,사립(사인),20150109,264,69,96,99,0,0,127.157789599858,37.4965530773196,264,다사697441
은선유치원,사립(법인),19900302,161,50,51,60,0,0,127.126326271088,37.4921663583594,161,다사669437
의명유치원,사립(사인),19850916,220,48,36,53,0,0,127.126875828666,37.506329390393,137,다사670452
잠실럭키유치원,사립(사인),20120307,132,40,44,48,0,0,127.0907761592884,37.513292123819866,132,다사638460
장미유치원,사립(법인),19931222,76,19,18,25,0,0,127.100826414607,37.5179276514426,62,다사647465
제일무궁화유치원,사립(사인),19880203,310,56,78,77,0,0,127.130995398711,37.4947418061202,211,다사673440
티움유치원,사립(사인),20120403,94,36,28,29,0,0,127.115263010479,37.5010975953631,93,다사659447
한가람유치원,사립(사인),19961219,88,13,12,25,0,0,127.114750494951,37.5369772020397,50,다사659486
햇빛유치원,사립(사인),20090311,246,95,82,69,0,0,127.114124483968,37.5204911422062,246,다사659468
혜림유치원,사립(사인),20090817,120,37,40,32,0,0,127.135226888172,37.4943466302217,109,다사677439
홍익가족유치원,사립(사인),20160701,131,44,41,46,0,0,127.094959532052,37.5061674774508,131,다사642452
건영장안유치원,사립(사인),19940706,190,36,44,39,0,0,127.141022089185,37.3714848082304,119,다사682303
검단초등학교병설유치원,공립(병설),19850301,58,11,10,15,0,0,127.143834095877,37.4295915814352,36,다사684367
고등나래유치원,공립(단설),20210901,154,31,43,48,0,4,127.096501133392,37.4269722347663,122,다사642365
꾸러기유치원,사립(사인),19941208,106,34,31,25,0,0,127.12571859196,37.40302528854,90,다사668338
꿈터유치원,사립(사인),19950902,144,48,44,41,0,0,127.112704018612,37.3461342156115,133,다사656275
누리봄유치원,사립(사인),20110301,162,28,30,40,0,0,127.119217104184,37.3729444570953,98,다사662304
늘푸른초등학교병설유치원,공립(병설),20040301,18,0,0,0,9,0,127.105546438312,37.3583243138225,0,다사650288
다올유치원,사립(사인),19951017,180,34,20,40,0,0,127.112761328646,37.3487150670603,94,다사657278
단남초등학교병설유치원,공립(병설),19870310,44,0,10,18,0,0,127.16144144904234,37.44237487824819,28,다사700381
