link_id,road_name,road_rank,max_speed,length,accident_cnt,accident_uids
571709337,백제고분로48길,104,30,0.481,15,3506|4031|4085|4210|4466|4467|4503|4703|4966|5222|5356|5372|5665|5971|5978
571700825,올림픽로12길,104,30,0.363,15,3566|3639|3725|3727|3836|4004|4372|4414|4700|4855|5009|5333|5567|5852|5925
571774557,송파대로,103,50,0.224,15,3571|3601|3648|3660|3705|3712|3767|3841|3955|4052|4185|4459|4685|4740|5923
572544887,서현로,105,60,0.526,14,50|75|429|522|730|740|812|891|905|1024|1109|1458|1495|1539
571709343,올림픽로32길,104,30,0.332,14,3911|3958|4115|4172|4188|4715|5134|5171|5310|5380|5483|5704|5819|5915
571703935,백제고분로,104,50,0.141,14,4010|4186|4479|4675|4682|4750|4913|4942|5422|5489|5701|5849|5933|5958
571773439,송파대로,103,50,0.434,14,4087|4359|4532|4544|4553|4614|4661|4767|5089|5258|5344|5456|5492|5785
571611189,가락로,104,40,0.305,13,3523|3650|4005|4137|4268|4299|4484|4499|4739|5464|5631|5787|5817
571772568,올림픽로,104,50,0.425,13,3561|3680|3733|3919|4492|4562|4575|4701|4868|5104|5183|5229|5413
571682216,송파대로,103,50,0.476,13,3714|3975|4047|4048|4059|4089|4697|5052|5080|5121|5522|5591|5955
572775141,,107,40,0.266,13,6083|6209|6224|6230|6445|6454|6482|6524|6620|6833|6841|6865|7111
572643000,성내천로,104,30,0.539,12,3629|3696|4138|4418|4540|4766|4854|4931|5020|5223|5484|5865
478244114,평택화성고속도로,101,100,3.774,12,7509|7554|7687|7839|8848|9210|9632|9856|10042|10477|10582|10781
572610748,탄리로,107,30,0.463,11,1655|1718|1752|1831|1967|1973|2133|2211|2251|2263|2365
572644164,제일로,107,30,0.254,11,1702|1705|1771|1794|1885|1946|1968|2052|2073|2344|2350
572610805,수정로,107,50,0.281,11,1793|1804|1822|2146|2196|2321|2324|2406|2408|2437|2477
572610198,산성대로,107,60,0.308,11,1867|1917|2048|2281|2366|2409|2491|2518|2987|3101|3156
572611503,둔촌대로,107,60,0.287,11,2548|2572|2644|2794|2797|2942|3085|3189|3213|3252|3287
571665529,백제고분로,104,50,0.16,11,3518|3558|3621|3842|4189|4567|4604|4786|5747|5770|5911
571668621,탄천동로,104,50,1.32,11,3528|3536|3720|3831|3959|4400|4887|4943|5305|5850|5917
571550878,분당내곡간고속화도로,102,80,1.996,10,60|86|178|315|394|459|1014|1397|1493|1516
571501057,성남대로,107,70,0.114,10,77|685|929|939|983|1008|1047|1065|1078|1100
571542731,,107,60,0.328,10,377|378|690|697|963|1204|1276|1347|1543|1645
571774523,송파대로,103,50,0.266,10,3534|4287|4354|4578|4705|4877|5010|5030|5443|5501
571709889,백제고분로19길,104,30,0.058,10,3604|3710|4187|4413|5048|5064|5166|5467|5597|5779
572704376,수도권제1순환고속도로,101,100,1.655,10,6043|6198|6282|6374|6421|6590|6616|6689|6803|6819
476341015,화성로,106,70,1.139,10,7228|7555|7618|7820|8007|8443|8571|8693|9147|10631
572648179,산성대로,107,60,0.135,9,1773|1994|2172|2442|2459|2460|2733|2843|3464
572611295,박석로,107,30,0.632,9,2675|2938|2988|2992|3291|3293|3354|3364|3425
572611541,산성대로372번길,107,40,0.279,9,2769|2943|3053|3057|3097|3370|3395|3442|3462
572610123,양산로,104,50,0.105,9,3509|3556|3801|3967|4389|4679|4747|4819|5268
571705836,오금로,104,50,0.166,9,3535|4344|4417|4610|4954|5244|5506|5754|5939
571704385,백제고분로,104,50,0.329,9,3553|3715|3998|4136|4161|4265|4355|5416|5479
572672485,송파대로,103,50,0.349,9,3627|3753|4273|4500|5031|5073|5214|5312|5863
571723797,석촌호수로,104,50,0.176,9,3684|4159|4245|4650|5000|5284|5423|5720|5961
572672339,송파대로,103,50,0.372,9,3915|3970|4851|4933|4998|5074|5193|5347|5511
572775061,조정대로,103,50,0.147,9,6001|6118|6330|6424|6436|6612|6737|6868|6975
571365894,동탄순환대로,107,60,0.14,9,7518|7604|7732|8409|8562|9152|9282|9767|10556
571540565,분당수서간고속화도로,102,60,1.433,8,70|844|911|1075|1184|1529|1533|1596
571557885,수도권제1순환고속도로,101,100,4.683,8,568|589|1186|1283|1466|1518|1520|2521
572644121,남문로,107,30,0.26,8,1668|1952|1991|1999|2081|2345|2449|2451
572647416,남한산성로,106,30,3.304,8,1708|1790|1908|1958|2364|2759|2841|3272
571668228,분당내곡간고속화도로,102,80,1.532,8,1725|1819|1827|1936|1981|2297|2475|2544
572651892,산성대로,107,60,0.571,8,1755|1907|2320|2349|2514|2530|2691|3132
572611440,수정로,107,50,0.29,8,1838|2024|2092|2226|2232|2301|2303|2469
572611043,광명로,107,30,0.357,8,2550|2717|2900|3007|3015|3106|3193|3226
572672167,성남대로,103,60,0.072,8,2593|2672|2872|2993|2994|3013|3119|3182
571759941,올림픽로,104,50,0.246,8,3490|3507|3545|3859|3934|4748|5190|5457
572610668,오금로,104,50,0.279,8,3551|3775|4255|4296|4572|4988|5388|5598
571611192,가락로,104,40,0.167,8,3605|3867|3886|4120|4833|5286|5445|5966
572672338,송파대로,103,50,0.348,8,3607|3858|3903|4162|4180|4464|5158|5595
571774414,올림픽로,104,50,0.572,8,3655|4038|4326|5594|5737|5790|5853|5929
571649581,삼학사로,104,50,0.46,8,4163|4225|4514|4662|4955|5067|5699|5977
571703491,올림픽대로,102,80,0.396,8,4230|4518|4676|4873|5342|5381|5872|5902
571371258,,107,40,0.259,8,7749|8270|8286|9596|10067|10224|10251|10363
571558527,수도권제1순환고속도로,101,100,2.507,7,100|1224|1719|1978|2183|2435|3375
572541637,서현로,105,60,0.384,7,127|231|330|561|639|747|1031
571551086,경부고속도로,101,60,0.309,7,311|617|630|786|899|1318|1420
571544654,분당내곡간고속화도로,102,80,2.197,7,391|552|866|1140|1262|1362|1486
572611153,수정로,107,50,0.218,7,1681|1862|2208|2210|2249|2299|2389
572611211,수정로,107,30,0.287,7,1682|1737|1787|1904|2018|2315|2425
572672282,성남대로,103,60,0.294,7,1750|1814|1930|2163|2304|2462|2483
572660906,위례서일로,107,30,0.311,7,1785|1880|1898|1944|1953|2227|2259
571606628,수도권제1순환고속도로,101,100,3.246,7,1833|1923|2158|2247|2361|2390|3510
572648159,산성대로,107,60,0.102,7,1864|2064|2149|2837|3048|3173|3311
572648280,산성대로,107,60,0.124,7,1962|2607|2752|2756|2846|2975|3009
572610770,희망로,107,40,0.338,7,2553|2728|2803|2964|3088|3368|3377
572611075,둔촌대로,107,60,0.23,7,2562|2600|2639|2822|3151|3284|3423
572648067,둔촌대로,107,60,0.24,7,2597|2697|2979|3027|3152|3434|3451
572672194,성남대로,103,70,0.088,7,2681|2919|3079|3245|3394|3408|3467
572650452,둔촌대로,107,60,0.117,7,2762|3059|3071|3086|3109|3175|3217
572610829,박석로,107,30,0.247,7,2821|2867|2959|3037|3047|3099|3233
571772627,올림픽로,104,50,0.141,7,3488|3793|4110|4660|5144|5411|5600
571611313,송이로,104,40,0.195,7,3496|3845|4342|4691|5090|5182|5813
571774558,송파대로,103,50,0.062,7,3501|4027|4257|4473|4745|5707|5892
572672423,송파대로,104,50,0.076,7,3513|3906|4674|4801|5177|5280|5671
571772817,백제고분로,104,50,0.142,7,3540|3853|3856|4717|4814|5710|5716
572646607,마천로,104,40,0.333,7,3569|3587|3964|4145|4512|4908|5040
571724534,,104,30,0.054,7,3588|3747|4094|4606|4965|5054|5633
571658856,중대로,104,50,0.13,7,3602|3730|4232|4242|5656|5820|5885
571719798,오금로,104,50,0.22,7,3622|3667|3803|4353|4371|5496|5535
572610003,문정로4길,104,30,0.394,7,3700|3888|3983|4336|5515|5635|5803
571703515,삼학사로,104,50,0.251,7,3721|3781|3809|4530|4995|5543|5956
572610469,송이로,104,50,0.464,7,3737|3978|4497|4517|4563|5042|5521
571704506,오금로,104,50,0.268,7,3772|3960|4349|4749|5061|5102|5343
571728938,올림픽로,104,50,0.196,7,3778|3893|4857|4990|5006|5554|5765
571702991,올림픽로,104,50,0.366,7,3789|3874|4233|4777|4780|5173|5217
571702394,백제고분로50길,104,30,0.482,7,3887|4167|4522|4794|5365|5517|5526
572671422,송파대로,103,50,0.142,7,3945|3963|4209|4654|4673|5550|5580
571704598,강동대로,104,50,0.204,7,4108|4388|4486|4523|5088|5260|5893
571682236,송파대로,103,50,0.106,7,4142|4153|4652|5085|5359|5466|5610
571682930,송파대로,103,50,0.317,7,4434|4485|5046|5175|5206|5238|5936
572782634,양재대로,104,50,0.397,7,4620|4771|4781|5221|5398|5437|5459
572766740,미사강변중앙로,107,40,0.122,7,6101|6144|6275|6352|6452|6456|7053
478210131,서해안고속도로,101,110,1.551,7,7154|7914|8839|9087|9248|9953|10253
478359202,푸른들판로,107,30,0.733,7,7255|7420|7497|8176|8268|9391|10692
571358526,효행로,105,50,0.227,7,7294|7439|7973|8576|9693|9851|10257
571351566,여울로,107,30,0.433,7,7614|7928|8155|8319|8688|9781|10470
571364568,동탄문화센터로,107,30,0.164,7,7682|8225|9433|9451|9800|9830|10324
571376792,동탄순환대로,107,60,0.253,7,7870|8133|8263|8589|9149|9531|9930
571347470,동탄지성로,107,60,0.162,7,7879|8511|10170|10277|10468|10500|10813
571501766,경부고속도로,101,110,0.508,6,4|138|321|340|622|1160
572541161,서현로,105,60,0.136,6,71|399|603|958|1080|1385
571554838,,107,80,0.272,6,111|274|731|934|987|1449
572544942,성남대로,107,60,0.12,6,119|188|573|922|960|1546
571557634,서현로,105,60,0.328,6,124|352|380|526|1223|1499
571501772,경부고속도로,101,110,0.643,6,208|344|372|458|1266|1459
571544437,돌마로,107,50,0.226,6,237|544|780|884|916|1576
571548518,서현로,105,60,0.225,6,483|583|655|736|1016|1467
571555096,백현로,107,50,0.191,6,530|851|1336|1417|1545|1637
572548446,,107,30,0.214,6,608|636|793|982|1143|1268
571558019,수도권제1순환고속도로,101,100,3.107,6,870|1687|1712|1902|1996|2331
572610660,태평로,107,30,0.759,6,1709|1853|2033|2224|2288|2465
2023001775,금상로77번길,107,30,0.236,6,2566|2630|3160|3288|3315|3431
572672125,성남대로,103,60,0.093,6,2569|3100|3346|3356|3437|3456
572648148,산성대로,107,60,0.065,6,2575|2760|2785|2879|2883|3116
572645854,광명로,107,30,0.3,6,2655|2781|2789|2935|3138|3190
572671988,성남대로,103,70,0.067,6,2702|2757|2855|3159|3194|3355
571681975,여수대로,107,70,0.477,6,2736|2755|3162|3376|3393|3474
572611573,광명로,107,30,0.145,6,2742|2840|2916|3029|3135|3164
572648869,둔촌대로,107,60,0.111,6,2805|3092|3246|3265|3337|3371
571711106,올림픽대로,102,80,0.638,6,3504|4220|4330|4332|4502|4971
571644564,삼학사로1길,104,40,0.363,6,3529|3782|4269|4920|5439|5694
572649670,송파대로,103,50,0.376,6,3537|4057|4447|4677|4696|5768
571651876,,104,30,0.207,6,3546|4303|4751|5170|5265|5795
571723765,석촌호수로,104,50,0.084,6,3630|4042|4086|4306|5138|5564
571773318,송파대로,103,50,0.255,6,3649|4201|4656|4730|4937|5826
571682224,송파대로,103,50,0.185,6,3656|5043|5049|5527|5722|5848
571681998,새말로,104,50,0.131,6,3672|3927|4251|4376|4706|5493
571681910,송파대로,103,50,0.097,6,3694|3717|3854|3930|4710|5289
571760255,석촌호수로,104,50,0.058,6,3697|3929|4455|4469|5024|5453
571611326,송파대로,103,50,0.311,6,3799|4435|5112|5201|5362|5529
571701442,올림픽로,104,50,0.095,6,3843|4385|4409|4576|5140|5218
571669083,분당수서간고속화도로,102,80,1.093,6,4006|4150|4867|5278|5438|5708
571701752,가락로,104,30,0.329,6,4117|4765|4986|5163|5510|5698
572610011,마천로,104,40,0.229,6,4149|4291|4453|4967|5330|5949
572749743,동남로,104,50,0.258,6,4202|4204|4680|5371|6199|6505
571701541,올림픽로,104,50,0.033,6,4274|4465|4813|5412|5666|5957
571774542,송파대로,103,50,0.348,6,4977|5069|5207|5209|5776|5784
572747922,창우로,107,50,0.327,6,6008|6164|6177|6675|6688|6878
572769541,천호대로,103,50,0.657,6,6051|6168|6613|6739|6851|6908
572763876,아리수로,107,60,0.026,6,6204|6407|6572|6956|6995|7118
572781562,조정대로,107,50,0.844,6,6205|6621|6858|6883|6981|7026
572742688,중부고속도로,101,110,1.018,6,6287|6578|6672|6879|7054|7065
572765002,미사강변중앙로198번길,107,60,0.227,6,6318|6399|6577|6775|6805|6982
572772666,수도권제1순환고속도로,101,100,0.499,6,6474|6488|6489|6504|6892|7042
571350251,동탄원천로,107,60,0.746,6,7135|7236|7446|10273|10558|10594
478310131,효행로,105,50,0.697,6,7149|7238|8380|8755|9692|10261
571343595,효행로,105,50,0.134,6,7180|8764|8875|9276|9533|10298
571343594,효행로,105,50,0.195,6,7185|7208|7570|7909|9631|9717
571369854,동탄대로,107,60,0.065,6,7222|7456|9723|10090|10183|10524
571254758,동탄순환대로,107,40,0.315,6,7240|7768|7912|7952|8516|9219
477342161,화성로,106,70,0.6,6,7254|7361|8360|8456|9477|10041
571348003,동탄반석로,107,60,0.248,6,7289|8519|8573|8858|9563|10375
478242701,포승향남로,103,70,1.434,6,7298|8424|9356|9548|9703|10686
571348989,효행로,105,50,0.176,6,7454|7697|8838|10039|10128|10236
478244112,평택화성고속도로,101,100,3.78,6,7486|8379|8640|9008|9078|10527
571343481,반정로,107,50,1.212,6,7528|8022|8181|8413|8760|9918
478343480,서해로,103,70,1.729,6,7627|8122|8300|8390|9587|10660
571350177,동탄원천로,107,60,0.164,6,7664|8253|8560|8710|10187|10620
571370748,,107,40,0.188,6,7737|7846|9765|9780|9852|10717
478343815,서해로,103,70,0.651,6,7864|8276|8728|9737|10699|10726
571372385,동탄순환대로,107,60,0.147,6,7880|8503|9690|9777|10250|10780
571351484,동탄원천로,107,60,0.457,6,7976|8331|9118|9142|9294|10511
571346888,10용사로,107,60,0.46,6,8150|8414|8494|8671|10472|10788
571370433,동탄순환대로,107,60,0.038,6,8588|8961|9200|9373|9394|10171
2024000233,경부고속도로,101,80,1.254,6,9016|9290|10048|10265|10268|10529
571557520,분당내곡로,107,50,0.211,5,12|493|713|847|1375
571543552,성남대로,107,70,0.105,5,16|20|566|605|980
572541024,야탑로,107,30,0.089,5,26|267|417|527|1220
571558135,돌마로,107,50,0.057,5,40|285|1214|1286|1436
571555420,경부고속도로,101,110,0.82,5,47|115|888|1289|1494
572540374,판교로,107,50,0.233,5,74|952|1037|1281|1647
571540595,성남대로779번길,107,50,0.185,5,126|335|553|784|976
571443640,성남대로,107,70,0.057,5,137|341|837|1034|1591
571501731,수도권제1순환고속도로,101,100,4.69,5,143|218|604|1228|1250
571540563,분당수서간고속화도로,102,60,1.442,5,147|1072|1219|1352|1598
571540604,판교로,107,50,0.155,5,154|610|712|1073|1198
571461949,무지개로,107,50,0.368,5,169|180|292|611|744
571555098,백현로,107,50,0.44,5,182|210|787|1097|1098
572500958,야탑로,107,50,0.077,5,220|308|1131|1480|1504
571540314,내정로,107,50,0.04,5,234|825|933|1017|1378
572542227,황새울로360번길,107,30,0.349,5,249|688|886|1134|1279
571555412,경부고속도로,101,110,1.967,5,301|843|853|1243|1258
571542809,내정로,107,50,0.135,5,323|456|910|1437|1555
571555418,경부고속도로,101,110,0.155,5,363|729|735|762|1305
571542791,성남대로,107,70,0.113,5,365|420|1144|1147|1288
571501239,수내로,107,50,0.045,5,387|1414|1565|1608|1636
571542801,성남대로,107,70,0.173,5,536|1055|1388|1419|1446
571561007,수도권제1순환고속도로,108,60,0.223,5,649|1049|1051|1326|1471
572541646,서현로,105,60,0.121,5,766|890|942|1196|1595
571643560,분당수서간고속화도로,108,40,0.392,5,1651|1659|1694|1927|2187
572602242,탄리로,107,30,0.376,5,1658|1820|1959|2050|2233
572603519,수정로,107,50,0.034,5,1669|2047|2055|2269|2399
571662944,헌릉로,104,50,2.345,5,1698|2030|2456|5516|5670
572611418,희망로,107,40,0.457,5,1717|2046|2049|2620|2689
572673313,헌릉로,107,50,0.11,5,1733|1928|1974|2076|2368
572644220,남문로,107,30,0.166,5,1761|1796|1954|2139|2486
571560032,경부고속도로,101,110,2.187,5,1780|2071|2387|2432|2446
572672280,성남대로,103,60,0.293,5,1786|1861|2020|2184|2382
572610620,수정로,107,50,0.331,5,1788|1924|1938|2010|2286
571682280,대왕판교로,105,70,0.129,5,1818|1876|1911|1921|2405
572550804,성장간선로,103,90,0.723,5,2555|2816|2845|3045|3118
572610859,금상로,107,30,0.19,5,2558|2725|2864|2944|2977
572670368,,107,30,0.023,5,2560|2585|2666|2924|3295
572671867,성남대로,103,60,0.424,5,2588|2704|3244|3373|3463
572651229,공원로,107,60,1.0,5,2603|2738|2776|3163|3219
572672170,성남대로,103,60,0.04,5,2622|2663|3117|3158|3232
572610213,은이로,107,30,0.256,5,2632|2711|2991|3072|3298
572669751,,107,40,0.013,5,2651|2791|2904|2957|3457
572647552,둔촌대로,107,60,0.198,5,2696|2963|3056|3299|3345
572610991,금빛로,107,40,0.387,5,2765|2913|3002|3353|3363
571557894,분당수서간고속화도로,102,80,1.305,5,2798|2902|3054|3314|3472
572611508,둔촌대로,107,60,0.051,5,2812|2911|2948|3061|3313
572611382,자혜로,107,30,0.41,5,2832|2889|3185|3439|3483
572650574,광명로,107,40,0.21,5,2844|2912|2990|3141|3171
572611078,제일로,107,50,0.04,5,2863|2896|2932|3049|3336
572668218,광명로,107,40,0.091,5,3008|3130|3137|3187|3384
571772208,올림픽로,104,30,0.068,5,3487|3614|4625|4853|5164
572610614,성내천로,104,30,0.27,5,3503|3644|4834|5107|5901
571704493,올림픽로8길,104,30,0.125,5,3517|3525|4271|5303|5796
571772323,올림픽로,104,50,0.047,5,3532|4049|4276|4792|5624
571773082,올림픽로,104,50,0.521,5,3538|3992|4219|5250|5436
572610105,마천로,104,40,0.19,5,3542|4543|5273|5421|5455
571716283,석촌호수로,104,50,0.153,5,3568|4156|4940|5087|5131
571704511,가락로,104,40,0.394,5,3581|3594|4243|5523|5918
571716589,,104,30,0.042,5,3583|3584|3703|3820|4000
572775294,올림픽로,104,50,0.044,5,3628|3928|4549|5117|5424
571679931,양재대로,104,50,0.032,5,3708|3924|4254|5187|5245
571681934,송파대로,103,50,0.053,5,3788|4140|4442|5942|5953
572610402,오금로,104,50,0.072,5,3807|3941|4559|5267|5420
572710086,마천로,104,50,0.239,5,3873|4032|4378|4658|5975
571726232,한가람로,104,40,0.561,5,3890|4124|4338|4565|4958
572662155,수도권제1순환고속도로,101,100,0.933,5,3897|4564|4568|4602|5110
572772837,감일남로,104,50,0.053,5,3916|4463|4666|5646|6619
571610833,백제고분로32길,104,10,0.517,5,3937|4827|5213|5336|5667
572646623,새말로8길,104,30,0.224,5,3974|4227|4341|5791|5947
571772246,올림픽로,104,50,0.117,5,4041|4307|4478|4719|5298
571704569,오금로,104,50,0.036,5,4045|4458|4825|5176|5508
571709510,백제고분로45길,104,30,0.335,5,4072|5240|5387|5454|5542
572672050,성남대로,103,50,0.082,5,4095|4284|4430|4702|4708
571744800,올림픽대로,108,40,0.339,5,4127|4548|4585|5036|5400
572610510,오금로,104,50,0.242,5,4130|4154|5259|5299|5976
571716587,강동대로,104,50,0.116,5,4184|4352|4770|5348|5703
571715026,석촌호수로,104,50,0.258,5,4191|4422|4938|5004|5066
572767490,올림픽로,104,50,0.071,5,4199|4432|5135|5239|5797
572647698,오금로,104,30,0.095,5,4244|4692|5230|5317|5487
571679932,양재대로,104,50,0.235,5,4256|4591|4688|5460|5586
571774408,올림픽로,104,50,0.12,5,4487|4752|4918|5081|5616
571774360,송파대로,104,50,0.098,5,4683|4934|5039|5196|5738
572782603,천호대로,103,50,0.241,5,5996|5999|6295|6343|6681
572710146,신장로,107,30,0.188,5,6006|6335|6410|6594|7103
572642220,중부고속도로,101,110,3.212,5,6040|6172|6669|7067|7104
572743011,신장로,107,30,0.234,5,6072|6531|6753|6795|6978
572766694,,107,50,0.076,5,6103|6266|6327|6438|6955
572774983,조정대로,103,80,0.152,5,6166|6171|6521|6610|7068
572766764,미사강변중앙로218번길,107,50,0.1,5,6194|6423|6634|6791|6854
572768626,미사강변중앙로,107,40,0.266,5,6196|6307|6428|6994|7082
572782919,미사강변대로,107,60,0.288,5,6222|6385|6475|6595|6790
572742682,중부고속도로,101,110,1.044,5,6226|6404|6615|6768|7022
572703873,창우로,107,50,0.071,5,6274|6950|6997|7012|7016
572754644,미사강변중앙로,107,50,0.151,5,6412|6491|6657|6754|6781
572766360,아리수로,107,60,0.14,5,6625|6961|6983|7064|7106
571369952,동탄대로시범길,107,30,0.181,5,7148|7704|8264|8996|9872
571254754,동탄순환대로,107,60,0.25,5,7173|7905|7956|9106|10798
571356124,동탄지성로,107,60,0.129,5,7175|7896|8438|9747|10305
571254757,동탄대로,107,60,0.238,5,7191|8170|9337|9523|10215
571355976,동탄지성로,107,60,0.411,5,7205|7856|8784|10005|10619
478150972,서해안고속도로,101,110,2.851,5,7223|9077|9520|10356|10540
572350169,동탄순환대로20길,107,30,0.915,5,7277|7628|7708|8426|10131
571348986,경기대로,103,60,0.116,5,7307|7943|9025|9207|10752
571348958,동탄원천로,107,60,0.249,5,7318|8587|9033|9837|10550
571366750,동부대로,106,30,1.105,5,7323|7672|7866|8162|8483
478249338,상신하길로328번길,107,50,0.22,5,7374|7762|7789|9766|10284
478313143,서해안고속도로,101,110,1.833,5,7387|8038|8223|9341|10310
571350453,삼성1로,106,50,0.246,5,7393|7408|8061|9117|10380
572216471,경기동로,105,40,0.118,5,7419|7711|8167|9386|9612
571349483,삼성1로,107,60,0.212,5,7470|8249|9132|9552|9662
571341859,병점3로,107,50,0.127,5,7495|7980|8601|8808|10193
477461056,,107,50,1.893,5,7500|7871|8752|9480|9867
571371134,동탄산척로,107,30,0.279,5,7506|7798|8523|8592|9239
571347442,동탄지성로,107,60,0.035,5,7551|9280|9482|9749|10314
571347240,동탄지성로,107,60,0.288,5,7576|8056|8633|8879|10645
571251370,경부고속도로,101,110,1.828,5,7585|7742|8292|9527|9986
571348120,10용사로,107,30,0.325,5,7644|8051|8405|9590|10651
571345656,병점2로,107,50,0.146,5,7652|7893|9638|9655|10217
571255264,경기동로,105,50,0.41,5,7666|8684|9807|10618|10747
571376570,동탄산척로,107,60,0.264,5,7724|8163|9416|9598|9907
478252272,,107,60,1.272,5,7771|8087|9957|10103|10799
477350508,남양로,103,50,0.225,5,7788|8358|8549|9184|10586
571349683,동탄숲속로,107,40,0.246,5,7810|7829|8344|8675|9355
478310083,세자로,107,60,0.767,5,7854|8254|8548|9345|9570
571365892,동탄순환대로,107,60,0.081,5,7873|8101|8386|9275|9507
571348012,동탄중심상가2길,107,60,0.158,5,7910|9367|10016|10203|10665
571369846,동탄광역환승로,107,50,0.171,5,8079|8323|9291|9583|10492
571347465,동탄중앙로,107,60,0.346,5,8084|9164|9791|10326|10807
571370599,,107,50,0.031,5,8093|8624|8701|9591|9898
478353861,수원광명고속도로,101,100,3.557,5,8125|9092|9654|9948|10209
571365902,동탄대로,107,60,0.209,5,8258|8604|9156|9635|10559
571367282,동탄청계로,107,60,0.043,5,8322|8552|9568|9825|10451
571370707,동탄치동천로,107,30,0.214,5,8376|9917|10053|10135|10682
921371489,동탄대로,107,60,0.413,5,8505|8840|8998|9180|9857
478343567,삼천병마로,103,60,0.542,5,8678|9308|9619|10625|10810
571367278,동탄청계로,107,60,0.042,5,8962|9283|9486|10482|10819
571341187,경기대로,103,60,0.769,5,9060|9089|9360|9661|10098
572541668,돌마로,107,60,0.034,4,1|474|804|1585
571558228,돌마로,107,50,0.241,4,9|575|656|1142
571501053,성남대로,107,70,0.041,4,58|824|1445|1511
571500613,느티로,107,50,0.098,4,85|919|1310|1549
572500829,황새울로,107,50,0.097,4,99|293|369|924
571552058,,107,50,0.073,4,131|286|645|1630
572542456,야탑로75번길,107,50,0.107,4,136|367|374|1167
571541596,경부고속도로,101,110,0.751,4,149|521|1104|1159
571501234,수내로,107,50,0.107,4,164|717|969|1004
571540387,탄천상로,107,50,0.043,4,175|295|1093|1248
571556596,안양판교로,105,60,0.029,4,177|475|497|1156
572542462,야탑로81번길,107,50,0.162,4,181|546|619|719
571540923,대왕판교로,105,60,0.387,4,197|644|1496|1642
571500580,황새울로,107,50,0.207,4,201|511|1483|1527
571500624,황새울로258번길,107,30,0.231,4,221|578|581|796
572541634,돌마로,107,60,0.041,4,240|831|1173|1180
572541693,성남대로,107,60,0.08,4,260|606|923|1253
572542436,장미로,107,50,0.241,4,283|794|1235|1487
