grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank,핵심_인프라공백,제안시설,위험등급
다사725520,154.0,5,0,2,176.0,0.6175,3808.36,6918.14,0.3328,165.9697,646.9133,812.883,0.4218,25.76,43.654,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),중심상업,1.9503,1.8333,0.4293,1.4365,1.5,1.0,509.35,노인밀집거주 | 통행피크위험,119,0.38788,213.73,110,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사740488,162.0,5,0,2,80.0,0.3902,1322.61,8901.78,0.4012,244.9366,650.1244,895.061,0.582,,,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.7914,1.6667,1.0,1.0,1.5,1.041,755.28,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,62,0.248543,202.26,123,crosswalk_cnt / child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사741491,153.0,5,0,2,107.0,0.3365,4400.02,18863.79,0.4105,330.9003,1161.1242,1492.0245,0.5272,28.47,80.252,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.747,1.5,0.4745,1.8025,1.5,1.0136,521.37,노인밀집거주 | 교통약자유동多 | 통행피크위험,110,0.305667,199.77,126,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사722519,170.0,6,0,2,0.0,0,1800.45,3091.34,0.3651,51.8025,173.033,224.8355,0.5768,29.64,25.1871,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),하천,1.3651,1.8333,0.494,1.2519,1.0782,1.0384,294.58,교통약자유동多 | 주말방문집중 | 통행피크위험,387,0.07494,182.74,160,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사727520,162.0,6,0,2,0.0,0,1248.64,2613.8,0.3255,65.3156,211.0298,276.3454,0.5807,26.23,43.0602,2,child_zone_cnt(없음) | speedbump_cnt(없음),도로,1.3255,1.3333,0.4372,1.4306,1.1648,1.0404,217.01,주말방문집중 | 통행피크위험,598,0.077791,174.6,182,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사741488,138.0,2,0,2,142.0,0.4656,254.66,1768.9,0.3907,58.5741,179.3344,237.9085,0.3115,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.8563,1.5,1.0,1.0,1.1002,1.0,422.76,노인밀집거주 | 교통약자유동多 | 통행피크위험,182,0.248674,172.32,190,crosswalk_cnt / child_zone_cnt / bus_stop_cnt,버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사737491,144.0,3,0,2,79.0,0.3147,493.52,2991.73,0.4122,64.8814,242.4495,307.3309,0.3786,,,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.7269,1.6667,1.0,1.0,1.2169,1.0,504.36,노인밀집거주 | 교통약자유동多 | 통행피크위험,123,0.18625,170.82,199,crosswalk_cnt / child_zone_cnt / cctv_cam_cnt / bus_stop_cnt,버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사722501,153.0,15,0,1,0.0,0,917.89,3968.09,0.2897,104.0158,317.6215,421.6373,0.3279,30.05,57.9282,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),자족기능확보시설,1.2897,1.6667,0.5008,1.5793,1.4092,1.0,366.56,통행피크위험,267,0.092213,167.11,211,child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사729481,146.0,3,0,2,0.0,0,92.64,660.54,0.3107,0.7966,10.3857,11.1823,0.6833,68.46,44.598,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3107,1.6667,1.141,1.446,1.0,1.0917,574.47,주말방문집중 | 고속도로위험,94,0.101707,160.85,222,crosswalk_cnt / child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사723506,146.0,3,0,2,0.0,0,1176.38,2146.33,0.3279,64.059,167.8024,231.8614,0.4749,27.41,47.0451,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),근린상업,1.3279,1.5,0.4568,1.4705,1.09,1.0,212.93,통행피크위험 | 상업지역,622,0.079071,157.54,234,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사735514,138.0,2,0,2,0.0,0,169.68,927.89,0.2567,56.0592,57.1323,113.1915,0.5191,25.99,37.4767,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),일반상업,1.2567,1.5,0.4332,1.3748,1.0,1.0095,156.4,상업지역,963,0.068239,147.42,258,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사755477,138.0,2,0,2,0.0,0,83.45,877.66,0.3596,9.9669,24.7448,34.7117,0.4631,57.58,1.7075,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3596,1.5,0.9597,1.0171,1.0,1.0,274.71,교통약자유동多,427,0.058231,146.04,265,crosswalk_cnt / child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사738470,138.0,2,0,2,0.0,0,139.66,1764.99,0.3499,41.055,64.8792,105.9342,0.6207,36.47,3.3385,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.3499,1.6667,0.6078,1.0334,1.0,1.0604,206.79,교통약자유동多 | 주말방문집중,645,0.058132,146.02,266,child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사737488,109.0,6,0,1,96.0,0.3765,2507.18,14957.38,0.3843,388.518,1247.3336,1635.8516,0.5509,23.1,77.9006,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.7608,1.5,0.385,1.779,1.5,1.0254,303.28,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,365,0.325258,144.45,270,crosswalk_cnt / child_zone_cnt / bus_stop_cnt,버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사720500,123.0,8,0,1,0.0,0,2880.68,15147.88,0.3054,391.9042,695.7722,1087.6764,0.6039,43.56,66.8041,2,child_zone_cnt(없음) | speedbump_cnt(없음),교통광장,1.3054,1.3333,0.726,1.668,1.5,1.0519,409.05,주말방문집중 | 통행피크위험,204,0.132375,139.28,279,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사727513,117.0,7,0,1,24.0,0.0505,9480.48,16372.05,0.316,460.3208,1475.8923,1936.2131,0.4869,20.75,73.4198,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),중심상업,1.3665,1.6667,0.3458,1.7342,1.5,1.0,239.7,통행피크위험,522,0.179827,138.04,283,child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사729513,119.0,9,0,1,0.0,0.0,5657.18,10920.86,0.3152,326.04,1001.2591,1327.2991,0.4472,27.52,41.5179,2,child_zone_cnt(없음) | speedbump_cnt(없음),업무시설,1.3152,1.3333,0.4587,1.4152,1.5,1.0,203.19,통행피크위험,664,0.110013,132.09,293,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사727512,117.0,7,0,1,6.0,0.04,2790.04,4526.34,0.3189,116.2007,442.3181,558.5188,0.3081,24.67,51.2222,2,child_zone_cnt(없음) | speedbump_cnt(없음),근린공원,1.3589,1.3333,0.4112,1.5122,1.5,1.0,197.72,통행피크위험,703,0.102053,128.94,303,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사739489,93.0,5,0,1,126.0,0.439,795.88,6284.54,0.4168,157.7386,476.8897,634.6283,0.55,23.06,81.4937,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.8558,1.3333,0.3843,1.8149,1.5,1.025,246.76,노인밀집거주 | 교통약자유동多 | 통행피크위험,500,0.318934,122.66,322,child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강,고위험
다사728516,109.0,7,0,1,0.0,0,1798.83,4184.64,0.3169,123.6947,433.1105,556.8052,0.428,26.24,46.0098,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),광장,1.3169,1.8333,0.4373,1.4601,1.5,1.0,252.04,통행피크위험,482,0.093354,119.18,331,crosswalk_cnt / child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사728505,102.0,6,0,1,35.0,0.1178,2491.3,5663.98,0.3156,190.3372,326.8303,517.1675,0.6007,29.83,37.8875,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),완충녹지,1.4334,1.8333,0.4972,1.3789,1.5,1.0503,289.51,주말방문집중 | 통행피크위험,394,0.148875,117.19,339,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사735490,85.0,3,0,1,30.0,0.4839,1247.71,9590.68,0.3949,230.5158,735.4517,965.9675,0.5744,23.1,77.9006,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.8788,1.6667,0.385,1.779,1.5,1.0372,283.63,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,407,0.355461,115.21,347,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사726519,99.0,5,0,1,119.0,0.0807,3165.34,5972.3,0.3104,188.7433,750.7436,939.4869,0.3184,20.73,77.8967,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),중심상업,1.3911,1.5,0.3455,1.779,1.5,1.0,190.46,통행피크위험,751,0.153334,114.18,350,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,고위험
다사721500,99.0,6,0,1,0.0,0.0,5842.68,20683.61,0.3054,382.3737,774.246,1156.6197,0.5981,33.81,82.5901,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음),교통광장,1.3054,1.5,0.5635,1.8259,1.5,1.0491,313.87,주말방문집중 | 통행피크위험,346,0.142789,113.14,355,crosswalk_cnt / child_zone_cnt / speedbump_cnt,과속저감 패키지(방지턱+노면표시) + 스마트 횡단보도 + 어린이보호구역 보강,고위험
다사727497,101.0,5,0,1,0.0,0,190.46,1145.62,0.3214,36.2878,73.0909,109.3787,0.5644,32.55,98.8976,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),연결녹지,1.3214,1.6667,0.5425,1.989,1.0,1.0322,247.75,주말방문집중,495,0.118212,112.94,356,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사744489,85.0,3,0,1,44.0,0.4037,897.12,5088.9,0.3832,150.8278,501.038,651.8658,0.3484,25.23,96.6974,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.7869,1.8333,0.4205,1.967,1.5,1.0,345.47,노인밀집거주 | 교통약자유동多 | 통행피크위험,300,0.316343,111.89,362,crosswalk_cnt / child_zone_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,고위험
다사731522,102.0,7,0,1,0.0,0,1246.53,3237.77,0.3441,81.3597,191.1708,272.5305,0.622,27.52,30.9763,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),도로,1.3441,1.5,0.4587,1.3098,1.1584,1.061,151.86,교통약자유동多 | 주말방문집중 | 통행피크위험,996,0.074721,109.62,384,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,중위험
다사726515,93.0,4,0,1,98.0,0.1216,3762.3,5969.28,0.3066,197.7199,708.2146,905.9345,0.3697,21.27,67.7442,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),중심상업,1.4282,1.8333,0.3545,1.6774,1.5,1.0,217.19,통행피크위험,596,0.172107,109.01,391,crosswalk_cnt / child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사733495,86.0,4,0,1,31.0,0.3735,161.07,1034.05,0.3426,33.4147,101.1744,134.5891,0.3129,23.52,52.8324,1,child_zone_cnt(없음),미분류,1.7161,1.1667,0.392,1.5283,1.0,1.0,103.16,노인밀집거주 | 교통약자유동多,1345,0.240303,106.67,410,child_zone_cnt,어린이보호구역 보강,중위험
다사738492,83.0,3,0,1,96.0,0.3569,825.72,4276.05,0.4036,78.1927,277.0602,355.2529,0.5368,14.25,90.4205,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.7605,2.0,0.2375,1.9042,1.2975,1.0184,174.64,노인밀집거주 | 교통약자유동多 | 통행피크위험,854,0.283132,106.5,412,crosswalk_cnt / child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사742486,85.0,4,0,1,17.0,0.3269,719.88,6033.91,0.3826,144.1476,405.3021,549.4497,0.6296,25.92,49.9289,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.7095,1.6667,0.432,1.4993,1.5,1.0648,250.54,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,486,0.252106,106.43,414,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사723514,94.0,5,0,1,0.0,0,408.32,583.34,0.3443,10.1915,38.0022,48.1937,0.6286,32.15,37.7448,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),경관녹지,1.3443,1.8333,0.5358,1.3774,1.0,1.0643,181.96,교통약자유동多 | 주말방문집중,813,0.079976,101.52,462,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사745488,77.0,2,0,1,79.0,0.418,569.45,3575.56,0.3761,117.0416,354.5514,471.593,0.3597,25.05,80.2906,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.7941,1.5,0.4175,1.8029,1.4932,1.0,232.9,노인밀집거주 | 교통약자유동多 | 통행피크위험,542,0.299956,100.1,483,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,중위험
다사749493,77.0,2,0,1,95.0,0.4378,268.25,1250.04,0.3841,24.9806,76.2334,101.214,0.6199,24.01,46.0973,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.8219,1.8333,0.4002,1.461,1.0,1.0599,159.38,노인밀집거주 | 교통약자유동多 | 주말방문집중,941,0.286926,99.09,494,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사720504,85.0,3,0,1,0.0,0,7371.25,21887.82,0.3067,814.6004,1441.7773,2256.3777,0.5338,23.95,56.2525,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),자족기능확보시설,1.3067,1.6667,0.3992,1.5625,1.5,1.0169,176.13,통행피크위험,840,0.159217,98.53,502,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt,과속저감 패키지(방지턱+노면표시) + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사733493,77.0,2,0,1,80.0,0.4082,327.42,2266.94,0.3836,71.7381,235.7734,307.5115,0.3471,17.53,79.2707,1,child_zone_cnt(없음),미분류,1.7918,1.1667,0.2922,1.7927,1.2172,1.0,102.63,노인밀집거주 | 교통약자유동多 | 통행피크위험,1351,0.278641,98.46,504,child_zone_cnt,어린이보호구역 보강,중위험
다사727510,85.0,3,0,1,53.0,0.1514,1538.44,2509.59,0.3243,50.6902,192.5822,243.2724,0.211,28.37,65.1861,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),단독주택,1.4757,1.6667,0.4728,1.6519,1.1092,1.0,181.11,통행피크위험 | 주거밀집,818,0.156978,98.34,507,child_zone_cnt / speedbump_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사730521,91.0,4,0,1,0.0,0,808.83,2129.09,0.3406,45.3899,151.5509,196.9408,0.4586,30.09,24.7177,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),도로,1.3406,2.0,0.5015,1.2472,1.0313,1.0,157.38,통행피크위험,956,0.072676,97.61,520,crosswalk_cnt / child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 스마트 횡단보도 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사726518,85.0,3,0,1,14.0,0.0368,3613.82,6736.89,0.2995,251.5862,969.7002,1221.2864,0.274,22.8,75.185,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),중심상업,1.3363,1.8333,0.38,1.7519,1.5,1.0,207.94,통행피크위험,637,0.146406,97.44,524,child_zone_cnt / speedbump_cnt / cctv_cnt / cctv_cam_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강 + 지능형 CCTV,중위험
다사745499,85.0,3,0,1,12.0,0.169,712.29,2601.03,0.3518,43.9133,145.6247,189.538,0.5099,32.75,25.6793,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.5208,1.5,0.5458,1.2568,1.0188,1.005,136.19,교통약자유동多 | 통행피크위험,1101,0.146219,97.43,525,child_zone_cnt / speedbump_cnt / bus_stop_cnt,과속저감 패키지(방지턱+노면표시) + 버스정류장 연계 보행안전시설 + 어린이보호구역 보강,중위험
