grid_gid,epdo_total,epdo_avg,accident_cnt,사망_cnt,중상_cnt,경상_cnt,부상신고_cnt,상해없음_cnt,기타불명_cnt,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,speedbump_cnt
다사671372,286.0,16.8235,17,0,3,8,2,3,0,1,0,0,0,0,0,2,4,1
다사658443,286.0,20.4286,14,0,3,9,1,1,0,4,0,0,0,0,0,0,0,0
다사671345,263.0,23.9091,11,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
다사669422,261.0,23.7273,11,0,3,6,1,0,0,2,0,0,0,0,3,1,3,0
다사726520,261.0,26.1,10,0,3,6,1,0,0,2,0,0,0,0,0,1,1,0
다사644123,256.0,21.3333,12,0,3,5,1,3,0,2,0,0,0,0,1,5,5,0
다사692382,254.0,14.9412,17,0,2,13,2,0,0,0,0,0,0,0,0,1,1,0
다사645097,251.0,25.1,10,0,3,4,2,0,0,5,0,0,0,0,0,5,5,0
다사696384,249.0,13.8333,18,0,2,13,1,1,0,1,0,0,0,0,0,1,1,0
다사681453,240.0,30.0,8,0,3,4,0,1,0,8,0,0,0,0,0,0,0,4
다사662438,240.0,30.0,8,0,3,4,0,1,0,1,0,0,0,0,0,0,0,0
다사733496,239.0,34.1429,7,0,3,4,0,0,0,2,0,0,0,0,2,2,12,0
다사656307,237.0,33.8571,7,0,3,3,1,0,0,0,0,0,0,0,0,1,1,0
다사658317,232.0,33.1429,7,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0
다사646129,232.0,33.1429,7,0,3,3,0,1,0,0,0,0,0,0,0,5,5,0
다사660436,231.0,38.5,6,0,3,3,0,0,0,1,0,0,0,0,2,2,6,0
다사666430,231.0,28.875,8,0,3,2,1,2,0,4,0,0,0,0,0,0,0,0
다사671459,231.0,38.5,6,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0
다사738493,231.0,28.875,8,0,3,3,0,0,0,4,0,0,0,0,3,5,16,5
다사671375,230.0,32.8571,7,0,3,2,1,1,0,0,0,0,0,0,1,3,9,0
다사678380,230.0,32.8571,7,0,3,2,1,1,0,0,0,0,0,1,2,1,5,1
다사685379,229.0,38.1667,6,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0
다사653264,223.0,37.1667,6,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0
다사758483,222.0,17.0769,13,0,2,9,2,0,0,2,0,0,0,0,1,0,0,0
다사627132,215.0,53.75,4,0,3,1,0,0,0,4,0,0,0,0,1,0,0,0
다사659112,212.0,16.3077,13,0,2,9,0,2,0,2,0,0,0,0,0,5,5,0
다사644463,211.0,17.5833,12,0,2,9,0,1,0,2,0,0,0,0,0,0,0,0
다사670413,210.0,19.0909,11,0,2,9,0,0,0,4,0,0,0,0,1,1,3,0
다사654462,207.0,10.8947,19,0,1,15,3,0,0,2,0,0,0,0,0,1,5,10
다사734492,207.0,69.0,3,0,3,0,0,0,0,1,0,0,0,1,1,1,2,0
다사663325,202.0,16.8333,12,0,2,7,1,2,0,0,0,0,0,0,1,1,1,0
다사633458,201.0,18.2727,11,0,2,7,1,1,0,2,0,0,0,0,0,4,12,0
다사650082,195.0,19.5,10,0,2,7,0,1,0,3,0,0,0,0,0,0,0,0
다사587122,195.0,15.0,13,0,2,6,1,3,0,4,0,0,0,0,0,10,10,0
다사653461,194.0,21.5556,9,0,2,6,0,0,1,4,0,0,0,0,0,1,3,0
다사653447,192.0,21.3333,9,0,2,6,1,0,0,4,0,0,0,0,0,2,7,0
다사671348,191.0,17.3636,11,0,2,5,2,1,0,0,0,0,0,0,2,2,10,1
다사590126,191.0,19.1,10,0,2,5,2,1,0,4,0,0,0,0,0,15,15,0
다사682376,189.0,15.75,12,0,2,6,0,3,0,1,0,0,0,0,0,2,6,1
다사558115,187.0,20.7778,9,0,2,6,0,1,0,4,0,0,0,0,1,1,1,0
다사654434,186.0,23.25,8,0,2,6,0,0,0,3,0,0,0,0,0,3,4,0
다사739488,182.0,20.2222,9,0,2,4,2,0,0,2,0,0,0,0,1,3,12,0
다사657338,179.0,22.375,8,0,2,5,0,1,0,0,0,0,0,0,0,1,1,0
다사654458,179.0,22.375,8,0,2,5,0,1,0,0,0,0,0,0,0,2,4,0
다사403113,179.0,22.375,8,0,2,5,0,1,0,4,0,0,0,0,0,0,0,0
다사657330,178.0,22.25,8,0,2,5,0,0,0,0,0,0,0,0,0,1,1,0
다사660314,178.0,25.4286,7,0,2,5,0,0,0,1,0,0,0,0,2,1,1,0
다사685378,178.0,25.4286,7,0,2,5,0,0,0,1,0,0,0,0,2,2,6,7
다사676469,178.0,25.4286,7,0,2,5,0,0,0,5,0,0,0,0,0,1,5,0
다사633461,178.0,25.4286,7,0,2,5,0,0,0,4,0,0,0,1,0,0,0,2
다사649439,178.0,25.4286,7,0,2,5,0,0,0,1,0,0,0,0,0,2,5,0
다사623120,177.0,11.8,15,0,1,12,2,0,0,4,0,0,0,0,0,9,9,0
다사618124,177.0,22.125,8,0,2,4,1,1,0,2,0,0,0,0,0,0,0,0
다사676373,176.0,25.1429,7,0,2,4,1,0,0,0,0,0,0,0,0,0,0,6
다사663437,173.0,19.2222,9,0,2,4,0,3,0,4,0,0,0,0,2,0,0,0
다사665425,171.0,24.4286,7,0,2,4,0,1,0,4,0,0,0,0,1,1,3,0
다사617103,171.0,24.4286,7,0,2,4,0,1,0,6,0,0,0,0,0,5,5,0
다사616111,171.0,12.2143,14,0,1,12,1,0,0,4,0,0,0,0,0,5,5,0
다사652297,170.0,24.2857,7,0,2,4,0,0,0,2,0,0,0,0,1,3,10,0
다사631320,170.0,28.3333,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
다사667318,170.0,28.3333,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
다사651451,170.0,28.3333,6,0,2,4,0,0,0,2,0,0,0,0,2,0,0,4
다사722519,170.0,28.3333,6,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0
다사542113,170.0,28.3333,6,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0
다사627459,169.0,9.9412,17,0,1,12,0,4,0,5,0,0,0,0,0,4,5,0
다사671448,169.0,24.1429,7,0,2,3,1,1,0,2,0,0,0,0,1,0,0,0
다사640459,164.0,11.7143,14,0,1,11,1,1,0,1,0,0,0,0,1,1,4,0
다사692381,163.0,27.1667,6,0,2,3,0,1,0,0,0,0,0,0,0,3,9,0
다사664433,163.0,23.2857,7,0,2,3,0,1,0,4,0,0,0,0,1,1,4,0
다사666279,162.0,32.4,5,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0
다사676386,162.0,27.0,6,0,2,3,0,0,0,1,0,0,0,0,2,2,8,0
다사674372,162.0,32.4,5,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0
다사626451,162.0,32.4,5,0,2,3,0,0,0,2,0,0,0,0,0,4,8,2
다사662453,162.0,27.0,6,0,2,3,0,0,0,2,0,0,0,0,0,2,6,4
다사727520,162.0,27.0,6,0,2,3,0,0,0,2,0,0,0,0,1,4,22,0
다사740488,162.0,32.4,5,0,2,3,0,0,0,0,0,0,0,0,0,4,24,0
다사689463,162.0,32.4,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
다사644109,162.0,32.4,5,0,2,3,0,0,0,1,0,0,1,3,0,5,5,0
다사656117,162.0,23.1429,7,0,2,2,1,2,0,4,0,0,0,0,0,5,5,0
다사569119,162.0,32.4,5,0,2,3,0,0,0,4,0,0,0,0,1,2,2,0
다사655121,162.0,32.4,5,0,2,3,0,0,0,4,0,0,0,0,0,11,11,0
다사586121,162.0,27.0,6,0,2,3,0,0,0,4,0,0,0,0,2,11,11,0
다사680373,161.0,26.8333,6,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
다사652452,160.0,32.0,5,0,2,2,1,0,0,1,0,0,0,0,0,1,2,0
다사651453,160.0,32.0,5,0,2,1,1,0,1,3,0,0,0,0,4,1,1,0
다사647460,160.0,32.0,5,0,2,2,1,0,0,1,0,0,0,0,2,1,3,0
다사620105,160.0,26.6667,6,0,2,2,1,0,0,4,0,0,0,0,1,6,6,0
다사647359,157.0,13.0833,12,0,1,11,0,0,0,0,0,0,0,0,2,0,0,3
다사695384,156.0,26.0,6,0,2,2,0,2,0,1,0,0,0,0,2,0,0,1
다사661454,156.0,26.0,6,0,2,2,0,2,0,5,0,0,0,0,0,0,0,0
다사704401,155.0,31.0,5,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0
다사653451,155.0,31.0,5,0,2,2,0,1,0,2,0,0,0,0,0,1,3,0
다사654338,154.0,38.5,4,0,2,2,0,0,0,0,0,0,0,0,0,1,5,0
다사669394,154.0,38.5,4,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0
다사667430,154.0,38.5,4,0,2,2,0,0,0,0,0,0,0,0,0,1,3,0
다사666488,154.0,38.5,4,0,2,2,0,0,0,2,0,0,0,0,0,4,12,0
다사664428,154.0,38.5,4,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0
다사677443,154.0,38.5,4,0,2,2,0,0,0,2,0,0,0,0,2,1,3,0
다사669449,154.0,38.5,4,0,2,2,0,0,0,6,0,0,0,0,2,1,3,0
다사725520,154.0,30.8,5,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0
다사588122,154.0,38.5,4,0,2,2,0,0,0,1,0,0,0,0,2,8,8,0
다사621121,154.0,38.5,4,0,2,2,0,0,0,2,0,0,0,0,0,5,5,0
다사479029,154.0,38.5,4,0,2,2,0,0,0,0,0,0,0,0,0,4,4,0
다사595126,154.0,38.5,4,0,2,2,0,0,0,3,0,0,0,1,0,0,0,0
다사741491,153.0,30.6,5,0,2,1,1,1,0,1,0,0,0,0,0,1,4,0
다사722501,153.0,10.2,15,0,1,10,0,4,0,3,0,0,0,0,0,1,1,0
다사651328,152.0,38.0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
다사702398,152.0,38.0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
다사654463,152.0,38.0,4,0,2,1,1,0,0,2,0,0,0,0,0,2,7,0
다사652463,151.0,11.6154,13,0,1,10,0,2,0,3,0,0,0,0,1,0,0,0
다사651075,151.0,11.6154,13,0,1,10,0,2,0,1,0,0,0,0,0,0,0,0
다사638123,149.0,11.4615,13,0,1,9,1,2,0,3,0,0,0,0,0,5,5,0
다사670379,148.0,12.3333,12,0,1,9,1,1,0,0,0,0,0,0,2,3,7,0
다사655308,147.0,36.75,4,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0
다사623321,147.0,36.75,4,0,2,1,0,1,0,0,0,0,0,0,0,1,1,8
다사661463,147.0,36.75,4,0,2,1,0,1,0,0,0,0,0,0,0,1,3,0
다사669455,147.0,36.75,4,0,2,1,0,1,0,5,0,0,0,0,2,1,3,0
다사634448,147.0,36.75,4,0,2,1,0,1,0,0,0,0,0,2,0,1,3,0
다사648304,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
다사663280,146.0,48.6667,3,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0
다사651301,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
다사653330,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
다사657318,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
다사655309,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
다사673382,146.0,48.6667,3,0,2,1,0,0,0,2,0,0,0,0,0,1,4,1
다사694387,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,3,14,1
다사699380,146.0,48.6667,3,0,2,1,0,0,0,1,0,0,0,0,0,2,7,0
다사668371,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0
다사663432,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
다사637450,146.0,48.6667,3,0,2,1,0,0,0,3,0,0,0,1,2,3,9,2
다사635446,146.0,48.6667,3,0,2,1,0,0,0,1,0,0,0,0,1,1,2,8
다사683445,146.0,48.6667,3,0,2,1,0,0,0,5,0,0,0,0,1,5,8,12
다사669426,146.0,48.6667,3,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0
다사670416,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
다사723506,146.0,48.6667,3,0,2,1,0,0,0,4,0,0,0,0,0,2,2,0
다사758484,146.0,48.6667,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
다사729481,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,2,8,0
다사572110,146.0,48.6667,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
다사670397,144.0,48.0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,5,0
다사678372,144.0,48.0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
다사737491,144.0,48.0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,1,10
다사607125,144.0,48.0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
다사661078,144.0,48.0,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0
다사646461,143.0,11.9167,12,0,1,9,0,2,0,2,0,0,0,0,2,0,0,0
다사672366,141.0,14.1,10,0,1,9,0,0,0,0,0,0,0,0,0,1,1,0
다사620457,141.0,14.1,10,0,1,9,0,0,0,3,0,0,0,0,0,2,5,40
다사662437,141.0,14.1,10,0,1,9,0,0,0,2,0,0,0,0,0,0,0,0
다사656435,140.0,35.0,4,0,2,0,0,2,0,6,0,0,0,0,0,1,3,0
다사642452,139.0,46.3333,3,0,2,0,0,1,0,0,0,0,1,0,0,1,3,0
다사663438,139.0,46.3333,3,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0
다사646334,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사653275,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0
다사665334,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사660312,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
다사647306,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사616323,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사660324,138.0,69.0,2,0,2,0,0,0,0,0,0,0,1,1,0,1,3,2
다사675375,138.0,69.0,2,0,2,0,0,0,0,1,1,1,0,0,0,2,9,2
다사679378,138.0,69.0,2,0,2,0,0,0,0,1,1,0,1,0,2,2,10,1
다사669390,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
다사690379,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0
다사664441,138.0,69.0,2,0,2,0,0,0,0,3,0,0,0,0,0,2,5,2
다사666461,138.0,69.0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0
다사670448,138.0,46.0,3,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0
다사667412,138.0,69.0,2,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0
다사664439,138.0,69.0,2,0,2,0,0,0,0,4,0,0,0,1,0,1,3,0
다사668438,138.0,69.0,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
다사667428,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,4,4
다사660439,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사755477,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0
다사741488,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,24,5
다사738470,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0
다사735514,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,10,0
다사718530,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,1,9,40,0
다사543138,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,10,2,3,3,0
다사603115,138.0,69.0,2,0,2,0,0,0,0,4,0,0,0,0,0,2,2,0
다사407119,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,8,0
다사584143,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사402114,138.0,69.0,2,0,2,0,0,0,0,1,0,0,0,0,0,4,4,0
다사582119,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,5,0
다사482028,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
다사616112,138.0,69.0,2,0,2,0,0,0,0,0,0,0,0,0,1,5,5,0
다사609117,138.0,69.0,2,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0
다사684350,133.0,14.7778,9,0,1,8,0,0,0,0,0,0,0,0,0,1,1,0
다사645462,133.0,13.3,10,0,1,8,0,0,0,0,0,0,0,0,2,0,0,0
다사653310,132.0,13.2,10,0,1,7,1,1,0,0,0,0,0,0,1,0,0,0
다사643123,132.0,13.2,10,0,1,7,1,1,0,1,0,0,0,0,0,0,0,0
다사699371,131.0,11.9091,11,0,1,6,2,2,0,0,0,0,0,0,2,1,1,0
다사610123,131.0,13.1,10,0,1,7,1,0,0,4,0,0,0,0,0,0,0,0
다사660303,127.0,12.7,10,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0
다사673371,126.0,7.875,16,0,0,15,1,0,0,0,0,0,0,0,1,1,6,0
다사683383,125.0,12.5,10,0,1,6,1,2,0,0,0,0,0,0,0,1,4,0
다사684381,125.0,13.8889,9,0,1,7,0,0,0,1,0,0,0,0,2,2,10,0
다사634456,125.0,15.625,8,0,1,7,0,0,0,3,0,0,0,1,1,2,3,0
다사638454,125.0,12.5,10,0,1,6,1,2,0,5,0,0,0,0,0,1,4,0
다사593129,125.0,15.625,8,0,1,6,0,0,1,3,0,0,0,0,1,8,8,0
다사650075,125.0,15.625,8,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0
다사659468,124.0,12.4,10,0,1,6,1,1,0,3,1,0,1,0,0,1,3,0
다사676430,123.0,15.375,8,0,1,6,1,0,0,6,0,0,0,0,1,5,5,0
다사720500,123.0,15.375,8,0,1,6,1,0,0,2,0,0,0,0,2,1,7,0
다사662084,121.0,15.125,8,0,1,5,2,0,0,0,0,0,0,0,0,5,5,0
다사672367,120.0,7.5,16,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0
다사729513,119.0,13.2222,9,0,1,6,0,2,0,4,0,0,0,0,1,3,11,0
다사616120,119.0,13.2222,9,0,1,6,0,2,0,5,0,0,0,0,0,0,0,0
다사644337,118.0,14.75,8,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0
다사671369,118.0,13.1111,9,0,1,6,0,1,0,0,0,0,0,0,2,3,9,0
다사627458,118.0,14.75,8,0,1,6,0,1,0,2,0,0,0,0,0,1,1,0
다사663420,118.0,14.75,8,0,1,6,0,1,0,3,0,0,0,0,0,0,0,0
다사621122,118.0,13.1111,9,0,1,6,0,1,0,2,0,0,0,0,0,1,1,0
다사585124,118.0,14.75,8,0,1,6,0,1,0,4,0,0,0,0,0,0,0,0
다사665315,117.0,16.7143,7,0,1,6,0,0,0,0,0,0,0,0,0,1,5,0
다사662312,117.0,16.7143,7,0,1,6,0,0,0,0,0,0,0,1,0,1,1,0
다사663371,117.0,16.7143,7,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
다사671368,117.0,14.625,8,0,1,6,0,0,0,0,0,0,0,0,1,3,10,0
다사663446,117.0,16.7143,7,0,1,6,0,0,0,2,0,0,0,0,0,0,0,4
다사685438,117.0,16.7143,7,0,1,6,0,0,0,6,0,0,0,0,0,3,8,4
다사647458,117.0,16.7143,7,0,1,6,0,0,0,3,0,0,0,0,1,0,0,0
다사644464,117.0,16.7143,7,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0
다사727512,117.0,16.7143,7,0,1,6,0,0,0,3,0,0,0,1,1,3,11,0
다사727513,117.0,16.7143,7,0,1,6,0,0,0,6,0,0,0,0,0,1,1,0
다사396132,117.0,16.7143,7,0,1,6,0,0,0,1,0,0,0,0,0,2,2,0
다사664349,115.0,16.4286,7,0,1,5,1,0,0,0,0,0,0,0,0,3,9,0
다사690397,115.0,16.4286,7,0,1,5,1,0,0,1,0,0,0,0,0,1,1,0
다사682374,115.0,16.4286,7,0,1,5,1,0,0,0,0,0,0,1,3,0,0,0
다사669413,115.0,16.4286,7,0,1,5,1,0,0,3,0,0,0,0,1,0,0,0
다사592128,115.0,16.4286,7,0,1,5,1,0,0,1,0,0,0,0,1,5,5,0
다사658459,110.0,12.2222,9,0,1,4,1,3,0,5,0,0,0,0,0,1,1,12
다사679417,110.0,15.7143,7,0,1,5,0,1,0,2,0,0,0,0,0,0,0,0
다사469033,110.0,15.7143,7,0,1,5,0,1,0,7,0,0,0,0,0,0,0,0
다사647314,109.0,18.1667,6,0,1,5,0,0,0,0,0,0,0,0,0,1,4,0
다사694383,109.0,18.1667,6,0,1,5,0,0,0,1,0,0,0,0,1,1,5,0
다사672371,109.0,18.1667,6,0,1,5,0,0,0,0,0,0,0,0,1,0,0,2
다사661440,109.0,18.1667,6,0,1,5,0,0,0,2,0,0,0,0,1,1,1,12
다사659462,109.0,18.1667,6,0,1,5,0,0,0,4,0,0,0,0,0,1,3,0
