uid,lon,lat,link_id,road_name,road_rank,max_speed,length,distance_m,acc_yr,acc_mon,acc_time,week_type,acc_type,injury_svrity,violation
37,127.11996872300375,37.399559182355425,571510406,분당수서간고속화도로,102,60,0.292,6.77,2024,1,09시,주중,차대차 - 기타,경상,안전거리미확보
38,127.06927543263706,37.38535996942041,571547867,용인서울고속도로,101,100,0.3,9.1,2024,1,18시,주중,차대차 - 기타,경상,신호위반
39,127.11500909196567,37.379613666882086,571500230,황새울로240번길,107,30,0.088,1.08,2024,1,20시,주중,차대차 - 기타,경상,교차로운행방법위반
40,127.10399268161235,37.35019225121542,571558135,돌마로,107,50,0.057,9.18,2024,1,00시,주중,차대차 - 기타,경상,신호위반
41,127.11360717751647,37.38426922571451,571556542,분당내곡로,107,80,0.093,6.52,2024,1,00시,주중,차대차 - 추돌,경상,안전운전불이행
42,127.11224040472621,37.37548531520116,571501078,성남대로,107,70,0.042,2.03,2024,1,01시,주중,차대차 - 기타,경상,신호위반
43,127.14629308092631,37.37325748188446,572544960,서현로,105,60,0.158,6.25,2024,1,09시,주중,차대차 - 추돌,경상,안전운전불이행
44,127.10475535461855,37.33824243990434,571501153,분당수서로,107,50,0.044,9.79,2024,1,09시,주중,차대차 - 기타,경상,안전거리미확보
45,127.10329920541473,37.37254420415052,571547432,경부고속도로,101,110,3.093,12.71,2024,1,13시,주중,차대차 - 충돌,경상,안전거리미확보
46,127.14152774451749,37.40865830225836,572500794,야탑로,107,50,0.343,0.72,2024,1,17시,주중,차량단독 - 기타,,안전운전불이행
47,127.10309321416565,37.37091201427868,571555420,경부고속도로,101,110,0.82,5.75,2024,1,18시,주중,차대차 - 기타,경상,안전거리미확보
48,127.12954739018556,37.41379526547567,572500739,장미로,107,50,0.151,4.59,2024,1,20시,주중,차대차 - 기타,경상,기타
49,127.10909203989355,37.342277027549095,571501376,성남대로,107,70,0.151,14.3,2024,1,01시,주말,차대차 - 추돌,경상,안전운전불이행
50,127.14967512607394,37.367318426692606,572544887,서현로,105,60,0.526,8.41,2024,1,13시,주말,차대차 - 충돌,경상,안전거리미확보
51,127.12547656768706,37.39616955066464,572541138,양현로,107,30,0.383,8.02,2024,1,12시,주중,차대사람 - 횡단중,경상,보행자보호의무위반
52,127.12037251345201,37.384462399010225,571500685,황새울로312번길,107,30,0.072,0.15,2024,1,13시,주중,차대차 - 기타,상해없음,신호위반
53,127.10345411966972,37.358131633226364,571452971,경부고속도로,101,110,5.524,28.15,2024,1,13시,주중,차대차 - 기타,상해없음,안전운전불이행
54,127.13532697975455,37.37310699817064,572501208,불정로,107,50,0.15,10.25,2024,1,14시,주중,차대차 - 충돌,경상,안전운전불이행
55,127.11169134092157,37.40092040863269,571557822,판교역로226번길,107,50,0.038,6.22,2024,1,22시,주중,차대차 - 기타,경상,신호위반
56,127.10876790995687,37.345998675706845,571544521,미금일로,107,50,0.072,16.25,2024,1,00시,주중,차대차 - 추돌,중상,안전운전불이행
57,127.12351340562013,37.388862154987535,572500895,서현로180번길,107,60,0.077,4.8,2024,1,08시,주중,차대차 - 기타,경상,신호위반
58,127.10903511476398,37.33801328599637,571501053,성남대로,107,70,0.041,6.39,2024,1,09시,주중,차대차 - 기타,상해없음,안전운전불이행
59,127.11651590605445,37.3920305481892,571548516,서현로,105,60,0.044,15.49,2024,1,10시,주중,차대차 - 기타,경상,안전운전불이행
60,127.11295215407749,37.395227841089714,571550878,분당내곡간고속화도로,102,80,1.996,4.86,2024,1,11시,주중,차대차 - 기타,중상,신호위반
61,127.0760899603442,37.39085595331383,571545006,판교원로81번길,107,30,0.054,36.82,2024,1,12시,주중,차대사람 - 기타,경상,안전운전불이행
62,127.1051162595656,37.39433661071996,571550083,대왕판교로,105,40,0.021,1.07,2024,1,07시,주중,차대차 - 충돌,상해없음,안전거리미확보
63,127.12143939932574,37.38345627437303,571541880,황새울로312번길,107,30,0.045,7.03,2024,1,15시,주중,차대차 - 기타,경상,기타
64,127.1131379396064,37.38325814714559,571547680,,107,50,0.354,0.33,2024,1,18시,주중,차대차 - 기타,경상,안전거리미확보
65,127.11496717836627,37.36350585378885,571500475,정자로,107,50,0.039,3.3,2024,1,21시,주중,차대차 - 기타,상해없음,신호위반
66,127.12396576170227,37.38876444266309,572541160,서현로,105,60,0.037,4.56,2024,1,23시,주중,차대차 - 기타,경상,안전운전불이행
67,127.14726281249253,37.36877149642253,572543496,분당로,107,50,0.091,37.86,2024,1,06시,주중,차대사람 - 기타,사망,안전운전불이행
68,127.05598677011874,37.389934884045545,571555636,운중로,107,10,0.28,5.93,2024,1,08시,주중,차대차 - 추돌,기타불명,안전거리미확보
69,127.10134642483553,37.38940244063099,571557642,대왕판교로,105,60,0.15,15.79,2024,1,16시,주중,차대차 - 기타,경상,안전거리미확보
70,127.10886018128933,37.37825944828129,571540565,분당수서간고속화도로,102,60,1.433,2.86,2024,1,17시,주중,차대차 - 기타,중상,신호위반
71,127.12474899447933,37.38800977263869,572541161,서현로,105,60,0.136,9.27,2024,1,20시,주중,차대차 - 기타,경상,안전운전불이행
72,127.06370779037788,37.39097316467788,571557840,안양판교로,105,60,0.08,8.0,2024,1,00시,주중,차대차 - 기타,경상,안전운전불이행
73,127.12282347272227,37.37098559411129,571500267,,107,40,0.091,0.38,2024,1,09시,주중,차대차 - 충돌,경상,신호위반
74,127.12932869957157,37.4054298153516,572540374,판교로,107,50,0.233,1.25,2024,1,10시,주중,차대차 - 충돌,경상,안전거리미확보
75,127.14911768155841,37.368191115213655,572544887,서현로,105,60,0.526,5.9,2024,1,15시,주중,차대차 - 추돌,경상,안전운전불이행
76,127.12846731935046,37.39909944803488,572540362,성남대로779번길,107,30,0.04,11.61,2024,1,15시,주중,차대차 - 추돌,경상,안전운전불이행
77,127.10795130653473,37.36625004935118,571501057,성남대로,107,70,0.114,17.38,2024,1,18시,주중,차대사람 - 기타,경상,안전운전불이행
78,127.11246620198129,37.37550408289968,571501230,성남대로,107,70,0.038,10.88,2024,1,21시,주중,차대차 - 기타,중상,안전운전불이행
79,127.10433986742137,37.372241220757395,571540803,,107,60,0.435,3.75,2024,1,19시,주말,차대차 - 기타,경상,안전운전불이행
80,127.12366925139916,37.35088745285496,900000084,,107,40,0.225,7.17,2024,1,21시,주말,차대차 - 기타,경상,교차로운행방법위반
81,127.13096000927804,37.3838288918005,572501383,서현로,105,60,0.14,7.64,2024,1,13시,주중,차대차 - 기타,경상,안전거리미확보
82,127.07686801794924,37.391111125476506,571545732,,107,40,0.127,7.45,2024,1,15시,주중,차대차 - 기타,경상,기타
83,127.10733311736132,37.36785245750265,571500312,정자일로198번길,107,40,0.179,2.46,2024,1,16시,주중,차대차 - 충돌,경상,안전운전불이행
84,127.12105892984424,37.38498740037913,571500677,황새울로,107,50,0.088,0.61,2024,1,16시,주중,차대차 - 기타,경상,안전운전불이행
85,127.10659547285623,37.36853505598504,571500613,느티로,107,50,0.098,1.58,2024,1,23시,주중,차대사람 - 기타,경상,보행자보호의무위반
86,127.11297685513026,37.390423579294236,571550878,분당내곡간고속화도로,102,80,1.996,6.37,2024,1,09시,주중,차대차 - 추돌,경상,안전운전불이행
87,127.10953979188841,37.377892128316255,571501001,백현로,107,50,0.13,2.8,2024,1,13시,주중,차대차 - 기타,경상,신호위반
88,127.12929956613887,37.41134274853357,572541017,성남대로916번길,107,50,0.07,2.65,2024,1,14시,주중,차대차 - 추돌,경상,안전거리미확보
89,127.10793582883862,37.36922455627,571543539,성남대로,107,70,0.282,18.23,2024,1,17시,주중,차대차 - 추돌,부상신고,안전운전불이행
90,127.09771206425532,37.40148660888236,571549494,판교로209번길,107,30,0.63,4.94,2024,1,17시,주중,차대차 - 기타,상해없음,교차로운행방법위반
91,127.11287092136996,37.38246405972281,571501284,,107,80,0.395,2.83,2024,1,18시,주중,차대차 - 기타,중상,안전거리미확보
92,127.1099597160295,37.34695807875731,571500356,미금일로90번길,107,30,0.125,2.77,2024,1,20시,주중,차대차 - 기타,상해없음,안전운전불이행
93,127.1214103894383,37.339775181206775,571541100,,107,50,0.037,6.34,2024,1,09시,주중,차대사람 - 기타,부상신고,보행자보호의무위반
94,127.11429705357433,37.38410922956313,571555296,,107,80,0.033,4.96,2024,1,16시,주중,차대차 - 기타,경상,신호위반
95,127.11478678437672,37.37449310425699,571541667,,107,30,0.166,1.6,2024,1,17시,주중,차대차 - 기타,부상신고,교차로운행방법위반
96,127.12201343679605,37.37036105506396,571510081,내정로166번길,107,30,0.072,19.93,2024,1,19시,주중,차대사람 - 차도통행중,경상,안전운전불이행
97,127.10801669432867,37.360192979240566,571501074,성남대로,107,70,0.038,14.21,2024,1,22시,주중,차대차 - 추돌,경상,안전운전불이행
98,127.10791958470847,37.36583530869401,571500359,성남대로331번길,107,50,0.054,19.8,2024,1,08시,주중,차대차 - 기타,경상,안전운전불이행
99,127.12362503246052,37.386870463491356,572500829,황새울로,107,50,0.097,4.13,2024,1,11시,주중,차대차 - 기타,경상,기타
100,127.12020107051487,37.41396391239451,571558527,수도권제1순환고속도로,101,100,2.507,4.37,2024,1,17시,주중,차대차 - 추돌,경상,안전운전불이행
101,127.13828657086256,37.375360525648816,572541261,불정로,107,60,0.102,0.75,2024,1,18시,주중,차대차 - 기타,중상,안전운전불이행
102,127.12004630454827,37.35059644269208,571540332,금곡로,107,50,0.029,0.23,2024,1,18시,주중,차대차 - 추돌,중상,안전거리미확보
103,127.10228502329187,37.378525960818756,571544468,대왕판교로,105,60,0.15,14.52,2024,1,19시,주중,차대차 - 충돌,경상,기타
104,127.12791232939787,37.394807146494735,572542918,이매로,107,30,0.132,11.29,2024,1,09시,주중,차대사람 - 기타,중상,보행자보호의무위반
105,127.10966334819763,37.39981405199617,571551012,판교역로,107,50,0.036,1.05,2024,1,09시,주중,차대차 - 기타,상해없음,안전운전불이행
106,127.11366116780866,37.378149036027565,571541935,황새울로214번길,107,30,0.131,44.06,2024,1,12시,주중,차대사람 - 기타,경상,안전운전불이행
107,127.10227549400709,37.386746503892326,571545134,대왕판교로,105,60,0.357,13.69,2024,1,13시,주중,차대차 - 기타,중상,안전거리미확보
108,127.10338331172903,37.393032827708865,571555596,경부고속도로,108,40,0.168,1.16,2024,1,16시,주중,차대차 - 기타,상해없음,안전운전불이행
109,127.1191137588241,37.40552354249701,571540551,분당수서간고속화도로,102,80,0.609,3.32,2024,1,17시,주중,차대차 - 기타,경상,신호위반
110,127.11320479968774,37.4032238785828,571557244,분당내곡로,107,50,0.021,1.6,2024,1,18시,주중,차대차 - 기타,경상,안전운전불이행
111,127.1095655461278,37.37946061395536,571554838,,107,80,0.272,14.37,2024,1,18시,주중,차대차 - 기타,경상,안전운전불이행
112,127.1129895509511,37.387953844685384,571557138,,107,30,0.033,1.47,2024,1,00시,주말,차대차 - 기타,경상,교차로운행방법위반
113,127.11276587643296,37.396299870025835,571557454,분당내곡로,107,50,0.007,0.5,2024,1,13시,주말,차대차 - 기타,경상,신호위반
114,127.13473397475542,37.37661154007674,572555181,,107,30,0.019,4.98,2024,1,13시,주말,차대차 - 기타,상해없음,신호위반
115,127.10310038458226,37.369550953392114,571555420,경부고속도로,101,110,0.82,5.3,2024,1,13시,주말,차대차 - 기타,경상,안전거리미확보
116,127.12586822744122,37.39919941801137,572553384,성남대로779번길,107,30,0.128,2.33,2024,1,14시,주말,차대차 - 추돌,상해없음,안전거리미확보
117,127.10238799458945,37.388973286015435,571547432,경부고속도로,101,110,3.093,3.68,2024,1,14시,주말,차대차 - 기타,경상,기타
118,127.11138857393246,37.376401927013745,571500558,백현로101번길,107,50,0.077,1.37,2024,1,16시,주말,차대차 - 기타,상해없음,안전운전불이행
119,127.12870543148038,37.410376412590246,572544942,성남대로,107,60,0.12,5.58,2024,1,23시,주말,차대차 - 기타,경상,안전운전불이행
120,127.11759027494874,37.380685669402844,571500557,수내로46번길,107,30,0.076,13.43,2024,1,06시,주말,차대차 - 기타,경상,중앙선침범
121,127.13729814407138,37.36952556102386,572540628,분당로263번길,107,30,0.129,14.04,2024,1,17시,주말,차대사람 - 횡단중,경상,신호위반
122,127.1268799087501,37.38656529544587,572549898,성남대로,107,70,0.042,2.44,2024,1,18시,주말,차대차 - 기타,경상,안전운전불이행
123,127.13047671365345,37.41324833508188,572510009,장미로86번길,107,50,0.15,2.18,2024,1,20시,주말,차대차 - 기타,상해없음,교차로운행방법위반
124,127.11054003570653,37.39196594856399,571557634,서현로,105,60,0.328,18.29,2024,1,11시,주중,차대사람 - 기타,중상,안전운전불이행
125,127.11412817090967,37.384000513151335,571540573,분당수서간고속화도로,102,60,0.397,0.57,2024,1,11시,주중,차대차 - 기타,상해없음,교차로운행방법위반
126,127.12222984089875,37.39926897366189,571540595,성남대로779번길,107,50,0.185,5.48,2024,1,11시,주중,차대차 - 기타,중상,안전운전불이행
127,127.12896875532174,37.384471654262015,572541637,서현로,105,60,0.384,4.54,2024,1,09시,주중,차대차 - 기타,경상,안전운전불이행
128,127.12596453391244,37.38209156259284,572500652,중앙공원로31번길,107,30,0.407,8.03,2024,1,14시,주중,차대사람 - 기타,중상,기타
129,127.10456527880152,37.36372392279919,571501156,,107,80,0.037,3.88,2024,1,01시,주중,차대차 - 기타,부상신고,안전운전불이행
130,127.1232772251968,37.35025523603846,572541831,구미로173번길,107,50,0.051,2.71,2024,1,06시,주중,차대차 - 충돌,중상,신호위반
131,127.11406651015095,37.39823306894294,571552058,,107,50,0.073,0.79,2024,1,11시,주중,차대사람 - 횡단중,중상,보행자보호의무위반
132,127.09375780786242,37.38888085667676,571548362,운중로,107,50,0.116,11.95,2024,1,15시,주중,차대사람 - 기타,경상,안전운전불이행
133,127.10348775832205,37.34529604370359,571452971,경부고속도로,101,110,5.524,22.38,2024,1,16시,주중,차대차 - 기타,경상,안전거리미확보
134,127.14834741294418,37.36868458785648,572501254,분당로,107,50,0.045,12.94,2024,2,06시,주중,차대차 - 추돌,경상,안전운전불이행
135,127.10785052033516,37.3725954376265,571556658,성남대로407번길,107,70,0.111,8.53,2024,2,13시,주중,차대사람 - 기타,경상,안전운전불이행
136,127.12717942833343,37.410479775439505,572542456,야탑로75번길,107,50,0.107,6.35,2024,2,15시,주중,차대사람 - 기타,부상신고,안전운전불이행
137,127.10907879158026,37.33612051977325,571443640,성남대로,107,70,0.057,9.98,2024,2,18시,주중,차대차 - 기타,경상,신호위반
138,127.09857881823548,37.402093476489256,571501766,경부고속도로,101,110,0.508,2.73,2024,2,18시,주중,차대차 - 충돌,경상,안전운전불이행
139,127.11295869994747,37.39175755912136,571557156,,107,60,0.037,1.94,2024,2,23시,주중,차대차 - 기타,경상,신호위반
140,127.12118782688299,37.41324597848606,571500554,장미로,107,50,0.13,2.09,2024,2,23시,주중,차대차 - 추돌,부상신고,안전운전불이행
141,127.11290235428594,37.39173033335136,571557152,서현로,105,60,0.037,0.61,2024,2,23시,주중,차대차 - 충돌,중상,신호위반
142,127.12863803116238,37.412584570144155,572541684,성남대로925번길,107,60,0.08,1.66,2024,2,13시,주중,차대차 - 기타,경상,안전운전불이행
143,127.05825784666179,37.39564008579647,571501731,수도권제1순환고속도로,101,100,4.69,9.11,2024,2,15시,주중,차대차 - 기타,경상,안전거리미확보
144,127.13647485324393,37.37396684404062,572500644,불정로376번길,107,30,0.081,0.69,2024,2,19시,주중,차대차 - 충돌,경상,안전운전불이행
145,127.11796117774587,37.33426563730445,571453881,미금로,107,30,0.195,15.44,2024,2,19시,주중,차대차 - 기타,경상,안전거리미확보
146,127.11707820890462,37.401415706311035,571551000,,107,30,0.062,1.9,2024,2,22시,주중,차대사람 - 기타,경상,신호위반
147,127.10415707940571,37.37263721652708,571540563,분당수서간고속화도로,102,60,1.442,2.67,2024,2,03시,주말,차대차 - 추돌,경상,안전운전불이행
148,127.12531465973854,37.37194897640429,572541202,돌마로,107,50,0.047,17.46,2024,2,12시,주말,차대차 - 기타,경상,신호위반
149,127.09872805352725,37.40165230889775,571541596,경부고속도로,101,110,0.751,4.41,2024,2,14시,주말,차대차 - 충돌,경상,안전운전불이행
150,127.10881651598312,37.35403918171163,571540346,성남대로,107,70,0.268,7.87,2024,2,18시,주말,차대차 - 기타,부상신고,안전운전불이행
151,127.10593363142675,37.36335892296374,571543414,정자일로,107,50,0.276,6.22,2024,2,18시,주말,차대차 - 기타,경상,신호위반
152,127.11027764218227,37.37718247198325,571541946,황새울로,107,50,0.137,4.81,2024,2,23시,주말,차대차 - 기타,경상,신호위반
153,127.12106723273088,37.38782677023293,571541824,황새울로341번길,107,30,0.097,7.45,2024,2,14시,주중,차대사람 - 횡단중,중상,안전운전불이행
154,127.12355454442293,37.40548368224995,571540604,판교로,107,50,0.155,3.77,2024,2,21시,주중,차대차 - 추돌,경상,신호위반
155,127.07153605820719,37.37121653785811,571564818,판교대장로,107,60,0.222,5.58,2024,2,02시,주중,차대차 - 충돌,중상,중앙선침범
156,127.10154016730434,37.34423487995836,571547190,대왕판교로,107,70,0.115,10.78,2024,2,10시,주중,차대차 - 기타,경상,중앙선침범
157,127.1139424050144,37.36294365655852,571542121,내정로31번길,107,40,0.083,2.42,2024,2,15시,주중,차대차 - 기타,경상,안전운전불이행
158,127.08673224173364,37.41339195592817,571558901,경부고속도로,101,110,0.954,6.29,2024,2,03시,주중,차대차 - 기타,중상,안전운전불이행
159,127.11611871755306,37.381302853717266,571500575,황새울로,107,50,0.079,12.86,2024,2,12시,주중,차대차 - 기타,경상,교차로운행방법위반
160,127.11429344513716,37.36275551152432,571542127,내정로17번길,107,40,0.136,4.64,2024,2,13시,주중,차대차 - 충돌,부상신고,안전운전불이행
161,127.12334524690148,37.36375817513605,572540737,불정로,107,50,0.036,6.9,2024,2,17시,주중,차대차 - 기타,경상,신호위반
162,127.10882489538015,37.34807204839042,571543550,성남대로,107,70,0.285,11.8,2024,2,22시,주중,차대차 - 기타,경상,안전거리미확보
163,127.12297302329752,37.38849086813133,571543148,서현로180번길,107,30,0.073,7.1,2024,2,23시,주중,차대차 - 추돌,경상,안전거리미확보
164,127.11735142519132,37.381009393463216,571501234,수내로,107,50,0.107,6.21,2024,2,16시,주중,차대사람 - 횡단중,경상,신호위반
165,127.12873430449326,37.41368454994826,572501124,성남대로,107,60,0.03,6.48,2024,2,17시,주중,차대차 - 충돌,경상,신호위반
166,127.13646299343772,37.37408398713097,572543934,불정로,107,50,0.011,4.7,2024,2,19시,주중,차대차 - 기타,경상,교차로운행방법위반
167,127.10436179269007,37.37236748737057,571540803,,107,60,0.435,1.08,2024,2,21시,주중,차대차 - 충돌,경상,기타
168,127.11969653747786,37.38410868924333,571501182,분당로,107,50,0.034,6.65,2024,2,00시,주중,차대차 - 충돌,중상,신호위반
169,127.11788320954004,37.33405806658458,571461949,무지개로,107,50,0.368,6.66,2024,2,13시,주말,차대차 - 기타,경상,안전운전불이행
170,127.11702940429805,37.35325481073834,571540963,금곡로,107,30,0.164,1.58,2024,2,18시,주말,차대차 - 기타,경상,안전운전불이행
171,127.13129981417248,37.374410528655446,572551816,,107,30,0.126,4.74,2024,2,20시,주말,차대차 - 충돌,상해없음,안전운전불이행
172,127.10163822226023,37.35772892334693,571558218,대왕판교로,105,60,0.021,11.82,2024,2,01시,주말,차대차 - 추돌,경상,안전운전불이행
173,127.10184147048443,37.39191895204818,571555602,경부고속도로,108,40,0.358,0.17,2024,2,10시,주말,차대차 - 추돌,경상,안전운전불이행
174,127.11847866703347,37.354701707683944,571540093,,107,30,0.152,6.25,2024,2,14시,주말,차대차 - 기타,경상,안전운전불이행
175,127.10885308994916,37.34263679182113,571540387,탄천상로,107,50,0.043,0.04,2024,2,22시,주말,차대차 - 기타,경상,신호위반
176,127.1064405522609,37.350624070772575,571556362,정자일로6번길,107,40,0.038,1.42,2024,2,23시,주말,차대차 - 기타,경상,안전운전불이행
177,127.08418845311859,37.3870268127196,571556596,안양판교로,105,60,0.029,5.4,2024,2,14시,주중,차대차 - 기타,경상,신호위반
178,127.11290605621589,37.39979767103407,571550878,분당내곡간고속화도로,102,80,1.996,0.91,2024,2,19시,주중,차대차 - 기타,중상,신호위반
179,127.10494321092106,37.40362922381729,571558330,대왕판교로,105,60,0.056,2.95,2024,2,13시,주중,차대차 - 충돌,경상,안전거리미확보
180,127.11790601441776,37.334013070900326,571461949,무지개로,107,50,0.368,11.46,2024,2,15시,주중,차대차 - 추돌,경상,안전운전불이행
181,127.12787058706584,37.41010337524258,572542462,야탑로81번길,107,50,0.162,0.99,2024,2,16시,주중,차대차 - 기타,부상신고,안전운전불이행
182,127.1036263272944,37.38120756046638,571555098,백현로,107,50,0.44,9.43,2024,2,10시,주중,차대차 - 충돌,경상,안전거리미확보
183,127.11217820960796,37.34587469701221,571542310,미금일로,107,30,0.129,1.29,2024,2,12시,주중,차대차 - 추돌,경상,안전거리미확보
184,127.10178990803819,37.35252845406642,571557766,돌마로,107,40,0.079,4.03,2024,2,18시,주중,차대차 - 기타,부상신고,안전거리미확보
185,127.10467800803131,37.36591465697886,571540553,분당수서간고속화도로,102,60,1.045,5.46,2024,2,19시,주중,차대차 - 기타,경상,안전운전불이행
186,127.0697205865195,37.360826044912876,571564241,두밀로,107,40,0.357,4.99,2024,2,21시,주중,차대차 - 기타,상해없음,중앙선침범
187,127.11695985196476,37.38693018630458,571501006,,107,80,0.041,0.63,2024,2,23시,주중,차대차 - 기타,경상,안전운전불이행
188,127.12853166233916,37.41124118703641,572544942,성남대로,107,60,0.12,25.57,2024,2,02시,주중,차대차 - 기타,부상신고,안전거리미확보
189,127.10981636628598,37.39427108925094,571556936,판교역로,107,50,0.206,12.34,2024,2,10시,주중,차대차 - 기타,경상,안전운전불이행
190,127.12883004275858,37.39427821781224,572542257,이매로,107,30,0.288,3.74,2024,2,17시,주중,차대차 - 충돌,경상,안전거리미확보
191,127.11174442234757,37.359952886643825,571501104,불정로,107,50,0.124,1.05,2024,2,20시,주중,차대차 - 기타,경상,교차로운행방법위반
192,127.14173461414461,37.374694985085526,572544962,서현로,105,60,0.158,4.3,2024,2,00시,주중,차대차 - 기타,경상,안전거리미확보
193,127.13189177073295,37.38270507131373,572500825,중앙공원로,107,50,0.183,6.44,2024,2,10시,주중,차대차 - 충돌,경상,중앙선침범
194,127.10750493463348,37.36522099396123,571553050,성남대로331번길,107,40,0.164,0.57,2024,2,21시,주중,차대차 - 기타,경상,안전운전불이행
195,127.10909390874568,37.34191647963967,571501376,성남대로,107,70,0.151,14.63,2024,2,08시,주말,차대차 - 충돌,상해없음,안전거리미확보
