grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank
다사690383,415.0,4,1,0,234.0,0.4301,329.99,1928.37,0.3448,79.1578,318.2653,397.4231,0.3963,36.06,11.3617,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.7749,1.5,0.601,1.1136,1.3685,1.0,1011.96,노인밀집거주 | 교통약자유동多 | 통행피크위험,32,0.263466,524.34,12
다사669386,397.0,2,1,0,7.0,0.35,620.05,3212.22,0.3087,46.4259,149.6993,196.1252,0.6302,50.35,98.1414,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.6587,1.8333,0.8392,1.9814,1.0299,1.0651,2201.99,노인밀집거주 | 주말방문집중 | 통행피크위험,2,0.298328,515.44,13
다사657444,415.0,4,1,0,78.0,0.2816,1505.25,8869.45,0.3063,93.528,288.6336,382.1616,0.5958,35.74,65.149,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.5879,1.8333,0.5957,1.6515,1.3428,1.0479,1672.41,노인밀집거주 | 주말방문집중 | 통행피크위험,13,0.241668,515.29,14
다사729514,439.0,9,1,0,0.0,0.0,10414.28,20462.27,0.3117,648.0678,1855.6959,2503.7637,0.5278,22.29,62.5895,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),업무시설,1.3117,1.5,0.3715,1.6259,1.5,1.0139,793.47,통행피크위험,57,0.168226,512.85,15
다사312118,468.0,3,1,1,0.0,0,62.06,725.02,0.3887,8.6184,18.162,26.7804,0.2253,49.99,62.1206,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3887,1.8333,0.8332,1.6212,1.0,1.0,1609.44,교통약자유동多,15,0.092898,511.48,16
다사684434,415.0,4,1,0,64.0,0.2857,1539.78,5889.05,0.3317,146.9481,497.7866,644.7347,0.4829,25.39,45.6263,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.6174,1.5,0.4232,1.4563,1.5,1.0,930.77,노인밀집거주 | 통행피크위험,38,0.224805,508.29,17
다사670371,405.0,3,1,0,62.0,0.328,1692.49,13519.3,0.3465,184.2662,708.9985,893.2647,0.4665,41.98,22.3923,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.6745,1.6667,0.6997,1.2239,1.5,1.0,1451.93,노인밀집거주 | 교통약자유동多 | 통행피크위험,20,0.249305,505.97,18
다사476042,461.0,3,1,1,0.0,0,2029.07,8080.2,0.3089,170.8532,271.2791,442.1323,0.4677,21.21,66.2448,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3089,1.3333,0.3535,1.6624,1.4437,1.0,682.55,통행피크위험,74,0.092597,503.69,19
다사735489,391.0,1,1,0,143.0,0.4783,701.67,7655.99,0.4872,99.2705,353.3405,452.611,0.3751,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.9655,1.5,1.0,1.0,1.4613,1.0,1684.54,노인밀집거주 | 교통약자유동多 | 통행피크위험,12,0.265383,494.76,20
다사752493,460.0,2,1,1,0.0,0,218.28,1009.34,0.3727,20.0153,72.5547,92.57,0.3814,24.82,46.5919,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3727,1.5,0.4137,1.4659,1.0,1.0,574.4,교통약자유동多,96,0.06995,492.18,21
다사693442,399.0,2,1,0,175.0,0.4127,909.42,3817.44,0.3728,90.0063,280.2873,370.2936,0.3461,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.7855,1.5,1.0,1.0,1.3228,1.0,1413.57,노인밀집거주 | 교통약자유동多 | 통행피크위험,22,0.229621,490.62,22
다사673366,391.0,1,1,0,62.0,0.234,124.54,1264.96,0.3367,23.2028,72.7069,95.9097,0.3926,25.57,93.9428,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.5707,1.6667,0.4262,1.9394,1.0,1.0,846.07,노인밀집거주,50,0.214076,474.7,23
다사687300,391.0,1,1,0,56.0,0.306,341.78,1883.2,0.348,12.2127,71.1384,83.3511,0.3847,29.72,41.505,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.654,1.5,0.4953,1.415,1.0,1.0,679.87,노인밀집거주 | 교통약자유동多,75,0.211108,473.54,24
다사665307,391.0,1,1,0,83.0,0.3086,277.51,696.81,0.3701,10.3636,40.1733,50.5369,0.4743,37.98,14.8298,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.6787,2.0,0.633,1.1483,1.0,1.0,954.2,노인밀집거주 | 교통약자유동多,34,0.209692,472.99,25
다사658331,391.0,1,1,0,106.0,0.2548,305.46,905.12,0.2648,59.4426,120.5813,180.0239,0.2698,20.99,67.3292,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),아파트,1.5196,2.0,0.3498,1.6733,1.0028,1.0,697.5,노인밀집거주 | 통행피크위험 | 주거밀집,69,0.20727,472.04,26
다사591123,399.0,2,1,0,87.0,0.2266,253.8,683.56,0.2913,24.0685,78.8181,102.8866,0.4016,22.47,51.1071,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5179,1.6667,0.3745,1.5111,1.0,1.0,571.24,노인밀집거주,98,0.180092,470.86,27
다사726482,424.0,6,1,0,0.0,0,52.97,483.51,0.2817,2.9502,18.4627,21.4129,0.6538,59.73,54.8362,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2817,2.0,0.9955,1.5484,1.0,1.0769,1804.19,주말방문집중,6,0.108678,470.08,28
다사684373,391.0,1,1,0,27.0,0.3034,517.59,1942.92,0.3731,73.4844,253.4087,326.8931,0.7862,,,4,crosswalk_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.6765,1.6667,1.0,1.0,1.2498,1.1431,1560.85,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험 | 학교인근,18,0.194423,467.02,29
다사645348,423.0,5,1,0,0.0,0,250.01,2233.36,0.2264,115.4538,150.9464,266.4002,0.511,28.28,72.6117,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2264,1.6667,0.4713,1.7261,1.1481,1.0055,812.0,통행피크위험,54,0.100818,465.65,30
다사633451,407.0,3,1,0,7.0,0.1045,1745.67,7811.34,0.3105,294.4796,613.4646,907.9442,0.4526,35.17,30.2072,1,child_zone_cnt(없음),미분류,1.415,1.1667,0.5862,1.3021,1.5,1.0,769.29,통행피크위험,59,0.137677,463.03,31
다사649463,391.0,1,1,0,0.0,0,4783.73,20660.71,0.3137,978.6595,1528.2344,2506.8939,0.4982,22.01,69.1701,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3137,1.8333,0.3668,1.6917,1.5,1.0,876.5,통행피크위험,46,0.177511,460.41,32
다사657450,391.0,1,1,0,54.0,0.1949,228.95,1088.59,0.2936,48.9043,110.3431,159.2474,0.4085,28.69,68.4139,2,crosswalk_cnt(없음) | bus_stop_cnt(없음),미분류,1.4885,1.3333,0.4782,1.6841,1.0,1.0,624.93,일반,84,0.176805,460.13,33
다사673440,407.0,3,1,0,0.0,0,2529.2,9922.14,0.3475,339.6494,624.1529,963.8023,0.5265,27.39,51.6133,3,cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3475,1.5,0.4565,1.5161,1.5,1.0132,865.31,교통약자유동多 | 통행피크위험 | 학교인근,49,0.109818,451.7,34
다사584129,399.0,2,1,0,0.0,0,13.54,68.79,0.2556,0.2787,4.3092,4.5879,0.3716,60.15,80.4374,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2556,2.0,1.0025,1.8044,1.0,1.0,1812.47,고속도로위험,5,0.11607,445.31,35
다사489061,391.0,1,1,0,0.0,0,59.32,442.02,0.3051,10.0423,9.3069,19.3492,0.5218,57.6,93.7372,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.3051,1.8333,0.96,1.9374,1.0,1.0109,1758.95,일반,8,0.126691,440.54,36
다사654266,391.0,1,1,0,0.0,0,2796.14,14187.93,0.313,399.8524,759.792,1159.6444,0.601,32.57,42.7086,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.313,1.6667,0.5428,1.4271,1.5,1.0505,1044.43,주말방문집중 | 통행피크위험,31,0.118487,437.33,37
다사407137,391.0,1,1,0,0.0,0,21.4,201.71,0.3002,3.382,3.8521,7.2341,0.5657,51.36,79.4179,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3002,2.0,0.856,1.7942,1.0,1.0329,1612.95,주말방문집중,14,0.11748,436.93,38
다사399111,391.0,1,1,0,0.0,0,438.16,1312.36,0.286,27.1696,33.8904,61.06,0.565,36.4,99.91,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.286,1.5,0.6067,1.9991,1.0,1.0325,944.51,주말방문집중,36,0.11598,436.35,39
다사718504,391.0,1,1,0,0.0,0,1329.35,4638.5,0.3048,130.7629,244.7956,375.5585,0.6786,17.5,81.8298,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),자족기능확보시설,1.3048,1.8333,0.2917,1.8183,1.3317,1.0893,719.63,주말방문집중 | 통행피크위험,65,0.114241,435.67,40
다사544081,391.0,1,1,0,0.0,0,2.71,32.24,0.2734,1.2171,0.7975,2.0146,0.5204,53.57,74.0083,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2734,2.0,0.8928,1.7401,1.0,1.0102,1562.81,일반,17,0.113077,435.21,41
다사443099,391.0,1,1,0,0.0,0,13.1,149.11,0.2964,2.298,5.3082,7.6062,0.5558,84.81,45.6345,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2964,2.0,1.4135,1.4563,1.0,1.0279,2145.08,주말방문집중 | 고속도로위험,3,0.112801,435.11,42
다사438091,391.0,1,1,0,0.0,0,14.79,195.71,0.2903,4.4731,5.0455,9.5186,0.5651,52.56,60.6596,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2903,2.0,0.876,1.6066,1.0,1.0326,1466.36,주말방문집중,19,0.10546,432.24,43
다사668410,391.0,1,1,0,0.0,0,729.1,5074.6,0.2696,65.1131,186.6291,251.7422,0.6134,63.86,36.5875,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2696,2.0,1.0643,1.3659,1.1234,1.0567,1713.34,주말방문집중 | 통행피크위험 | 고속도로위험,10,0.105326,432.18,44
다사657359,391.0,1,1,0,0.0,0,809.72,6946.06,0.2927,33.9401,220.2551,254.1952,0.3912,67.11,33.1902,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2927,2.0,1.1185,1.3319,1.1276,1.0,1698.12,통행피크위험 | 고속도로위험,11,0.09799,429.31,45
다사501163,391.0,1,1,0,0.0,0,60.66,514.34,0.2855,3.0584,13.2734,16.3318,0.6815,87.69,9.2207,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2855,2.0,1.4615,1.0922,1.0,1.0907,1750.19,주말방문집중 | 고속도로위험,9,0.094139,427.81,46
다사544113,391.0,1,1,0,0.0,0,23.09,193.91,0.2702,7.7836,8.0114,15.795,0.7227,71.47,27.1119,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.2702,1.6667,1.1912,1.2711,1.0,1.1114,1392.97,주말방문집중 | 고속도로위험,23,0.092545,427.19,47
다사652396,391.0,1,1,0,0.0,0,187.08,951.86,0.2792,14.3267,49.0167,63.3434,0.7066,60.2,33.3507,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2792,1.6667,1.0033,1.3335,1.0,1.1033,1230.52,주말방문집중 | 고속도로위험,25,0.091804,426.9,48
다사501021,391.0,1,1,0,0.0,0,0.02,2.56,0.231,0.8456,0.0041,0.8497,1.0,25.19,36.9062,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.231,2.0,0.4198,1.3691,1.0,1.25,691.6,주말방문집중,72,0.087497,425.21,49
다사710359,391.0,1,1,0,0.0,0,197.99,1758.48,0.346,11.7499,103.441,115.1909,0.4249,44.02,34.614,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.346,1.8333,0.7337,1.3461,1.0,1.0,952.91,교통약자유동多,35,0.080174,422.35,50
다사405115,391.0,1,1,0,0.0,0.0,1195.37,6512.99,0.2802,168.9338,151.8765,320.8103,0.6444,34.28,16.0453,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2802,2.0,0.5713,1.1605,1.2396,1.0722,882.17,주말방문집중 | 통행피크위험,44,0.078798,421.81,51
다사667347,391.0,1,1,0,0.0,0,741.62,4795.01,0.3014,142.2278,338.3898,480.6176,0.5506,34.9,10.9577,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3014,2.0,0.5817,1.1096,1.5,1.0253,1010.24,주말방문집중 | 통행피크위험,33,0.07856,421.72,52
다사664462,391.0,1,1,0,0.0,0,887.12,2672.5,0.3429,89.8953,303.9474,393.8427,0.4234,52.41,1.2418,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3429,1.8333,0.8735,1.0124,1.3625,1.0,1159.86,교통약자유동多 | 통행피크위험,26,0.072064,419.18,53
다사667411,391.0,1,1,0,0.0,0,471.06,2938.74,0.2774,51.119,127.532,178.651,0.5554,50.93,4.9444,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2774,1.8333,0.8488,1.0494,1.0005,1.0277,838.62,주말방문집중 | 통행피크위험,51,0.069646,418.23,54
다사409194,391.0,1,1,0,0.0,0,25.71,39.34,0.3445,0.9504,5.7744,6.7248,0.5253,45.93,1.0221,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3445,2.0,0.7655,1.0102,1.0,1.0127,823.38,교통약자유동多,53,0.060962,414.84,55
다사455003,391.0,1,1,0,0.0,0,27.13,296.18,0.349,2.8822,7.9063,10.7885,0.4671,55.1,0.0234,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.349,1.8333,0.9183,1.0002,1.0,1.0,888.17,교통약자유동多,43,0.060728,414.74,56
다사667452,391.0,1,1,0,0.0,0,46.82,195.31,0.3624,9.2508,28.6716,37.9224,0.3111,42.02,4.8882,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3624,1.8333,0.7003,1.0489,1.0,1.0,717.35,교통약자유동多,67,0.052864,411.67,57
다사469215,391.0,1,1,0,0.0,0,2.18,18.68,0.3018,0.0,1.2581,1.2581,0.5643,,,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3018,2.0,1.0,1.0,1.0,1.0322,1050.79,주말방문집중,30,0.039534,406.46,58
다사370008,391.0,1,1,0,0.0,0,2.24,47.32,0.5536,0.3457,0.974,1.3197,0.2739,,,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5536,1.8333,1.0,1.0,1.0,1.0,1113.65,교통약자유동多,28,0.03027,402.84,59
다사646460,293.0,14,0,3,0.0,0,21573.6,71160.36,0.2655,1938.5783,5625.5163,7564.0946,0.4281,31.04,53.0082,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2655,1.8333,0.5173,1.5301,1.5,1.0,807.08,통행피크위험,56,0.346815,394.62,60
다사653311,348.0,13,0,4,0.0,0,365.54,1057.32,0.2607,118.6731,91.2933,209.9664,0.6921,41.55,42.0175,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족),미분류,1.2607,1.6667,0.6925,1.4202,1.0532,1.096,830.12,주말방문집중 | 통행피크위험,52,0.09184,379.96,61
다사696384,249.0,18,0,2,25.0,0.625,4830.63,28596.61,0.3537,940.5007,3303.9241,4244.4248,0.604,29.38,37.1973,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.9787,1.6667,0.4897,1.372,1.5,1.052,870.62,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,47,0.513093,376.76,62
다사671358,339.0,14,0,4,0.0,0,54.11,431.86,0.299,6.5881,18.9179,25.506,0.5379,39.0,29.3984,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.299,1.6667,0.65,1.294,1.0,1.019,629.05,일반,83,0.070919,363.04,63
다사670419,321.0,19,0,3,0.0,0,2252.82,10852.28,0.2906,232.0628,542.2471,774.3099,0.4138,31.37,51.2806,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.2906,1.5,0.5228,1.5128,1.5,1.0,737.22,통행피크위험,63,0.100763,353.34,64
다사661423,322.0,10,0,4,0.0,0,319.56,1424.38,0.2663,102.9623,93.7282,196.6905,0.5064,40.94,37.0734,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2663,1.8333,0.6823,1.3707,1.0308,1.0032,722.95,통행피크위험,64,0.084675,349.27,65
다사667426,310.0,10,0,4,0.0,0,1257.68,5968.82,0.2642,356.93,691.298,1048.228,0.4154,27.47,63.6028,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2642,1.8333,0.4578,1.636,1.5,1.0,807.16,통행피크위험,55,0.122119,347.86,66
다사662446,292.0,6,0,4,44.0,0.2328,208.93,1004.0,0.3337,38.0017,83.9858,121.9875,0.5539,29.62,37.7793,2,child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.5665,1.3333,0.4937,1.3778,1.0,1.027,426.05,노인밀집거주 | 주말방문집중,172,0.178237,344.05,67
다사671372,286.0,17,0,3,0.0,0,3293.09,25468.21,0.358,374.369,1344.8355,1719.2045,0.6033,31.09,62.7594,2,child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.358,1.3333,0.5182,1.6276,1.5,1.0516,688.94,교통약자유동多 | 주말방문집중 | 통행피크위험,73,0.145652,327.66,68
다사692382,254.0,17,0,2,64.0,0.3077,1086.12,6927.42,0.3719,238.3216,884.2345,1122.5561,0.4489,30.41,28.8862,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.6796,1.8333,0.5068,1.2889,1.5,1.0,766.34,노인밀집거주 | 교통약자유동多 | 통행피크위험,60,0.248592,317.14,69
다사658443,286.0,14,0,3,0.0,0,662.59,3916.53,0.3254,99.2712,168.1381,267.4093,0.6028,32.65,51.8485,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3254,1.8333,0.5442,1.5185,1.1498,1.0514,694.24,주말방문집중 | 통행피크위험,71,0.096391,313.57,70
다사724512,292.0,6,0,4,0.0,0,2681.14,3993.29,0.3316,81.0506,294.3636,375.4142,0.4162,31.42,22.9805,3,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족),근린공원,1.3316,1.5,0.5237,1.2298,1.3315,1.0,500.16,통행피크위험,124,0.068283,311.94,71
다사669422,261.0,11,0,3,0.0,0,3779.59,19151.07,0.2912,579.7844,1215.4662,1795.2506,0.5211,22.49,99.97,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.2912,1.3333,0.3748,1.9997,1.5,1.0106,510.5,통행피크위험,117,0.165151,304.1,72
