gbn,addr,inst_plc,fac_hght,fac_wdth,sprtn,cntns,lon,lat,hght_class,grid_gid
,경기도 화성시 서신면 전곡리 1112-3번지,도시계획도로,7.5,3.6,N,N,126.6780904,37.18334512,평균초과,다사270097
,경기도 화성시 서신면 전곡리 1118-1번지,도시계획도로,7.5,3.6,N,N,126.6765683,37.18242414,평균초과,다사269096
,경기도 화성시 봉담읍 마하리 350번지,시도67호선,7.5,3.6,N,N,126.9436109,37.17629916,평균초과,다사506087
,경기도 화성시 비봉면 청요리 897,리도208호선,7.5,3.6,N,N,126.8916804,37.20299255,평균초과,다사460117
,경기도 화성시 우정읍 석천리 227번지,도시계획도로,7.5,3.6,N,N,126.7927093,37.04534931,평균초과,다바371943
,경기도 화성시 팔탄면 노하리 1155,시도60호선,7.5,3.6,N,N,126.8434994,37.15105554,평균초과,다사417060
,경기도 화성시 장안면 독정리 938-1,시도 72호선,7.5,3.6,N,N,126.8474759,37.0670377,평균초과,다바419966
,경기도 화성시 송산면 삼존리 203-18번지,도시계획도로,7.5,3.6,N,N,126.7366639,37.21665576,평균초과,다사322133
,경기도 화성시 장안면 금의리 761-4번지,도시계획도로,7.5,3.6,N,N,126.8404219,37.11179287,평균초과,다사413016
,경기도 화성시 서신면 전곡리 1117-1번지,도시계획도로,7.5,3.6,N,N,126.6740217,37.18247853,평균초과,다사266096
,경기도 화성시 향남읍 행정리 496-16번지,생활도로,7.5,3.6,N,N,126.9201664,37.12349047,평균초과,다사484029
,경기도 화성시 비봉면 양노리 710-1번지,시도 3호선,7.5,3.6,N,N,126.858897,37.21918324,평균초과,다사431135
,경기도 화성시 팔탄면 하저리 547-1번지,리도 202호선,7.5,3.6,N,N,126.8720212,37.18735311,평균초과,다사442100
,경기도 화성시 마도면 두곡리 113번지,비법정도로,7.5,3.6,N,N,126.7779397,37.21221097,평균초과,다사359128
,경기도 화성시 향남읍 상신리 944-3,시도 59호선,7.5,3.6,N,N,126.8944935,37.09469836,평균초과,다바461997
,경기도 화성시 장안면 석포리 665-50번지,시도 60호선,7.5,3.6,N,N,126.8409598,37.13672391,평균초과,다사414044
,경기도 화성시 서신면 전곡리 630-3번지,비법정도로,7.5,3.6,N,N,126.6728976,37.19361185,평균초과,다사265108
,경기도 화성시 우정읍 석천리 686-2,면도 103호선,7.5,3.6,N,N,126.7816184,37.0400365,평균초과,다바361937
,경기도 화성시 향남읍 발안리 산17,시도58호선,7.5,3.6,N,N,126.8937738,37.13374929,평균초과,다사461040
,경기도 화성시 팔탄면 율암리 154-69,도시계획도로,7.5,3.6,N,N,126.8849384,37.17063867,평균초과,다사453081
,경기도 화성시 남양읍 신외리 497-4,시도 4호선,7.5,3.6,N,N,126.8129699,37.26856877,평균초과,다사390190
,경기도 화성시 향남읍 구문천리 334-3번지,도시계획도로,7.5,3.6,N,N,126.8917368,37.09041941,평균초과,다바459992
,경기도 화성시 남양읍 북양리 527번지,시도 3호선,7.5,3.6,N,N,126.8571113,37.21310718,평균초과,다사429128
,경기도 화성시 마도면 금당리 96-1,도시계획도로,7.5,3.6,N,N,126.7436158,37.19168729,평균초과,다사328105
,경기도 화성시 장안면 수촌리 1084-1,리도209호선,7.5,3.6,N,N,126.8519958,37.10120257,평균초과,다사424004
,경기도 화성시 양감면 사창리 365-6,시도 57호선,7.5,3.6,N,N,126.9785094,37.08703236,평균초과,다바536988
,경기도 화성시 남양읍 장전리 404-10,비법정도로,7.5,3.6,N,N,126.8221117,37.26445637,평균초과,다사398186
,경기도 화성시 남양읍 장전리 440-4,시도 4호선,7.5,3.6,N,N,126.8206929,37.26845476,평균초과,다사397190
,경기도 화성시 봉담읍 동화리 253-22,도시계획도로,7.5,3.6,N,N,126.9611262,37.2214636,평균초과,다사521137
,경기도 화성시 팔탄면 기천리 165-21번지,비법정도로,7.5,3.6,N,N,126.8988393,37.19255809,평균초과,다사466105
,경기도 화성시 양감면 사창리 983번지,면도102호선,7.5,3.6,N,N,126.9707864,37.0867241,평균초과,다바529988
,경기도 화성시 양감면 사창리 401-1번지,도시계획도로,7.5,3.6,N,N,126.9713636,37.09109856,평균초과,다바530992
,경기도 화성시 우정읍 이화리 1104-6번지,비법정도로,7.5,3.6,N,N,126.7945643,37.02716071,평균초과,다바372923
,경기도 화성시 장안면 석포리 775번지,리도 202호선,7.5,3.6,N,N,126.8239016,37.143145,평균초과,다사399051
,경기도 화성시 매송면 어천리 223,농도 303호선,7.5,3.6,N,N,126.9196276,37.25393295,평균초과,다사485173
,경기도 화성시 남양읍 신외리 631-2,시도 19호선,7.5,3.6,N,N,126.8166945,37.26687174,평균초과,다사394188
,경기도 화성시 마도면 석교리 243-2,리도 201호선,7.5,3.6,N,N,126.7702164,37.20501396,평균초과,다사352120
,경기도 화성시 서신면 상안리 879-11,도시계획도로,7.5,3.6,N,N,126.7015062,37.16866523,평균초과,다사291080
,경기도 화성시 마도면 청원리 228-38,리도205호선,7.5,3.6,N,N,126.7620894,37.1872391,평균초과,다사345100
,경기도 화성시 장안면 노진리 949,비법정도로,7.5,3.6,N,N,126.8147559,37.04404032,평균초과,다바390941
,경기도 화성시 송산면 봉가리 473-1번지,리도 206호선,7.5,3.6,N,N,126.7391964,37.20913644,평균초과,다사324125
,경기도 화성시 향남읍 증거리 196-1,리도 209호선,7.5,3.6,N,N,126.9772883,37.13950038,평균초과,다사535046
,경기도 화성시 장안면 독정리 493-2,도시계획도로,7.5,3.6,N,N,126.8533586,37.07173076,평균초과,다바425972
,경기도 화성시 우정읍 조암리 205-12번지,도시계획도로,7.5,3.6,N,N,126.8178487,37.08739429,평균초과,다바393989
,경기도 화성시 남양읍 활초리 230-72,시도 22호선,7.5,3.6,N,N,126.8307224,37.18610626,평균초과,다사405099
,경기도 화성시 장안면 수촌리 75-2,시도 54호선,7.5,3.6,N,N,126.862024,37.09236655,평균초과,다바433994
,경기도 화성시 우정읍 주곡리 831-22번지,시도 2호선,7.5,3.6,N,N,126.8171745,37.12240116,평균초과,다사393028
,경기도 화성시 장안면 장안리 1556,농도 301호선,7.5,3.6,N,N,126.8531065,37.03981488,평균초과,다바424936
,경기도 화성시 송산면 육일리 산77번지,리도 208호선,7.5,3.6,N,N,126.7200411,37.19679803,평균초과,다사307111
,경기도 화성시 향남읍 평리 59-14번지 명성로즈빌,도시계획도호,7.5,3.6,N,N,126.9134518,37.13294929,평균초과,다사479039
,경기도 화성시 남양읍 남양리 2057번지,도시계획도로,7.5,3.6,N,N,126.8302382,37.20343955,평균초과,다사405118
,경기도 화성시 양감면 사창리 431-4 (남부),면도 101호선,7.5,3.6,N,N,126.9705448,37.09086895,평균초과,다바529992
,경기도 화성시 장안면 석포리 675-22,시도 60호선,7.5,3.6,N,N,126.8408892,37.13460789,평균초과,다사414041
,경기도 화성시 향남읍 평리 115-10번지,비법정도로,7.5,3.6,N,N,126.9078653,37.13180377,평균초과,다사474038
,경기도 화성시 비봉면 자안리 680번지,리도 201호선,7.5,3.6,N,N,126.875075,37.19959222,평균초과,다사445113
,경기도 화성시 남양읍 활초리 180번지,비법정도로,7.5,3.6,N,N,126.8366602,37.18168891,평균초과,다사411094
,경기도 화성시 매송면 원리 425-15,시도 78호선,7.5,3.6,N,N,126.8774094,37.27728644,평균초과,다사448199
,경기도 화성시 우정읍 매향리 627-1,시도 86호선,7.5,3.6,N,N,126.7666504,37.049649,평균초과,다바347948
,경기도 화성시 매송면 숙곡리 113-2,농도 303호선,7.5,3.6,N,N,126.9119281,37.26398278,평균초과,다사478185
,경기도 화성시 남양읍 원천리 537,시도 1호선,7.5,3.6,N,N,126.7972249,37.22526597,평균초과,다사376142
,경기도 화성시 봉담읍 분천리 98-1,시도 64호선,7.5,3.6,N,N,126.9633433,37.20468705,평균초과,다사523118
,경기도 화성시 우정읍 호곡리 600번지,비법정도로,7.5,3.6,N,N,126.7729781,37.11791978,평균초과,다사354023
,경기도 화성시 향남읍 발안리 1-4번지,시도58호선,7.5,3.6,N,N,126.8938576,37.13350875,평균초과,다사461040
,경기도 화성시 서신면 광평리 399-1,도시계획도로,7.5,3.6,N,N,126.6883979,37.17474022,평균초과,다사279087
,경기도 화성시 비봉면 남전리 303번지,리도209호선,7.5,3.6,N,N,126.8343345,37.24511598,평균초과,다사409164
,경기도 화성시 양감면 송산리 산62-8,시도57호선,7.5,3.6,N,N,126.9777917,37.11483874,평균초과,다사536019
,경기도 화성시 마도면 슬항리 393번지,리도201호선,7.5,3.6,N,N,126.7571929,37.20005648,평균초과,다사340115
,경기도 화성시 봉담읍 마하리 324-1,시도1호선,7.5,3.6,N,N,126.948124,37.17466732,평균초과,다사510085
,경기도 화성시 마도면 송정리 138-4번지,시도1호선,7.5,3.6,N,N,126.7927784,37.22178149,평균초과,다사372138
,경기도 화성시 남양읍 남양리 1865-22,도시계획도로,7.5,3.6,N,N,126.8110766,37.20598903,평균초과,다사388121
,경기도 화성시 남양읍 남양리 1868-56,도시계획도로,7.5,3.6,N,N,126.8041623,37.20513066,평균초과,다사382120
,경기도 화성시 남양읍 원천리 221-5,시도1호선,7.5,3.6,N,N,126.8053592,37.22996519,평균초과,다사383147
,경기도 화성시 남양읍 원천리 249-8,도시계획도로,7.5,3.6,N,N,126.8070485,37.2303194,평균초과,다사385148
,경기도 화성시 남양읍 원천리 253-2번지,도시계획도로,7.5,3.6,N,N,126.8068333,37.23048187,평균초과,다사385148
,경기도 화성시 마도면 금당리 1145,도시계획도로,7.5,3.6,N,N,126.7469189,37.19073937,평균초과,다사331104
,경기도 화성시 마도면 백곡리 242-3,리도 206호선,7.5,3.6,N,N,126.7252538,37.18969043,평균초과,다사312103
,경기도 화성시 매송면 송라리 569-2,시도78호선,7.5,3.6,N,N,126.8866251,37.27481803,평균초과,다사456197
,경기도 화성시 비봉면 쌍학리 360-6,도시계획도로,7.5,3.6,N,N,126.8914288,37.23624053,평균초과,다사460154
,경기도 화성시 비봉면 양노리 825-5,시도78호선,7.5,3.6,N,N,126.8724409,37.21610104,평균초과,다사443132
,경기도 화성시 비봉면 청요리 595-1번지,도시계획도로,7.5,3.6,N,N,126.8928022,37.20213622,평균초과,다사461116
,경기도 화성시 양감면 대양리 1505-1,도시계획도로,7.5,3.6,N,N,126.9466808,37.08584116,평균초과,다바508987
,경기도 하남시 천현동 585,천현동 585,10.0,3.6,Y,N,127.2156999,37.5328999,평균초과,다사748482
,경기도 하남시 상산곡동 164-9,상산곡동 164-9,7.5,2.7,N,N,127.2336999,37.4930999,평균초과,다사764437
,경기도 하남시 항동 228-6,항동 228-6,10.0,3.6,N,N,127.1912999,37.5038999,평균초과,다사727450
,경기도 하남시 항동 568-10,항동 568-10,10.0,3.6,N,N,127.1908999,37.5033999,평균초과,다사726449
,경기도 하남시 항동 578,항동 578,7.5,2.2,N,N,127.1861999,37.4976999,평균초과,다사722443
,경기도 하남시 항동 577,항동 577,7.5,2.7,N,N,127.1863999,37.4977999,평균초과,다사722443
,경기도 하남시 항동 353-9,항동 353-9,10.0,3.6,N,N,127.1894999,37.5014999,평균초과,다사725447
,경기도 하남시 항동 246-1,항동 246-1,10.0,3.6,N,N,127.1915999,37.5033999,평균초과,다사727449
,경기도 하남시 상사창동 62-4,상사창동 62-4,10.0,3.6,N,N,127.1921999,37.5038999,평균초과,다사727450
,경기도 하남시 항동 228-11,항동 228-11,10.0,3.6,Y,N,127.1921999,37.5040999,평균초과,다사727450
,경기도 하남시 창우동 산1-7번지,창우동 산1-7,10.0,3.6,N,N,127.2354034,37.54057248,평균초과,다사766490
,경기도 하남시 창우동 산1-12,창우동 산1-12 1,10.0,3.6,N,N,127.2347999,37.5402999,평균초과,다사765490
,경기도 하남시 상산곡동 166-6,상산곡동 166-6,7.5,3.4,N,N,127.2331999,37.4927999,평균초과,다사764437
,경기도 하남시 창우동 21-5번지,창우동 21-5,10.0,3.6,N,N,127.2359314,37.53862527,평균초과,다사766488
,경기도 하남시 창우동 245-2,창우동 245-2,10.0,3.6,N,N,127.2331999,37.5386999,평균초과,다사764488
,경기도 하남시 창우동 250-6,창우동 250-6,10.0,3.6,Y,N,127.2324999,37.5381999,평균초과,다사763487
,경기도 하남시 창우동 249-4,창우동 249-4,10.0,3.6,Y,N,127.2308999,37.5378999,평균초과,다사762487
,경기도 하남시 창우동 249-4,창우동 536,7.5,3.2,Y,N,127.2306993,37.53776762,평균초과,다사762487
,경기도 하남시 창우동 304-1번지,창우동 536 3 (애니메이션고 후문),7.5,3.2,Y,N,127.227267,37.5338552,평균초과,다사759483
,경기도 하남시 창우동 284-2,창우동 284-2,10.0,3.6,Y,N,127.2281999,37.5348999,평균초과,다사759484
,경기도 하남시 상산곡동 145-2번지,상산곡동 145-10,10.0,3.6,N,N,127.234525,37.4957041,평균초과,다사765440
,경기도 하남시 하사창동 442-13,하사창동 442-13,0.0,3.6,Y,N,127.1985999,37.5165999,평균이하,다사733464
,경기도 하남시 하사창동 277-2,하사창동 277-2,10.0,3.6,Y,N,127.1991999,37.5174999,평균초과,다사734465
,경기도 하남시 하사창동 250-5,하사창동 250-5,10.0,3.6,Y,N,127.1994999,37.5178999,평균초과,다사734465
,경기도 하남시 상사창동 468-5,상사창동 468-5,10.0,3.6,Y,N,127.1962999,37.5105999,평균초과,다사731457
,경기도 하남시 상사창동 92-1,상사창동 92-1,7.5,3.2,N,N,127.1975999,37.5067999,평균초과,다사732453
,경기도 하남시 상사창동 95-8,상사창동 95-8,7.5,3.0,N,N,127.1982999,37.5070999,평균초과,다사733453
,경기도 하남시 하사창동 454-2,하사창동 454-2,10.0,3.6,N,N,127.2009999,37.5095999,평균초과,다사735456
,경기도 하남시 하사창동 81-1,하사창동 81-1,10.0,3.6,N,N,127.2007999,37.5094999,평균초과,다사735456
,경기도 하남시 하산곡동 420-11,하산곡동 420-11,10.0,3.6,N,N,127.2319999,37.5025999,평균초과,다사763448
,경기도 하남시 하사창동 454-1,하사창동 454-1,10.0,3.6,N,N,127.2005999,37.5096999,평균초과,다사735456
,경기도 하남시 하사창동 454-2,하사창동 454-2,10.0,3.6,N,N,127.2022999,37.5091999,평균초과,다사736455
,경기도 하남시 하사창동 57,하사창동 57,7.5,2.7,N,N,127.2001999,37.5097999,평균초과,다사735456
,경기도 하남시 하사창동 454,하사창동 454,7.5,2.8,N,N,127.2009999,37.5096999,평균초과,다사735456
,경기도 하남시 하사창동 339-2번지,하사창동 339-2,10.0,3.6,N,N,127.2015124,37.51190767,평균초과,다사736458
,경기도 하남시 하사창동 449,하사창동 449,10.0,3.6,N,N,127.2010999,37.5136999,평균초과,다사735460
,경기도 하남시 하사창동 337-3,하사창동 337-3,10.0,3.6,N,N,127.2011999,37.5129999,평균초과,다사735460
,경기도 하남시 하사창동 330-3,하사창동 330-3,10.0,3.6,N,N,127.2012999,37.5140999,평균초과,다사736461
,경기도 하남시 하사창동 367-1,하사창동 367-1,10.0,3.6,N,N,127.2013999,37.5145999,평균초과,다사736461
,경기도 하남시 하산곡동 518-3,하산곡동 518-3,10.0,3.6,N,N,127.2340999,37.5032999,평균초과,다사764449
,경기도 하남시 초이동 163-18,초이동 163-18,0.0,3.6,N,N,127.1715999,37.5425999,평균이하,다사709493
,경기도 하남시 하사창동 283-1번지,하사창동 283-1,10.0,3.6,N,N,127.1969999,37.5174999,평균초과,다사732465
,경기도 하남시 춘궁동 432-2,춘궁동 432-2,7.5,2.5,N,N,127.1948999,37.5163999,평균초과,다사730463
,경기도 하남시 초이동 97-3번지,초이동 97-3,10.0,3.6,N,N,127.1687999,37.541511,평균초과,다사707491
,경기도 하남시 초이동 155-4,초이동 155-4,10.0,3.6,Y,N,127.1754999,37.5419999,평균초과,다사713492
,경기도 하남시 초일동 395,초일동 395,10.0,3.6,N,N,127.1835999,37.5367999,평균초과,다사720486
,경기도 하남시 초일동 152,초일동 152,10.0,3.8,N,N,127.1888999,37.5340999,평균초과,다사725483
,경기도 하남시 초일동 154-12,초일동 154-12,10.0,3.9,Y,N,127.1884999,37.5342999,평균초과,다사724483
,경기도 하남시 초일동 173-3,초일동 173-3,10.0,3.6,Y,N,127.1872999,37.5350999,평균초과,다사723484
,경기도 하남시 초일동 192-2,초일동192-2,10.0,3.6,Y,N,127.1846999,37.5376999,평균초과,다사721487
,경기도 하남시 하산곡동 429,하산곡동 429,10.0,3.6,N,N,127.2324999,37.5027999,평균초과,다사763448
,경기도 하남시 초일동 산64-22,초일동 산64-22 1,10.0,3.9,Y,N,127.1821999,37.5391999,평균초과,다사719489
,경기도 하남시 초일동 산64-28,초일동 산64-28,10.0,3.9,Y,N,127.1803999,37.5395999,평균초과,다사717489
,경기도 하남시 초일동 산64-25,초일동 산64-25,10.0,3.9,Y,N,127.1790999,37.5402999,평균초과,다사716490
,경기도 하남시 광암동 368,광암동 368,10.0,3.6,Y,N,127.1729999,37.5308999,평균초과,다사711480
,경기도 하남시 초이동 433-4,초이동 433-4,10.0,3.6,Y,N,127.1732999,37.5298999,평균초과,다사711478
,경기도 하남시 광암동 110-5,광암동 110-5,10.0,3.6,Y,N,127.1746999,37.5263999,평균초과,다사712475
,경기도 하남시 광암동 129-6,광암동 129-6,10.0,3.6,Y,N,127.1753999,37.5246999,평균초과,다사713473
,경기도 하남시 광암동 299-1,광암동 299-1,10.0,3.6,Y,N,127.1662999,37.5160999,평균초과,다사705463
,경기도 하남시 감일동 3-14,감일동 3-14,10.0,3.6,N,N,127.164514,37.5158542,평균초과,다사703463
,경기도 하남시 감북동 472-2,감북동 472-2,10.0,3.6,N,N,127.1616999,37.5159999,평균초과,다사701463
,경기도 하남시 감북동 326-5,감북동 326-5,10.0,5.0,N,N,127.1624999,37.5159999,평균초과,다사701463
,경기도 하남시 감북동 산28-1,감북동 산28-1,10.0,4.6,N,N,127.1617999,37.5159999,평균초과,다사701463
,경기도 하남시 감북동 343-1,감북동 343-1,10.0,4.7,N,N,127.1610999,37.5159999,평균초과,다사700463
,경기도 하남시 감일동 14-26,감일동 14-26,10.0,3.6,N,N,127.1614999,37.5155999,평균초과,다사700463
,경기도 하남시 감북동 350-1번지,감북동 470,10.0,3.6,Y,N,127.1587423,37.51955574,평균초과,다사698467
,경기도 하남시 감북동 353-12,감북동 353-12 1,10.0,3.6,Y,N,127.1588999,37.5186999,평균초과,다사698466
,경기도 하남시 하산곡동 431-1,하산곡동 431-1,7.5,3.4,N,N,127.2337999,37.5033999,평균초과,다사764449
,경기도 하남시 감북동 345-52,감북동 345-52,10.0,4.3,Y,N,127.1596999,37.5201999,평균초과,다사699468
,경기도 하남시 감북동 286-12,감북동 286-12,10.0,4.3,Y,N,127.1598999,37.5206999,평균초과,다사699468
,경기도 하남시 감북동 37-9,감북동 37-9,10.0,4.6,Y,N,127.1625999,37.5251999,평균초과,다사701473
,경기도 하남시 초이동 504-2,초이동 504-2,10.0,4.6,Y,N,127.1628999,37.5256999,평균초과,다사702474
,경기도 하남시 초이동 357-6,초이동 357-6,10.0,3.6,Y,N,127.1686999,37.5323999,평균초과,다사707481
,경기도 하남시 초이동 337-7,초이동 337-7,10.0,3.6,Y,N,127.1701999,37.5329999,평균초과,다사708482
,경기도 하남시 초이동 산5-2,초이동 산5-2,10.0,3.6,Y,N,127.1708999,37.5336999,평균초과,다사709483
,경기도 하남시 초이동 319-29번지,초이동 319-29,10.0,3.6,Y,N,127.1708803,37.5346239,평균초과,다사709484
,경기도 하남시 초이동 574,초이동 574,10.0,3.6,Y,N,127.1713999,37.5367999,평균초과,다사709486
,경기도 하남시 초이동 251-8,초이동 251-8,10.0,3.6,Y,N,127.1713999,37.5389999,평균초과,다사709489
,경기도 하남시 상산곡동 11,상산곡동 11,10.0,3.6,N,N,127.2342999,37.5032999,평균초과,다사765449
,경기도 하남시 초이동 83-7,초이동 83-7,10.0,3.9,Y,N,127.1713999,37.5420999,평균초과,다사709492
,경기도 하남시 초이동 78-1,초이동 78-1,10.0,3.6,Y,N,127.1718999,37.5438999,평균초과,다사710494
,경기도 하남시 배알미동 산128-5,배알미동 산128-5,10.0,3.6,Y,N,127.2730999,37.5264999,평균초과,다사799474
,경기도 하남시 배알미동 68-2,배알미동 68-2,10.0,3.6,Y,N,127.2717999,37.5266999,평균초과,다사798475
,경기도 하남시 배알미동 산156-2,배알미동 산156-2,10.0,3.6,Y,N,127.2833999,37.5165999,평균초과,다사808463
,경기도 하남시 배알미동 13번지,배알미동 29,10.0,3.6,Y,N,127.2785225,37.51491911,평균초과,다사804462
,경기도 하남시 배알미동 180,배알미동 180,7.5,3.1,N,N,127.2779999,37.5151999,평균초과,다사803462
,경기도 하남시 미사동 303-2,미사동303-2,10.0,3.6,N,N,127.2012999,37.5713999,평균초과,다사736524
,경기도 하남시 상산곡동 9-2,상산곡동 9-2,10.0,3.6,N,N,127.2338957,37.50293822,평균초과,다사764448
,경기도 하남시 미사동 305-2,미사동305-2,7.5,3.2,N,N,127.2015999,37.5717999,평균초과,다사736525
,경기도 하남시 미사동 380-1,미사동380-1,10.0,3.6,N,N,127.2028999,37.5738999,평균초과,다사737527
,경기도 하남시 미사동 367-3,미사동367-3,10.0,3.6,N,N,127.2029999,37.5740999,평균초과,다사737527
,경기도 하남시 미사동 391-2,미사동391-2,10.0,3.6,N,N,127.2037999,37.5755999,평균초과,다사738529
,경기도 하남시 미사동 392-7,미사동392-7,10.0,3.6,N,N,127.2040999,37.5758999,평균초과,다사738529
,경기도 하남시 미사동 316,미사동316,7.5,2.6,N,N,127.2003999,37.5716999,평균초과,다사735525
,경기도 하남시 덕풍동 727-2,덕풍동 727-2 1,10.0,3.6,Y,N,127.2119999,37.5504999,평균초과,다사745501
,경기도 하남시 상산곡동 497-3,상산곡동 497-3,7.5,2.8,N,N,127.2325999,37.4897999,평균초과,다사763434
,경기도 하남시 상산곡동 산13-1번지,상산곡동 산13-1,7.5,2.2,N,N,127.2352199,37.5030543,평균초과,다사765448
,경기도 하남시 덕풍동 739번지,덕풍동739,10.0,3.6,Y,N,127.208415,37.5533658,평균초과,다사742504
,경기도 하남시 덕풍동 761,덕풍동761,10.0,3.6,Y,N,127.1987999,37.5530999,평균초과,다사733504
,경기도 하남시 덕풍동 760-2,덕풍동760-2,10.0,3.6,Y,N,127.1974999,37.5538999,평균초과,다사732505
,경기도 하남시 덕풍동 692번지 하남한솔솔파크,풍산동 산 24-3 1,10.0,3.6,Y,N,127.1984999,37.5470999,평균초과,다사733497
,경기도 하남시 덕풍동 780,덕풍동 780 1,10.0,3.6,Y,N,127.2026999,37.5506999,평균초과,다사737501
,경기도 하남시 덕풍동 827번지,덕풍동 792,10.0,3.6,Y,N,127.2046613,37.5465096,평균초과,다사739497
,경기도 하남시 하산곡동 431-17,하산곡동 431-17,7.5,2.5,N,N,127.2349999,37.5033999,평균초과,다사765449
,경기도 하남시 덕풍동 산9-2,덕풍동 산9-2,10.0,3.6,N,N,127.1993999,37.5474999,평균초과,다사734498
,경기도 하남시 덕풍동 310-4,덕풍동 310-4,10.0,3.6,Y,N,127.2054999,37.5451999,평균초과,다사739495
,경기도 하남시 덕풍동 316-78,덕풍동 316-78,10.0,3.6,N,N,127.2056999,37.5432999,평균초과,다사740493
,경기도 하남시 덕풍동 316-14,덕풍동 316-14,10.0,3.6,N,N,127.2057999,37.5434999,평균초과,다사740493
,경기도 하남시 덕풍동 285-13,덕풍동 285-13,10.0,3.6,N,N,127.2056585,37.54390046,평균초과,다사739494
,경기도 하남시 덕풍동 637,덕풍동 637,10.0,3.6,N,N,127.2035999,37.5487999,평균초과,다사738499
,경기도 하남시 덕풍동 300-17,덕풍동 300-17,7.5,2.7,N,N,127.2043999,37.5484999,평균초과,다사738499
,경기도 하남시 덕풍동 산9-2,덕풍동 산9-2,10.0,3.6,N,N,127.1996999,37.5475999,평균초과,다사734498
,경기도 하남시 풍산동 244-22,풍산동244-22,0.0,3.6,N,N,127.1858999,37.5497999,평균이하,다사722500
,경기도 하남시 풍산동 223-6,풍산동223-6,0.0,3.6,N,N,127.1867999,37.5496999,평균이하,다사723500
,경기도 하남시 하산곡동 390-13,하산곡동 390-13,10.0,3.6,Y,N,127.2308999,37.5042999,평균초과,다사762450
,경기도 하남시 풍산동 227-5,풍산동227-5,0.0,3.6,N,N,127.1874999,37.5493999,평균이하,다사723500
,경기도 하남시 풍산동 229-3,풍산동229-3,10.0,3.6,N,N,127.1881999,37.5487999,평균초과,다사724499
,경기도 하남시 풍산동 231-11,풍산동231-11,10.0,3.6,N,N,127.1875999,37.5483999,평균초과,다사724499
,경기도 하남시 풍산동 462,풍산동 462,10.0,3.6,N,N,127.1841999,37.5477999,평균초과,다사721498
,경기도 하남시 풍산동 255-4,풍산동255-4,7.5,3.0,N,N,127.1827999,37.5472999,평균초과,다사719498
,경기도 하남시 풍산동 255-1번지,풍산동255-2,7.5,2.5,N,N,127.1829305,37.54688231,평균초과,다사719497
,경기도 하남시 덕풍동 336-25,덕풍동 336-25,10.0,3.6,N,N,127.1989999,37.5452999,평균초과,다사734495
,경기도 하남시 덕풍동 산33-4,덕풍동 산33-4,10.0,3.6,N,N,127.1987999,37.5452999,평균초과,다사733495
,경기도 하남시 덕풍동 309-75,덕풍동 309-75,7.5,2.3,N,N,127.2031999,37.5432999,평균초과,다사737493
