grid_gid,crosswalk_cnt,child_zone_cnt,school_cnt,kindergarten_cnt,daycare_cnt,bus_stop_cnt,cctv_cnt,cctv_cam_cnt,kindergarten_child_cnt,speedbump_cnt,speedbump_hght_below,speedbump_hght_above
다사585310,0,0,0,0,0,0,0,0,0,0,0,0
다사585311,0,0,0,0,0,0,0,0,0,0,0,0
다사585312,0,0,0,0,0,0,0,0,0,0,0,0
다사585313,0,0,0,0,0,0,0,0,0,0,0,0
다사585314,0,0,0,0,0,0,0,0,0,0,0,0
다사585315,0,0,0,0,0,0,0,0,0,0,0,0
다사586303,0,0,0,0,0,0,0,0,0,0,0,0
다사586304,0,0,0,0,0,0,0,0,0,0,0,0
다사586305,0,0,0,0,0,0,0,0,0,0,0,0
다사586306,0,0,0,0,0,0,0,0,0,0,0,0
다사586307,0,0,0,0,0,0,0,0,0,0,0,0
다사586308,0,0,0,0,0,0,0,0,0,0,0,0
다사586309,0,0,0,0,0,0,0,0,0,0,0,0
다사586310,0,0,0,0,0,0,0,0,0,0,0,0
다사586311,0,0,0,0,0,0,0,0,0,0,0,0
다사586312,0,0,0,0,0,0,0,0,0,0,0,0
다사586313,0,0,0,0,0,0,0,0,0,0,0,0
다사586314,0,0,0,0,0,0,0,0,0,0,0,0
다사586315,0,0,0,0,0,0,0,0,0,0,0,0
다사586316,0,0,0,0,0,0,0,0,0,0,0,0
다사586317,0,0,0,0,0,0,0,0,0,0,0,0
다사587302,0,0,0,0,0,0,0,0,0,0,0,0
다사587303,0,0,0,0,0,0,0,0,0,0,0,0
다사587304,0,0,0,0,0,0,0,0,0,0,0,0
다사587305,0,0,0,0,0,0,0,0,0,0,0,0
다사587306,0,0,0,0,0,0,0,0,0,0,0,0
다사587307,0,0,0,0,0,0,0,0,0,0,0,0
다사587308,0,0,0,0,0,0,0,0,0,0,0,0
다사587309,0,0,0,0,0,0,0,0,0,0,0,0
다사587310,0,0,0,0,0,0,0,0,0,0,0,0
다사587311,0,0,0,0,0,0,0,0,0,0,0,0
다사587312,0,0,0,0,0,0,0,0,0,0,0,0
다사587313,0,0,0,0,0,0,0,0,0,0,0,0
다사587314,0,0,0,0,0,0,0,0,0,0,0,0
다사587315,0,0,0,0,0,0,0,0,0,0,0,0
다사587316,0,0,0,0,0,0,0,0,0,0,0,0
다사587317,0,0,0,0,0,0,0,0,0,0,0,0
다사587318,0,0,0,0,0,0,0,0,0,0,0,0
다사587319,0,0,0,0,0,0,0,0,0,0,0,0
다사588302,0,0,0,0,0,0,0,0,0,0,0,0
다사588303,0,0,0,0,0,0,0,0,0,0,0,0
다사588304,0,0,0,0,0,0,0,0,0,0,0,0
다사588305,0,0,0,0,0,0,0,0,0,0,0,0
다사588306,0,0,0,0,0,0,0,0,0,0,0,0
다사588307,0,0,0,0,0,0,0,0,0,0,0,0
다사588308,0,0,0,0,0,0,0,0,0,0,0,0
다사588309,0,0,0,0,0,0,0,0,0,0,0,0
다사588310,0,0,0,0,0,0,0,0,0,0,0,0
다사588311,0,0,0,0,0,0,0,0,0,0,0,0
다사588312,0,0,0,0,0,0,0,0,0,0,0,0
다사588313,0,0,0,0,0,0,0,0,0,0,0,0
다사588314,0,0,0,0,0,0,0,0,0,0,0,0
다사588315,0,0,0,0,0,0,0,0,0,0,0,0
다사588316,0,0,0,0,0,0,0,0,0,0,0,0
다사588317,0,0,0,0,0,0,0,0,0,0,0,0
다사588318,0,0,0,0,0,0,0,0,0,0,0,0
다사588319,0,0,0,0,0,0,0,0,0,0,0,0
다사588320,0,0,0,0,0,0,0,0,0,0,0,0
다사588321,0,0,0,0,0,0,0,0,0,0,0,0
다사588322,0,0,0,0,0,0,0,0,0,0,0,0
다사588323,0,0,0,0,0,0,0,0,0,0,0,0
다사589302,0,0,0,0,0,0,0,0,0,0,0,0
다사589303,0,0,0,0,0,0,0,0,0,0,0,0
다사589304,0,0,0,0,0,0,0,0,0,0,0,0
다사589305,0,0,0,0,0,0,0,0,0,0,0,0
다사589306,0,0,0,0,0,0,0,0,0,0,0,0
다사589307,0,0,0,0,0,0,0,0,0,0,0,0
다사589308,0,0,0,0,0,0,0,0,0,0,0,0
다사589309,0,0,0,0,0,0,0,0,0,0,0,0
다사589310,0,0,0,0,0,0,0,0,0,0,0,0
다사589311,0,0,0,0,0,0,0,0,0,0,0,0
다사589312,0,0,0,0,0,0,0,0,0,0,0,0
다사589313,0,0,0,0,0,0,0,0,0,0,0,0
다사589314,0,0,0,0,0,0,0,0,0,0,0,0
다사589315,0,0,0,0,0,0,0,0,0,0,0,0
다사589316,0,0,0,0,0,0,0,0,0,0,0,0
다사589317,0,0,0,0,0,0,0,0,0,0,0,0
다사589318,0,0,0,0,0,0,0,0,0,0,0,0
다사589319,0,0,0,0,0,0,0,0,0,0,0,0
다사589320,0,0,0,0,0,0,0,0,0,0,0,0
다사589321,0,0,0,0,0,0,0,0,0,0,0,0
다사589322,0,0,0,0,0,0,0,0,0,0,0,0
다사589323,0,0,0,0,0,0,0,0,0,0,0,0
다사590301,0,0,0,0,0,0,0,0,0,0,0,0
다사590302,0,0,0,0,0,0,1,3,0,0,0,0
다사590303,0,0,0,0,0,0,0,0,0,0,0,0
다사590304,0,0,0,0,0,0,0,0,0,0,0,0
다사590305,0,0,0,0,0,0,0,0,0,0,0,0
다사590306,0,0,0,0,0,0,0,0,0,0,0,0
다사590307,0,0,0,0,0,0,0,0,0,0,0,0
다사590308,0,0,0,0,0,0,0,0,0,0,0,0
다사590309,0,0,0,0,0,0,0,0,0,0,0,0
다사590310,0,0,0,0,0,0,0,0,0,0,0,0
다사590311,0,0,0,0,0,0,0,0,0,0,0,0
다사590312,0,0,0,0,0,0,0,0,0,0,0,0
다사590313,0,0,0,0,0,0,0,0,0,0,0,0
다사590314,0,0,0,0,0,0,0,0,0,0,0,0
다사590315,0,0,0,0,0,0,0,0,0,0,0,0
다사590316,0,0,0,0,0,0,0,0,0,0,0,0
다사590317,0,0,0,0,0,0,0,0,0,0,0,0
다사590318,0,0,0,0,0,0,0,0,0,0,0,0
다사590319,0,0,0,0,0,0,0,0,0,0,0,0
다사590320,0,0,0,0,0,0,0,0,0,0,0,0
다사590321,0,0,0,0,0,0,0,0,0,0,0,0
다사590322,0,0,0,0,0,0,0,0,0,0,0,0
다사590323,0,0,0,0,0,0,0,0,0,0,0,0
다사590324,0,0,0,0,0,0,0,0,0,0,0,0
다사590333,0,0,0,0,0,0,0,0,0,0,0,0
다사590334,0,0,0,0,0,0,0,0,0,0,0,0
다사590335,0,0,0,0,0,0,0,0,0,0,0,0
다사590336,0,0,0,0,0,0,0,0,0,0,0,0
다사590337,0,0,0,0,0,0,0,0,0,0,0,0
다사591301,0,0,0,0,0,0,0,0,0,0,0,0
다사591302,0,0,0,0,0,0,0,0,0,0,0,0
다사591303,0,0,0,0,0,0,0,0,0,0,0,0
다사591304,0,0,0,0,0,0,0,0,0,0,0,0
다사591305,0,0,0,0,0,0,0,0,0,0,0,0
다사591306,0,0,0,0,0,0,0,0,0,0,0,0
다사591307,0,0,0,0,0,0,0,0,0,0,0,0
다사591308,0,0,0,0,0,0,0,0,0,0,0,0
다사591309,0,0,0,0,0,0,0,0,0,0,0,0
다사591310,0,0,0,0,0,0,0,0,0,0,0,0
다사591311,0,0,0,0,0,0,0,0,0,0,0,0
다사591312,0,0,0,0,0,0,0,0,0,0,0,0
다사591313,0,0,0,0,0,0,0,0,0,0,0,0
다사591314,0,0,0,0,0,0,0,0,0,0,0,0
다사591315,0,0,0,0,0,0,0,0,0,0,0,0
다사591316,0,0,0,0,0,0,0,0,0,0,0,0
다사591317,0,0,0,0,0,0,0,0,0,0,0,0
다사591318,0,0,0,0,0,0,0,0,0,0,0,0
다사591319,0,0,0,0,0,0,0,0,0,0,0,0
다사591320,0,0,0,0,0,0,0,0,0,0,0,0
다사591321,0,0,0,0,0,0,0,0,0,0,0,0
다사591322,0,0,0,0,0,0,0,0,0,0,0,0
다사591323,0,0,0,0,0,0,0,0,0,0,0,0
다사591324,0,0,0,0,0,0,0,0,0,0,0,0
다사591325,0,0,0,0,0,0,0,0,0,0,0,0
다사591326,0,0,0,0,0,0,0,0,0,0,0,0
다사591327,0,0,0,0,0,0,0,0,0,0,0,0
다사591328,0,0,0,0,0,1,1,3,0,0,0,0
다사591329,0,0,0,0,0,0,0,0,0,0,0,0
다사591330,0,0,0,0,0,0,0,0,0,0,0,0
다사591331,0,0,0,0,0,0,0,0,0,0,0,0
다사591332,0,0,0,0,0,0,0,0,0,0,0,0
다사591333,0,0,0,0,0,0,0,0,0,0,0,0
다사591334,0,0,0,0,0,0,0,0,0,0,0,0
다사591335,0,0,0,0,0,0,0,0,0,0,0,0
다사591336,0,0,0,0,0,0,0,0,0,0,0,0
다사591337,0,0,0,0,0,0,0,0,0,0,0,0
다사592301,0,0,0,0,0,0,1,4,0,0,0,0
다사592302,0,0,0,0,0,0,0,0,0,0,0,0
다사592303,0,0,0,0,0,0,0,0,0,0,0,0
다사592304,0,0,0,0,0,0,0,0,0,0,0,0
다사592305,0,0,0,0,0,0,0,0,0,0,0,0
다사592306,0,0,0,0,0,0,0,0,0,0,0,0
다사592307,0,0,0,0,0,0,0,0,0,0,0,0
다사592308,0,0,0,0,0,0,1,1,0,0,0,0
다사592309,0,0,0,0,0,0,0,0,0,0,0,0
다사592310,0,0,0,0,0,0,0,0,0,0,0,0
다사592311,0,0,0,0,0,0,0,0,0,0,0,0
다사592312,0,0,0,0,0,0,0,0,0,0,0,0
다사592313,0,0,0,0,0,0,0,0,0,0,0,0
다사592314,0,0,0,0,0,0,0,0,0,0,0,0
다사592315,0,0,0,0,0,0,0,0,0,0,0,0
다사592316,0,0,0,0,0,0,0,0,0,0,0,0
다사592317,0,0,0,0,0,0,0,0,0,0,0,0
다사592318,0,0,0,0,0,0,0,0,0,0,0,0
다사592319,0,0,0,0,0,0,0,0,0,0,0,0
다사592320,0,0,0,0,0,0,0,0,0,0,0,0
다사592321,0,0,0,0,0,0,0,0,0,0,0,0
다사592322,0,0,0,0,0,0,0,0,0,0,0,0
다사592323,0,0,0,0,0,0,0,0,0,0,0,0
다사592324,0,0,0,0,0,0,0,0,0,0,0,0
다사592325,0,0,0,0,0,0,0,0,0,0,0,0
다사592326,0,0,0,0,0,0,0,0,0,0,0,0
다사592327,0,0,0,0,0,0,0,0,0,0,0,0
다사592328,0,0,0,0,0,0,0,0,0,0,0,0
다사592329,0,0,0,0,0,0,0,0,0,0,0,0
다사592330,0,0,0,0,0,0,0,0,0,0,0,0
다사592331,0,0,0,0,0,0,0,0,0,0,0,0
다사592332,0,0,0,0,0,0,0,0,0,0,0,0
다사592333,0,0,0,0,0,0,0,0,0,0,0,0
다사592334,0,0,0,0,0,0,0,0,0,0,0,0
다사592335,0,0,0,0,0,0,0,0,0,0,0,0
다사592336,0,0,0,0,0,0,0,0,0,0,0,0
다사592337,0,0,0,0,0,0,0,0,0,0,0,0
다사593301,0,0,0,0,0,0,0,0,0,0,0,0
다사593302,0,0,0,0,0,0,0,0,0,0,0,0
다사593303,0,0,0,0,0,0,0,0,0,0,0,0
다사593304,0,0,0,0,0,0,0,0,0,0,0,0
다사593305,0,0,0,0,0,0,0,0,0,0,0,0
다사593306,0,0,0,0,0,0,0,0,0,0,0,0
다사593307,0,0,0,0,0,0,0,0,0,0,0,0
다사593308,0,0,0,0,0,0,0,0,0,0,0,0
다사593309,0,0,0,0,0,0,0,0,0,0,0,0
다사593310,0,0,0,0,0,0,0,0,0,0,0,0
다사593311,0,0,0,0,0,0,0,0,0,0,0,0
다사593312,0,0,0,0,0,0,0,0,0,0,0,0
다사593313,0,0,0,0,0,0,0,0,0,0,0,0
다사593314,0,0,0,0,0,0,0,0,0,0,0,0
다사593315,0,0,0,0,0,0,0,0,0,0,0,0
다사593316,0,0,0,0,0,0,0,0,0,0,0,0
다사593317,0,0,0,0,0,0,0,0,0,0,0,0
다사593318,0,0,0,0,0,0,0,0,0,0,0,0
다사593319,0,0,0,0,0,0,0,0,0,0,0,0
다사593320,0,0,0,0,0,0,0,0,0,0,0,0
다사593321,0,0,0,0,0,0,0,0,0,0,0,0
다사593322,0,0,0,0,0,0,0,0,0,0,0,0
다사593323,0,0,0,0,0,0,0,0,0,0,0,0
다사593324,0,0,0,0,0,0,0,0,0,0,0,0
다사593325,0,0,0,0,0,0,0,0,0,0,0,0
다사593326,0,0,0,0,0,0,0,0,0,0,0,0
다사593327,0,0,0,0,0,0,0,0,0,0,0,0
다사593328,0,0,0,0,0,0,0,0,0,0,0,0
다사593329,0,0,0,0,0,0,0,0,0,0,0,0
다사593330,0,0,0,0,0,0,0,0,0,0,0,0
다사593331,0,0,0,0,0,0,0,0,0,0,0,0
다사593332,0,0,0,0,0,0,0,0,0,0,0,0
다사593333,0,0,0,0,0,0,0,0,0,0,0,0
다사593334,0,0,0,0,0,0,0,0,0,0,0,0
다사593335,0,0,0,0,0,0,0,0,0,0,0,0
다사593336,0,0,0,0,0,0,0,0,0,0,0,0
다사593337,0,0,0,0,0,0,0,0,0,0,0,0
다사593338,0,0,0,0,0,0,0,0,0,0,0,0
다사594300,0,0,0,0,0,0,0,0,0,0,0,0
다사594301,0,0,0,0,0,0,0,0,0,0,0,0
다사594302,0,0,0,0,0,0,0,0,0,0,0,0
다사594303,0,0,0,0,0,0,0,0,0,0,0,0
다사594304,0,0,0,0,0,0,0,0,0,0,0,0
다사594305,0,0,0,0,0,0,0,0,0,0,0,0
다사594306,0,0,0,0,0,0,0,0,0,0,0,0
다사594307,0,0,0,0,0,0,0,0,0,0,0,0
다사594308,0,0,0,0,0,0,0,0,0,0,0,0
다사594309,0,0,0,0,0,0,0,0,0,0,0,0
다사594310,0,0,0,0,0,0,0,0,0,0,0,0
다사594311,0,0,0,0,0,0,0,0,0,0,0,0
다사594312,0,0,0,0,0,0,0,0,0,0,0,0
다사594313,0,0,0,0,0,0,0,0,0,0,0,0
다사594314,0,0,0,0,0,0,0,0,0,0,0,0
다사594315,0,0,0,0,0,0,0,0,0,0,0,0
다사594316,0,0,0,0,0,0,0,0,0,0,0,0
다사594317,0,0,0,0,0,0,0,0,0,0,0,0
다사594318,0,0,0,0,0,0,0,0,0,0,0,0
다사594319,0,0,0,0,0,0,0,0,0,0,0,0
다사594320,0,0,0,0,0,0,0,0,0,0,0,0
다사594321,0,0,0,0,0,0,0,0,0,0,0,0
다사594322,0,0,0,0,0,0,0,0,0,0,0,0
다사594323,0,0,0,0,0,0,0,0,0,0,0,0
다사594324,0,0,0,0,0,0,0,0,0,0,0,0
다사594325,0,0,0,0,0,0,0,0,0,0,0,0
다사594326,0,0,0,0,0,0,0,0,0,0,0,0
다사594327,0,0,0,0,0,0,0,0,0,0,0,0
다사594328,0,0,0,0,0,0,0,0,0,0,0,0
다사594329,0,0,0,0,0,0,0,0,0,0,0,0
다사594330,0,0,0,0,0,0,0,0,0,0,0,0
다사594331,0,0,0,0,0,0,0,0,0,0,0,0
다사594332,0,0,0,0,0,0,0,0,0,0,0,0
다사594333,0,0,0,0,0,0,0,0,0,0,0,0
다사594334,0,0,0,0,0,0,0,0,0,0,0,0
다사594335,0,0,0,0,0,0,0,0,0,0,0,0
다사594336,0,0,0,0,0,0,0,0,0,0,0,0
다사594337,0,0,0,0,0,0,0,0,0,0,0,0
다사594338,0,0,0,0,0,0,0,0,0,0,0,0
다사594339,0,0,0,0,0,0,0,0,0,0,0,0
다사594343,0,0,0,0,0,0,0,0,0,0,0,0
다사594352,0,0,0,0,0,0,0,0,0,0,0,0
다사594353,0,0,0,0,0,0,0,0,0,0,0,0
다사594354,0,0,0,0,0,0,0,0,0,0,0,0
다사594355,0,0,0,0,0,0,0,0,0,0,0,0
다사594356,0,0,0,0,0,0,0,0,0,0,0,0
다사594358,0,0,0,0,0,0,0,0,0,0,0,0
다사594361,0,0,0,0,0,0,0,0,0,0,0,0
다사594362,0,0,0,0,0,0,0,0,0,0,0,0
다사594363,0,0,0,0,0,0,0,0,0,0,0,0
다사594364,0,0,0,0,0,0,0,0,0,0,0,0
다사594365,0,0,0,0,0,0,0,0,0,0,0,0
다사594366,0,0,0,0,0,0,0,0,0,0,0,0
다사595300,0,0,0,0,0,0,0,0,0,0,0,0
다사595301,0,0,0,0,0,0,0,0,0,0,0,0
다사595302,0,0,0,0,0,0,0,0,0,0,0,0
다사595303,0,0,0,0,0,0,0,0,0,0,0,0
다사595304,0,0,0,0,0,0,0,0,0,0,0,0
다사595305,0,0,0,0,0,0,0,0,0,0,0,0
다사595306,0,0,0,0,0,0,0,0,0,0,0,0
다사595307,0,0,0,0,0,0,0,0,0,0,0,0
다사595308,0,0,0,0,0,0,0,0,0,0,0,0
다사595309,0,0,0,0,0,0,0,0,0,0,0,0
다사595310,0,0,0,0,0,0,0,0,0,0,0,0
다사595311,0,0,0,0,0,0,0,0,0,0,0,0
다사595312,0,0,0,0,0,0,0,0,0,0,0,0
다사595313,0,0,0,0,0,0,0,0,0,0,0,0
다사595314,0,0,0,0,0,0,0,0,0,0,0,0
다사595315,0,0,0,0,0,0,0,0,0,0,0,0
다사595316,0,0,0,0,0,0,0,0,0,0,0,0
다사595317,0,0,0,0,0,0,0,0,0,0,0,0
다사595318,0,0,0,0,0,0,0,0,0,0,0,0
다사595319,0,0,0,0,0,0,0,0,0,0,0,0
다사595320,0,0,0,0,0,0,0,0,0,0,0,0
다사595321,0,0,0,0,0,0,0,0,0,0,0,0
다사595322,0,0,0,0,0,0,0,0,0,0,0,0
다사595323,0,0,0,0,0,0,0,0,0,0,0,0
다사595324,0,0,0,0,0,0,0,0,0,0,0,0
다사595325,0,0,0,0,0,0,0,0,0,0,0,0
다사595326,0,0,0,0,0,0,0,0,0,0,0,0
다사595327,0,0,0,0,0,0,0,0,0,0,0,0
다사595328,0,0,0,0,0,0,0,0,0,0,0,0
다사595329,0,0,0,0,0,0,0,0,0,0,0,0
다사595330,0,0,0,0,0,0,0,0,0,0,0,0
다사595331,0,0,0,0,0,0,0,0,0,0,0,0
다사595332,0,0,0,0,0,0,0,0,0,0,0,0
다사595333,0,0,0,0,0,0,0,0,0,0,0,0
다사595334,0,0,0,0,0,0,0,0,0,0,0,0
다사595335,0,0,0,0,0,0,0,0,0,0,0,0
다사595336,0,0,0,0,0,0,0,0,0,0,0,0
다사595337,0,0,0,0,0,0,0,0,0,0,0,0
다사595338,0,0,0,0,0,0,0,0,0,0,0,0
다사595339,0,0,0,0,0,0,0,0,0,0,0,0
다사595340,0,0,0,0,0,0,0,0,0,0,0,0
다사595341,0,0,0,0,0,0,0,0,0,0,0,0
다사595342,0,0,0,0,0,0,0,0,0,0,0,0
다사595343,0,0,0,0,0,0,0,0,0,0,0,0
다사595344,0,0,0,0,0,0,0,0,0,0,0,0
다사595352,0,0,0,0,0,0,0,0,0,0,0,0
다사595353,0,0,0,0,0,0,0,0,0,0,0,0
다사595354,0,0,0,0,0,0,0,0,0,0,0,0
다사595355,0,0,0,0,0,0,0,0,0,0,0,0
다사595356,0,0,0,0,0,0,0,0,0,0,0,0
다사595357,0,0,0,0,0,0,0,0,0,0,0,0
다사595358,0,0,0,0,0,0,0,0,0,0,0,0
다사595359,0,0,0,0,0,0,0,0,0,0,0,0
다사595360,0,0,0,0,0,0,0,0,0,0,0,0
다사595361,0,0,0,0,0,0,0,0,0,0,0,0
다사595362,0,0,0,0,0,0,0,0,0,0,0,0
다사595363,0,0,0,0,0,0,0,0,0,0,0,0
다사595364,0,0,0,0,0,0,0,0,0,0,0,0
다사595365,0,0,0,0,0,0,0,0,0,0,0,0
다사595366,0,0,0,0,0,0,0,0,0,0,0,0
다사596300,0,0,0,0,0,0,0,0,0,0,0,0
다사596301,0,0,0,0,0,0,0,0,0,0,0,0
다사596302,0,0,0,0,0,0,0,0,0,0,0,0
다사596303,0,0,0,0,0,0,0,0,0,0,0,0
다사596304,0,0,0,0,0,0,0,0,0,0,0,0
다사596305,0,0,0,0,0,0,0,0,0,0,0,0
다사596306,0,0,0,0,0,0,0,0,0,0,0,0
다사596307,0,0,0,0,0,0,0,0,0,0,0,0
다사596308,0,0,0,0,0,0,0,0,0,0,0,0
다사596309,0,0,0,0,0,0,0,0,0,0,0,0
다사596310,0,0,0,0,0,0,0,0,0,0,0,0
다사596311,0,0,0,0,0,0,0,0,0,0,0,0
다사596312,0,0,0,0,0,0,0,0,0,0,0,0
다사596313,0,0,0,0,0,0,0,0,0,0,0,0
다사596314,0,0,0,0,0,0,0,0,0,0,0,0
다사596315,0,0,0,0,0,0,0,0,0,0,0,0
다사596316,0,0,0,0,0,0,0,0,0,0,0,0
다사596317,0,0,0,0,0,0,0,0,0,0,0,0
다사596318,0,0,0,0,0,0,0,0,0,0,0,0
다사596319,0,0,0,0,0,0,0,0,0,0,0,0
다사596320,0,0,0,0,0,0,0,0,0,0,0,0
다사596321,0,0,0,0,0,0,0,0,0,0,0,0
다사596322,0,0,0,0,0,0,0,0,0,0,0,0
다사596323,0,0,0,0,0,0,0,0,0,0,0,0
다사596324,0,0,0,0,0,0,0,0,0,0,0,0
다사596325,0,0,0,0,0,0,0,0,0,0,0,0
다사596326,0,0,0,0,0,0,0,0,0,0,0,0
다사596327,0,0,0,0,0,0,0,0,0,0,0,0
다사596328,0,0,0,0,0,0,0,0,0,0,0,0
다사596329,0,0,0,0,0,0,0,0,0,0,0,0
다사596330,0,0,0,0,0,0,0,0,0,0,0,0
다사596331,0,0,0,0,0,0,0,0,0,0,0,0
다사596332,0,0,0,0,0,0,0,0,0,0,0,0
다사596333,0,0,0,0,0,0,0,0,0,0,0,0
다사596334,0,0,0,0,0,0,0,0,0,0,0,0
다사596335,0,0,0,0,0,0,0,0,0,0,0,0
다사596336,0,0,0,0,0,0,0,0,0,0,0,0
다사596337,0,0,0,0,0,0,0,0,0,0,0,0
다사596338,0,0,0,0,0,0,0,0,0,0,0,0
다사596339,0,0,0,0,0,0,0,0,0,0,0,0
다사596340,0,0,0,0,0,0,0,0,0,0,0,0
다사596341,0,0,0,0,0,0,0,0,0,0,0,0
다사596342,0,0,0,0,0,0,0,0,0,0,0,0
다사596343,0,0,0,0,0,0,0,0,0,0,0,0
다사596344,0,0,0,0,0,0,0,0,0,0,0,0
다사596345,0,0,0,0,0,0,0,0,0,0,0,0
다사596351,0,0,0,0,0,0,0,0,0,0,0,0
다사596352,0,0,0,0,0,0,0,0,0,0,0,0
다사596353,0,0,0,0,0,0,0,0,0,0,0,0
다사596354,0,0,0,0,0,0,0,0,0,0,0,0
다사596355,0,0,0,0,0,0,0,0,0,0,0,0
다사596356,0,0,0,0,0,0,0,0,0,0,0,0
다사596357,0,0,0,0,0,0,0,0,0,0,0,0
다사596358,0,0,0,0,0,0,0,0,0,0,0,0
다사596359,0,0,0,0,0,0,0,0,0,0,0,0
다사596360,0,0,0,0,0,0,0,0,0,0,0,0
다사596361,0,0,0,0,0,0,0,0,0,0,0,0
다사596362,0,0,0,0,0,0,0,0,0,0,0,0
다사596363,0,0,0,0,0,0,0,0,0,0,0,0
다사596364,0,0,0,0,0,0,0,0,0,0,0,0
다사596365,0,0,0,0,0,0,0,0,0,0,0,0
다사596366,0,0,0,0,0,0,0,0,0,0,0,0
다사596367,0,0,0,0,0,0,0,0,0,0,0,0
다사597300,0,0,0,0,0,0,0,0,0,0,0,0
다사597301,0,0,0,0,0,0,0,0,0,0,0,0
다사597302,0,0,0,0,0,0,0,0,0,0,0,0
다사597303,0,0,0,0,0,0,0,0,0,0,0,0
다사597304,0,0,0,0,0,0,0,0,0,0,0,0
다사597305,0,0,0,0,0,2,1,4,0,1,0,0
다사597306,0,0,0,0,0,0,0,0,0,1,0,0
다사597307,0,0,0,0,0,0,0,0,0,1,0,0
다사597308,0,0,0,0,0,2,0,0,0,2,0,0
다사597309,0,0,0,0,0,0,0,0,0,0,0,0
다사597310,0,0,0,0,0,0,0,0,0,0,0,0
다사597311,0,0,0,0,0,0,0,0,0,0,0,0
다사597312,0,0,0,0,0,0,0,0,0,0,0,0
다사597313,0,0,0,0,0,0,0,0,0,2,0,0
다사597314,0,0,0,0,0,0,0,0,0,0,0,0
다사597315,0,0,0,0,0,0,0,0,0,0,0,0
다사597316,0,0,0,0,0,0,0,0,0,0,0,0
다사597317,0,0,0,0,0,0,0,0,0,0,0,0
다사597318,0,0,0,0,0,0,0,0,0,0,0,0
다사597319,0,0,0,0,0,0,0,0,0,0,0,0
다사597320,0,0,0,0,0,0,0,0,0,0,0,0
다사597321,0,0,0,0,0,0,0,0,0,0,0,0
다사597322,0,0,0,0,0,0,0,0,0,0,0,0
다사597323,0,0,0,0,0,0,0,0,0,0,0,0
다사597324,0,0,0,0,0,0,0,0,0,0,0,0
다사597325,0,0,0,0,0,0,0,0,0,0,0,0
다사597326,0,0,0,0,0,0,0,0,0,0,0,0
다사597327,0,0,0,0,0,0,0,0,0,0,0,0
다사597328,0,0,0,0,0,0,0,0,0,0,0,0
다사597329,0,0,0,0,0,0,0,0,0,0,0,0
다사597330,0,0,0,0,0,0,0,0,0,0,0,0
다사597331,0,0,0,0,0,0,0,0,0,0,0,0
다사597332,0,0,0,0,0,0,0,0,0,0,0,0
다사597333,0,0,0,0,0,0,0,0,0,0,0,0
다사597334,0,0,0,0,0,0,0,0,0,0,0,0
다사597335,0,0,0,0,0,0,0,0,0,0,0,0
다사597336,0,0,0,0,0,0,0,0,0,0,0,0
