link_id,accident_cnt,accident_uids
571540318,2,2024|2024
572500830,1,2024
572542450,2,2024|2024
571548918,1,2024
571558341,1,2024
571501172,1,2024
571500768,1,2024
572542542,2,2024|2024
572544516,1,2024
571540314,5,2024|2024|2024|2024|2024
571540926,1,2024
571500595,1,2024
571544437,6,2024|2024|2024|2024|2024|2024
571545277,3,2024|2024|2024
572541634,4,2024|2024|2024|2024
571556660,1,2024
572500464,1,2024
571543540,1,2024
571540385,2,2024|2024
571501221,2,2024|2024
571540231,1,2024
571501596,1,2024
572542227,5,2024|2024|2024|2024|2024
572541019,2,2024|2024
571540704,1,2024
571500225,2,2024|2024
571500630,1,2024
571540409,1,2024
571544910,2,2024|2024
571541721,1,2024
571540327,1,2024
572541693,4,2024|2024|2024|2024
571544521,1,2024
571542169,1,2024
571545039,2,2024|2024
571500614,1,2024
571542249,2,2024|2024
571501296,1,2024
572542907,1,2024
571540295,3,2024|2024|2024
572510026,1,2024
572542494,3,2024|2024|2024
571500485,3,2024|2024|2024
571541949,2,2024|2024
571540294,2,2024|2024
571500582,1,2024
571500427,1,2024
571554980,2,2024|2024
571548298,1,2024
572553980,1,2024
572542436,4,2024|2024|2024|2024
571542234,1,2024
572501279,2,2024|2024
571500978,2,2024|2024
572542451,2,2024|2024
571544907,2,2024|2024
571556366,1,2024
571541437,1,2024
571554896,2,2024|2024
571545030,2,2024|2024
571555412,5,2024|2024|2024|2024|2024
572510360,1,2024
571545870,2,2024|2024
571561010,1,2024
571558800,5,2024|2024|2024|2024|2024
571501063,3,2024|2024|2024
572500958,4,2024|2024|2024|2024
572542084,1,2024
571500689,1,2024
571551086,7,2024|2024|2024|2024|2024|2024|2024
571543421,3,2024|2024|2024
571548047,1,2024
571541971,1,2024
571547835,3,2024|2024|2024
571501280,2,2024|2024
571558312,1,2024
571500603,2,2024|2024
571542809,5,2024|2024|2024|2024|2024
571500193,1,2024
572550546,1,2024
571541905,1,2024
571501648,4,2024|2024|2024|2024
571543544,2,2024|2024
571541726,2,2024|2024
571556356,2,2024|2024
572501248,1,2024
571548480,2,2024|2024
572500768,1,2024
572545450,1,2024
571554794,2,2024|2024
571558345,2,2024|2024
571546622,1,2024
572500756,1,2024
571501328,1,2024
572500911,2,2024|2024
572548492,1,2024
572541211,1,2024
571540609,2,2024|2024
571541821,1,2024
571548300,3,2024|2024|2024
572510005,2,2024|2024
571501042,1,2024
571555418,5,2024|2024|2024|2024|2024
571557290,1,2024
571542791,5,2024|2024|2024|2024|2024
571549892,1,2024
571547881,2,2024|2024
571544971,1,2024
572540600,5,2024|2024|2024|2024|2024
571549144,1,2024
571542731,10,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571542455,2,2024|2024
572500743,3,2024|2024|2024
571552118,4,2024|2024|2024|2024
571544888,1,2024
571501105,1,2024
571501239,5,2024|2024|2024|2024|2024
571501170,4,2024|2024|2024|2024
572541686,2,2024|2024
571549104,1,2024
571544654,7,2024|2024|2024|2024|2024|2024|2024
571556364,2,2024|2024
571540319,1,2024
571541909,2,2024|2024
571541303,1,2024
571557414,1,2024
572549330,2,2024|2024
571542060,3,2024|2024|2024
571500519,2,2024|2024
572542691,1,2024
572501370,2,2024|2024
571556938,3,2024|2024|2024
571542470,1,2024
571544425,1,2024
571500555,1,2024
571542804,1,2024
571540323,1,2024
571542225,4,2024|2024|2024|2024
571540157,1,2024
571501202,1,2024
571544821,3,2024|2024|2024
571501398,1,2024
571542256,1,2024
571551464,4,2024|2024|2024|2024
572541127,1,2024
571501628,2,2024|2024
571500686,1,2024
572510145,1,2024
571554798,1,2024
572543935,1,2024
571500617,1,2024
571551582,1,2024
571500282,1,2024
571501630,1,2024
571544541,1,2024
571501051,3,2024|2024|2024
572541905,1,2024
572542505,1,2024
571552323,3,2024|2024|2024
571558217,1,2024
572551748,1,2024
571542878,1,2024
572542008,2,2024|2024
572552532,1,2024
571541741,1,2024
571501041,1,2024
571470136,2,2024|2024
571459928,2,2024|2024
572510006,1,2024
572500967,2,2024|2024
571459669,3,2024|2024|2024
571500453,1,2024
571500561,1,2024
571547628,2,2024|2024
571549163,3,2024|2024|2024
571540150,1,2024
572540625,1,2024
571544482,1,2024
572500781,2,2024|2024
572544961,1,2024
572541668,3,2024|2024|2024
572500362,1,2024
572543574,1,2024
572500518,1,2024
572542434,1,2024
571548518,6,2024|2024|2024|2024|2024|2024
571540856,3,2024|2024|2024
571554691,1,2024
571550014,1,2024
571542172,1,2024
571543150,2,2024|2024
571540922,3,2024|2024|2024
572544634,1,2024
572554781,2,2024|2024
571554818,1,2024
571457684,1,2024
572553508,1,2024
571501714,1,2024
571545553,2,2024|2024
572541957,1,2024
571551592,2,2024|2024
571501386,1,2024
571552982,1,2024
571554150,1,2024
571556996,1,2024
571543461,1,2024
571540581,4,2024|2024|2024|2024
571541307,2,2024|2024
571556756,3,2024|2024|2024
572540462,4,2024|2024|2024|2024
571549896,3,2024|2024|2024
572540668,1,2024
571546511,1,2024
571542094,1,2024
572542954,1,2024
572540519,1,2024
571500251,1,2024
571552858,3,2024|2024|2024
572501244,2,2024|2024
572500885,1,2024
571555096,6,2024|2024|2024|2024|2024|2024
571543545,2,2024|2024
571550876,2,2024|2024
572543961,1,2024
572500933,2,2024|2024
571542801,5,2024|2024|2024|2024|2024
572510014,1,2024
571554786,1,2024
571501056,3,2024|2024|2024
571541223,2,2024|2024
571541417,1,2024
571541727,2,2024|2024
572501277,2,2024|2024
572501304,1,2024
571549908,1,2024
571543243,1,2024
571541984,1,2024
571543911,2,2024|2024
571564911,1,2024
571557885,8,2024|2024|2024|2024|2024|2024|2024|2024
571543647,1,2024
571554920,1,2024
571500606,1,2024
571543016,1,2024
571564888,1,2024
571546779,1,2024
571542458,2,2024|2024
571557800,1,2024
572510369,2,2024|2024
572540613,1,2024
572542948,1,2024
571543471,1,2024
571544451,1,2024
571542509,1,2024
571540341,3,2024|2024|2024
571510384,1,2024
571557864,4,2024|2024|2024|2024
572540836,1,2024
571542456,1,2024
572541376,1,2024
572548446,6,2024|2024|2024|2024|2024|2024
571540310,1,2024
571551892,2,2024|2024
571500333,1,2024
571500234,1,2024
571545132,1,2024
571543553,3,2024|2024|2024
572540615,1,2024
571501127,1,2024
571552489,1,2024
571542707,1,2024
571558083,1,2024
571556856,1,2024
572544874,3,2024|2024|2024
571540408,2,2024|2024
571501103,1,2024
571553234,1,2024
572500375,1,2024
572542888,1,2024
571540405,1,2024
571510169,1,2024
571500983,2,2024|2024
571561007,5,2024|2024|2024|2024|2024
571547963,1,2024
571548908,1,2024
572553462,1,2024
572541854,2,2024|2024
572541692,2,2024|2024
572501399,3,2024|2024|2024
571501272,1,2024
572541824,2,2024|2024
571540325,2,2024|2024
572544629,1,2024
571550568,2,2024|2024
571542687,1,2024
571558361,1,2024
571554962,1,2024
571503275,2,2024|2024
572545934,1,2024
571548476,1,2024
571540326,1,2024
572500495,1,2024
571551148,1,2024
571501180,2,2024|2024
572542984,1,2024
571554802,1,2024
572500766,1,2024
571410507,2,2024|2024
572501391,2,2024|2024
572540593,2,2024|2024
571549762,1,2024
571541607,2,2024|2024
571542816,2,2024|2024
571500308,1,2024
571556682,1,2024
571544688,1,2024
571565198,1,2024
572542809,1,2024
572500880,1,2024
571544872,1,2024
572500986,1,2024
571557230,1,2024
571557808,1,2024
571501271,1,2024
571565173,1,2024
571551036,3,2024|2024|2024
571561013,1,2024
572555924,1,2024
571541235,1,2024
571501079,3,2024|2024|2024
571548962,1,2024
571556600,1,2024
571556666,2,2024|2024
571540345,1,2024
571540441,1,2024
571542794,1,2024
572501183,2,2024|2024
571546099,2,2024|2024
571547511,3,2024|2024|2024
572544878,3,2024|2024|2024
571500977,2,2024|2024
572500765,1,2024
571543966,1,2024
571561005,2,2024|2024
571548186,1,2024
571544490,2,2024|2024
572543907,1,2024
571558343,1,2024
572500590,2,2024|2024
572500978,3,2024|2024|2024
572543656,1,2024
571500309,2,2024|2024
571501352,2,2024|2024
572541624,2,2024|2024
572540398,1,2024
571548764,1,2024
572541232,1,2024
571540549,2,2024|2024
571541124,2,2024|2024
571557512,2,2024|2024
571542066,2,2024|2024
571555622,1,2024
571555804,1,2024
571545123,1,2024
572541646,4,2024|2024|2024|2024
571542812,1,2024
571501302,1,2024
571549156,1,2024
572510374,4,2024|2024|2024|2024
571543541,2,2024|2024
571550000,1,2024
572541690,1,2024
571558133,3,2024|2024|2024
571555556,1,2024
571545259,1,2024
571540258,4,2024|2024|2024|2024
572540878,1,2024
571541118,2,2024|2024
572541204,1,2024
571542316,2,2024|2024
572541625,2,2024|2024
571501116,2,2024|2024
572544608,1,2024
571500596,1,2024
571557889,4,2024|2024|2024|2024
571541405,1,2024
571541912,2,2024|2024
571541205,1,2024
571543395,1,2024
572542754,1,2024
571551118,2,2024|2024
572543805,3,2024|2024|2024
571543473,1,2024
571548946,1,2024
572542444,3,2024|2024|2024
572541051,1,2024
571545029,1,2024
571557026,1,2024
571500224,1,2024
571548520,3,2024|2024|2024
572510358,1,2024
571510170,1,2024
571540943,3,2024|2024|2024
572541656,1,2024
571500652,1,2024
571548894,4,2024|2024|2024|2024
571542474,1,2024
572500979,1,2024
571542287,2,2024|2024
572544965,2,2024|2024
572541026,1,2024
571548934,2,2024|2024
572500325,1,2024
571541475,1,2024
571542466,1,2024
571550205,1,2024
571540593,1,2024
571558301,1,2024
571558019,6,2024|2024|2024|2024|2024|2024
571542029,1,2024
572555199,1,2024
571540924,1,2024
571564236,1,2024
571544466,1,2024
571545710,1,2024
571550051,2,2024|2024
571543396,1,2024
571550566,2,2024|2024
571557470,2,2024|2024
571556598,1,2024
571557664,1,2024
571548884,2,2024|2024
571501306,1,2024
572501167,1,2024
571554792,1,2024
571549134,2,2024|2024
571548472,1,2024
572541377,1,2024
571541063,1,2024
571543972,1,2024
571554978,1,2024
572540395,2,2024|2024
571548978,1,2024
571510087,1,2024
572500305,1,2024
571543916,1,2024
572501203,2,2024|2024
572541265,1,2024
571561006,1,2024
571557810,1,2024
572501131,4,2024|2024|2024|2024
571556370,1,2024
571557528,1,2024
571501771,1,2024
572542459,1,2024
571547189,1,2024
571555414,1,2024
571543551,2,2024|2024
571544617,1,2024
571552828,1,2024
571558162,1,2024
571548984,1,2024
572542233,1,2024
572540523,1,2024
572553382,1,2024
572542039,1,2024
571501195,3,2024|2024|2024
571501532,3,2024|2024|2024
572540394,1,2024
571541292,1,2024
571548932,1,2024
571543933,1,2024
571501631,1,2024
572551338,1,2024
571510194,2,2024|2024
572544614,1,2024
571540007,1,2024
572540186,1,2024
571549950,1,2024
571558300,1,2024
572542267,1,2024
572540182,1,2024
571500283,1,2024
571510250,1,2024
572554306,1,2024
572541023,1,2024
571557002,1,2024
571541945,1,2024
571541881,1,2024
571541963,2,2024|2024
571500995,3,2024|2024|2024
572540656,4,2024|2024|2024|2024
572550554,1,2024
572500831,3,2024|2024|2024
571555126,1,2024
571545034,1,2024
572540732,1,2024
572542496,1,2024
571542277,1,2024
571542597,1,2024
571547714,1,2024
571550059,1,2024
571544429,1,2024
571551888,1,2024
571544920,1,2024
571547191,2,2024|2024
571554768,1,2024
572541677,1,2024
572500759,1,2024
571558270,2,2024|2024
571550966,1,2024
571541961,1,2024
572546043,1,2024
571556754,2,2024|2024
572541837,1,2024
571501152,1,2024
571555708,1,2024
571549852,1,2024
571558795,2,2024|2024
571542190,1,2024
571540979,1,2024
572540690,1,2024
571557258,1,2024
572540216,1,2024
572542518,1,2024
571500999,1,2024
571545033,1,2024
572540355,1,2024
571548966,1,2024
572542702,1,2024
571542795,1,2024
571510152,1,2024
571540930,1,2024
571542216,1,2024
571540612,1,2024
571542430,1,2024
571558347,1,2024
571558329,1,2024
571500640,3,2024|2024|2024
572545881,1,2024
571551776,1,2024
571501027,1,2024
571548045,1,2024
571554906,1,2024
571547726,1,2024
572512589,2,2024|2024
572540669,1,2024
572542453,1,2024
571545031,3,2024|2024|2024
571555310,1,2024
571545276,1,2024
572544888,1,2024
572544936,1,2024
571546080,1,2024
572500648,1,2024
571500585,1,2024
571501223,1,2024
572549312,1,2024
571540086,1,2024
571565278,1,2024
571501012,2,2024|2024
572541836,1,2024
571500223,1,2024
572542919,1,2024
571501047,2,2024|2024
571541994,1,2024
572500372,1,2024
571510101,1,2024
571540300,1,2024
572541913,1,2024
571500221,1,2024
571554844,1,2024
571501200,1,2024
572540452,1,2024
572542978,1,2024
571552914,2,2024|2024
571556526,1,2024
572500570,1,2024
572542094,1,2024
572541016,1,2024
571501084,1,2024
571541725,1,2024
571556380,1,2024
571511538,1,2024
571558308,1,2024
571501715,1,2024
571540348,1,2024
571547554,1,2024
571543548,1,2024
572542810,1,2024
571541991,1,2024
572549902,1,2024
571500417,2,2024|2024
571556550,2,2024|2024
571546897,1,2024
571552313,1,2024
572553018,1,2024
571550964,1,2024
572501116,1,2024
571558766,1,2024
572541873,1,2024
572550370,1,2024
571541199,1,2024
571548110,1,2024
571564819,1,2024
571554856,1,2024
571556548,1,2024
572541660,3,2024|2024|2024
572541258,1,2024
572500651,1,2024
571541995,2,2024|2024
571558290,2,2024|2024
572500456,1,2024
571557985,1,2024
571501293,1,2024
571501191,2,2024|2024
571500678,1,2024
572672077,1,2024
571550461,3,2024|2024|2024
571500668,1,2024
571501298,1,2024
572501410,1,2024
572500929,1,2024
571543661,1,2024
571501246,1,2024
571554770,2,2024|2024
571554756,1,2024
572501326,1,2024
571500344,1,2024
571543920,1,2024
571550880,1,2024
571542558,1,2024
571551100,1,2024
571546230,1,2024
571542608,1,2024
571540596,1,2024
571501066,2,2024|2024
572501205,1,2024
572543908,1,2024
571550115,1,2024
571501545,2,2024|2024
572550914,1,2024
572500748,1,2024
571501745,1,2024
571552822,1,2024
572541445,1,2024
572545221,1,2024
572552458,1,2024
572540357,1,2024
571501185,1,2024
571557828,1,2024
571500975,2,2024|2024
571557644,1,2024
571547991,2,2024|2024
572545349,1,2024
572541658,2,2024|2024
571556772,1,2024
572510143,1,2024
572552412,1,2024
571547702,1,2024
571501055,2,2024|2024
571543154,1,2024
572500792,1,2024
571551336,1,2024
572500959,1,2024
571544427,1,2024
571510124,1,2024
572540108,1,2024
571548390,1,2024
571543604,1,2024
571501233,1,2024
571545281,1,2024
571500325,1,2024
572501119,1,2024
572544963,1,2024
572500806,1,2024
571556758,1,2024
571542197,1,2024
571500621,1,2024
571541885,1,2024
572500969,1,2024
571558140,1,2024
572541014,1,2024
571542222,1,2024
572500296,1,2024
572541043,1,2024
572540569,1,2024
572500515,1,2024
571540257,1,2024
571500346,1,2024
571543784,1,2024
571558351,1,2024
571557246,1,2024
571547576,1,2024
572544199,1,2024
571540978,1,2024
571547977,1,2024
571558363,1,2024
572501249,1,2024
571541974,1,2024
571543533,1,2024
571565174,1,2024
571550101,1,2024
571501061,1,2024
571558273,1,2024
571558268,1,2024
571547845,1,2024
572542967,1,2024
572542166,1,2024
572540476,1,2024
571501247,1,2024
571547971,1,2024
571541955,1,2024
571543912,1,2024
572510035,1,2024
572552638,1,2024
571554854,1,2024
571501028,1,2024
572543912,1,2024
571540941,1,2024
572540383,1,2024
571540758,1,2024
571542806,1,2024
571556594,1,2024
571544656,1,2024
572500404,1,2024
572542599,1,2024
571500277,1,2024
572542690,1,2024
571548276,1,2024
571557412,1,2024
571501187,1,2024
571544736,1,2024
571541859,1,2024
571500426,1,2024
571551868,1,2024
571557908,1,2024
571500674,1,2024
571501253,1,2024
571550466,1,2024
572541860,1,2024
571510226,1,2024
572541990,1,2024
571556520,1,2024
571500556,1,2024
571554780,1,2024
572549918,1,2024
571542799,1,2024
571540317,1,2024
571500572,1,2024
571548114,1,2024
571542307,1,2024
571540556,1,2024
572501127,1,2024
571557604,1,2024
572542958,1,2024
571542177,1,2024
571500280,1,2024
572500654,1,2024
572541373,1,2024
572542876,1,2024
571541606,1,2024
572500679,1,2024
571557790,1,2024
571540532,1,2024
571643560,5,2024|2024|2024|2024|2024
572661838,2,2024|2024
572672395,4,2024|2024|2024|2024
572610748,12,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572647411,2,2024|2024
572672097,1,2024
572602242,5,2024|2024|2024|2024|2024
572672214,1,2024
572661622,1,2024
572611202,24,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572655880,3,2024|2024|2024
572610768,22,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571558902,2,2024|2024
571660900,1,2024
572672362,1,2024
572644121,8,2024|2024|2024|2024|2024|2024|2024|2024
572603519,5,2024|2024|2024|2024|2024
571682117,2,2024|2024
572672272,2,2024|2024
572655572,2,2024|2024
571558131,2,2024|2024
572610955,29,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
571660556,1,2024
571664008,2,2024|2024
572669043,2,2024|2024
572648355,3,2024|2024|2024
572610937,21,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572611153,7,2024|2024|2024|2024|2024|2024|2024
572611211,7,2024|2024|2024|2024|2024|2024|2024
572672346,1,2024
572648382,1,2024
572644250,3,2024|2024|2024
572649686,2,2024|2024
572610778,26,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572640376,1,2024
572643732,4,2024|2024|2024|2024
571651170,2,2024|2024
572647797,2,2024|2024
572610863,1,2024
572660884,2,2024|2024
571662944,5,2024|2024|2024|2024|2024
571682398,1,2024
572661600,1,2024
572644164,11,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572610826,4,2024|2024|2024|2024
572658692,3,2024|2024|2024
572647416,8,2024|2024|2024|2024|2024|2024|2024|2024
572610660,6,2024|2024|2024|2024|2024|2024
572647122,1,2024
572644215,3,2024|2024|2024
572643757,2,2024|2024
572654514,1,2024
572672210,1,2024
572611418,5,2024|2024|2024|2024|2024
571540692,1,2024
571558277,2,2024|2024
571663556,1,2024
571668228,7,2024|2024|2024|2024|2024|2024|2024
572664076,3,2024|2024|2024
571682156,2,2024|2024
572644375,3,2024|2024|2024
572655548,1,2024
572610735,2,2024|2024
572673313,5,2024|2024|2024|2024|2024
572655808,1,2024
572666181,2,2024|2024
571540684,1,2024
571560961,1,2024
572672311,3,2024|2024|2024
571682192,1,2024
571682072,3,2024|2024|2024
572646874,3,2024|2024|2024
571669070,3,2024|2024|2024
571669075,1,2024
571550702,1,2024
572672282,7,2024|2024|2024|2024|2024|2024|2024
571682252,1,2024
572661883,1,2024
572672114,2,2024|2024
572651892,8,2024|2024|2024|2024|2024|2024|2024|2024
572661848,3,2024|2024|2024
572647127,1,2024
572672230,1,2024
572672067,2,2024|2024
572644220,4,2024|2024|2024|2024
572655540,1,2024
572656080,3,2024|2024|2024
572648270,2,2024|2024
572648195,4,2024|2024|2024|2024
572672068,1,2024
572648179,9,2024|2024|2024|2024|2024|2024|2024|2024|2024
571677056,2,2024|2024
572647174,1,2024
572673217,2,2024|2024
571682062,1,2024
571541679,2,2024|2024
571560032,5,2024|2024|2024|2024|2024
571682303,2,2024|2024
571682402,1,2024
572671932,2,2024|2024
572660906,7,2024|2024|2024|2024|2024|2024|2024
572672280,5,2024|2024|2024|2024|2024
572610620,5,2024|2024|2024|2024|2024
572642340,2,2024|2024
572672582,1,2024
572660152,1,2024
572610805,9,2024|2024|2024|2024|2024|2024|2024|2024|2024
921544050,1,2024
572660882,2,2024|2024
572672196,1,2024
571682164,1,2024
571611991,2,2024|2024
572655012,1,2024
572610684,1,2024
572670819,1,2024
572672265,1,2024
572672360,3,2024|2024|2024
572644566,1,2024
572647397,1,2024
572647141,1,2024
572655320,1,2024
571682307,1,2024
572658136,1,2024
572660918,1,2024
572664355,1,2024
571682280,5,2024|2024|2024|2024|2024
572647130,1,2024
572661800,1,2024
572649349,1,2024
572641107,1,2024
572647941,1,2024
572644424,1,2024
572655090,1,2024
572672398,1,2024
572655560,2,2024|2024
571606628,7,2024|2024|2024|2024|2024|2024|2024
572603063,2,2024|2024
572647371,2,2024|2024
572672889,4,2024|2024|2024|2024
572611440,8,2024|2024|2024|2024|2024|2024|2024|2024
571682300,1,2024
572672342,1,2024
572644302,4,2024|2024|2024|2024
571682304,3,2024|2024|2024
571540685,1,2024
572610309,1,2024
571669249,2,2024|2024
571682184,1,2024
572611546,2,2024|2024
572654408,1,2024
572652054,2,2024|2024
571649924,2,2024|2024
571659506,1,2024
572642194,4,2024|2024|2024|2024
571556508,2,2024|2024
572672403,1,2024
572648159,8,2024|2024|2024|2024|2024|2024|2024|2024
572673228,3,2024|2024|2024
571558117,1,2024
572610198,11,2024|2024|2024|2024|2024|2024|2024|2024|2024|2024|2024
572647186,1,2024
572610078,1,2024
572661434,1,2024
571550706,1,2024
572672066,1,2024
572673018,1,2024
572647074,1,2024
572671942,1,2024
571664724,1,2024
571683023,1,2024
572669042,2,2024|2024
572610505,3,2024|2024|2024
572660656,1,2024
572664354,1,2024
571682350,1,2024
572670944,1,2024
572672217,1,2024
572610982,3,2024|2024|2024
572655552,2,2024|2024
572654972,2,2024|2024
571682151,2,2024|2024
572671788,1,2024
572656368,2,2024|2024
571606584,3,2024|2024|2024
571677319,2,2024|2024
571559626,2,2024|2024
572661926,1,2024
571565631,2,2024|2024
571558905,1,2024
572672402,1,2024
922643640,2,2024|2024
572657554,5,2024|2024|2024|2024|2024
572646970,1,2024
572670291,2,2024|2024
572655100,1,2024
572655576,1,2024
571669206,1,2024
572644556,2,2024|2024
572672292,1,2024
572672111,1,2024
571541446,1,2024
571653036,1,2024
571682399,1,2024
572672274,1,2024
571566275,1,2024
572603567,2,2024|2024
572610718,3,2024|2024|2024
571547811,1,2024
572647929,1,2024
572672215,1,2024
571544200,1,2024
571550770,1,2024
571682137,3,2024|2024|2024
572647077,1,2024
572672136,1,2024
