install_priority,grid_gid,epdo_before,accident_cnt,사망_cnt,중상_cnt,gap_cnt,missing_facilities,total_reduction_pct,epdo_after,epdo_saved,efficiency,entropy_rank,entropy_risk
31,다사670419,329.0,20,0,3,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,181.61,147.39,49.13,64,359.73
32,다사654266,391.0,1,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,196.13,194.87,48.7175,35,442.75
33,다사652396,391.0,1,1,0,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,196.13,194.87,48.7175,47,428.07
34,다사670371,405.0,3,1,0,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,212.38,192.62,48.155,15,509.81
35,다사733496,239.0,7,0,3,2,child_zone_cnt | speedbump_cnt,40.0,143.4,95.6,47.8,87,259.94
36,다사660436,231.0,6,0,3,2,child_zone_cnt | speedbump_cnt,40.0,138.6,92.4,46.2,95,247.6
37,다사671372,294.0,18,0,3,2,bus_stop_cnt | child_zone_cnt,31.0,202.86,91.14,45.57,68,340.75
38,다사662446,292.0,6,0,4,2,bus_stop_cnt | child_zone_cnt,31.0,201.48,90.52,45.26,67,343.52
39,다사710359,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,52,424.25
40,다사455003,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,56,417.03
41,다사489061,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,43,431.47
42,다사370008,391.0,1,1,0,5,cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,57.36,166.71,224.29,44.858,59,405.29
43,다사653311,348.0,13,0,4,4,cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,51.55,168.61,179.39,44.8475,61,382.72
44,다사685378,178.0,7,0,2,1,child_zone_cnt,25.0,133.5,44.5,44.5,125,200.18
45,다사726482,424.0,6,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,166.31,257.69,42.9483,30,464.57
46,다사657450,391.0,1,1,0,2,bus_stop_cnt | crosswalk_cnt,21.8,305.76,85.24,42.62,31,459.79
47,다사671358,339.0,14,0,4,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,170.04,168.96,42.24,63,364.83
48,다사649463,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,33,453.15
49,다사664462,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,53,419.76
50,다사667411,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,50,426.36
51,다사667452,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,57,412.44
52,다사718504,391.0,1,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,180.44,210.56,42.112,37,437.52
53,다사670413,210.0,11,0,2,2,child_zone_cnt | speedbump_cnt,40.0,126.0,84.0,42.0,102,229.63
54,다사659112,281.0,14,0,3,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,155.11,125.89,41.9633,73,297.83
55,다사724512,292.0,6,0,4,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,166.44,125.56,41.8533,71,311.53
56,다사678380,230.0,7,0,3,2,child_zone_cnt | crosswalk_cnt,36.25,146.62,83.38,41.69,75,288.98
57,다사734492,207.0,3,0,3,2,child_zone_cnt | speedbump_cnt,40.0,124.2,82.8,41.4,86,261.43
58,다사669386,397.0,2,1,0,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt,50.97,194.65,202.35,40.47,16,506.66
59,다사584129,399.0,2,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,156.51,242.49,40.415,41,435.86
60,다사684373,391.0,1,1,0,4,bus_stop_cnt | cctv_cam_cnt | crosswalk_cnt | speedbump_cnt,40.57,232.38,158.62,39.655,29,467.14
61,다사667347,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,49,427.03
62,다사665307,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,24,475.62
63,다사658331,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,25,475.18
64,다사657359,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,42,432.98
65,다사668410,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,39,437.0
66,다사544081,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,38,437.13
67,다사405115,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,54,417.22
68,다사407137,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,44,430.23
69,다사469215,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,58,408.08
70,다사409194,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,55,417.09
71,다사501021,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,48,427.22
72,다사443099,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,36,437.66
73,다사501163,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,45,430.11
74,다사438091,391.0,1,1,0,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,153.37,237.63,39.605,51,424.86
75,다사671375,230.0,7,0,3,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,117.3,112.7,37.5667,78,280.85
76,다사645097,251.0,10,0,3,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,138.55,112.45,37.4833,84,262.44
77,다사637450,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,183,174.17
78,다사635446,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,212,166.46
79,다사683445,146.0,3,0,2,1,child_zone_cnt,25.0,109.5,36.5,36.5,196,170.7
80,다사739488,182.0,9,0,2,2,child_zone_cnt | speedbump_cnt,40.0,109.2,72.8,36.4,93,249.35
81,다사661423,322.0,10,0,4,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,148.59,173.41,34.682,65,350.02
82,다사665425,171.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,102.6,68.4,34.2,140,189.54
83,다사652297,170.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,102.0,68.0,34.0,110,218.42
84,다사667426,310.0,10,0,4,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,143.06,166.94,33.388,66,345.37
85,다사671348,183.0,10,0,2,2,child_zone_cnt | crosswalk_cnt,36.25,116.66,66.34,33.17,83,263.17
86,다사640459,164.0,14,0,1,2,child_zone_cnt | speedbump_cnt,40.0,98.4,65.6,32.8,172,176.8
87,다사664433,163.0,7,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.8,65.2,32.6,154,184.37
88,다사676386,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,116,207.84
89,다사727520,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,180,174.51
90,다사569119,162.0,5,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,178,175.52
91,다사586121,162.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,97.2,64.8,32.4,89,256.76
92,다사654462,207.0,19,0,1,2,bus_stop_cnt | child_zone_cnt,31.0,142.83,64.17,32.085,97,243.88
93,다사647460,160.0,5,0,2,2,child_zone_cnt | speedbump_cnt,40.0,96.0,64.0,32.0,143,188.87
94,다사620105,160.0,6,0,2,2,child_zone_cnt | speedbump_cnt,40.0,96.0,64.0,32.0,181,174.3
95,다사646460,293.0,14,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,135.21,157.79,31.558,62,373.22
96,다사673440,407.0,3,1,0,3,bus_stop_cnt | cctv_cam_cnt | cctv_cnt,23.09,313.03,93.97,31.3233,34,448.66
97,다사726520,261.0,10,0,3,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,136.87,124.13,31.0325,76,286.83
98,다사658443,286.0,14,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,131.98,154.02,30.804,70,314.42
99,다사677443,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,129,197.33
100,다사669449,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,153,185.35
101,다사588122,154.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,92.4,61.6,30.8,209,167.72
102,다사646129,232.0,7,0,3,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,108.85,123.15,30.7875,92,250.99
103,다사633458,201.0,11,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,110.95,90.05,30.0167,101,234.12
104,다사696384,249.0,18,0,2,4,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | speedbump_cnt,47.56,130.58,118.42,29.605,60,391.46
105,다사669455,147.0,4,0,2,2,child_zone_cnt | speedbump_cnt,40.0,88.2,58.8,29.4,215,165.02
106,다사682376,189.0,12,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,130.41,58.59,29.295,104,224.59
107,다사587122,195.0,13,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,107.64,87.36,29.12,109,218.59
108,다사653461,194.0,9,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,107.09,86.91,28.97,107,220.15
109,다사653447,192.0,9,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,105.98,86.02,28.6733,79,277.22
110,다사590126,191.0,10,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,105.43,85.57,28.5233,113,211.95
111,다사692382,254.0,17,0,2,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,113.22,140.78,28.156,69,323.1
112,다사654434,186.0,8,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,102.67,83.33,27.7767,128,198.51
113,다사758483,222.0,13,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,111.36,110.64,27.66,98,241.56
114,다사718530,138.0,2,0,2,2,child_zone_cnt | speedbump_cnt,40.0,82.8,55.2,27.6,222,161.19
115,다사651450,109.0,7,0,1,1,child_zone_cnt,25.0,81.75,27.25,27.25,290,133.72
116,다사558115,187.0,9,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,106.59,80.41,26.8033,119,206.73
117,다사627132,215.0,4,0,3,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,107.84,107.16,26.79,99,238.4
118,다사671345,263.0,11,0,3,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,103.16,159.84,26.64,74,297.58
119,다사676469,178.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,98.26,79.74,26.58,134,190.99
120,다사649439,178.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,98.26,79.74,26.58,146,187.85
121,다사623120,177.0,15,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,97.7,79.3,26.4333,137,189.88
122,다사656307,237.0,7,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,105.64,131.36,26.272,90,254.31
123,다사663325,202.0,12,0,2,4,cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,51.55,97.87,104.13,26.0325,105,222.12
124,다사662438,240.0,8,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,110.75,129.25,25.85,77,285.59
125,다사617103,171.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,94.39,76.61,25.5367,118,206.95
126,다사616111,171.0,14,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,94.39,76.61,25.5367,163,180.49
127,다사660314,178.0,7,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,101.46,76.54,25.5133,117,207.03
128,다사681453,240.0,8,0,3,4,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt,42.32,138.44,101.56,25.39,85,262.14
129,다사685379,229.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,102.07,126.93,25.386,80,275.15
130,다사627459,169.0,17,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,93.29,75.71,25.2367,136,190.18
131,다사626451,162.0,5,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,111.78,50.22,25.11,191,171.58
132,다사662453,162.0,6,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,111.78,50.22,25.11,126,199.96
133,다사684381,125.0,9,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,228,158.21
134,다사634456,125.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,246,151.91
135,다사593129,125.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,75.0,50.0,25.0,186,173.89
136,다사666430,231.0,8,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,106.6,124.4,24.88,82,263.42
137,다사671459,231.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,106.6,124.4,24.88,94,248.22
138,다사671347,99.0,7,0,1,1,child_zone_cnt,25.0,74.25,24.75,24.75,283,137.4
139,다사629452,99.0,5,0,1,1,child_zone_cnt,25.0,74.25,24.75,24.75,342,116.79
140,다사653264,223.0,6,0,3,5,bus_stop_cnt | cctv_cam_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,55.43,99.4,123.6,24.72,96,244.17
141,다사676430,123.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,73.8,49.2,24.6,250,150.97
142,다사720500,123.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,73.8,49.2,24.6,275,140.53
143,다사644109,162.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,157,183.34
144,다사656117,162.0,7,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,190,171.93
145,다사655121,162.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,89.42,72.58,24.1933,204,168.9
146,다사670379,148.0,12,0,1,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,75.48,72.52,24.1733,141,189.41
147,다사729513,119.0,9,0,1,2,child_zone_cnt | speedbump_cnt,40.0,71.4,47.6,23.8,292,133.29
148,다사654458,179.0,8,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,83.99,95.01,23.7525,106,222.09
149,다사727512,118.0,8,0,1,2,child_zone_cnt | speedbump_cnt,40.0,70.8,47.2,23.6,300,130.94
150,다사658317,232.0,7,0,3,6,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,60.77,91.0,141.0,23.5,91,253.08
151,다사638445,93.0,4,0,1,1,child_zone_cnt,25.0,69.75,23.25,23.25,388,108.98
152,다사653451,155.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.56,69.44,23.1467,176,175.93
153,다사592128,115.0,7,0,1,2,child_zone_cnt | speedbump_cnt,40.0,69.0,46.0,23.0,302,130.7
154,다사666488,154.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.01,68.99,22.9967,123,201.54
155,다사652452,154.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.01,68.99,22.9967,171,177.36
156,다사621121,154.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,85.01,68.99,22.9967,198,170.24
157,다사741491,153.0,5,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,84.46,68.54,22.8467,124,201.02
158,다사644463,211.0,12,0,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,97.37,113.63,22.726,100,237.5
159,다사654463,152.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,83.9,68.1,22.7,179,175.23
160,다사673382,146.0,3,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,100.74,45.26,22.63,145,187.88
161,다사755477,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,266,145.02
162,다사543138,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,207,168.15
163,다사616112,138.0,2,0,2,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,70.38,67.62,22.54,227,158.45
164,다사638123,149.0,13,0,1,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,82.25,66.75,22.25,218,163.42
165,다사651453,154.0,4,0,2,3,cctv_cam_cnt | child_zone_cnt | speedbump_cnt,43.0,87.78,66.22,22.0733,185,173.92
166,다사620457,141.0,10,0,1,2,bus_stop_cnt | child_zone_cnt,31.0,97.29,43.71,21.855,253,150.19
167,다사699380,146.0,3,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,80.59,65.41,21.8033,149,187.39
168,다사723506,146.0,3,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,80.59,65.41,21.8033,231,157.47
169,다사694383,109.0,6,0,1,2,child_zone_cnt | speedbump_cnt,40.0,65.4,43.6,21.8,192,171.32
170,다사692381,163.0,6,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,76.48,86.52,21.63,169,179.04
171,다사663437,173.0,9,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,86.78,86.22,21.555,127,199.17
172,다사733495,86.0,4,0,1,1,child_zone_cnt,25.0,64.5,21.5,21.5,413,106.32
173,다사740488,162.0,5,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,76.01,85.99,21.4975,121,203.84
174,다사664441,138.0,2,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,95.22,42.78,21.39,168,179.87
175,다사667428,138.0,2,0,2,2,bus_stop_cnt | child_zone_cnt,31.0,95.22,42.78,21.39,187,173.1
176,다사669298,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,490,99.59
177,다사687444,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,376,110.9
178,다사668459,85.0,3,0,1,1,child_zone_cnt,25.0,63.75,21.25,21.25,331,119.5
179,다사651451,170.0,6,0,2,3,cctv_cam_cnt | cctv_cnt | child_zone_cnt,37.3,106.59,63.41,21.1367,150,186.52
180,다사671448,169.0,7,0,2,4,cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,49.84,84.77,84.23,21.0575,151,185.77
181,다사650082,195.0,10,0,2,5,bus_stop_cnt | cctv_cam_cnt | cctv_cnt | child_zone_cnt | speedbump_cnt,53.85,89.99,105.01,21.002,114,210.19
182,다사656435,140.0,4,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,77.28,62.72,20.9067,249,151.18
183,다사664439,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,230,157.67
184,다사735514,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,257,147.56
185,다사603115,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,268,144.62
186,다사402114,138.0,2,0,2,3,bus_stop_cnt | child_zone_cnt | speedbump_cnt,44.8,76.18,61.82,20.6067,233,156.95
187,다사624109,103.0,7,0,1,1,speedbump_cnt,20.0,82.4,20.6,20.6,382,109.63
188,다사673371,126.0,16,0,0,3,child_zone_cnt | crosswalk_cnt | speedbump_cnt,49.0,64.26,61.74,20.58,221,161.69
189,다사654338,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,165,180.23
190,다사667430,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,161,182.27
191,다사479029,154.0,4,0,2,4,bus_stop_cnt | child_zone_cnt | crosswalk_cnt | speedbump_cnt,53.08,72.26,81.74,20.435,122,201.89
