grid_gid,epdo_total,accident_cnt,사망_cnt,중상_cnt,elderly_res_pop,elderly_res_ratio,child_float_pop,elderly_float_pop,vuln_float_ratio,vuln_time_work,vuln_time_visit,vuln_peak_pop,weekend_ratio,grid_avg_speed,grid_congestion,gap_cnt,gap_items,land_use,vuln_correction,infra_penalty,speed_weight,congestion_factor,peak_factor,weekend_factor,composite_risk,risk_label,composite_rank,correction_index,entropy_composite_risk,entropy_rank
다사657445,477.0,5,1,1,0.0,0,241.92,1462.18,0.3049,20.4173,57.6198,78.0371,0.5221,41.52,67.4834,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3049,1.3333,0.692,1.6748,1.5,1.011,1458.6,통행피크위험,20,0.116476,532.56,11
다사729514,439.0,9,1,0,0.0,0.0,895.29,2024.76,0.2996,103.4969,306.04,409.5369,0.3573,21.72,66.1942,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),업무시설,1.2996,1.5,0.362,1.6619,1.5,1.0,772.27,통행피크위험,67,0.20669,529.74,12
다사662432,416.0,5,1,0,95.0,0.3545,32.45,279.93,0.2595,37.1327,26.377,63.5097,0.6484,20.08,67.4746,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.614,1.5,0.3347,1.6747,1.5,1.0742,909.61,노인밀집거주 | 주말방문집중 | 통행피크위험,46,0.271654,529.01,13
다사690383,415.0,4,1,0,234.0,0.4301,42.69,272.59,0.3463,13.7912,58.7025,72.4937,0.3835,36.06,11.3617,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.7764,1.5,0.601,1.1136,1.5,1.0,1110.13,노인밀집거주 | 교통약자유동多 | 통행피크위험,29,0.273103,528.34,14
다사670371,405.0,3,1,0,62.0,0.328,219.97,1905.28,0.3254,25.7339,98.6061,124.34,0.4576,41.98,22.3923,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.6534,1.6667,0.6997,1.2239,1.5,1.0,1433.64,노인밀집거주 | 통행피크위험,21,0.258793,509.81,15
다사669386,397.0,2,1,0,7.0,0.35,47.38,376.4,0.2927,6.625,16.6167,23.2417,0.5664,,98.1414,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.6427,1.8333,1.0,1.9814,1.0625,1.0332,2600.57,노인밀집거주 | 주말방문집중 | 통행피크위험,2,0.276216,506.66,16
다사684434,415.0,4,1,0,64.0,0.2857,66.91,358.09,0.3168,10.6509,32.5084,43.1593,0.4743,25.39,45.6263,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.6025,1.5,0.4232,1.4563,1.3731,1.0,844.18,노인밀집거주 | 통행피크위험,54,0.216857,505.0,17
다사312118,468.0,3,1,1,0.0,0,4.79,62.15,0.3956,0.6848,1.1583,1.8431,0.2496,,62.1206,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3956,1.8333,1.0,1.6212,1.0,1.0,1941.23,교통약자유동多,7,0.074638,502.93,18
다사476042,461.0,3,1,1,0.0,0,160.48,582.65,0.3064,11.6225,17.7841,29.4066,0.4597,23.9,66.2448,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.3064,1.3333,0.3983,1.6624,1.1586,1.0,616.01,통행피크위험,94,0.088872,501.97,19
다사735489,391.0,1,1,0,143.0,0.4783,210.67,2612.8,0.5217,20.7269,76.5508,97.2777,0.2084,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,2.0,1.5,1.0,1.0,1.5,1.0,1759.5,노인밀집거주 | 교통약자유동多 | 통행피크위험,11,0.27614,498.97,20
다사752493,460.0,2,1,1,0.0,0,26.76,100.93,0.3686,1.4198,5.2392,6.659,0.2314,24.82,46.5919,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3686,1.5,0.4137,1.4659,1.0,1.0,572.68,교통약자유동多,103,0.066502,490.59,21
다사693442,399.0,2,1,0,175.0,0.4127,67.75,293.82,0.3561,8.142,21.5497,29.6917,0.3781,,,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.7688,1.5,1.0,1.0,1.1631,1.0,1231.29,노인밀집거주 | 교통약자유동多 | 통행피크위험,25,0.22831,490.1,22
다사673366,391.0,1,1,0,62.0,0.234,21.67,207.97,0.3317,3.6266,12.3641,15.9907,0.3989,25.57,93.9428,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.5657,1.6667,0.4262,1.9394,1.0,1.0,843.38,노인밀집거주,56,0.218611,476.48,23
다사665307,391.0,1,1,0,83.0,0.3086,61.42,128.34,0.3958,1.7952,6.3092,8.1044,0.4969,37.98,14.8298,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.7044,2.0,0.633,1.1483,1.0,1.0,968.81,노인밀집거주 | 교통약자유동多,38,0.216422,475.62,24
다사658331,391.0,1,1,0,106.0,0.2548,41.25,127.88,0.2799,9.7964,19.7302,29.5266,0.2676,20.99,67.3292,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),아파트,1.5347,2.0,0.3498,1.6733,1.1605,1.0,815.21,노인밀집거주 | 통행피크위험 | 주거밀집,61,0.215299,475.18,25
다사687300,391.0,1,1,0,56.0,0.306,49.05,284.32,0.3382,1.7753,10.5589,12.3342,0.3793,29.83,41.1804,3,crosswalk_cnt(없음) | child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.6442,1.5,0.4972,1.4118,1.0,1.0,676.9,노인밀집거주,82,0.21328,474.39,26
다사591123,399.0,2,1,0,87.0,0.2266,19.02,45.25,0.2943,2.1634,6.5247,8.6881,0.4023,22.47,51.1071,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5209,1.6667,0.3745,1.5111,1.0,1.0,572.37,노인밀집거주,104,0.182268,471.72,27
다사645348,423.0,5,1,0,0.0,0,34.78,306.02,0.2342,16.3541,24.7817,41.1358,0.5295,28.28,72.6117,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2342,1.6667,0.4713,1.7261,1.3416,1.0148,963.72,통행피크위험,39,0.108566,468.92,28
다사684373,391.0,1,1,0,27.0,0.3034,67.21,363.66,0.3683,9.8881,27.3833,37.2714,0.7032,,,4,crosswalk_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.6717,1.6667,1.0,1.0,1.2813,1.1016,1537.68,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험 | 학교인근,17,0.194741,467.14,29
다사726482,424.0,6,1,0,0.0,0,9.34,70.74,0.2743,0.4048,3.1395,3.5443,0.4272,38.45,54.8362,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2743,2.0,0.6408,1.5484,1.0,1.0,1072.19,일반,31,0.095673,464.57,30
다사657450,391.0,1,1,0,54.0,0.1949,16.69,98.61,0.292,4.4734,8.6117,13.0851,0.4017,28.69,68.4139,2,crosswalk_cnt(없음) | bus_stop_cnt(없음),미분류,1.4869,1.3333,0.4782,1.6841,1.0,1.0,624.26,일반,90,0.175929,459.79,31
다사633451,407.0,3,1,0,7.0,0.1045,125.87,634.21,0.3226,23.9336,44.2211,68.1547,0.446,35.17,30.2072,1,child_zone_cnt(없음),미분류,1.4271,1.1667,0.5862,1.3021,1.5,1.0,775.87,통행피크위험,66,0.127091,458.73,32
다사649463,391.0,1,1,0,0.0,0,192.08,1075.34,0.2843,83.1164,125.2634,208.3798,0.5039,22.51,69.1701,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2843,1.8333,0.3752,1.6917,1.5,1.0019,878.17,통행피크위험,48,0.158959,453.15,33
다사673440,407.0,3,1,0,0.0,0,265.72,861.43,0.3623,27.9461,47.4862,75.4323,0.5335,27.39,51.6133,3,cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3623,1.5,0.4565,1.5161,1.5,1.0168,877.92,교통약자유동多 | 통행피크위험 | 학교인근,49,0.102351,448.66,34
다사654266,391.0,1,1,0,0.0,0,448.58,2265.96,0.3072,57.6372,105.872,163.5092,0.6058,32.57,42.7086,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.3072,1.6667,0.5428,1.4271,1.5,1.0529,1042.19,주말방문집중 | 통행피크위험,32,0.132352,442.75,35
다사443099,391.0,1,1,0,0.0,0,0.99,12.69,0.2848,0.2515,0.3693,0.6208,0.5906,84.81,45.6345,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2848,2.0,1.4135,1.4563,1.0,1.0453,2161.87,주말방문집중 | 고속도로위험,4,0.119338,437.66,36
다사718504,391.0,1,1,0,0.0,0,126.47,622.4,0.2977,21.1867,38.5331,59.7198,0.5177,17.5,81.8298,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),자족기능확보시설,1.2977,1.8333,0.2917,1.8183,1.5,1.0088,746.59,통행피크위험,69,0.118964,437.52,37
다사544081,391.0,1,1,0,0.0,0,0.2,2.37,0.2688,0.1291,0.0459,0.175,0.5,53.57,74.0083,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2688,2.0,0.8928,1.7401,1.0,1.0,1541.45,일반,16,0.117984,437.13,38
다사668410,391.0,1,1,0,0.0,0,65.7,577.46,0.2658,6.6306,17.1809,23.8115,0.6077,78.96,36.5875,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2658,2.0,1.316,1.3659,1.0714,1.0538,2008.89,주말방문집중 | 통행피크위험 | 고속도로위험,6,0.117651,437.0,39
다사399111,391.0,1,1,0,0.0,0,32.14,90.5,0.2713,2.1494,2.6406,4.79,0.5628,36.4,99.91,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.2713,1.5,0.6067,1.9991,1.0,1.0314,932.72,주말방문집중,42,0.11744,436.92,40
다사584129,399.0,2,1,0,0.0,0,0.87,5.29,0.2471,0.0256,0.3119,0.3375,0.3641,,80.4374,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2471,2.0,1.0,1.8044,1.0,1.0,1795.71,일반,10,0.092373,435.86,41
다사657359,391.0,1,1,0,0.0,0,95.58,828.3,0.2726,5.2864,36.8589,42.1453,0.3803,67.11,33.1902,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2726,2.0,1.1185,1.3319,1.3573,1.0,2012.25,통행피크위험 | 고속도로위험,5,0.107366,432.98,42
다사489061,391.0,1,1,0,0.0,0,5.07,41.33,0.2932,0.9112,0.768,1.6792,0.5276,,93.7372,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2932,1.8333,1.0,1.9374,1.0,1.0138,1820.74,일반,9,0.103493,431.47,43
다사407137,391.0,1,1,0,0.0,0,1.53,15.55,0.291,0.3514,0.3102,0.6616,0.6131,,79.4179,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.291,2.0,1.0,1.7942,1.0,1.0566,1913.88,주말방문집중,8,0.100322,430.23,44
다사501163,391.0,1,1,0,0.0,0,4.1,40.93,0.2802,0.2916,1.018,1.3096,0.6928,87.69,9.2207,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2802,2.0,1.4615,1.0922,1.0,1.0964,1752.08,주말방문집중 | 고속도로위험,12,0.100029,430.11,45
다사544113,391.0,1,1,0,0.0,0,1.76,13.67,0.3088,0.6494,0.4943,1.1437,0.7492,71.97,27.1119,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.3088,1.6667,1.1995,1.2711,1.0,1.1246,1462.47,주말방문집중 | 고속도로위험,19,0.097516,429.13,46
다사652396,391.0,1,1,0,0.0,0,24.33,148.79,0.2702,2.2221,6.768,8.9901,0.6733,60.2,33.3507,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2702,1.6667,1.0033,1.3335,1.0,1.0867,1203.48,주말방문집중 | 고속도로위험,27,0.094806,428.07,47
다사501021,391.0,1,1,0,0.0,0,0.01,0.22,0.2371,0.0823,0.0041,0.0864,1.0,23.81,36.9062,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2371,2.0,0.3968,1.3691,1.0,1.25,656.94,주말방문집중,83,0.092636,427.22,48
다사667347,391.0,1,1,0,0.0,0,99.55,677.68,0.2921,24.2795,53.8675,78.147,0.5606,34.9,10.9577,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2921,2.0,0.5817,1.1096,1.5,1.0303,1007.91,주말방문집중 | 통행피크위험,34,0.092152,427.03,49
다사667411,391.0,1,1,0,0.0,0,21.63,191.65,0.2716,3.4543,8.5279,11.9822,0.545,85.45,4.9444,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2716,1.8333,1.4242,1.0494,1.0,1.0225,1392.95,고속도로위험,23,0.090423,426.36,50
다사438091,391.0,1,1,0,0.0,0,1.24,17.54,0.2858,0.3609,0.3922,0.7531,0.5774,,60.6596,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2858,2.0,1.0,1.6066,1.0,1.0387,1677.95,주말방문집중,15,0.086603,424.86,51
다사710359,391.0,1,1,0,0.0,0,34.58,271.88,0.3426,1.2462,14.32,15.5662,0.4055,44.02,34.614,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.3426,1.8333,0.7337,1.3461,1.0,1.0,950.5,교통약자유동多,40,0.085049,424.25,52
다사664462,391.0,1,1,0,0.0,0,71.44,249.08,0.367,7.29,20.0277,27.3177,0.4764,52.41,1.2418,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.367,1.8333,0.8735,1.0124,1.126,1.0,975.74,교통약자유동多 | 통행피크위험,37,0.073557,419.76,53
다사405115,391.0,1,1,0,0.0,0.0,101.18,513.76,0.2782,13.7164,14.1887,27.9051,0.6364,,16.0453,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2782,2.0,1.0,1.1605,1.1352,1.0682,1406.62,주말방문집중 | 통행피크위험,22,0.067057,417.22,54
다사409194,391.0,1,1,0,0.0,0,2.74,3.25,0.339,0.0675,0.3909,0.4584,0.5229,46.07,1.0221,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.339,2.0,0.7678,1.0102,1.0,1.0114,821.42,일반,59,0.066739,417.09,55
다사455003,391.0,1,1,0,0.0,0,1.65,16.65,0.324,0.2451,0.5222,0.7673,0.5064,55.38,0.0234,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.324,1.8333,0.923,1.0002,1.0,1.0032,878.97,일반,47,0.066565,417.03,56
다사667452,391.0,1,1,0,0.0,0,3.82,18.68,0.3768,0.6361,1.8384,2.4745,0.2324,42.02,4.8882,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3768,1.8333,0.7003,1.0489,1.0,1.0,724.94,교통약자유동多,74,0.054827,412.44,57
다사469215,391.0,1,1,0,0.0,0,0.14,1.28,0.2857,0.0,0.1,0.1,0.5098,,,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2857,2.0,1.0,1.0,1.0,1.0049,1010.34,일반,33,0.043677,408.08,58
다사370008,391.0,1,1,0,0.0,0,0.14,2.46,0.5221,0.0317,0.0415,0.0732,0.3276,,,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.5221,1.8333,1.0,1.0,1.0,1.0,1091.07,교통약자유동多,30,0.03654,405.29,59
다사696384,249.0,18,0,2,25.0,0.625,681.11,4963.38,0.3571,143.2908,521.6386,664.9294,0.5881,29.38,37.1973,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.9821,1.6667,0.4897,1.372,1.5,1.044,865.48,노인밀집거주 | 교통약자유동多 | 주말방문집중 | 통행피크위험,52,0.572111,391.46,60
다사653311,348.0,13,0,4,0.0,0,66.69,185.96,0.2543,18.4558,15.2925,33.7483,0.731,41.5,42.0175,4,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족),미분류,1.2543,1.6667,0.6917,1.4202,1.2263,1.1155,977.62,주말방문집중 | 통행피크위험,36,0.099766,382.72,61
다사646460,293.0,14,0,3,0.0,0,1256.25,4965.56,0.2416,158.2855,443.8994,602.1849,0.4505,31.92,53.0082,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2416,1.8333,0.532,1.5301,1.5,1.0,814.34,통행피크위험,62,0.27378,373.22,62
다사671358,339.0,14,0,4,0.0,0,7.65,62.09,0.2884,0.9862,2.7711,3.7573,0.5518,43.5,27.149,4,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음),미분류,1.2884,1.6667,0.725,1.2715,1.0,1.0259,688.44,주말방문집중,79,0.076197,364.83,63
다사670419,329.0,20,0,3,0.0,0,131.96,854.16,0.2811,16.8703,37.462,54.3323,0.411,31.03,52.3874,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),미분류,1.2811,1.5,0.5172,1.5239,1.5,1.0,747.44,통행피크위험,68,0.093399,359.73,64
다사661423,322.0,10,0,4,0.0,0,15.27,94.86,0.2665,7.2744,6.8102,14.0846,0.509,40.94,37.0734,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2665,1.8333,0.6823,1.3707,1.0,1.0045,702.36,일반,77,0.087004,350.02,65
다사667426,310.0,10,0,4,0.0,0,87.09,461.31,0.2541,27.8345,51.4953,79.3298,0.4016,27.47,63.6028,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.2541,1.8333,0.4578,1.636,1.5,1.0,800.71,통행피크위험,63,0.114097,345.37,66
다사662446,292.0,6,0,4,44.0,0.2328,13.36,77.29,0.3378,2.7816,5.6803,8.4619,0.505,30.59,37.7793,2,child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.5706,1.3333,0.5098,1.3778,1.0,1.0025,430.57,노인밀집거주,173,0.176431,343.52,67
다사671372,294.0,18,0,3,0.0,0,329.38,3332.46,0.3393,50.1306,181.9642,232.0948,0.5918,32.46,62.7594,2,child_zone_cnt(없음) | bus_stop_cnt(없음),미분류,1.3393,1.3333,0.541,1.6276,1.5,1.0459,725.24,주말방문집중 | 통행피크위험,73,0.159007,340.75,68
다사692382,254.0,17,0,2,64.0,0.3077,172.55,1274.44,0.3936,38.6328,150.7345,189.3673,0.4454,30.41,28.8862,5,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족) | bus_stop_cnt(없음),미분류,1.7013,1.8333,0.5068,1.2889,1.5,1.0,776.24,노인밀집거주 | 교통약자유동多 | 통행피크위험,65,0.272065,323.1,69
다사658443,286.0,14,0,3,0.0,0,68.91,427.74,0.3293,8.0406,13.183,21.2236,0.5742,36.27,51.8485,5,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.3293,1.8333,0.6045,1.5185,1.031,1.0371,684.09,주말방문집중 | 통행피크위험,80,0.099377,314.42,70
다사724512,292.0,6,0,4,0.0,0,104.07,228.66,0.2874,10.8175,37.2744,48.0919,0.2496,31.42,22.9805,3,child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cam_cnt(부족),근린공원,1.2874,1.5,0.5237,1.2298,1.45,1.0,526.59,통행피크위험,118,0.066886,311.53,71
다사669422,261.0,11,0,3,0.0,0,202.34,1482.99,0.2775,38.7333,86.0056,124.7389,0.5242,22.49,99.97,2,child_zone_cnt(없음) | speedbump_cnt(없음),미분류,1.2775,1.3333,0.3748,1.9997,1.5,1.0121,505.83,통행피크위험,129,0.142089,298.09,72
다사659112,281.0,14,0,3,0.0,0,223.63,163.61,0.2797,2.2467,7.4475,9.6942,0.3044,36.44,23.8185,3,child_zone_cnt(없음) | speedbump_cnt(없음) | bus_stop_cnt(없음),공공공지,1.2797,1.5,0.6073,1.2382,1.0,1.0,405.6,일반,207,0.059904,297.83,73
다사671345,263.0,11,0,3,0.0,0.0,480.24,3547.41,0.4276,48.0823,113.6747,161.757,0.5835,32.69,29.1783,6,crosswalk_cnt(없음) | child_zone_cnt(없음) | speedbump_cnt(없음) | cctv_cnt(없음) | cctv_cam_cnt(없음) | bus_stop_cnt(없음),미분류,1.4276,2.0,0.5448,1.2918,1.5,1.0418,825.85,교통약자유동多 | 주말방문집중 | 통행피크위험,58,0.131474,297.58,74
