gid,sigungu,pop_0to12
다사696389,성남시,73
다사692389,성남시,70
다사692390,성남시,60
다사697389,성남시,49
다사697390,성남시,41
다사697400,성남시,29
다사699397,성남시,22
다사697399,성남시,20
다사699396,성남시,23
다사698392,성남시,19
다사695387,성남시,25
다사696391,성남시,21
다사697403,성남시,23
다사695390,성남시,19
다사696387,성남시,20
다사696393,성남시,19
다사696399,성남시,14
다사694390,성남시,16
다사695386,성남시,19
다사694387,성남시,12
다사693389,성남시,9
다사698397,성남시,10
다사693391,성남시,8
다사695397,성남시,10
다사697392,성남시,8
다사698398,성남시,10
다사698404,성남시,10
다사694388,성남시,8
다사695388,성남시,6
다사695399,성남시,6
다사696388,성남시,6
다사696398,성남시,6
다사696403,성남시,8
다사697393,성남시,3
다사698394,성남시,8
다사698403,성남시,8
다사700395,성남시,6
다사695400,성남시,2
다사695402,성남시,5
다사696400,성남시,2
다사696401,성남시,2
다사697401,성남시,5
다사698395,성남시,5
다사698399,성남시,2
다사699395,성남시,2
다사693390,성남시,0
다사695403,성남시,0
다사675355,성남시,128
다사678357,성남시,68
다사678355,성남시,83
다사688350,성남시,71
다사673354,성남시,72
다사696352,성남시,67
다사678356,성남시,73
다사674355,성남시,59
다사687350,성남시,56
다사695353,성남시,58
다사675354,성남시,49
다사679356,성남시,54
다사673355,성남시,48
다사679355,성남시,44
다사698349,성남시,49
다사677356,성남시,45
다사688349,성남시,46
다사694351,성남시,39
다사677355,성남시,36
다사672355,성남시,34
다사674354,성남시,34
다사675353,성남시,38
다사700348,성남시,30
다사677354,성남시,32
다사697352,성남시,34
다사700349,성남시,29
다사678354,성남시,33
다사686349,성남시,27
다사689350,성남시,32
다사696353,성남시,26
다사689349,성남시,32
다사695352,성남시,28
다사676354,성남시,26
다사692351,성남시,30
다사702347,성남시,26
다사667353,성남시,30
다사675357,성남시,27
다사693350,성남시,25
다사698350,성남시,23
다사703347,성남시,24
다사673353,성남시,24
다사673357,성남시,24
다사694349,성남시,24
다사697351,성남시,22
다사676353,성남시,23
다사699347,성남시,19
다사696350,성남시,20
다사700347,성남시,21
다사668354,성남시,24
다사670353,성남시,22
다사668353,성남시,20
다사693351,성남시,18
다사668355,성남시,20
다사673356,성남시,18
다사674357,성남시,19
다사679352,성남시,19
다사679354,성남시,19
다사687349,성남시,20
다사676355,성남시,14
다사672353,성남시,17
다사689351,성남시,14
다사699348,성남시,14
다사678353,성남시,15
다사672354,성남시,16
다사691349,성남시,11
다사701347,성남시,13
다사666353,성남시,20
다사679353,성남시,13
다사683351,성남시,20
다사704346,성남시,16
다사669353,성남시,15
다사693349,성남시,12
다사699350,성남시,12
다사690349,성남시,10
다사694352,성남시,15
다사695351,성남시,12
다사696349,성남시,10
다사670355,성남시,10
다사674356,성남시,10
다사690352,성남시,10
다사691351,성남시,10
다사691352,성남시,8
다사691353,성남시,10
다사691354,성남시,10
다사692352,성남시,13
다사693352,성남시,10
다사694350,성남시,10
다사697349,성남시,10
다사698348,성남시,10
다사703346,성남시,10
다사704347,성남시,10
다사669354,성남시,8
다사669355,성남시,6
다사684351,성남시,8
다사686350,성남시,8
다사689352,성남시,6
다사690351,성남시,6
다사690353,성남시,8
다사696351,성남시,8
다사698347,성남시,8
다사699349,성남시,8
다사702348,성남시,6
다사710360,성남시,6
다사712360,성남시,6
다사712361,성남시,8
다사667355,성남시,5
다사670354,성남시,2
다사676357,성남시,5
다사677353,성남시,5
다사680352,성남시,5
다사688351,성남시,5
다사690350,성남시,5
다사691350,성남시,2
다사705346,성남시,5
다사709360,성남시,5
다사711360,성남시,5
다사714361,성남시,2
다사715361,성남시,5
다사667354,성남시,0
다사692353,성남시,0
다사705347,성남시,0
다사711359,성남시,0
다사713361,성남시,0
다사656323,성남시,95
다사662324,성남시,70
다사657324,성남시,63
다사661325,성남시,56
다사654323,성남시,64
다사656322,성남시,64
다사661323,성남시,50
다사658324,성남시,48
다사660321,성남시,53
다사661324,성남시,42
다사655326,성남시,65
다사656324,성남시,52
다사659326,성남시,52
다사663326,성남시,41
다사656325,성남시,46
다사655323,성남시,43
다사652328,성남시,47
다사659325,성남시,33
다사662328,성남시,36
다사663328,성남시,37
다사658329,성남시,30
다사654322,성남시,35
다사657327,성남시,30
다사658327,성남시,31
다사660325,성남시,25
다사653323,성남시,31
다사662327,성남시,32
다사657325,성남시,28
다사659327,성남시,33
다사654324,성남시,32
다사657329,성남시,30
다사659322,성남시,28
다사653322,성남시,32
다사662325,성남시,24
다사659329,성남시,26
다사654325,성남시,31
다사658323,성남시,23
다사661326,성남시,33
다사657323,성남시,27
다사662329,성남시,25
다사658325,성남시,19
다사659324,성남시,21
다사660324,성남시,23
다사663329,성남시,23
다사653317,성남시,20
다사654321,성남시,22
다사657328,성남시,21
다사653321,성남시,21
다사653330,성남시,23
다사656317,성남시,20
다사658322,성남시,16
다사660322,성남시,19
다사660329,성남시,19
다사662326,성남시,25
다사654327,성남시,19
다사663327,성남시,18
다사657326,성남시,18
다사661327,성남시,18
다사652329,성남시,18
다사653327,성남시,17
다사655324,성남시,18
다사653320,성남시,16
다사655321,성남시,17
다사652318,성남시,17
다사655322,성남시,17
다사659323,성남시,13
다사652319,성남시,12
다사653328,성남시,16
다사658320,성남시,16
다사658326,성남시,16
다사652330,성남시,15
다사654320,성남시,15
다사655320,성남시,15
다사655325,성남시,12
다사658319,성남시,12
다사658328,성남시,12
다사655317,성남시,10
다사660326,성남시,12
다사656318,성남시,10
다사659328,성남시,10
다사647321,성남시,8
다사651316,성남시,6
다사652316,성남시,6
다사652317,성남시,6
다사653316,성남시,8
다사653319,성남시,6
다사653324,성남시,8
다사653329,성남시,6
다사654317,성남시,8
다사654318,성남시,8
다사656319,성남시,6
다사657320,성남시,6
다사658318,성남시,8
다사659320,성남시,8
다사659321,성남시,8
다사660323,성남시,6
다사660327,성남시,8
다사661322,성남시,6
다사646327,성남시,5
다사646328,성남시,2
다사653318,성남시,2
다사655319,성남시,5
다사656316,성남시,2
다사656320,성남시,2
다사657322,성남시,5
다사658321,성남시,5
다사659319,성남시,5
다사662323,성남시,5
다사657316,성남시,0
다사657317,성남시,0
다사657321,성남시,0
다사670404,성남시,32
다사671406,성남시,28
다사670409,성남시,24
다사671405,성남시,28
다사671403,성남시,19
다사670405,성남시,18
다사670402,성남시,20
다사670406,성남시,21
다사672403,성남시,21
다사672406,성남시,17
다사671396,성남시,15
다사671404,성남시,15
다사671409,성남시,18
다사670389,성남시,13
다사670397,성남시,13
다사671394,성남시,10
다사671395,성남시,10
다사671397,성남시,13
다사672395,성남시,13
다사672402,성남시,8
다사672405,성남시,13
다사673395,성남시,13
다사670395,성남시,8
다사670396,성남시,8
다사670398,성남시,8
다사670399,성남시,6
다사670403,성남시,6
다사670407,성남시,8
다사670410,성남시,8
다사671402,성남시,8
다사671407,성남시,8
다사671410,성남시,8
다사672404,성남시,8
다사672409,성남시,6
다사673394,성남시,6
다사673409,성남시,8
다사674395,성남시,6
다사686402,성남시,6
다사667393,성남시,5
다사667394,성남시,5
다사669399,성남시,2
다사670393,성남시,5
다사670400,성남시,5
다사671398,성남시,2
다사671408,성남시,5
다사672393,성남시,5
다사672396,성남시,5
다사674394,성남시,2
다사669400,성남시,0
다사669401,성남시,0
다사670394,성남시,0
다사670408,성남시,0
다사671393,성남시,0
다사672394,성남시,0
다사673408,성남시,0
다사680406,성남시,0
다사672305,성남시,102
다사674306,성남시,107
다사672306,성남시,103
다사670303,성남시,82
다사670301,성남시,71
다사672302,성남시,68
다사670304,성남시,69
다사673304,성남시,66
다사674304,성남시,63
다사673303,성남시,54
다사684303,성남시,61
다사679302,성남시,50
다사671305,성남시,47
다사669303,성남시,40
다사680302,성남시,43
다사671303,성남시,32
다사670302,성남시,28
다사680301,성남시,43
다사669304,성남시,32
다사671302,성남시,28
다사671301,성남시,26
다사675305,성남시,23
다사682303,성남시,32
다사674303,성남시,30
다사675304,성남시,33
다사673307,성남시,23
다사668303,성남시,20
다사675303,성남시,26
다사676304,성남시,20
다사680303,성남시,25
다사683305,성남시,22
다사682304,성남시,27
다사699304,성남시,22
다사672303,성남시,18
다사686302,성남시,19
다사677302,성남시,21
다사682299,성남시,18
다사686300,성남시,19
다사679301,성남시,17
다사682297,성남시,18
다사682301,성남시,14
다사678301,성남시,18
다사681300,성남시,15
다사683304,성남시,16
다사684302,성남시,17
다사686303,성남시,17
다사682302,성남시,16
다사684298,성남시,12
다사685304,성남시,12
다사687301,성남시,12
다사682298,성남시,15
다사683306,성남시,15
다사685299,성남시,15
다사685303,성남시,15
다사685305,성남시,12
다사686301,성남시,15
다사686304,성남시,15
다사688303,성남시,15
다사672304,성남시,9
다사684305,성남시,11
다사678299,성남시,9
다사683298,성남시,14
다사675301,성남시,8
다사677299,성남시,8
다사681299,성남시,10
다사681301,성남시,13
다사683299,성남시,10
다사683303,성남시,10
다사683307,성남시,10
다사685298,성남시,10
다사685307,성남시,10
다사685308,성남시,10
다사686307,성남시,10
다사687300,성남시,10
다사698302,성남시,8
다사674302,성남시,8
다사676300,성남시,6
다사676301,성남시,6
다사676302,성남시,6
다사676303,성남시,8
다사677301,성남시,3
다사678300,성남시,6
다사681296,성남시,6
다사681303,성남시,6
다사682295,성남시,6
다사682296,성남시,6
다사683296,성남시,6
다사683300,성남시,8
다사683301,성남시,6
다사684297,성남시,8
다사684299,성남시,6
다사684306,성남시,8
다사685300,성남시,6
다사685301,성남시,8
다사686299,성남시,8
다사686305,성남시,8
다사686308,성남시,8
다사687302,성남시,8
다사691293,성남시,6
다사694298,성남시,6
다사696300,성남시,6
다사699303,성남시,6
다사699305,성남시,6
다사700307,성남시,8
다사673300,성남시,5
다사673301,성남시,2
다사674301,성남시,5
다사677300,성남시,2
다사680300,성남시,2
다사682300,성남시,5
다사682305,성남시,5
다사683297,성남시,2
다사683302,성남시,5
다사683309,성남시,5
다사684300,성남시,2
다사684307,성남시,2
다사685302,성남시,5
다사686306,성남시,5
다사686309,성남시,5
다사689303,성남시,5
다사695299,성남시,2
다사695300,성남시,5
다사697302,성남시,2
다사698303,성남시,5
다사699306,성남시,5
다사675302,성남시,0
다사677298,성남시,0
다사685306,성남시,0
다사685309,성남시,0
다사686290,성남시,0
다사687290,성남시,0
다사687299,성남시,0
다사690292,성남시,0
다사700308,성남시,0
다사689392,성남시,72
다사694396,성남시,56
다사694397,성남시,42
다사694398,성남시,31
다사690391,성남시,35
다사693396,성남시,30
다사692396,성남시,19
다사694399,성남시,18
다사689393,성남시,20
다사692391,성남시,8
다사693397,성남시,8
다사690393,성남시,5
다사694395,성남시,2
다사662335,성남시,92
다사662331,성남시,77
다사658337,성남시,84
다사658339,성남시,81
다사659337,성남시,82
다사660343,성남시,78
다사661339,성남시,76
다사658341,성남시,65
다사661342,성남시,69
다사658331,성남시,59
다사661343,성남시,65
다사658343,성남시,67
다사659331,성남시,62
다사660342,성남시,64
다사657341,성남시,59
다사660331,성남시,56
다사658338,성남시,59
다사662337,성남시,50
다사659342,성남시,55
다사662332,성남시,47
다사663331,성남시,42
다사657332,성남시,45
다사660332,성남시,44
다사661331,성남시,42
다사663330,성남시,38
다사662336,성남시,43
다사661338,성남시,50
다사657340,성남시,43
다사661337,성남시,38
다사658342,성남시,39
다사659335,성남시,37
다사661341,성남시,37
다사660338,성남시,41
다사656342,성남시,34
다사658340,성남시,30
다사659330,성남시,24
다사658335,성남시,28
다사661344,성남시,28
다사662330,성남시,26
다사662338,성남시,27
다사658330,성남시,22
다사660330,성남시,24
다사661340,성남시,25
다사662342,성남시,24
다사657342,성남시,26
다사662339,성남시,25
다사659343,성남시,23
다사661336,성남시,16
다사662334,성남시,16
다사662340,성남시,22
다사663338,성남시,19
다사659336,성남시,18
다사659338,성남시,25
다사661332,성남시,13
다사657343,성남시,17
다사658336,성남시,13
다사662341,성남시,13
다사661335,성남시,12
다사663337,성남시,15
다사640338,성남시,10
다사660341,성남시,10
다사641338,성남시,6
다사643337,성남시,8
다사639339,성남시,5
다사642338,성남시,2
다사644336,성남시,5
다사652338,성남시,2
다사653339,성남시,5
다사659332,성남시,5
다사655331,성남시,0
다사708379,성남시,85
다사717380,성남시,67
다사702375,성남시,48
다사706380,성남시,51
다사707379,성남시,46
다사707380,성남시,52
다사701374,성남시,41
다사702374,성남시,41
다사715381,성남시,39
다사706378,성남시,39
다사703374,성남시,40
다사705378,성남시,31
다사708380,성남시,38
다사706379,성남시,34
다사701375,성남시,34
다사702376,성남시,22
다사704376,성남시,24
다사699373,성남시,23
다사703372,성남시,29
다사701373,성남시,20
다사703375,성남시,20
다사702372,성남시,23
다사702373,성남시,19
다사703376,성남시,20
다사704374,성남시,22
다사704375,성남시,22
다사701372,성남시,23
다사700374,성남시,19
다사715382,성남시,24
다사700373,성남시,18
다사704373,성남시,19
다사698373,성남시,17
다사717374,성남시,17
다사709379,성남시,20
다사716378,성남시,17
다사705379,성남시,14
다사716373,성남시,14
다사700372,성남시,13
다사699372,성남시,15
다사703377,성남시,12
다사705380,성남시,12
다사717373,성남시,12
다사703373,성남시,12
다사704377,성남시,12
다사704378,성남시,12
다사709378,성남시,15
다사704372,성남시,9
다사706381,성남시,10
다사702371,성남시,10
다사703371,성남시,10
다사708378,성남시,10
다사716379,성남시,13
다사717379,성남시,10
다사717385,성남시,10
다사717384,성남시,4
다사698372,성남시,6
다사701371,성남시,8
다사705376,성남시,6
다사705377,성남시,6
다사706376,성남시,6
다사707381,성남시,6
다사716374,성남시,6
다사716385,성남시,6
다사718382,성남시,3
다사704371,성남시,5
다사711374,성남시,5
다사716377,성남시,5
다사717372,성남시,2
다사717386,성남시,2
다사718384,성남시,5
다사705375,성남시,0
다사710380,성남시,0
다사711371,성남시,0
다사716372,성남시,0
다사716384,성남시,0
다사716386,성남시,0
다사717375,성남시,0
다사719381,성남시,0
다사700378,성남시,23
다사699376,성남시,19
다사699377,성남시,21
다사699378,성남시,23
다사698376,성남시,21
다사698375,성남시,12
다사698377,성남시,10
다사698378,성남시,8
다사699379,성남시,10
다사696379,성남시,3
다사697373,성남시,8
다사697379,성남시,6
다사696373,성남시,5
다사697374,성남시,5
다사698379,성남시,5
다사696372,성남시,0
다사697377,성남시,0
다사700377,성남시,34
다사700375,성남시,23
다사705381,성남시,23
다사701378,성남시,22
다사704379,성남시,19
다사701376,성남시,18
다사703378,성남시,17
다사703380,성남시,17
다사703379,성남시,11
다사699375,성남시,16
다사699374,성남시,12
다사702379,성남시,12
다사698374,성남시,10
다사704380,성남시,10
다사700376,성남시,13
다사701377,성남시,10
다사702378,성남시,10
다사702377,성남시,5
다사670317,성남시,113
다사670312,성남시,98
다사674312,성남시,81
다사671311,성남시,80
다사675310,성남시,82
다사669316,성남시,72
다사672309,성남시,76
다사670313,성남시,56
다사668314,성남시,56
다사672314,성남시,52
다사667315,성남시,56
다사669318,성남시,57
다사671312,성남시,50
다사672313,성남시,54
다사668312,성남시,42
다사673314,성남시,53
다사665322,성남시,56
다사675311,성남시,41
다사667313,성남시,38
다사673310,성남시,41
다사670316,성남시,40
다사670310,성남시,40
다사676311,성남시,37
다사669317,성남시,40
다사671317,성남시,36
다사674314,성남시,33
다사672316,성남시,31
다사691322,성남시,43
다사673309,성남시,35
다사671309,성남시,26
다사674308,성남시,33
다사669311,성남시,29
다사675314,성남시,27
다사676312,성남시,30
다사674309,성남시,29
다사673313,성남시,20
다사666323,성남시,34
다사671310,성남시,29
다사671315,성남시,28
다사665314,성남시,31
다사671314,성남시,22
다사671316,성남시,18
다사673316,성남시,21
다사668317,성남시,27
다사673315,성남시,24
다사666314,성남시,25
다사670311,성남시,22
다사677311,성남시,23
다사668321,성남시,29
다사669314,성남시,19
다사674311,성남시,19
다사672310,성남시,19
다사673308,성남시,19
다사667314,성남시,16
다사668316,성남시,20
다사675319,성남시,17
다사669313,성남시,12
다사672315,성남시,20
다사667322,성남시,16
다사671319,성남시,12
다사674313,성남시,12
다사674319,성남시,12
다사689318,성남시,16
다사667317,성남시,10
다사672308,성남시,12
다사674315,성남시,12
다사690323,성남시,18
다사668313,성남시,10
다사672318,성남시,9
다사673312,성남시,9
다사678318,성남시,14
다사666315,성남시,10
다사668311,성남시,10
다사668320,성남시,8
다사669310,성남시,10
다사669312,성남시,8
다사671318,성남시,10
다사677318,성남시,10
다사681317,성남시,8
다사691316,성남시,10
다사691321,성남시,10
다사675312,성남시,8
다사680316,성남시,11
다사666316,성남시,6
다사667316,성남시,8
다사670318,성남시,6
다사670319,성남시,8
다사673318,성남시,6
다사676310,성남시,8
다사678311,성남시,6
다사678319,성남시,8
다사680317,성남시,6
다사680318,성남시,8
다사689317,성남시,8
다사693326,성남시,6
다사694321,성남시,8
다사663317,성남시,5
다사664319,성남시,2
다사665315,성남시,2
다사669319,성남시,2
다사672317,성남시,5
다사672319,성남시,2
다사673317,성남시,2
다사674317,성남시,2
다사674318,성남시,2
다사675317,성남시,5
다사675318,성남시,2
다사675320,성남시,2
다사676318,성남시,2
다사676319,성남시,5
다사677316,성남시,2
다사677317,성남시,2
다사678320,성남시,2
다사690317,성남시,2
다사691315,성남시,5
다사691317,성남시,5
다사692316,성남시,5
