v_link_id,vel_mean,vel_min,vel_max,vel_std,probe_mean,ts_vel_mean,ts_vel_min,ts_vel_max,ts_probe_mean,outlier_flag
47624179402,56.47,51.57,59.16,2.57,261.38,0,2,7,5,False
47624180401,34.39,30.97,36.06,1.76,371.25,1,2,5,5,False
47624180402,30.71,28.27,32.94,1.36,223.62,5,7,1,5,False
47624180601,25.63,23.45,29.75,1.92,276.86,11,2,1,7,False
47624180602,23.28,17.27,25.45,2.41,213.64,13,2,0,7,False
47624181401,26.61,24.71,27.68,0.9,173.38,5,2,3,5,False
47624181601,29.95,27.11,31.68,1.39,316.25,6,2,5,5,False
47624181801,30.44,26.78,37.39,3.1,212.0,11,2,3,7,False
47624182001,29.31,24.67,32.83,1.86,215.5,11,2,1,7,False
47624182401,31.85,30.69,33.38,0.96,222.5,0,4,1,5,False
47624182601,26.44,22.89,28.2,1.83,366.38,4,2,7,5,False
47624182801,34.65,31.5,36.58,1.4,262.5,9,2,7,7,False
47624183001,23.35,21.22,31.47,2.49,256.29,7,2,0,7,False
47624183801,16.57,14.36,18.92,1.5,94.25,0,2,7,5,False
47624184201,16.98,16.32,18.12,0.65,181.62,1,2,3,5,False
47624184601,23.16,22.08,24.27,0.82,146.5,4,2,1,5,False
47624184801,23.37,15.45,31.0,4.87,36.38,7,2,1,0,False
47624185001,13.65,11.0,15.26,1.33,124.12,4,2,7,5,False
47624185201,20.7,18.94,21.78,1.14,375.62,1,0,3,5,False
47624185601,20.79,18.94,22.05,1.2,308.75,1,2,6,5,False
47624185801,21.52,19.24,22.81,1.29,286.75,6,2,5,5,False
47624188001,25.42,16.58,36.5,5.08,44.14,11,0,5,10,False
47624188002,20.32,16.33,30.44,3.85,68.29,10,2,8,10,False
47624191001,20.11,14.0,28.88,4.32,32.21,10,2,0,10,False
47624191002,18.39,12.0,22.87,2.78,23.36,9,7,3,10,False
47624195201,25.36,17.0,28.64,3.41,36.86,13,2,9,8,False
47624195202,23.04,19.17,26.6,1.9,60.21,1,4,6,10,False
47624196001,17.33,10.33,24.27,3.99,29.5,2,9,6,7,False
47624196002,22.88,14.0,30.11,4.4,40.11,9,13,12,0,False
47624197801,46.19,42.44,49.35,2.54,286.62,7,2,3,5,False
47624197802,39.85,37.79,43.69,1.75,156.38,7,4,1,5,False
47624204001,31.86,27.93,37.82,3.35,306.88,4,1,3,5,False
47624204002,36.76,34.8,39.85,1.97,171.0,6,2,3,5,False
47624205001,31.39,25.11,35.22,2.89,171.21,8,2,0,7,False
47624205002,27.11,24.49,29.1,1.43,265.36,9,12,4,7,False
47624206601,28.03,13.73,35.64,6.25,61.17,13,11,8,4,False
47624206801,21.71,15.19,30.75,3.83,38.07,12,3,5,9,False
47624206802,21.72,15.99,33.25,6.16,44.77,5,10,4,8,False
47624207201,36.72,28.55,47.42,5.5,168.21,13,3,6,8,False
47624207202,37.49,28.93,46.7,4.98,239.07,11,3,0,7,False
47624208001,33.14,25.79,46.67,4.65,118.79,13,0,4,9,False
47624208002,32.55,28.26,35.17,1.91,104.79,10,8,4,9,False
47624210801,25.37,18.0,37.53,7.07,44.54,3,8,0,7,False
47624211001,32.74,30.59,42.57,3.11,189.93,7,4,0,7,False
47624211002,32.19,23.4,36.53,3.21,154.14,9,2,5,7,False
47624211401,22.99,16.12,34.56,6.12,86.08,8,6,0,13,False
47624211601,24.43,19.24,30.52,4.09,27.6,12,13,5,9,False
47624211602,18.12,9.92,36.44,7.51,37.23,5,7,0,6,False
47624211801,24.54,11.5,34.1,5.95,45.31,9,3,5,8,False
47624211802,30.59,22.0,35.22,3.91,64.73,7,0,10,7,False
47624212001,28.46,23.2,34.2,3.07,170.36,6,2,0,8,False
47624212002,31.22,28.28,40.0,3.1,190.86,4,8,0,7,False
47624212201,34.58,32.11,41.25,2.81,257.86,5,12,0,7,False
47624212202,29.37,25.8,35.13,2.49,172.29,6,2,0,8,False
47624238001,17.04,16.36,18.14,0.96,28.33,10,13,12,12,False
47624238002,21.4,20.74,22.06,0.93,38.0,6,10,6,6,False
47624240601,25.21,17.43,33.33,4.48,17.85,6,1,4,8,False
47624240801,26.63,21.4,34.2,3.62,15.0,12,2,6,6,False
47624241201,52.66,45.04,57.71,3.93,107.25,4,2,3,5,False
47624241202,40.42,33.41,44.1,3.5,125.88,1,0,5,4,False
47624241401,23.18,18.5,27.42,2.47,23.5,9,4,5,5,False
47624241402,17.3,5.17,42.0,9.63,6.29,9,13,0,1,False
47624241601,25.64,22.0,27.85,1.73,24.57,4,3,7,5,False
47624241602,28.46,23.93,33.0,2.84,31.46,12,7,4,9,False
47624241801,43.25,38.05,46.13,2.69,126.88,3,0,5,4,False
47624241802,50.3,44.5,55.13,3.59,106.12,4,1,3,0,False
47624242001,49.62,44.7,55.33,3.54,101.62,4,1,3,5,False
47624242002,46.61,42.47,49.33,2.41,131.88,1,0,4,4,False
47624242601,38.57,28.64,44.8,5.22,162.62,1,0,7,4,False
47624242602,35.38,30.67,39.23,2.82,80.12,2,6,5,0,False
47624243801,42.84,40.58,44.74,1.4,124.62,2,1,7,0,False
47624243802,47.22,43.87,49.78,2.21,171.88,4,0,5,4,False
47624244001,45.66,41.19,49.36,2.7,144.88,1,0,7,4,False
47624244002,41.79,38.92,43.7,1.47,106.5,5,1,0,0,False
47624245001,39.66,36.33,42.46,2.24,165.25,0,2,3,5,False
47624245002,45.06,40.67,50.92,3.13,296.62,4,2,3,5,False
47624247801,21.51,20.15,25.47,1.27,200.5,6,9,1,8,False
47624247802,23.8,20.0,26.84,1.63,265.57,4,2,8,6,False
47624248401,50.04,38.49,55.52,5.07,142.0,1,6,8,7,False
47624248402,55.74,36.18,73.99,10.6,151.5,11,4,6,8,False
47624249101,55.35,46.0,63.1,5.1,124.71,5,3,1,8,False
47624249102,56.13,50.73,59.44,3.06,108.5,6,2,8,8,False
47624249301,41.62,25.67,48.6,6.77,113.64,6,3,1,7,False
47624249302,46.3,39.0,49.59,2.61,112.0,12,3,8,8,False
47624259101,59.69,55.74,64.2,2.05,254.43,12,4,7,8,False
47624259301,58.77,54.57,61.74,2.2,512.21,12,0,7,6,False
47624259401,27.52,20.29,32.39,3.08,212.43,6,2,8,6,False
47624259501,25.38,23.18,31.91,2.4,81.5,5,4,1,8,False
47624259701,47.5,42.78,55.69,3.88,108.12,4,2,3,5,False
47624259702,36.86,29.44,41.06,3.77,68.12,6,2,3,5,False
47624259901,26.26,19.38,30.2,2.81,117.08,12,2,8,9,False
47624259902,13.17,10.2,18.25,2.41,105.21,8,11,1,7,False
47624260001,42.43,36.55,49.45,4.27,130.88,2,5,0,5,False
47624260002,38.81,30.45,43.73,3.99,99.5,6,0,3,5,False
47624260101,49.29,42.39,52.7,3.22,246.0,7,2,3,5,False
47624260102,50.32,46.6,53.85,2.94,140.12,2,4,0,5,False
47624260801,13.11,4.0,28.6,5.55,39.57,7,4,0,6,False
47624260802,12.1,7.88,19.2,3.21,32.43,10,4,5,10,False
47624261201,24.89,14.88,35.49,5.93,40.0,0,4,7,9,False
47624261202,27.31,18.0,43.67,6.78,56.85,10,0,1,8,False
47624285601,24.3,18.8,34.0,4.38,34.62,1,6,2,8,False
47624285602,19.94,12.17,23.54,3.84,45.0,6,2,12,7,False
47624286401,28.71,14.67,36.37,7.48,38.15,7,2,12,9,False
47624286402,37.12,18.5,52.83,10.34,54.67,10,4,0,8,False
47624298701,25.87,17.5,29.33,5.6,145.25,13,8,11,13,False
47624298702,29.94,28.95,31.4,1.08,176.25,11,10,7,13,False
47624299301,34.13,20.91,44.28,7.01,17.36,2,5,9,9,False
47624299302,27.93,9.33,46.36,9.64,28.5,11,2,8,8,False
47624302401,25.09,17.5,30.08,4.08,17.11,11,5,8,9,False
47624302402,26.86,19.89,33.74,4.73,19.89,6,5,13,7,False
47624302601,21.41,12.56,29.91,5.77,19.33,7,10,8,13,False
47624302602,24.39,13.4,34.95,7.86,25.0,12,10,13,8,False
47624302801,24.74,16.45,41.5,9.47,18.08,9,13,0,0,False
47624302802,33.26,18.67,42.03,7.19,52.0,10,8,6,6,False
47624302901,16.56,11.5,22.57,4.15,13.71,8,13,10,11,False
47624302902,23.65,19.7,33.09,4.44,15.0,11,7,13,9,False
47624303101,21.11,10.0,30.45,6.81,17.3,13,4,8,13,False
47624303102,21.62,15.75,29.5,3.88,16.42,9,1,5,7,False
47624303601,36.19,33.08,43.63,2.67,224.93,5,3,0,7,False
47624303602,34.75,32.18,37.8,1.58,155.86,8,3,0,7,False
47624304201,28.53,25.38,40.5,3.89,67.69,10,6,1,8,False
47624304202,30.18,20.23,41.71,6.16,45.92,6,3,1,9,False
47624304301,24.82,18.55,28.28,2.79,36.38,4,0,9,9,False
47624304302,26.58,20.6,29.5,2.62,61.75,2,0,3,8,False
47630017801,28.43,26.03,31.36,1.21,545.21,7,4,2,7,False
47630017802,30.34,25.65,34.91,2.31,261.93,4,0,2,8,False
47631001201,27.37,16.46,31.67,5.27,719.38,5,7,2,5,False
47631001202,25.12,17.85,28.67,3.34,699.75,4,7,1,5,False
47631004401,27.85,21.45,32.06,3.47,714.0,4,7,1,5,False
47631004402,20.45,16.57,25.99,3.05,626.12,4,5,1,5,False
47631004801,26.04,23.17,31.87,2.57,617.71,7,10,5,8,False
47631004802,19.85,6.92,26.22,6.11,246.14,4,7,9,8,False
47631006701,45.01,40.04,50.17,3.57,1640.93,6,12,4,6,False
47631006702,43.94,35.74,55.64,5.83,596.57,2,13,3,7,False
47631007101,40.25,37.56,43.48,2.21,196.75,7,4,1,5,False
47631007102,28.35,16.45,34.42,5.33,773.12,5,7,2,5,False
47631074201,39.79,34.7,43.86,2.15,473.64,13,3,0,7,False
47631074202,42.96,37.45,52.78,3.86,331.43,7,1,0,7,False
47631147801,31.07,28.92,33.5,1.24,715.93,8,3,2,6,False
47631147802,30.91,28.66,38.18,2.47,686.57,7,5,0,6,False
47634005501,70.43,56.46,102.08,11.88,178.71,13,7,2,6,True
47634005502,75.33,56.73,95.25,8.95,159.36,10,5,1,7,True
47634007501,45.45,43.17,48.48,1.86,807.38,6,1,0,5,False
47634007502,46.32,45.29,49.2,1.28,182.75,7,0,4,5,False
47634011901,22.24,19.89,24.51,1.61,656.88,1,0,7,5,False
47634011902,23.84,19.87,26.35,1.96,692.62,7,0,1,5,False
47634012301,11.16,6.87,16.54,3.5,893.64,13,9,2,6,False
47634012302,24.04,20.57,28.27,2.7,215.14,10,13,6,8,False
47634022502,37.02,30.7,40.4,2.48,165.0,12,6,9,10,False
47634029701,28.8,23.38,31.72,2.25,168.93,4,0,8,9,False
47634029702,29.68,27.89,31.92,1.35,158.86,0,8,4,9,False
47634033301,22.57,18.78,27.5,3.11,212.43,9,8,3,12,False
47634033302,19.93,17.29,24.56,2.42,110.79,9,8,2,7,False
47634035101,32.21,28.07,43.11,4.38,204.0,4,12,3,6,False
47634035201,36.0,33.44,38.77,1.88,287.93,3,0,4,6,False
47634035202,35.57,31.8,38.43,2.03,136.43,13,0,3,7,False
47634035301,33.69,29.95,42.47,3.43,105.43,2,6,5,7,False
47634035302,18.12,9.16,38.82,9.28,33.57,2,13,4,8,False
47634036701,33.35,27.37,35.47,2.3,657.86,6,0,8,6,False
47634036702,40.87,38.55,46.89,2.24,592.57,12,5,2,7,False
47634041701,31.7,27.3,35.33,2.24,168.08,8,0,2,7,False
47634041702,26.31,23.0,28.53,1.52,151.85,8,1,11,7,False
47634041901,41.52,33.6,46.15,3.48,142.38,5,0,10,7,False
47634041902,39.74,17.75,62.55,13.63,73.92,13,3,6,9,False
47634042101,41.77,37.96,46.13,2.46,1553.0,8,12,4,6,False
47634042102,20.23,13.38,28.84,6.24,516.71,6,13,1,7,False
47634042301,29.67,28.2,32.22,1.52,13.83,5,3,4,4,False
47634042302,28.43,28.43,28.43,0.0,7.0,7,7,7,7,False
47634044201,19.77,14.91,33.0,4.36,95.31,7,8,0,10,False
47634044202,20.48,18.0,22.88,1.27,495.71,13,3,0,7,False
47634044501,14.78,11.5,17.67,1.54,74.31,11,5,4,6,False
47634044502,15.04,11.42,21.0,2.39,459.21,7,3,2,7,False
47634044701,16.73,13.92,20.37,1.68,417.79,8,3,5,7,False
47634044702,14.07,11.19,17.0,1.83,83.46,7,10,1,6,False
47634045001,15.65,12.5,24.29,3.31,403.93,6,3,2,7,False
47634045002,20.72,9.6,39.03,9.82,65.71,5,1,4,7,False
47634045201,16.27,8.36,30.73,8.52,32.85,10,9,1,1,False
47634045202,20.1,8.24,30.82,9.34,41.5,11,13,2,0,False
47634045301,18.47,15.41,29.27,3.43,434.71,7,12,2,7,False
47634045302,19.45,16.35,36.33,5.31,84.57,7,11,2,6,False
47634045501,30.6,26.95,36.32,2.98,323.79,3,12,4,7,False
47634045502,30.16,21.46,39.7,5.6,508.93,7,12,4,6,False
47634045601,32.95,25.2,37.34,3.0,180.29,5,3,7,8,False
47634045602,25.95,16.31,37.56,7.74,578.36,6,12,4,6,False
47634046501,18.15,13.31,30.71,4.57,128.79,5,12,0,6,False
47634046502,15.99,9.71,28.38,6.4,44.85,0,5,3,7,False
47634046601,12.84,9.4,18.13,2.44,136.5,5,12,4,7,False
47634046602,17.75,13.79,30.29,5.01,65.38,9,13,3,7,False
47634046701,27.68,19.47,34.44,5.03,640.43,8,12,5,6,False
47634046702,24.76,21.29,29.15,2.61,557.36,6,13,4,7,False
47634046801,24.94,16.52,30.68,5.18,524.21,8,12,5,6,False
47634046802,25.13,19.75,30.0,3.17,404.5,8,12,4,8,False
47634047501,30.16,27.07,34.42,2.38,49.88,2,5,3,5,False
47634047502,33.49,27.22,38.54,4.29,41.0,1,3,4,5,False
47634064501,41.83,37.98,47.28,3.53,165.88,0,4,2,5,False
47634064502,36.88,29.78,39.95,3.61,788.88,6,7,3,5,False
47634065801,46.38,33.67,53.25,6.4,20.38,0,2,5,5,False
47634065802,47.52,37.0,57.89,7.33,32.0,4,1,6,5,False
47634067901,37.4,34.98,41.06,2.12,94.12,4,5,2,5,False
47634067902,40.39,37.55,45.0,2.21,70.5,7,5,1,5,False
47634068001,40.21,33.25,49.16,6.12,80.25,1,0,7,5,False
47634068002,50.0,42.67,73.2,10.09,64.62,7,1,0,5,False
47634069101,43.01,25.7,73.5,12.28,49.29,12,1,2,7,False
47634069102,25.62,13.96,77.75,15.92,113.29,4,10,5,8,False
47634069201,24.75,23.38,27.78,1.27,559.64,8,9,0,7,False
47634069202,21.65,14.83,35.0,4.68,65.92,1,5,0,8,False
47634069601,25.65,21.62,33.69,3.0,117.21,1,8,0,8,False
47634069602,24.81,20.93,28.66,2.18,248.57,4,8,1,12,False
47634074901,31.26,26.92,36.88,2.27,585.5,12,1,2,7,False
47634075001,23.69,16.15,34.38,5.21,46.8,10,7,5,9,False
47634075201,19.38,17.06,24.53,1.92,697.57,7,13,1,6,False
47634075202,17.41,9.23,32.91,9.28,63.2,13,7,5,9,False
47634075301,35.59,32.93,38.09,2.03,212.38,0,7,3,1,False
47634075302,39.65,33.12,43.77,3.14,517.75,3,0,1,5,False
47634075501,38.64,27.41,42.76,4.81,335.75,6,0,2,5,False
47634075502,33.31,30.27,35.56,1.96,202.25,0,7,2,1,False
