v_link_id,all_mean,all_min,all_max,all_std,pscr_mean,bus_mean,fgcr_mean,ts_all_mean,ts_all_min,ts_all_max,outlier_flag
47624047002,61.32,0.0,130.0,47.43,37.41,1.77,22.23,7,1,13,False
47624051001,40.46,8.0,82.0,26.11,26.46,1.12,12.79,17,0,14,False
47624051002,41.0,1.0,89.0,27.38,26.21,1.21,13.79,4,2,13,False
47624052401,58.62,4.0,144.0,48.41,42.04,3.17,13.12,6,4,12,False
47624052402,56.58,5.0,148.0,45.02,43.08,3.12,10.71,4,2,12,False
47624053001,34.76,1.0,87.0,23.94,26.24,1.9,6.67,16,21,17,False
47624053401,65.52,1.0,126.0,31.72,44.7,2.43,18.17,17,3,14,False
47624053801,56.35,1.0,111.0,30.18,41.48,1.91,12.87,15,3,10,False
47624054001,94.57,2.0,214.0,78.82,54.96,1.17,38.57,7,2,10,False
47624054002,96.17,1.0,197.0,70.93,52.74,2.0,41.26,18,0,14,False
47624054801,188.29,16.0,378.0,130.97,127.38,3.83,57.17,17,1,6,False
47624054802,204.75,16.0,435.0,143.12,137.62,4.21,62.71,5,1,14,False
47624056801,169.92,13.0,316.0,119.82,118.25,3.46,48.21,18,0,14,False
47624056802,191.04,15.0,497.0,148.15,131.75,3.46,55.71,9,2,16,False
47624059201,204.17,18.0,474.0,151.0,140.79,3.29,60.08,17,3,14,False
47624059202,200.38,21.0,492.0,147.94,133.62,3.29,63.54,18,1,16,False
47624059601,135.04,24.0,408.0,115.67,92.71,4.25,37.96,7,1,14,False
47624060601,194.79,20.0,486.0,144.21,130.25,3.38,61.12,18,1,16,False
47624060602,190.92,18.0,433.0,138.31,135.5,3.21,52.25,17,1,14,False
47624061001,151.46,12.0,394.0,107.29,119.79,3.25,28.29,10,1,16,False
47624061002,227.92,37.0,521.0,144.23,166.58,3.29,58.0,9,3,16,False
47624069601,144.08,13.0,312.0,108.07,104.21,4.17,35.58,18,2,13,False
47624069602,140.58,14.0,334.0,111.4,100.58,4.33,35.5,7,1,15,False
47624069801,147.46,12.0,333.0,117.64,108.79,4.42,34.38,8,22,12,False
47624069802,140.17,12.0,320.0,104.76,100.75,4.5,34.88,17,2,15,False
47624070001,139.33,11.0,302.0,104.86,102.62,4.33,32.5,17,2,11,False
47624070002,139.29,19.0,335.0,105.75,98.21,4.5,36.46,7,1,15,False
47624070201,140.12,13.0,297.0,101.69,101.0,4.33,35.04,17,2,11,False
47624070202,142.04,17.0,344.0,108.32,100.29,4.58,37.12,18,1,15,False
47624073601,29.07,1.0,60.0,21.3,21.86,0.71,6.57,8,18,6,False
47624073602,39.92,2.0,67.0,22.9,31.08,1.08,7.69,4,18,8,False
47624074201,99.0,3.0,220.0,77.28,58.5,0.83,39.46,5,0,9,False
47624074202,92.38,5.0,224.0,72.61,56.21,0.67,35.33,17,0,14,False
47624074801,83.29,7.0,197.0,66.84,65.0,3.54,14.71,7,2,11,False
47624074802,75.29,7.0,212.0,63.48,58.58,3.04,13.62,9,1,14,False
47624077401,71.17,5.0,194.0,61.6,55.88,3.21,12.08,7,2,14,False
47624077402,63.71,4.0,185.0,54.2,47.08,3.12,13.42,18,4,13,False
47624078801,191.0,14.0,453.0,146.66,131.5,3.88,55.38,6,2,16,False
47624078802,184.08,14.0,362.0,130.49,131.17,3.71,49.21,18,2,8,False
47624079001,185.42,15.0,415.0,137.38,132.08,3.5,49.79,17,1,14,False
47624079002,200.25,16.0,475.0,160.06,136.54,3.88,59.62,6,2,16,False
47624079801,57.79,0.0,133.0,41.24,19.53,3.42,34.89,5,1,9,False
47624080401,47.15,13.0,77.0,21.97,29.5,2.15,15.45,13,4,10,False
47624080402,63.4,20.0,125.0,29.77,40.05,2.85,20.5,2,21,11,False
47624080601,55.8,10.0,94.0,22.67,34.35,1.85,19.65,18,19,8,False
47624080602,87.61,12.0,179.0,51.59,39.61,3.22,44.87,19,1,14,False
47624081001,64.75,1.0,124.0,43.25,48.9,1.0,14.95,12,21,13,False
47624081002,58.82,0.0,109.0,37.46,40.24,1.29,17.12,8,1,13,False
47624081201,75.67,4.0,194.0,46.56,53.93,1.67,20.27,8,21,15,False
47624081202,53.89,0.0,102.0,36.39,40.21,1.21,12.53,17,2,15,False
47624081401,103.04,3.0,309.0,83.64,59.54,1.96,41.71,5,23,7,False
47624081402,105.33,9.0,247.0,79.88,62.21,1.88,41.08,6,0,8,False
47624081801,79.38,0.0,194.0,58.23,57.19,1.24,20.9,17,2,8,False
47624081802,83.05,1.0,227.0,66.86,60.23,1.45,21.5,6,20,8,False
47624082201,108.08,8.0,249.0,80.34,65.29,1.0,41.83,6,21,8,False
47624082202,106.79,4.0,251.0,83.1,61.08,1.04,44.83,4,23,7,False
47624085801,99.21,5.0,194.0,70.61,61.33,1.88,35.96,5,0,13,False
47624085802,97.04,6.0,199.0,74.11,62.5,1.88,32.67,17,1,7,False
47624106201,125.12,6.0,281.0,101.95,82.79,2.38,39.83,6,1,8,False
47624106202,119.42,5.0,262.0,95.21,79.83,2.62,36.96,7,1,15,False
47624107001,46.29,1.0,79.0,23.98,33.94,1.59,10.76,14,22,7,False
47624107002,26.25,2.0,62.0,25.31,20.58,1.0,4.58,13,10,14,False
47624111801,179.46,11.0,405.0,134.39,129.33,4.12,46.12,5,1,6,False
47624111802,174.5,15.0,339.0,119.74,121.21,4.0,49.21,6,2,11,False
47624116401,66.64,0.0,137.0,49.78,42.14,1.55,22.77,6,1,13,False
47624116402,82.62,8.0,210.0,65.54,55.92,2.96,23.92,4,23,8,False
47624126201,48.25,9.0,99.0,26.53,32.25,3.8,12.05,7,0,10,False
47624130401,151.25,13.0,295.0,107.69,107.42,2.83,41.21,18,2,13,False
47624130402,167.29,12.0,355.0,123.3,117.54,2.92,47.0,9,2,15,False
47624163301,51.36,7.0,119.0,34.07,34.68,2.77,14.14,5,0,7,False
47624166301,71.25,6.0,177.0,57.45,53.62,3.08,14.54,9,2,13,False
47624166302,76.67,7.0,202.0,68.62,60.88,2.88,12.75,10,2,14,False
47624178001,241.04,21.0,535.0,179.84,170.79,4.75,65.38,18,2,12,False
47624178002,243.42,16.0,477.0,153.93,167.92,4.71,71.0,17,3,9,False
47624178201,231.04,15.0,461.0,162.25,167.0,4.79,59.25,5,2,11,False
47624178202,232.92,18.0,512.0,173.19,167.25,4.67,61.25,18,1,12,False
47624178401,196.0,12.0,392.0,137.83,138.42,4.12,53.5,17,0,13,False
47624178402,224.62,21.0,494.0,169.56,157.17,4.71,62.62,6,2,12,False
47624179401,186.67,14.0,391.0,126.95,130.71,3.92,51.92,6,1,16,False
47624179402,178.62,13.0,363.0,126.48,125.12,3.88,49.71,5,0,6,False
47624180401,233.17,32.0,549.0,148.52,157.38,3.54,72.33,17,1,6,False
47624180402,248.67,26.0,460.0,148.06,171.42,3.21,74.17,19,1,15,False
47624180601,168.54,15.0,330.0,114.56,116.38,4.29,48.08,6,0,15,False
47624180602,155.83,23.0,295.0,98.69,107.21,4.17,44.5,5,0,14,False
47624181401,223.25,29.0,413.0,141.6,145.62,4.67,73.04,5,1,15,False
47624181601,221.79,34.0,410.0,134.84,145.54,4.88,71.46,18,1,8,False
47624181801,137.88,14.0,261.0,82.73,90.0,4.25,43.62,5,2,10,False
47624182001,154.25,14.0,312.0,106.78,112.17,3.46,38.62,6,2,15,False
47624182401,220.83,31.0,410.0,138.61,156.42,3.21,61.04,6,0,16,False
47624182601,220.96,41.0,439.0,129.55,146.67,3.67,70.58,17,1,6,False
47624182801,137.54,9.0,241.0,82.9,87.83,3.04,46.88,6,1,8,False
47624183001,165.96,17.0,306.0,106.02,112.71,2.92,50.33,18,2,14,False
47624183801,185.92,20.0,340.0,109.83,131.58,3.38,51.08,5,1,7,False
47624184201,288.71,37.0,508.0,150.69,212.29,3.92,72.5,18,1,17,False
47624184601,191.88,35.0,335.0,104.79,148.88,3.67,39.62,6,2,15,False
47624184801,110.33,15.0,225.0,67.05,66.12,3.62,40.38,18,3,16,False
47624185001,281.79,37.0,541.0,165.32,224.75,4.88,52.17,5,1,17,False
47624185201,274.12,63.0,456.0,133.17,182.83,4.67,86.67,18,23,8,False
47624185601,285.46,75.0,532.0,136.11,196.58,4.88,83.88,18,23,6,False
47624185801,224.33,59.0,472.0,117.16,150.67,3.62,69.83,17,2,6,False
47624188001,128.42,37.0,255.0,77.02,107.83,2.92,17.83,9,2,17,False
47624188002,109.54,16.0,242.0,72.69,90.04,2.58,16.88,18,1,12,False
47624191001,108.21,10.0,302.0,89.54,87.67,2.04,18.46,11,3,17,False
47624191002,97.33,7.0,253.0,78.67,76.67,2.29,18.33,18,3,16,False
47624195201,50.0,5.0,115.0,34.32,36.71,1.58,11.83,18,2,11,False
47624195202,97.5,17.0,252.0,67.39,77.75,1.83,17.92,10,1,13,False
47624196001,52.33,1.0,114.0,31.8,37.75,1.88,12.46,4,1,13,False
47624196002,32.11,0.0,76.0,25.55,24.0,1.56,6.56,12,2,15,False
47624197801,287.67,22.0,569.0,209.85,191.67,4.67,91.33,18,0,11,False
47624197802,286.04,19.0,616.0,211.82,197.17,4.83,84.08,6,2,15,False
47624204001,270.17,26.0,502.0,163.25,188.54,4.75,77.08,4,2,6,False
47624204002,276.92,20.0,560.0,199.14,192.96,4.62,79.33,5,1,15,False
47624205001,116.58,14.0,258.0,77.37,71.96,2.83,41.96,6,2,15,False
47624205002,157.75,13.0,326.0,106.13,107.33,3.04,47.46,6,2,15,False
47624206601,55.36,5.0,123.0,37.53,38.41,2.05,14.86,6,22,17,False
47624206801,78.5,0.0,181.0,47.65,51.08,4.29,23.12,9,2,13,False
47624206802,97.3,1.0,185.0,61.4,61.96,4.61,30.83,8,23,12,False
47624207201,92.92,5.0,209.0,70.78,58.88,2.29,31.83,18,23,16,False
47624207202,101.62,5.0,202.0,77.89,67.08,2.04,32.58,6,0,15,False
47624208001,66.58,2.0,241.0,61.68,55.08,1.62,9.71,17,4,14,False
47624208002,76.79,7.0,249.0,71.5,62.42,2.5,12.04,8,3,11,False
47624210801,54.26,3.0,140.0,46.89,31.04,1.7,21.52,17,20,12,False
47624211001,125.29,15.0,246.0,81.99,76.21,2.21,46.88,6,1,16,False
47624211002,117.33,7.0,273.0,84.7,70.83,2.75,43.75,6,23,16,False
47624211401,82.59,4.0,177.0,66.39,48.68,1.68,32.05,15,0,9,False
47624211601,71.84,4.0,139.0,43.8,34.11,2.11,35.84,13,22,10,False
47624211602,91.09,1.0,185.0,58.37,48.3,2.0,40.83,18,2,16,False
47624211801,72.0,0.0,201.0,65.56,45.43,2.22,24.22,17,0,14,False
47624211802,47.67,0.0,92.0,32.41,31.57,1.95,14.0,17,0,8,False
47624212001,121.04,8.0,244.0,77.29,74.42,2.92,43.67,5,1,15,False
47624212002,127.83,14.0,254.0,85.0,79.12,2.5,46.29,6,3,17,False
47624212201,120.62,6.0,259.0,91.0,77.38,2.83,40.33,6,1,14,False
47624212202,115.17,7.0,250.0,83.69,72.54,2.79,39.83,18,1,15,False
47624238001,35.2,6.0,68.0,28.21,27.0,1.6,7.0,18,17,10,False
47624238002,15.25,7.0,34.0,12.58,11.75,0.75,2.75,6,17,18,False
47624238201,43.71,1.0,114.0,35.25,36.07,1.21,6.5,16,20,13,False
47624238202,42.79,6.0,96.0,29.68,34.79,1.21,6.64,16,20,17,False
47624240601,60.04,1.0,166.0,49.65,31.43,2.83,25.74,9,0,13,False
47624240801,48.48,10.0,122.0,32.89,23.65,3.0,21.91,8,3,15,False
47624241201,195.5,18.0,496.0,148.69,136.46,3.79,55.29,18,2,16,False
47624241202,201.0,15.0,472.0,154.87,140.54,3.17,57.25,18,2,15,False
47624241401,63.5,1.0,132.0,39.7,44.18,1.5,17.59,6,5,16,False
47624241402,83.25,7.0,210.0,57.55,59.42,3.46,20.33,10,0,16,False
47624241601,44.12,2.0,102.0,30.61,31.79,3.0,9.17,7,3,13,False
47624241602,38.48,1.0,84.0,25.66,29.87,1.57,7.3,8,3,12,False
47624241801,190.29,14.0,423.0,142.11,137.38,3.08,50.08,17,2,15,False
47624241802,192.92,15.0,486.0,149.41,133.92,3.58,55.33,6,2,16,False
47624242001,198.62,21.0,503.0,150.6,134.12,3.92,60.54,18,2,16,False
47624242002,186.42,14.0,384.0,135.83,132.17,3.54,50.67,18,0,15,False
47624242601,236.92,18.0,494.0,160.41,165.0,3.75,68.08,19,3,14,False
47624242602,196.29,14.0,467.0,147.65,135.12,3.42,57.75,18,2,16,False
47624243801,217.21,20.0,587.0,163.75,149.21,4.38,63.79,11,1,16,False
47624243802,193.25,13.0,399.0,126.12,133.29,2.75,57.17,19,2,11,False
47624244001,232.71,18.0,493.0,158.19,157.38,3.46,71.71,19,3,13,False
47624244002,242.46,31.0,619.0,175.88,168.54,4.62,69.33,6,1,14,False
47624245001,216.46,19.0,453.0,148.52,143.67,4.5,68.42,18,1,16,False
47624245002,199.04,18.0,369.0,126.19,136.33,4.54,58.25,18,2,6,False
47624247801,173.67,22.0,322.0,114.55,122.92,3.08,47.58,5,1,11,False
47624247802,154.0,8.0,320.0,114.36,112.5,3.08,38.62,17,0,10,False
47624248401,64.25,5.0,122.0,42.01,39.96,1.38,23.0,17,0,14,False
47624248402,63.38,1.0,135.0,44.35,41.83,1.29,20.12,18,3,15,False
47624249101,113.17,2.0,308.0,104.71,82.83,1.75,28.79,7,3,12,False
47624249102,86.04,7.0,262.0,70.44,55.58,1.83,28.67,18,2,13,False
47624249301,63.17,5.0,135.0,46.62,39.83,1.33,22.0,18,2,13,False
47624249302,56.71,5.0,160.0,46.16,34.29,1.54,21.12,18,1,14,False
47624259101,115.33,16.0,346.0,87.33,78.08,3.46,34.0,11,1,16,False
47624259301,106.46,15.0,221.0,68.41,72.04,1.46,32.88,18,3,6,False
47624259401,119.88,7.0,283.0,88.81,84.54,2.83,32.46,4,0,8,False
47624259501,92.96,1.0,247.0,68.28,58.88,2.75,31.25,18,3,14,False
47624259701,195.88,18.0,376.0,137.3,138.0,4.04,53.79,17,0,14,False
47624259702,226.38,21.0,532.0,166.96,160.54,3.67,62.08,6,2,11,False
47624259901,108.91,11.0,294.0,87.06,77.35,2.22,29.22,18,0,16,False
47624259902,167.04,17.0,312.0,106.69,128.75,3.25,35.0,6,1,8,False
47624260001,248.42,17.0,502.0,175.04,179.58,5.0,63.92,18,2,16,False
47624260002,212.5,16.0,445.0,159.48,156.46,4.17,51.75,18,3,13,False
47624260101,234.42,13.0,498.0,176.3,175.88,4.71,53.88,5,1,13,False
47624260102,229.42,15.0,485.0,171.92,168.83,4.71,55.71,7,2,15,False
47624260801,108.67,8.0,203.0,62.88,75.5,5.58,27.54,6,1,15,False
47624260802,106.62,5.0,225.0,68.39,66.38,4.75,35.54,6,2,7,False
47624261201,66.09,3.0,119.0,37.73,44.23,5.59,16.14,8,23,15,False
47624261202,70.04,4.0,155.0,50.24,45.57,5.22,19.22,6,1,13,False
47624285601,69.78,1.0,154.0,51.17,48.65,4.22,17.0,8,2,13,False
47624285602,76.52,5.0,137.0,42.34,56.17,4.61,15.7,18,0,13,False
47624286401,45.74,4.0,95.0,28.1,29.7,4.91,11.0,6,2,12,False
47624286402,45.64,3.0,77.0,27.12,28.14,4.73,12.73,5,1,12,False
47624298701,17.25,2.0,52.0,19.55,11.38,1.5,4.12,16,14,11,False
47624298702,22.44,2.0,56.0,24.26,15.0,2.44,4.78,18,11,7,False
47624298801,34.2,2.0,65.0,30.77,25.0,2.0,7.2,5,14,17,False
47624298802,30.67,2.0,65.0,26.9,22.17,1.5,6.67,15,14,17,False
47624299301,32.75,1.0,80.0,22.32,21.58,2.96,8.04,19,2,13,False
47624299302,34.75,2.0,74.0,20.55,23.58,3.04,8.25,9,1,13,False
47624302401,38.53,1.0,76.0,23.49,29.0,2.41,7.18,13,20,11,False
47624302402,40.5,1.0,91.0,27.55,29.5,2.38,8.88,6,20,16,False
47624302601,34.56,1.0,73.0,24.18,23.11,3.44,7.89,17,5,7,False
47624302602,30.74,1.0,62.0,20.22,21.26,3.26,6.16,14,20,17,False
47624302801,33.9,1.0,80.0,25.06,23.1,2.24,8.52,17,0,12,False
47624302802,31.33,1.0,55.0,18.02,21.17,2.39,7.72,14,7,5,False
47624302901,52.0,1.0,94.0,24.1,40.25,2.33,9.58,10,14,16,False
47624302902,42.0,1.0,73.0,26.57,33.5,2.25,6.33,14,13,9,False
47624303101,41.11,2.0,89.0,22.73,30.05,3.05,8.05,13,21,16,False
47624303102,33.68,1.0,69.0,23.96,23.45,2.45,7.82,9,0,12,False
47624303601,119.04,7.0,267.0,93.8,77.62,2.33,39.21,6,0,16,False
47624303602,108.67,2.0,291.0,86.54,66.25,2.75,39.58,18,23,16,False
47624304201,71.04,6.0,146.0,51.8,47.13,5.65,18.57,6,1,8,False
47624304202,51.91,1.0,95.0,29.53,35.09,5.43,11.3,5,23,14,False
47624304301,63.87,2.0,135.0,39.34,42.39,5.26,16.0,6,1,12,False
47624304302,64.86,7.0,135.0,43.18,39.45,5.77,19.64,18,2,14,False
47630017801,173.5,14.0,343.0,123.7,111.46,5.58,56.62,5,2,7,False
47630017802,145.0,6.0,313.0,101.24,100.83,5.46,38.71,0,2,13,False
47631001201,459.42,47.0,859.0,305.91,297.92,4.5,156.96,5,2,11,False
47631001202,419.83,46.0,805.0,272.32,280.5,4.75,134.62,18,1,14,False
47631004401,416.92,44.0,857.0,272.8,276.29,5.0,135.71,18,2,14,False
47631004402,488.0,57.0,871.0,310.25,321.0,4.83,162.25,18,1,11,False
47631004801,149.42,9.0,313.0,106.46,115.5,3.92,29.92,6,2,10,False
47631004802,150.42,26.0,378.0,104.21,122.38,4.0,24.21,11,2,7,False
47631006701,262.71,43.0,446.0,153.1,177.79,10.67,74.33,18,1,7,False
47631006702,152.79,14.0,274.0,97.81,105.92,9.21,37.75,6,1,15,False
47631007101,252.25,19.0,569.0,180.77,177.71,3.79,70.62,6,2,15,False
47631007102,290.33,34.0,704.0,199.62,195.42,4.12,90.92,18,23,8,False
47631074201,140.75,9.0,250.0,97.31,85.5,4.25,51.0,5,2,7,False
47631074202,115.92,5.0,218.0,85.34,70.54,4.21,41.12,18,2,13,False
47631147801,185.83,14.0,379.0,117.8,129.79,2.88,53.38,5,2,7,False
47631147802,162.58,12.0,369.0,116.2,117.25,3.0,42.17,18,0,7,False
47634005501,85.88,7.0,167.0,62.43,59.92,2.67,23.25,18,0,7,False
47634005502,89.21,8.0,171.0,58.06,59.96,2.33,26.92,5,0,17,False
47634007501,200.75,13.0,589.0,170.51,136.5,2.08,62.21,5,1,7,False
47634007502,201.75,13.0,492.0,153.04,139.83,2.04,60.08,6,1,16,False
