gid,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop,outlier_flag
다사612328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사613324,12.0,12.0,59.0,69.0,84.0,76.0,37.0,41.0,20.0,23.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True
다사613327,10.0,7.0,0.0,9.0,8.0,10.0,10.0,16.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사613328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사614326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사614327,8.0,8.0,0.0,0.0,7.0,8.0,8.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사614328,0.0,0.0,0.0,0.0,7.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615307,7.0,6.0,10.0,13.0,18.0,17.0,10.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615308,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615325,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615326,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사615328,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616293,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616294,0.0,8.0,8.0,8.0,7.0,11.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616295,0.0,0.0,0.0,6.0,6.0,8.0,0.0,8.0,6.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616296,21.0,14.0,19.0,24.0,13.0,18.0,20.0,25.0,26.0,26.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616297,13.0,13.0,33.0,46.0,58.0,49.0,18.0,24.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616298,7.0,0.0,0.0,10.0,26.0,30.0,13.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616299,0.0,0.0,15.0,20.0,31.0,28.0,8.0,10.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616301,8.0,0.0,6.0,0.0,0.0,0.0,10.0,9.0,7.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616305,0.0,0.0,0.0,12.0,14.0,14.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616306,14.0,9.0,37.0,35.0,32.0,29.0,22.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616307,0.0,0.0,7.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616324,7.0,8.0,0.0,0.0,6.0,13.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사616327,0.0,6.0,0.0,7.0,0.0,10.0,9.0,10.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617294,0.0,0.0,7.0,6.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617295,0.0,6.0,19.0,15.0,7.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617296,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617298,7.0,0.0,10.0,16.0,21.0,26.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617299,16.0,21.0,20.0,38.0,48.0,42.0,27.0,24.0,16.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617301,24.0,12.0,17.0,15.0,7.0,15.0,28.0,30.0,32.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617302,0.0,0.0,18.0,15.0,0.0,7.0,6.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617303,0.0,0.0,0.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617304,14.0,19.0,10.0,15.0,18.0,28.0,25.0,26.0,25.0,22.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617305,9.0,10.0,7.0,11.0,15.0,16.0,15.0,17.0,16.0,18.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617306,0.0,0.0,10.0,8.0,8.0,10.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617308,19.0,13.0,19.0,32.0,37.0,40.0,36.0,29.0,22.0,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617325,10.0,10.0,10.0,6.0,20.0,28.0,31.0,23.0,8.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617326,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사617327,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618295,9.0,14.0,14.0,18.0,33.0,31.0,22.0,21.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618296,15.0,12.0,13.0,8.0,8.0,15.0,21.0,21.0,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618302,0.0,11.0,8.0,11.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618303,7.0,11.0,25.0,21.0,11.0,17.0,15.0,19.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618304,18.0,17.0,18.0,17.0,21.0,25.0,26.0,41.0,29.0,31.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618305,57.0,37.0,25.0,29.0,36.0,42.0,68.0,71.0,44.0,39.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True
다사618306,0.0,0.0,7.0,12.0,14.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618307,27.0,17.0,37.0,47.0,51.0,50.0,33.0,39.0,32.0,30.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618308,12.0,11.0,19.0,28.0,47.0,41.0,21.0,18.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618323,0.0,0.0,0.0,0.0,9.0,16.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618324,10.0,11.0,7.0,10.0,25.0,33.0,22.0,18.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618327,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618328,0.0,7.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618363,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사618364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619294,18.0,18.0,16.0,29.0,43.0,42.0,33.0,30.0,18.0,20.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619295,24.0,15.0,34.0,37.0,51.0,63.0,29.0,31.0,24.0,14.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619296,26.0,20.0,23.0,30.0,42.0,40.0,33.0,38.0,27.0,23.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619297,25.0,22.0,8.0,23.0,33.0,41.0,28.0,34.0,40.0,38.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619300,0.0,0.0,20.0,20.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619303,0.0,0.0,11.0,10.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619306,12.0,9.0,17.0,35.0,57.0,42.0,20.0,19.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619307,0.0,0.0,10.0,13.0,21.0,23.0,0.0,10.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619318,12.0,9.0,0.0,0.0,6.0,7.0,19.0,22.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619325,12.0,11.0,12.0,7.0,18.0,25.0,21.0,19.0,13.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619326,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619327,0.0,0.0,0.0,0.0,10.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619344,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619364,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619365,6.0,0.0,0.0,9.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사619366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620293,0.0,0.0,22.0,17.0,26.0,25.0,16.0,14.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620294,9.0,9.0,10.0,25.0,28.0,30.0,15.0,22.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620295,9.0,6.0,6.0,7.0,16.0,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620296,0.0,9.0,7.0,16.0,22.0,21.0,17.0,17.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620299,0.0,0.0,25.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620300,6.0,6.0,68.0,79.0,30.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
다사620303,0.0,0.0,9.0,13.0,9.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620305,15.0,23.0,16.0,30.0,41.0,38.0,32.0,28.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620306,29.0,24.0,16.0,22.0,41.0,38.0,32.0,35.0,14.0,12.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620307,10.0,15.0,28.0,39.0,42.0,43.0,28.0,24.0,23.0,27.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620317,0.0,6.0,0.0,0.0,0.0,0.0,6.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620318,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620319,43.0,36.0,43.0,52.0,68.0,77.0,72.0,71.0,61.0,69.0,31.0,26.0,0.0,7.0,0.0,0.0,0.0,0.0,True
다사620320,20.0,27.0,22.0,33.0,39.0,41.0,46.0,45.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620322,24.0,16.0,39.0,39.0,25.0,32.0,32.0,36.0,25.0,24.0,8.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,False
다사620323,21.0,15.0,47.0,50.0,57.0,61.0,42.0,37.0,29.0,36.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620326,12.0,7.0,0.0,19.0,21.0,23.0,18.0,16.0,9.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620327,18.0,15.0,22.0,26.0,46.0,49.0,32.0,33.0,22.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620328,7.0,8.0,7.0,13.0,17.0,13.0,21.0,21.0,8.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사620365,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621295,7.0,9.0,0.0,14.0,13.0,20.0,16.0,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621296,16.0,10.0,16.0,23.0,46.0,51.0,29.0,25.0,14.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621299,0.0,0.0,13.0,18.0,31.0,30.0,14.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621300,0.0,9.0,62.0,62.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621301,0.0,0.0,65.0,67.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621304,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621317,27.0,34.0,29.0,26.0,23.0,33.0,52.0,53.0,54.0,47.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621318,12.0,17.0,12.0,17.0,21.0,22.0,23.0,31.0,28.0,28.0,21.0,19.0,0.0,6.0,0.0,0.0,0.0,0.0,False
다사621320,37.0,19.0,30.0,32.0,56.0,61.0,53.0,56.0,59.0,58.0,32.0,31.0,16.0,15.0,0.0,0.0,0.0,0.0,True
다사621321,17.0,8.0,6.0,14.0,32.0,27.0,31.0,29.0,10.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621322,8.0,0.0,14.0,19.0,23.0,16.0,10.0,11.0,8.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621323,10.0,8.0,30.0,26.0,16.0,21.0,10.0,17.0,9.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621326,18.0,12.0,33.0,47.0,35.0,38.0,38.0,30.0,16.0,24.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621327,9.0,14.0,17.0,17.0,39.0,41.0,26.0,22.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사621328,20.0,27.0,8.0,9.0,23.0,43.0,46.0,33.0,14.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622295,29.0,17.0,22.0,42.0,84.0,75.0,49.0,50.0,21.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
다사622296,12.0,11.0,8.0,11.0,26.0,26.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622299,16.0,17.0,16.0,30.0,77.0,73.0,29.0,23.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622300,0.0,0.0,40.0,44.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622301,0.0,0.0,26.0,36.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622316,15.0,19.0,18.0,15.0,18.0,22.0,27.0,33.0,33.0,31.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622317,23.0,14.0,14.0,16.0,19.0,23.0,26.0,29.0,32.0,36.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622318,12.0,19.0,14.0,23.0,30.0,35.0,29.0,35.0,37.0,43.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622319,19.0,24.0,14.0,23.0,26.0,29.0,25.0,29.0,36.0,43.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622320,20.0,19.0,19.0,21.0,19.0,30.0,40.0,39.0,35.0,42.0,13.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,False
다사622321,15.0,20.0,11.0,15.0,27.0,30.0,23.0,28.0,10.0,11.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622322,0.0,12.0,23.0,34.0,19.0,18.0,23.0,23.0,13.0,20.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622323,6.0,0.0,31.0,30.0,14.0,13.0,6.0,6.0,8.0,17.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622327,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622328,19.0,11.0,0.0,6.0,12.0,19.0,28.0,26.0,19.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사622370,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.0,8.0,13.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사623298,0.0,0.0,8.0,11.0,23.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사623299,14.0,17.0,33.0,48.0,84.0,81.0,38.0,33.0,18.0,17.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,True
다사623321,37.0,19.0,12.0,28.0,40.0,51.0,46.0,54.0,18.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사623322,26.0,24.0,44.0,42.0,39.0,48.0,44.0,47.0,30.0,33.0,11.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,False
다사623323,15.0,25.0,33.0,37.0,29.0,24.0,28.0,39.0,22.0,29.0,12.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,False
다사623324,15.0,11.0,23.0,25.0,37.0,46.0,22.0,20.0,10.0,12.0,8.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,False
다사623325,16.0,21.0,31.0,28.0,38.0,38.0,30.0,30.0,18.0,19.0,8.0,6.0,6.0,11.0,0.0,0.0,0.0,0.0,False
다사623326,7.0,16.0,12.0,12.0,18.0,22.0,16.0,18.0,14.0,15.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사623327,19.0,16.0,15.0,23.0,29.0,30.0,30.0,34.0,17.0,13.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사623328,12.0,11.0,11.0,18.0,10.0,13.0,17.0,22.0,23.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624324,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624325,0.0,6.0,17.0,9.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624326,6.0,13.0,20.0,14.0,20.0,25.0,14.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624327,21.0,12.0,26.0,26.0,34.0,31.0,25.0,30.0,14.0,14.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624328,11.0,8.0,0.0,0.0,10.0,12.0,11.0,15.0,13.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사624356,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625324,0.0,6.0,0.0,8.0,8.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625325,0.0,0.0,0.0,0.0,6.0,0.0,7.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625326,0.0,0.0,11.0,10.0,8.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625327,0.0,0.0,10.0,9.0,8.0,7.0,9.0,10.0,7.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625328,7.0,6.0,0.0,0.0,0.0,7.0,9.0,11.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사625329,6.0,8.0,6.0,7.0,0.0,0.0,10.0,10.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626323,10.0,0.0,0.0,0.0,7.0,9.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626324,0.0,11.0,12.0,19.0,49.0,43.0,23.0,20.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626325,0.0,9.0,17.0,24.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626326,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626327,0.0,0.0,9.0,0.0,9.0,9.0,8.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626328,8.0,8.0,10.0,9.0,0.0,0.0,17.0,15.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626329,0.0,0.0,8.0,0.0,0.0,6.0,7.0,7.0,12.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사626330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
다사627323,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
